date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,13600.0,12.5,12.75,12.75,12.5
2000-01-04,53800.0,12.13,12.5,12.5,12.06
2000-01-05,6900.0,12.19,12.25,12.06,12.06
2000-01-06,16600.0,12.06,12.25,12.06,12.06
2000-01-07,22300.0,12.25,12.38,12.0,12.0
2000-01-10,3500.0,12.13,12.38,12.38,12.06
2000-01-11,8800.0,12.25,12.25,12.06,12.0
2000-01-12,2300.0,12.13,12.25,12.25,12.13
2000-01-13,4000.0,12.25,12.25,12.13,11.94
2000-01-14,24400.0,12.0,12.25,12.13,11.88
2000-01-18,11900.0,11.75,12.0,12.0,11.75
2000-01-19,18400.0,12.13,12.5,11.63,11.63
2000-01-20,8800.0,12.13,12.13,12.0,12.0
2000-01-21,7300.0,12.13,12.13,12.0,11.88
2000-01-24,4000.0,12.0,12.13,12.13,12.0
2000-01-25,6600.0,12.0,12.13,11.88,11.88
2000-01-26,5900.0,12.06,12.19,12.0,12.0
2000-01-27,2800.0,12.06,12.13,12.13,12.0
2000-01-28,45400.0,12.0,12.0,12.0,11.88
2000-01-31,26200.0,11.75,12.0,12.0,11.75
2000-02-01,5200.0,11.75,11.88,11.75,11.75
2000-02-02,11100.0,11.88,12.0,11.75,11.75
2000-02-03,9500.0,11.75,12.0,11.88,11.75
2000-02-04,7400.0,11.81,11.88,11.75,11.75
2000-02-07,7800.0,11.69,12.0,12.0,11.69
2000-02-08,12500.0,11.75,12.0,11.75,11.75
2000-02-09,32400.0,11.81,11.94,11.81,11.75
2000-02-10,40700.0,11.63,11.88,11.81,11.63
2000-02-11,115100.0,11.75,11.88,11.81,11.69
2000-02-14,32900.0,11.88,11.88,11.75,11.63
2000-02-15,10400.0,11.75,11.94,11.94,11.75
2000-02-16,5700.0,11.75,11.75,11.75,11.75
2000-02-17,10900.0,11.88,11.94,11.94,11.69
2000-02-18,10000.0,11.63,11.75,11.63,11.56
2000-02-22,20400.0,11.5,11.88,11.63,11.38
2000-02-23,11000.0,11.63,11.75,11.5,11.5
2000-02-24,17700.0,11.63,11.88,11.63,11.63
2000-02-25,3500.0,11.75,11.75,11.56,11.56
2000-02-28,16600.0,11.38,11.75,11.63,11.38
2000-02-29,54900.0,11.44,11.63,11.25,11.25
2000-03-01,20500.0,11.5,11.63,11.38,11.38
2000-03-02,4100.0,11.5,11.63,11.63,11.5
2000-03-03,10000.0,11.56,11.69,11.63,11.56
2000-03-06,17700.0,11.38,11.5,11.5,11.38
2000-03-07,26200.0,11.44,11.5,11.31,11.31
2000-03-08,11200.0,11.44,11.44,11.38,11.25
2000-03-09,4500.0,11.31,11.5,11.38,11.31
2000-03-10,21300.0,11.38,11.44,11.25,11.25
2000-03-13,17800.0,11.19,11.38,11.13,11.13
2000-03-14,15500.0,11.13,11.25,11.19,11.06
2000-03-15,27100.0,11.19,11.25,11.13,11.13
2000-03-16,27800.0,11.31,11.31,11.19,11.0
2000-03-17,6400.0,11.25,11.31,11.25,11.19
2000-03-20,8000.0,11.13,11.31,11.25,11.13
2000-03-21,24800.0,11.19,11.25,11.13,11.13
2000-03-22,40500.0,11.25,11.38,11.19,11.13
2000-03-23,22700.0,11.13,11.19,11.19,11.13
2000-03-24,14600.0,11.06,11.19,11.13,11.0
2000-03-27,13300.0,11.0,11.13,11.06,11.0
2000-03-28,24800.0,11.0,11.19,11.19,11.0
2000-03-29,153400.0,11.13,11.19,11.0,11.0
2000-03-30,42500.0,11.13,11.25,11.19,11.06
2000-03-31,120300.0,11.06,11.25,11.13,11.06
2000-04-03,20200.0,11.38,11.38,11.19,11.19
2000-04-04,29700.0,11.44,11.44,11.25,11.25
2000-04-05,75200.0,12.25,12.25,11.5,11.44
2000-04-06,10400.0,12.13,12.38,12.25,12.0
2000-04-07,6800.0,11.94,12.13,12.13,11.88
2000-04-10,7800.0,12.0,12.0,11.94,11.88
2000-04-11,44200.0,12.19,12.38,12.0,11.94
2000-04-12,5200.0,12.13,12.19,12.19,12.06
2000-04-13,14800.0,12.06,12.19,12.0,12.0
2000-04-14,47900.0,11.75,12.0,12.0,11.75
2000-04-17,14900.0,11.75,11.75,11.5,11.5
2000-04-18,7000.0,11.94,11.94,11.75,11.75
2000-04-19,1200.0,11.75,11.88,11.88,11.75
2000-04-20,4000.0,12.0,12.13,12.0,11.94
2000-04-24,32900.0,11.94,11.94,11.88,11.88
2000-04-25,3800.0,12.0,12.19,11.94,11.94
2000-04-26,11800.0,12.0,12.19,12.06,11.94
2000-04-27,10800.0,12.06,12.19,12.0,11.94
2000-04-28,1300.0,12.06,12.06,12.06,12.06
2000-05-01,16500.0,12.19,12.25,12.06,12.06
2000-05-02,28800.0,12.0,12.13,12.13,12.0
2000-05-03,49300.0,12.06,12.06,12.0,12.0
2000-05-04,15200.0,12.5,12.56,12.13,12.13
2000-05-05,5400.0,12.38,12.38,12.38,12.31
2000-05-08,8300.0,12.25,12.38,12.25,12.25
2000-05-09,2600.0,12.25,12.25,12.25,12.25
2000-05-10,13200.0,12.25,12.31,12.25,12.25
2000-05-11,9000.0,12.25,12.38,12.25,12.25
2000-05-12,4200.0,12.13,12.25,12.25,12.13
2000-05-15,7300.0,12.25,12.38,12.25,12.25
2000-05-16,2700.0,12.44,12.44,12.31,12.25
2000-05-17,12600.0,12.31,12.5,12.38,12.25
2000-05-18,20600.0,12.13,12.25,12.19,12.13
2000-05-19,3100.0,12.13,12.13,12.13,12.13
2000-05-22,1600.0,12.0,12.19,12.13,12.0
2000-05-23,2800.0,12.0,12.13,12.13,12.0
