date,5. volume,4. close,2. high,1. open,3. low
2017-12-07,2553054.0,14.2,14.99,14.8,14.03
2017-12-08,205871.0,14.2,14.38,14.27,14.1
2017-12-11,450169.0,13.84,14.27,14.22,13.8
2017-12-12,149958.0,13.71,13.91,13.72,13.5
2017-12-13,104189.0,13.82,14.0,13.73,13.6
2017-12-14,99512.0,14.05,14.1,13.99,13.83
2017-12-15,92949.0,14.0,14.38,14.33,13.83
2017-12-18,48419.0,14.07,14.13,13.89,13.85
2017-12-19,28207.0,14.01,14.135,13.895,13.85
2017-12-20,38163.0,14.03,14.12,14.03,13.89
2017-12-21,70909.0,14.03,14.225,14.02,13.99
2017-12-22,37190.0,14.04,14.05,13.96,13.96
2017-12-26,54641.0,14.23,14.4,14.0,14.0
2017-12-27,70156.0,14.07,14.28,14.2,13.925
2017-12-28,90887.0,14.08,14.2,14.07,14.0
2017-12-29,63544.0,14.08,14.16,14.05,14.0
2018-01-02,307359.0,14.05,14.2999,14.16,13.95
2018-01-03,483009.0,14.02,14.2,14.2,13.51
2018-01-04,511554.0,14.13,14.4,14.17,13.79
2018-01-05,389879.0,14.49,14.85,14.18,14.05
2018-01-08,79920.0,14.27,14.5884,14.49,14.12
2018-01-09,180501.0,14.43,14.75,14.43,14.29
2018-01-10,104387.0,14.28,14.4995,14.37,14.23
2018-01-11,152646.0,14.76,14.89,14.39,14.23
2018-01-12,212120.0,15.47,15.76,14.64,14.64
2018-01-16,126902.0,15.97,16.38,15.52,15.52
2018-01-17,316611.0,15.95,16.23,15.9,15.74
2018-01-18,57585.0,16.04,16.43,15.95,15.67
2018-01-19,164845.0,16.24,16.3,16.05,15.88
2018-01-22,188976.0,16.31,16.342,16.2,16.0
2018-01-23,84250.0,16.4,16.5,16.3,16.01
2018-01-24,66517.0,16.48,16.809,16.47,16.4017
2018-01-25,121759.0,16.28,16.59,16.54,16.061
2018-01-26,107485.0,16.31,17.05,17.05,16.22
2018-01-29,161434.0,17.09,17.16,16.29,16.29
2018-01-30,70461.0,16.83,17.15,16.9,16.595
2018-01-31,122194.0,16.76,17.0,16.97,16.18
2018-02-01,109188.0,16.63,17.0,16.62,16.18
2018-02-02,822739.0,17.21,17.89,17.07,16.91
2018-02-05,98239.0,17.14,17.565,17.11,17.04
2018-02-06,151275.0,16.92,17.138,16.89,16.63
2018-02-07,86274.0,17.3,17.4546,16.86,16.68
2018-02-08,91725.0,16.86,17.85,17.35,16.86
2018-02-09,268259.0,16.61,17.51,16.98,15.59
2018-02-12,43424.0,17.24,17.505,17.4,16.4634
2018-02-13,185109.0,17.1,17.6451,17.3,16.78
2018-02-14,179000.0,17.5,17.795,16.98,16.8
2018-02-15,91896.0,17.57,17.9,17.9,17.105
2018-02-16,76906.0,17.43,17.7899,17.48,17.31
2018-02-20,82554.0,17.2,17.65,17.3,17.021
2018-02-21,68172.0,17.39,17.97,17.97,17.12
2018-02-22,272848.0,17.23,17.55,17.52,16.5501
2018-02-23,94450.0,17.38,17.49,17.29,16.88
2018-02-26,86958.0,17.25,17.48,17.44,16.98
2018-02-27,107302.0,17.19,17.46,17.46,16.881
2018-02-28,83527.0,16.76,17.18,17.01,16.73
2018-03-01,132614.0,17.0,17.1399,16.86,16.61
2018-03-02,125780.0,17.38,17.74,16.85,16.721
2018-03-05,54972.0,17.35,17.66,17.24,17.03
2018-03-06,51623.0,17.29,17.54,17.37,17.25
2018-03-07,295159.0,17.28,17.63,17.2,17.2
2018-03-08,89192.0,17.25,17.49,17.31,16.86
2018-03-09,179356.0,17.41,17.7048,17.43,17.2634
2018-03-12,98323.0,17.31,17.769,17.57,17.17
2018-03-13,185756.0,17.04,17.54,17.37,16.86
2018-03-14,111356.0,17.2,17.41,17.11,16.76
2018-03-15,240562.0,16.73,17.37,17.22,16.375
2018-03-16,922758.0,16.85,17.17,17.01,16.71
2018-03-19,144678.0,17.19,17.33,17.28,16.58
2018-03-20,115624.0,17.3,17.45,17.18,16.85
2018-03-21,138441.0,17.3,17.76,17.23,17.14
2018-03-22,69338.0,17.0,17.25,17.17,16.91
2018-03-23,140729.0,16.91,17.28,17.01,16.81
2018-03-26,287121.0,17.08,17.32,17.08,16.93
2018-03-27,83360.0,17.18,17.3,17.08,16.96
2018-03-28,117879.0,17.18,17.4,17.21,17.045
2018-03-29,118670.0,17.2,17.33,17.2,16.83
2018-04-02,295123.0,17.0,17.75,17.17,16.94
2018-04-03,125305.0,17.34,17.455,17.14,16.95
2018-04-04,153058.0,17.25,17.6,17.16,17.145
2018-04-05,165091.0,17.29,17.6699,17.42,17.25
2018-04-06,79368.0,17.13,17.38,17.16,16.9
2018-04-09,157402.0,17.24,17.47,17.26,17.15
2018-04-10,166474.0,17.63,17.7,17.42,17.16
2018-04-11,669027.0,18.65,19.11,17.54,17.54
2018-04-12,131032.0,18.56,19.115,18.86,18.32
2018-04-13,144264.0,18.0,18.84,18.78,17.68
2018-04-16,167973.0,17.75,18.43,18.43,17.4401
2018-04-17,340276.0,18.77,18.81,18.02,18.02
2018-04-18,101479.0,19.0,19.3682,18.88,18.66
2018-04-19,160256.0,19.53,19.6869,18.92,18.92
2018-04-20,122620.0,19.86,20.06,19.46,19.37
2018-04-23,82824.0,19.74,20.0,19.9,19.6
