date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,600.0,23.0,23.0,23.0,23.0
2000-01-04,1900.0,22.25,22.25,22.0,22.0
2000-01-05,400.0,22.0,22.0,22.0,22.0
2000-01-06,400.0,21.88,21.88,21.63,21.63
2000-01-07,700.0,22.5,22.5,21.75,21.75
2000-01-10,400.0,22.88,22.88,22.88,22.88
2000-01-11,600.0,22.88,22.88,22.88,22.88
2000-01-12,200.0,22.63,22.63,22.63,22.63
2000-01-13,1200.0,22.44,23.0,22.88,22.44
2000-01-14,1100.0,21.75,22.13,22.13,21.75
2000-01-18,3600.0,21.25,21.25,20.5,20.5
2000-01-19,0.0,21.25,21.25,21.25,21.25
2000-01-20,5300.0,21.13,21.25,21.0,20.0
2000-01-21,500.0,21.63,21.63,21.38,21.0
2000-01-24,0.0,21.62,21.62,21.62,21.62
2000-01-25,100.0,21.88,21.88,21.88,21.88
2000-01-26,1100.0,22.25,22.25,21.94,21.94
2000-01-27,2400.0,22.5,22.5,22.5,22.5
2000-01-28,2400.0,22.75,22.75,22.75,22.25
2000-01-31,100.0,23.0,23.0,23.0,23.0
2000-02-01,900.0,23.13,23.25,23.25,23.0
2000-02-02,0.0,23.12,23.12,23.12,23.12
2000-02-03,600.0,22.88,22.88,22.88,22.63
2000-02-04,0.0,22.88,22.88,22.88,22.88
2000-02-07,0.0,22.88,22.88,22.88,22.88
2000-02-08,0.0,22.88,22.88,22.88,22.88
2000-02-09,0.0,22.88,22.88,22.88,22.88
2000-02-10,1100.0,22.13,22.63,22.63,21.88
2000-02-11,500.0,21.75,21.75,21.75,21.75
2000-02-14,100.0,21.75,21.75,21.75,21.75
2000-02-15,2600.0,22.0,22.25,22.25,22.0
2000-02-16,2000.0,21.0,21.75,21.75,21.0
2000-02-17,0.0,21.0,21.0,21.0,21.0
2000-02-18,1800.0,21.75,21.75,21.25,21.25
2000-02-22,1600.0,21.5,21.5,21.25,20.75
2000-02-23,300.0,21.75,21.75,21.75,21.75
2000-02-24,800.0,21.5,21.75,21.75,21.5
2000-02-25,300.0,21.5,21.75,21.75,21.5
2000-02-28,0.0,21.5,21.5,21.5,21.5
2000-02-29,0.0,21.5,21.5,21.5,21.5
2000-03-01,0.0,21.31,21.31,21.31,21.31
2000-03-02,200.0,21.31,21.44,21.44,21.31
2000-03-03,500.0,21.25,21.44,21.44,21.25
2000-03-06,900.0,20.0,20.75,20.75,20.0
2000-03-07,1700.0,20.0,20.25,20.0,20.0
2000-03-08,0.0,20.0,20.0,20.0,20.0
2000-03-09,2300.0,19.75,19.75,19.5,19.5
2000-03-10,1100.0,19.5,19.5,19.5,19.5
2000-03-13,0.0,19.5,19.5,19.5,19.5
2000-03-14,0.0,19.5,19.5,19.5,19.5
2000-03-15,500.0,19.0,19.25,19.25,19.0
2000-03-16,36100.0,21.56,21.69,21.06,21.06
2000-03-17,23300.0,21.75,21.75,21.5,21.5
2000-03-20,6400.0,21.75,22.0,22.0,21.75
2000-03-21,3000.0,21.75,21.75,21.75,21.75
2000-03-22,12800.0,21.5,21.75,21.25,21.25
2000-03-23,4300.0,21.5,21.5,21.25,21.25
2000-03-24,1400.0,21.5,21.5,21.38,21.38
2000-03-27,4000.0,21.38,21.38,21.38,21.31
2000-03-28,8900.0,21.75,22.0,21.63,21.63
2000-03-29,10200.0,21.88,21.88,21.88,21.75
2000-03-30,100.0,21.88,21.88,21.88,21.88
2000-03-31,8700.0,22.0,22.0,22.0,21.75
2000-04-03,5700.0,23.0,23.0,21.75,21.75
2000-04-04,2200.0,22.75,22.75,22.75,22.25
2000-04-05,500.0,22.25,22.5,22.5,22.25
2000-04-06,700.0,22.25,22.25,22.0,22.0
2000-04-07,1200.0,22.38,22.38,22.13,22.13
2000-04-10,100.0,22.13,22.13,22.13,22.13
2000-04-11,200.0,22.38,22.38,22.38,22.38
2000-04-12,1000.0,22.44,22.44,22.44,22.44
2000-04-13,600.0,22.38,22.38,22.38,22.38
2000-04-14,0.0,22.38,22.38,22.38,22.38
2000-04-17,2500.0,23.0,23.0,22.63,22.38
2000-04-18,400.0,23.0,23.0,23.0,23.0
2000-04-19,0.0,23.0,23.0,23.0,23.0
