date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,20000.0,6.25,6.25,6.12,6.12
2000-01-04,39200.0,6.125,6.25,6.25,6.125
2000-01-05,24900.0,6.188,6.25,6.25,6.188
2000-01-06,3200.0,6.5,6.5,6.5,6.5
2000-01-07,1500.0,6.5,6.5,6.5,6.5
2000-01-10,4600.0,6.25,6.5,6.5,6.25
2000-01-11,0.0,6.25,6.25,6.25,6.25
2000-01-12,200.0,6.25,6.25,6.25,6.25
2000-01-13,0.0,6.25,6.25,6.25,6.25
2000-01-14,1800.0,6.5,6.5,6.5,6.25
2000-01-18,15200.0,7.0,7.125,6.5,6.5
2000-01-19,100.0,6.75,6.75,6.75,6.75
2000-01-20,10100.0,7.0,7.0,7.0,7.0
2000-01-21,3700.0,6.438,7.0,6.875,6.438
2000-01-24,0.0,6.44,6.44,6.44,6.44
2000-01-25,200.0,6.75,6.75,6.625,6.625
2000-01-26,0.0,6.75,6.75,6.75,6.75
2000-01-27,0.0,6.75,6.75,6.75,6.75
2000-01-28,2400.0,6.5,6.5,6.438,6.438
2000-01-31,5300.0,6.25,6.25,6.25,6.125
2000-02-01,500.0,6.125,6.125,6.125,6.125
2000-02-02,2200.0,6.375,6.375,6.375,6.375
2000-02-03,500.0,6.125,6.125,6.125,6.125
2000-02-04,5500.0,6.375,6.375,6.313,6.313
2000-02-07,2600.0,6.625,6.625,6.375,6.063
2000-02-08,2000.0,6.25,6.25,6.25,6.25
2000-02-09,2000.0,6.125,6.125,6.125,6.125
2000-02-10,0.0,6.12,6.12,6.12,6.12
2000-02-11,0.0,6.12,6.12,6.12,6.12
2000-02-14,100.0,6.188,6.188,6.188,6.188
2000-02-15,2000.0,6.188,6.188,6.125,6.125
2000-02-16,100.0,6.25,6.25,6.25,6.25
2000-02-17,1000.0,6.125,6.125,6.125,6.125
2000-02-18,0.0,6.12,6.12,6.12,6.12
2000-02-22,500.0,6.156,6.156,6.156,6.156
2000-02-23,0.0,6.16,6.16,6.16,6.16
2000-02-24,100.0,6.063,6.063,6.063,6.063
2000-02-25,15900.0,6.0,6.06,6.06,6.0
2000-02-28,6600.0,6.0,6.125,6.0,6.0
2000-02-29,1300.0,6.125,6.125,6.125,6.125
2000-03-01,0.0,6.12,6.12,6.12,6.12
2000-03-02,1200.0,6.75,6.75,6.125,6.125
2000-03-03,0.0,6.75,6.75,6.75,6.75
2000-03-06,5100.0,6.063,6.5,6.5,6.063
2000-03-07,0.0,6.06,6.06,6.06,6.06
2000-03-08,0.0,6.06,6.06,6.06,6.06
2000-03-09,600.0,6.25,6.25,6.25,6.25
2000-03-10,0.0,6.25,6.25,6.25,6.25
2000-03-13,0.0,6.25,6.25,6.25,6.25
2000-03-14,9200.0,6.25,6.25,6.25,6.25
2000-03-15,4500.0,6.5,6.5,6.25,6.25
2000-03-16,0.0,6.5,6.5,6.5,6.5
2000-03-17,0.0,6.5,6.5,6.5,6.5
2000-03-20,0.0,6.5,6.5,6.5,6.5
2000-03-21,5100.0,6.75,6.75,6.5,6.5
2000-03-22,3400.0,6.438,6.5,6.5,6.438
2000-03-23,0.0,6.44,6.44,6.44,6.44
2000-03-24,0.0,6.44,6.44,6.44,6.44
2000-03-27,200.0,6.031,6.031,6.031,6.031
2000-03-28,0.0,6.03,6.03,6.03,6.03
2000-03-29,17300.0,6.75,7.0,6.438,6.438
2000-03-30,500.0,6.875,6.875,6.875,6.875
2000-03-31,4000.0,7.0,7.0,7.0,7.0
2000-04-03,1000.0,6.375,6.375,6.375,6.375
2000-04-04,1000.0,6.75,6.75,6.75,6.75
2000-04-05,1300.0,7.0,7.0,7.0,7.0
2000-04-06,700.0,7.0,7.25,7.25,7.0
2000-04-07,0.0,7.0,7.0,7.0,7.0
2000-04-10,700.0,7.188,7.188,7.188,7.188
2000-04-11,0.0,7.19,7.19,7.19,7.19
2000-04-12,0.0,7.19,7.19,7.19,7.19
2000-04-13,7000.0,7.125,7.125,7.125,7.125
2000-04-14,200.0,7.25,7.25,7.25,7.25
2000-04-17,8800.0,7.0,7.5,7.5,6.0
2000-04-18,500.0,6.125,6.125,6.125,6.125
2000-04-19,2000.0,7.0,7.0,7.0,7.0
2000-04-20,1000.0,6.281,7.0,7.0,6.281
2000-04-24,500.0,6.75,6.75,6.75,6.75
2000-04-25,2400.0,6.125,6.531,6.5,6.125
2000-04-26,0.0,6.12,6.12,6.12,6.12
2000-04-27,3500.0,6.25,6.25,6.25,6.25
2000-04-28,0.0,6.25,6.25,6.25,6.25
2000-05-01,200.0,7.0,7.0,7.0,7.0
2000-05-02,2600.0,6.75,6.75,6.5,6.5
2000-05-03,4900.0,7.0,7.0,6.875,6.75
2000-05-04,0.0,7.0,7.0,7.0,7.0
2000-05-05,2800.0,7.0,7.594,7.563,7.0
2000-05-08,0.0,7.0,7.0,7.0,7.0
2000-05-09,0.0,7.0,7.0,7.0,7.0
2000-05-10,1300.0,7.75,7.75,7.625,7.625
2000-05-11,16600.0,7.625,8.0,7.5,7.5
2000-05-12,29000.0,7.75,8.25,7.875,7.5
2000-05-15,27000.0,8.016,8.25,7.5,7.5
2000-05-16,39600.0,7.875,7.938,7.875,7.563
2000-05-17,53100.0,8.0,8.25,7.969,7.938
2000-05-18,63600.0,7.5,7.969,7.938,7.203
2000-05-19,32500.0,7.25,7.531,7.531,7.25
2000-05-22,22100.0,7.438,7.969,7.406,7.125
2000-05-23,17800.0,7.188,7.375,7.25,7.125
2000-05-24,9900.0,7.125,7.25,7.188,7.125
2000-05-25,7100.0,7.125,7.125,7.125,7.125
2000-05-26,3300.0,7.5,7.5,7.188,7.188
2000-05-30,20800.0,7.297,7.75,7.25,7.188
2000-05-31,4500.0,7.313,7.5,7.406,7.188
2000-06-01,900.0,7.5,7.5,7.5,7.5
2000-06-02,10600.0,7.5,7.5,7.5,7.0
2000-06-05,1800.0,7.0,7.188,7.188,7.0
2000-06-06,9200.0,7.313,7.375,7.375,7.25
2000-06-07,11300.0,7.125,7.875,7.5,7.125
2000-06-08,9500.0,7.25,7.25,7.188,7.125
2000-06-09,8700.0,7.25,7.5,7.5,7.125
2000-06-12,15300.0,7.125,7.25,7.125,7.125
2000-06-13,64900.0,7.0,7.5,7.5,6.938
2000-06-14,3300.0,7.0,7.0,7.0,7.0
2000-06-15,2100.0,7.0,7.25,7.25,7.0
2000-06-16,5000.0,7.25,7.25,7.0,7.0
2000-06-19,600.0,7.25,7.25,7.25,7.25
2000-06-20,7500.0,7.0,7.25,7.25,7.0
2000-06-21,1500.0,7.25,7.25,7.0,7.0
2000-06-22,1300.0,7.0,7.313,7.313,7.0
2000-06-23,11800.0,7.0,7.25,7.125,7.0
2000-06-26,2900.0,7.0,7.25,7.25,7.0
2000-06-27,14700.0,7.188,7.25,7.0,6.891
2000-06-28,7100.0,7.0,7.25,7.0,7.0
2000-06-29,2400.0,7.0,7.125,7.125,7.0
2000-06-30,29600.0,7.25,7.313,7.25,7.25
2000-07-03,2000.0,7.0,7.063,7.063,7.0
2000-07-05,5500.0,7.25,7.5,7.25,7.125
2000-07-06,9300.0,7.25,7.25,7.125,7.125
2000-07-07,2800.0,7.438,7.438,7.25,7.25
2000-07-10,10600.0,7.5,7.5,7.5,7.25
2000-07-11,72300.0,7.563,7.75,7.5,7.5
2000-07-12,4000.0,7.375,7.75,7.75,7.375
2000-07-13,2400.0,7.5,7.5,7.5,7.375
2000-07-14,32700.0,7.75,7.875,7.5,7.125
2000-07-17,2200.0,7.0,7.625,7.5,7.0
2000-07-18,500.0,7.0,7.0,7.0,7.0
2000-07-19,1000.0,7.5,7.5,7.5,7.5
2000-07-20,500.0,7.063,7.063,7.063,7.063
2000-07-21,0.0,7.06,7.06,7.06,7.06
2000-07-24,700.0,7.063,7.063,7.063,7.063
2000-07-25,1000.0,7.672,7.75,7.125,7.125
2000-07-26,600.0,7.625,7.625,7.625,7.625
2000-07-27,800.0,7.063,7.094,7.094,7.063
2000-07-28,1500.0,7.375,7.375,7.375,7.25
2000-07-31,100.0,7.5,7.5,7.5,7.5
2000-08-01,4600.0,7.313,7.5,7.063,7.063
2000-08-02,17700.0,7.703,7.813,7.25,7.25
2000-08-03,2300.0,7.25,7.875,7.875,7.25
2000-08-04,0.0,7.25,7.25,7.25,7.25
2000-08-07,1000.0,7.438,7.438,7.25,7.25
2000-08-08,9300.0,7.5,7.5,7.078,7.078
2000-08-09,9400.0,7.5,7.5,7.188,7.188
2000-08-10,4100.0,7.5,7.563,7.563,7.063
2000-08-11,1200.0,7.5,7.5,7.5,7.5
2000-08-14,10600.0,7.125,7.5,7.5,7.125
2000-08-15,11100.0,7.125,7.25,7.125,7.125
2000-08-16,16800.0,7.563,7.563,7.281,7.25
2000-08-17,7500.0,7.125,7.375,7.375,7.063
2000-08-18,12000.0,7.0,7.125,7.125,6.125
2000-08-21,5900.0,7.125,7.125,7.125,7.0
2000-08-22,6700.0,7.0,7.188,7.188,7.0
2000-08-23,23900.0,7.063,7.375,7.031,7.0
2000-08-24,2700.0,7.0,7.063,7.063,7.0
2000-08-25,8200.0,7.0,7.25,7.0,7.0
2000-08-28,1400.0,7.25,7.25,7.156,7.156
2000-08-29,3200.0,7.25,7.25,7.125,7.063
2000-08-30,7500.0,7.0,7.25,7.0,7.0
2000-08-31,6300.0,6.938,7.375,7.125,6.938
2000-09-01,0.0,6.94,6.94,6.94,6.94
2000-09-05,17200.0,6.938,7.0,7.0,6.875
2000-09-06,12300.0,6.875,7.125,7.0,6.875
2000-09-07,35800.0,6.938,7.625,7.063,6.813
2000-09-08,7600.0,7.375,7.563,7.563,7.125
2000-09-11,9300.0,7.125,7.313,7.125,7.125
2000-09-12,3900.0,7.313,7.375,7.125,7.0
2000-09-13,2500.0,7.125,7.375,7.0,7.0
2000-09-14,10000.0,7.0,7.375,7.375,7.0
2000-09-15,14200.0,7.0,7.438,7.375,7.0
2000-09-18,9500.0,6.875,7.188,7.063,6.875
2000-09-19,4800.0,6.875,7.188,7.188,6.875
2000-09-20,100.0,7.125,7.125,7.125,7.125
2000-09-21,400.0,7.0,7.0,7.0,7.0
2000-09-22,20200.0,6.188,7.0,6.875,6.125
2000-09-25,70400.0,7.625,8.0,6.75,6.75
2000-09-26,43700.0,7.5,7.594,7.375,7.25
2000-09-27,7000.0,7.375,7.5,7.469,7.0
2000-09-28,15600.0,7.125,7.438,7.0,6.938
2000-09-29,6000.0,7.125,7.375,7.125,6.875
2000-10-02,12200.0,7.25,7.38,7.12,7.06
2000-10-03,13700.0,7.25,7.375,7.313,7.125
2000-10-04,8500.0,7.125,7.313,7.313,7.125
2000-10-05,8600.0,7.0,7.125,7.125,7.0
2000-10-06,4300.0,7.188,7.188,7.125,7.109
2000-10-09,21800.0,6.813,7.188,7.125,6.813
2000-10-10,900.0,7.063,7.063,6.875,6.875
2000-10-11,5400.0,6.813,7.0,7.0,6.813
2000-10-12,9300.0,7.0,7.0,6.875,6.75
2000-10-13,4800.0,7.0,7.0,6.813,6.813
2000-10-16,1000.0,7.0,7.0,7.0,7.0
2000-10-17,10300.0,7.0,7.125,7.0,7.0
2000-10-18,2300.0,6.813,7.0,7.0,6.813
2000-10-19,10400.0,6.438,6.813,6.813,6.188
2000-10-20,2500.0,6.438,6.75,6.5,6.375
2000-10-23,6500.0,6.625,7.0,6.984,6.625
2000-10-24,13400.0,6.5,6.875,6.563,6.375
2000-10-25,14100.0,6.563,6.75,6.5,6.5
2000-10-26,4400.0,6.563,7.0,7.0,6.563
2000-10-27,1000.0,7.0,7.0,7.0,7.0
2000-10-30,11900.0,7.063,7.125,7.0,6.938
2000-10-31,42300.0,7.031,7.875,7.109,6.875
2000-11-01,26300.0,7.188,7.188,7.063,7.0
2000-11-02,26400.0,7.75,8.813,7.125,7.125
2000-11-03,51400.0,7.375,9.125,8.563,7.375
2000-11-06,17900.0,7.5,7.688,7.5,7.25
2000-11-07,1300.0,7.5,7.5,7.5,7.5
2000-11-08,49400.0,7.125,7.5,7.5,6.969
2000-11-09,14200.0,7.125,7.125,7.016,6.938
2000-11-10,4800.0,7.0,7.0,7.0,6.875
2000-11-13,9800.0,7.125,7.125,7.125,6.875
