date,5. volume,4. close,2. high,1. open,3. low
2015-06-19,892877.0,54.57,67.94,67.9,54.51
2015-06-22,184461.0,56.64,59.79,59.79,55.74
2015-06-23,72396.0,56.46,57.39,56.02,55.0
2015-06-24,67063.0,54.11,55.56,55.17,53.35
2015-06-25,66336.0,53.4,55.66,55.66,52.51
2015-06-26,44225.0,52.72,53.55,53.17,52.45
2015-06-29,53067.0,50.36,51.77,51.77,49.73
2015-06-30,126595.0,52.02,53.93,53.76,51.44
2015-07-01,177847.0,52.02,54.17,53.79,50.82
2015-07-02,55692.0,50.2,51.56,51.45,49.57
2015-07-06,12810.0,49.4,50.4,49.73,47.52
2015-07-07,8992.0,50.99,51.0,49.13,48.0935
2015-07-08,4644.0,49.58,49.99,49.99,48.0
2015-07-09,4902.0,49.23,50.03,49.3,48.07
2015-07-10,67789.0,52.42,53.4,53.4,50.14
2015-07-13,42925.0,54.71,55.3,55.3,53.426
2015-07-14,64415.0,60.81,60.91,59.98,59.7901
2015-07-15,18582.0,60.56,62.0,62.0,59.35
2015-07-16,31145.0,61.27,61.86,61.0,60.56
2015-07-17,31524.0,61.0,61.33,60.87,60.52
2015-07-20,5071.0,59.5,60.9,60.51,59.5
2015-07-21,3951.0,60.44,61.32,61.0,60.4301
2015-07-22,13676.0,59.25,60.44,59.35,59.19
2015-07-23,56499.0,58.15,59.21,59.21,57.95
2015-07-24,6656.0,58.67,59.7897,59.59,58.36
2015-07-27,1787.0,56.74,57.68,57.68,56.74
2015-07-28,4049.0,56.84,57.04,56.66,56.3
2015-07-29,1062.0,57.09,57.54,57.39,57.09
2015-07-30,1229.0,55.62,56.1199,56.1199,55.62
2015-07-31,14961.0,55.33,55.96,55.86,55.3
2015-08-03,13319.0,54.81,56.78,56.07,54.81
2015-08-04,4225.0,55.91,56.055,55.95,54.97
2015-08-05,10968.0,55.06,55.89,55.19,54.316
2015-08-06,12261.0,56.8,56.92,56.62,55.6901
2015-08-07,6506.0,55.46,56.28,54.87,54.87
2015-08-10,5148.0,56.37,57.96,55.65,55.01
2015-08-11,8454.0,54.22,56.19,55.4,54.2
2015-08-12,4733.0,55.56,56.744,56.744,54.82
2015-08-13,5148.0,53.33,54.17,54.17,53.33
2015-08-14,1203.0,55.26,55.26,53.37,53.37
2015-08-17,290.0,55.11,55.11,54.95,54.95
2015-08-18,302.0,55.27,55.27,55.27,55.27
2015-08-19,6599.0,56.0,56.126,55.28,54.7
2015-08-20,2266.0,53.29,54.92,54.92,53.2899
2015-08-21,5948.0,50.35,54.31,52.01,50.35
2015-08-24,3507.0,47.56,49.24,49.24,44.47
2015-08-25,2715.0,51.3388,51.44,50.05,50.05
2015-08-26,3163.0,50.57,53.071,53.07,50.5
2015-08-27,3984.0,49.01,50.76,50.76,49.01
2015-08-28,263.0,49.01,49.01,49.01,49.01
2015-08-31,261.0,48.79,48.79,48.79,48.79
2015-09-01,2046.0,46.53,49.07,49.07,46.53
2015-09-02,5788.0,49.77,49.77,48.0,48.0
2015-09-03,0.0,49.77,49.77,49.77,49.77
2015-09-04,437.0,47.501,49.79,47.01,47.01
2015-09-08,3494.0,44.25,45.77,45.0,44.0
2015-09-09,1160.0,45.0,47.7,44.25,44.1401
2015-09-10,1260.0,42.95,43.5,43.5,42.8
2015-09-11,4101.0,42.26,43.88,42.83,42.25
