date,5. volume,4. close,2. high,1. open,3. low
2005-11-30,6100.0,3.72,3.72,3.68,3.63
2005-12-01,0.0,3.72,3.72,3.72,3.72
2005-12-02,0.0,3.72,3.72,3.72,3.72
2005-12-05,1500.0,3.66,3.66,3.66,3.66
2005-12-06,0.0,3.66,3.66,3.66,3.66
2005-12-07,0.0,3.66,3.66,3.66,3.66
2005-12-08,0.0,3.66,3.66,3.66,3.66
2005-12-09,0.0,3.66,3.66,3.66,3.66
2005-12-12,0.0,3.66,3.66,3.66,3.66
2005-12-13,3200.0,3.55,3.6,3.59,3.55
2005-12-14,600.0,3.5,3.5,3.5,3.5
2005-12-15,35900.0,4.86,6.0,3.55,3.4
2005-12-16,12900.0,4.0,5.18,5.18,3.97
2005-12-19,1300.0,3.99,4.11,3.77,3.77
2005-12-20,2700.0,3.9,3.99,3.74,3.4
2005-12-21,4600.0,3.85,3.99,3.99,3.83
2005-12-22,0.0,3.85,3.85,3.85,3.85
2005-12-23,0.0,3.85,3.85,3.85,3.85
2005-12-27,10600.0,4.29,4.29,3.99,3.6
2005-12-28,1800.0,4.29,4.29,4.29,4.29
2005-12-29,2200.0,4.23,4.23,3.95,3.49
2005-12-30,800.0,3.71,3.76,3.71,3.69
2006-01-03,18400.0,4.14,4.19,4.19,4.14
2006-01-04,4500.0,4.15,4.15,4.14,4.14
2006-01-05,1800.0,4.83,4.83,4.25,4.25
2006-01-06,10900.0,5.08,5.43,4.74,4.74
2006-01-09,300.0,5.02,5.02,5.02,5.02
2006-01-10,3400.0,4.9,5.0,5.0,4.9
2006-01-11,700.0,4.9,4.9,4.49,4.49
2006-01-12,400.0,4.9,4.9,4.9,4.9
2006-01-13,0.0,4.9,4.9,4.9,4.9
2006-01-17,100.0,4.84,4.84,4.84,4.84
2006-01-18,7800.0,4.54,4.54,4.46,4.0
2006-01-19,100.0,4.84,4.84,4.84,4.84
2006-01-20,500.0,4.35,4.35,4.19,4.19
2006-01-23,100.0,4.4,4.4,4.4,4.4
2006-01-24,300.0,4.6,4.6,4.4,4.4
2006-01-25,200.0,4.4,4.4,4.4,4.4
2006-01-26,0.0,4.4,4.4,4.4,4.4
2006-01-27,0.0,4.4,4.4,4.4,4.4
2006-01-30,300.0,4.62,4.62,4.62,4.62
2006-01-31,0.0,4.62,4.62,4.62,4.62
2006-02-01,500.0,4.21,4.21,4.21,4.21
2006-02-02,0.0,4.21,4.21,4.21,4.21
2006-02-03,0.0,4.21,4.21,4.21,4.21
2006-02-06,2700.0,4.8,5.13,5.13,4.15
2006-02-07,0.0,4.8,4.8,4.8,4.8
2006-02-08,0.0,4.8,4.8,4.8,4.8
2006-02-09,0.0,4.8,4.8,4.8,4.8
2006-02-10,600.0,4.68,4.68,4.68,4.68
2006-02-13,0.0,4.68,4.68,4.68,4.68
2006-02-14,400.0,5.1,5.1,4.65,4.65
2006-02-15,1400.0,4.9,4.9,4.9,4.9
2006-02-16,0.0,4.9,4.9,4.9,4.9
2006-02-17,0.0,4.9,4.9,4.9,4.9
2006-02-21,0.0,4.9,4.9,4.9,4.9
2006-02-22,0.0,4.9,4.9,4.9,4.9
2006-02-23,0.0,4.9,4.9,4.9,4.9
2006-02-24,0.0,4.9,4.9,4.9,4.9
2006-02-27,0.0,4.9,4.9,4.9,4.9
2006-02-28,0.0,4.9,4.9,4.9,4.9
2006-03-01,0.0,4.9,4.9,4.9,4.9
2006-03-02,0.0,4.9,4.9,4.9,4.9
2006-03-03,0.0,4.9,4.9,4.9,4.9
2006-03-06,0.0,4.9,4.9,4.9,4.9
2006-03-07,0.0,4.9,4.9,4.9,4.9
2006-03-08,0.0,4.9,4.9,4.9,4.9
2006-03-09,0.0,4.9,4.9,4.9,4.9
2006-03-10,0.0,4.9,4.9,4.9,4.9
2006-03-13,0.0,4.9,4.9,4.9,4.9
2006-03-14,0.0,4.9,4.9,4.9,4.9
2006-03-15,0.0,4.9,4.9,4.9,4.9
2006-03-16,0.0,4.9,4.9,4.9,4.9
2006-03-17,0.0,4.9,4.9,4.9,4.9
2006-03-20,0.0,4.9,4.9,4.9,4.9
2006-03-21,0.0,4.9,4.9,4.9,4.9
2006-03-22,0.0,4.9,4.9,4.9,4.9
2006-03-23,4800.0,4.2,4.35,4.35,4.2
2006-03-24,0.0,4.2,4.2,4.2,4.2
2006-03-27,142100.0,4.2,4.25,4.25,4.2
2006-03-28,0.0,4.2,4.2,4.2,4.2
2006-03-29,0.0,4.2,4.2,4.2,4.2
2006-03-30,0.0,4.2,4.2,4.2,4.2
