date,5. volume,4. close,2. high,1. open,3. low
2004-04-29,3316700.0,16.1,16.66,15.0,14.48
2004-04-30,550800.0,16.26,17.18,16.19,16.1
2004-05-03,397800.0,17.11,17.35,16.07,16.07
2004-05-04,224400.0,16.85,17.68,17.68,16.25
2004-05-05,155400.0,17.57,17.9,16.5,16.5
2004-05-06,199800.0,17.19,17.8,17.4,16.5
2004-05-07,71400.0,16.91,17.8,17.8,16.711
2004-05-10,452400.0,16.25,16.9,16.9,16.02
2004-05-11,118200.0,15.6,16.45,16.45,15.29
2004-05-12,263400.0,15.35,15.9,15.66,15.2
2004-05-13,102600.0,15.5,15.6,15.45,15.34
2004-05-14,21000.0,15.9,15.9,15.45,15.2
2004-05-17,114600.0,15.75,15.85,15.7,15.7
2004-05-18,66000.0,15.8,15.91,15.76,15.74
2004-05-19,13200.0,15.95,15.96,15.76,15.76
2004-05-20,70200.0,15.6,16.15,15.97,15.48
2004-05-21,148200.0,15.7,16.24,15.76,15.5
2004-05-24,69000.0,15.25,15.85,15.75,15.23
2004-05-25,82800.0,14.98,15.43,15.43,14.28
2004-05-26,175800.0,15.5,15.77,14.74,14.5
2004-05-27,59400.0,15.1,16.24,16.0,14.9
2004-05-28,25200.0,16.4,16.4,15.25,15.25
2004-06-01,51000.0,15.729,16.3,15.42,15.42
2004-06-02,88800.0,15.14,16.0,15.71,14.8
2004-06-03,24000.0,15.02,15.47,15.16,14.99
2004-06-04,105600.0,15.35,15.89,15.37,15.03
2004-06-07,42600.0,15.76,15.76,15.62,14.79
2004-06-08,301200.0,16.14,16.49,15.04,15.04
2004-06-09,129000.0,16.0,16.25,15.9,15.81
2004-06-10,56400.0,15.92,16.85,16.0,15.9
2004-06-14,63600.0,15.65,15.9,15.9,15.2
2004-06-15,39000.0,15.34,15.8,15.65,15.04
2004-06-16,67200.0,16.0,16.0,15.4,15.15
2004-06-17,92400.0,15.81,16.1,16.1,15.69
2004-06-18,100800.0,16.02,16.05,15.95,15.9
2004-06-21,73200.0,15.7,16.25,16.14,15.7
2004-06-22,104400.0,15.43,15.87,15.775,15.15
2004-06-23,141600.0,15.41,15.49,15.49,15.2
2004-06-24,99600.0,15.05,15.55,15.4,14.51
2004-06-25,406200.0,14.77,15.02,15.02,11.52
2004-06-28,101400.0,14.75,14.75,14.11,13.1
2004-06-29,34800.0,14.7,14.98,14.75,14.45
2004-06-30,87000.0,14.85,15.0,14.85,14.49
2004-07-01,118800.0,14.84,15.01,15.01,14.23
2004-07-02,126000.0,15.01,15.01,14.8,14.61
2004-07-06,57000.0,14.54,14.91,14.91,14.23
