date,5. volume,4. close,2. high,1. open,3. low
2004-03-30,271500.0,12.37,13.5,13.5,12.1
2004-03-31,86300.0,12.5,12.5,12.3,12.3
2004-04-01,50800.0,12.75,12.75,12.5,12.35
2004-04-02,35600.0,12.66,12.96,12.51,12.51
2004-04-05,26400.0,13.25,13.25,12.7,12.7
2004-04-06,3300.0,12.75,12.9,12.75,12.75
2004-04-07,7500.0,13.1,13.12,12.85,12.85
2004-04-08,21000.0,12.9,13.0,12.95,12.55
2004-04-12,5800.0,12.76,12.8,12.8,12.76
2004-04-13,15300.0,12.5,12.76,12.76,12.5
2004-04-14,22800.0,12.0,12.5,12.25,12.0
2004-04-15,0.0,12.0,12.0,12.0,12.0
2004-04-16,8400.0,11.35,11.5,11.5,11.35
2004-04-19,5200.0,11.6,11.9,11.45,11.25
2004-04-20,1000.0,11.25,11.55,11.51,11.25
2004-04-21,3500.0,12.0,13.0,11.25,11.25
2004-04-22,1100.0,12.75,12.75,12.75,12.75
2004-04-23,0.0,12.75,12.75,12.75,12.75
2004-04-26,600.0,11.25,12.75,12.75,11.25
2004-04-27,0.0,11.25,11.25,11.25,11.25
2004-04-28,2800.0,11.6,13.0,13.0,11.5
2004-04-29,3600.0,11.75,11.75,11.75,11.75
2004-04-30,200.0,11.8,11.8,11.8,11.8
2004-05-03,3300.0,11.8,11.8,11.8,11.8
2004-05-04,400.0,12.0,12.0,12.0,12.0
2004-05-05,0.0,12.0,12.0,12.0,12.0
2004-05-06,4700.0,12.05,12.2,12.19,11.8
2004-05-07,4400.0,12.1,12.2,12.2,12.0
2004-05-10,5500.0,12.0,12.1,12.1,12.0
2004-05-11,3200.0,12.1,12.1,12.0,12.0
2004-05-12,2800.0,12.05,12.05,12.05,12.05
2004-05-13,9800.0,12.05,12.1,12.05,12.05
2004-05-14,5100.0,12.25,12.25,12.06,12.06
2004-05-17,5000.0,12.0,12.1,12.1,12.0
2004-05-18,43900.0,11.85,12.0,12.0,11.85
2004-05-19,0.0,11.85,11.85,11.85,11.85
2004-05-20,0.0,11.85,11.85,11.85,11.85
2004-05-21,0.0,11.85,11.85,11.85,11.85
2004-05-24,18300.0,11.85,11.92,11.92,11.83
2004-05-25,6500.0,11.77,11.87,11.87,11.77
2004-05-26,0.0,11.77,11.77,11.77,11.77
2004-05-27,0.0,11.77,11.77,11.77,11.77
2004-05-28,0.0,11.77,11.77,11.77,11.77
2004-06-01,10000.0,11.87,11.87,11.87,11.85
2004-06-02,2000.0,11.85,11.87,11.87,11.85
2004-06-03,5400.0,11.95,11.95,11.87,11.85
2004-06-04,500.0,11.9,11.9,11.9,11.9
2004-06-07,3700.0,11.9,11.9,11.87,11.85
2004-06-08,0.0,11.9,11.9,11.9,11.9
2004-06-09,0.0,11.9,11.9,11.9,11.9
2004-06-10,600.0,11.8,11.8,11.8,11.8
2004-06-14,0.0,11.8,11.8,11.8,11.8
2004-06-15,2800.0,11.9,11.9,11.86,11.86
2004-06-16,100.0,12.0,12.0,12.0,12.0
2004-06-17,0.0,12.0,12.0,12.0,12.0
2004-06-18,3000.0,11.85,12.0,12.0,11.85
