date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,79400.0,25.19,27.19,25.44,24.19
2000-01-04,49200.0,26.25,26.63,24.63,24.5
2000-01-05,30500.0,26.25,26.25,25.25,24.5
2000-01-06,27200.0,26.5,26.88,26.25,25.63
2000-01-07,96900.0,28.0,28.44,26.88,26.0
2000-01-10,167800.0,16.94,17.44,15.0,14.13
2000-01-11,247100.0,14.88,18.25,17.06,13.88
2000-01-12,96400.0,15.0,16.38,16.0,14.88
2000-01-13,70500.0,15.13,15.88,15.88,14.0
2000-01-14,129300.0,14.38,14.5,14.5,12.5
2000-01-18,93600.0,15.0,15.0,14.56,13.63
2000-01-19,61400.0,14.47,14.88,14.56,13.69
2000-01-20,98600.0,13.31,14.88,14.19,13.31
2000-01-21,110300.0,12.88,13.5,13.0,12.75
2000-01-24,177400.0,11.63,12.88,11.78,11.5
2000-01-25,352600.0,11.25,11.56,11.31,9.875
2000-01-26,112600.0,12.44,12.75,12.0,11.5
2000-01-27,115400.0,12.88,13.0,12.38,12.38
2000-01-28,54500.0,12.94,13.13,13.0,12.75
2000-01-31,79400.0,13.94,14.13,12.75,12.63
2000-02-01,49400.0,13.0,14.0,13.88,12.0
2000-02-02,43800.0,13.13,13.38,13.0,11.63
2000-02-03,43100.0,13.0,13.5,13.0,12.5
2000-02-04,46200.0,12.88,13.0,12.88,12.5
2000-02-07,44900.0,12.06,12.81,12.03,11.63
2000-02-08,135700.0,11.88,12.13,12.13,10.44
2000-02-09,48400.0,11.75,11.88,11.56,10.75
2000-02-10,98900.0,12.88,13.56,11.88,11.0
2000-02-11,73300.0,13.56,13.75,12.88,12.88
2000-02-14,92700.0,14.25,14.69,13.53,13.38
2000-02-15,83100.0,14.19,14.88,14.38,14.0
2000-02-16,287600.0,11.25,13.69,13.5,10.25
2000-02-17,120500.0,11.56,12.06,11.97,11.25
2000-02-18,57600.0,11.5,12.13,11.88,11.31
2000-02-22,69000.0,11.13,11.5,11.44,11.06
2000-02-23,122100.0,10.5,11.0,11.0,10.06
2000-02-24,39400.0,10.69,11.0,10.75,10.44
2000-02-25,132100.0,10.31,10.69,10.38,9.563
2000-02-28,36200.0,10.25,10.94,10.06,10.0
2000-02-29,37700.0,10.25,10.63,10.63,10.13
2000-03-01,33400.0,10.25,10.5,10.34,10.13
2000-03-02,120600.0,9.125,10.38,10.13,8.938
