date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,137700.0,9.938,9.938,9.875,9.75
2000-01-04,182000.0,9.938,10.13,9.938,9.875
2000-01-05,210700.0,9.813,10.0,10.0,9.75
2000-01-06,170500.0,9.938,10.0,9.813,9.813
2000-01-07,187900.0,10.06,10.06,9.938,9.938
2000-01-10,147300.0,10.06,10.13,9.938,9.938
2000-01-11,207100.0,9.938,10.06,10.0,9.875
2000-01-12,146000.0,10.0,10.0,9.938,9.875
2000-01-13,136200.0,10.06,10.06,10.0,9.938
2000-01-14,204100.0,10.19,10.19,10.06,10.06
2000-01-18,548600.0,10.44,10.56,10.25,10.13
2000-01-19,180500.0,10.56,10.56,10.5,10.38
2000-01-20,105700.0,10.5,10.56,10.56,10.44
2000-01-21,84600.0,10.44,10.56,10.5,10.44
2000-01-24,183800.0,10.75,10.75,10.5,10.5
2000-01-25,164800.0,10.88,10.94,10.75,10.69
2000-01-26,223100.0,11.06,11.06,10.88,10.88
2000-01-27,440500.0,10.25,11.06,11.06,10.13
2000-01-28,288600.0,9.813,10.25,10.13,9.563
2000-01-31,218200.0,9.75,9.875,9.75,9.75
2000-02-01,146200.0,9.813,9.938,9.75,9.75
2000-02-02,226500.0,9.813,9.938,9.813,9.813
2000-02-03,110800.0,9.813,9.875,9.875,9.813
2000-02-04,214400.0,9.813,9.813,9.813,9.75
2000-02-07,301800.0,9.875,9.938,9.875,9.813
2000-02-08,257400.0,9.938,9.938,9.813,9.75
2000-02-09,182100.0,9.75,9.938,9.938,9.75
2000-02-10,340500.0,9.75,9.938,9.75,9.75
2000-02-11,270400.0,9.688,9.813,9.813,9.688
2000-02-14,174000.0,9.688,9.813,9.75,9.688
2000-02-15,203000.0,9.625,9.75,9.75,9.563
2000-02-16,208700.0,9.5,9.625,9.563,9.5
2000-02-17,213800.0,9.438,9.563,9.563,9.375
2000-02-18,217400.0,9.188,9.5,9.438,9.125
2000-02-22,165300.0,9.313,9.375,9.313,9.25
2000-02-23,114400.0,9.375,9.438,9.375,9.25
2000-02-24,105500.0,9.313,9.438,9.313,9.313
2000-02-25,123600.0,9.438,9.438,9.438,9.313
2000-02-28,444600.0,9.5,9.625,9.5,9.438
2000-02-29,174700.0,9.438,9.563,9.438,9.375
2000-03-01,149700.0,9.313,9.438,9.438,9.25
2000-03-02,263900.0,9.188,9.375,9.313,9.125
2000-03-03,153900.0,9.188,9.25,9.188,9.125
2000-03-06,294000.0,9.0,9.25,9.188,9.0
2000-03-07,322700.0,8.875,9.063,9.0,8.75
2000-03-08,327900.0,8.875,8.875,8.813,8.75
2000-03-09,253600.0,8.875,8.938,8.875,8.813
