date,5. volume,4. close,2. high,1. open,3. low
2017-09-15,406423.0,10.13,10.18,10.07,10.07
2017-09-18,89571.0,10.1689,10.17,10.15,10.1201
2017-09-19,41342.0,10.15,10.17,10.15,10.15
2017-09-20,21785.0,10.18,10.2,10.2,10.16
2017-09-21,10990.0,10.17,10.18,10.16,10.1593
2017-09-22,11982.0,10.16,10.17,10.15,10.15
2017-09-25,46964.0,10.15,10.17,10.16,10.14
2017-09-26,16563.0,10.16,10.16,10.14,10.14
2017-09-27,1142.0,10.15,10.68,10.68,10.15
2017-09-28,149358.0,10.18,10.3,10.3,10.125
2017-09-29,5038.0,10.22,10.22,10.1834,10.1834
2017-10-02,1947.0,10.2,10.2478,10.2478,10.1659
2017-10-03,7510.0,10.1988,10.2,10.2,10.1988
2017-10-04,5242.0,10.2,10.2,10.2,10.2
2017-10-05,239.0,10.2,10.2,10.2,10.2
2017-10-06,6900.0,10.17,10.2,10.19,10.17
2017-10-09,0.0,10.17,10.17,10.17,10.17
2017-10-10,721.0,10.17,10.17,10.17,10.17
2017-10-11,0.0,10.17,10.17,10.17,10.17
2017-10-12,110238.0,10.24,10.3,10.2,10.2
2017-10-13,277902.0,10.35,10.4,10.24,10.23
2017-10-16,102460.0,10.35,10.39,10.36,10.35
2017-10-17,141700.0,10.37,10.4,10.34,10.34
2017-10-18,124800.0,10.53,10.78,10.35,10.35
2017-10-19,900.0,10.5,10.5,10.5,10.5
2017-10-20,700.0,10.46,10.5499,10.5499,10.45
2017-10-23,5376.0,10.5,10.55,10.55,10.49
2017-10-24,0.0,10.5,10.5,10.5,10.5
2017-10-25,1000.0,10.47,10.58,10.58,10.46
2017-10-26,1.0,10.47,10.47,10.47,10.47
2017-10-27,60.0,10.47,10.47,10.47,10.47
2017-10-30,530.0,10.47,10.47,10.47,10.47
2017-10-31,15610.0,10.4999,10.5,10.3788,10.3788
2017-11-01,100.0,10.42,10.42,10.42,10.42
2017-11-02,0.0,10.42,10.42,10.42,10.42
2017-11-03,1.0,10.42,10.42,10.42,10.42
2017-11-06,26299.0,10.4,10.49,10.49,10.35
2017-11-07,2500.0,10.44,10.47,10.4,10.4
2017-11-08,20000.0,10.45,10.45,10.45,10.45
2017-11-09,0.0,10.45,10.45,10.45,10.45
2017-11-10,0.0,10.45,10.45,10.45,10.45
2017-11-13,1084.0,10.49,10.5,10.5,10.4001
2017-11-15,100000.0,10.4,10.4,10.4,10.4
2017-11-16,400.0,10.35,10.35,10.35,10.35
2017-11-17,5500.0,10.39,10.39,10.39,10.39
2017-11-21,933.0,10.4992,10.4992,10.1501,10.1501
2017-11-27,40.0,10.4992,10.4992,10.4992,10.4992
2017-11-28,69800.0,10.42,10.42,10.42,10.42
2017-11-30,33000.0,10.46,10.46,10.46,10.46
2017-12-04,400.0,10.48,10.48,10.48,10.48
2017-12-05,221079.0,10.48,10.8,10.5,10.48
2017-12-06,50500.0,10.52,10.596,10.596,10.52
2017-12-07,50100.0,10.55,10.55,10.55,10.54
2017-12-11,98.0,10.55,10.55,10.55,10.55
2017-12-12,84.0,10.55,10.55,10.55,10.55
2017-12-13,2500.0,10.55,10.55,10.55,10.55
2017-12-20,1000.0,10.5347,10.5347,10.5347,10.5347
2018-01-02,1.0,10.5347,10.5347,10.5347,10.5347
2018-01-04,50000.0,10.56,10.56,10.56,10.56
2018-01-09,8200.0,10.56,10.56,10.56,10.56
2018-01-11,100.0,10.75,10.75,10.75,10.75
2018-01-17,15.0,10.75,10.75,10.75,10.75
2018-01-18,900.0,10.68,10.68,10.68,10.68
2018-01-22,75092.0,10.7,10.7,10.7,10.7
2018-01-23,46326.0,10.7,10.7,10.7,10.7
2018-01-29,100.0,10.63,10.63,10.63,10.63
2018-02-07,1200.0,10.6,10.62,10.62,10.6
2018-02-08,200.0,10.6884,10.6884,10.6884,10.6884
2018-02-09,200.0,10.799,10.799,10.78,10.78
2018-02-12,150.0,10.7785,10.7785,10.7785,10.7785
2018-02-13,125.0,10.7999,10.7999,10.7999,10.7999
2018-03-02,450.0,10.74,10.74,10.55,10.55
2018-03-09,100.0,10.74,10.74,10.74,10.74
2018-03-22,100.0,10.72,10.72,10.72,10.72
2018-03-29,25450.0,10.75,10.75,10.75,10.75
2018-04-06,1000.0,10.75,10.75,10.75,10.75
2018-04-10,500.0,10.75,10.75,10.75,10.75
2018-04-13,10.0,10.75,10.75,10.75,10.75
2018-04-18,650.0,10.78,10.78,10.75,10.75
2018-04-20,100.0,10.74,10.74,10.74,10.74
2018-04-24,445.0,10.62,10.85,10.85,10.62
2018-04-25,700.0,10.7492,10.7492,10.71,10.7
2018-04-27,100.0,10.7,10.7,10.7,10.7
2018-04-30,100.0,10.72,10.72,10.72,10.72
2018-05-01,100.0,10.74,10.74,10.74,10.74
2018-05-02,100.0,10.76,10.76,10.76,10.76
2018-05-03,100.0,10.74,10.74,10.74,10.74
2018-05-04,100.0,10.7,10.7,10.7,10.7
2018-05-07,100.0,10.7,10.7,10.7,10.7
2018-05-09,100.0,10.76,10.76,10.76,10.76
2018-05-10,100.0,10.75,10.75,10.75,10.75
2018-05-11,6510.0,10.68,10.75,10.75,10.68
2018-05-14,10847.0,10.6,10.7,10.7,10.6
2018-05-31,609.0,10.7,10.7,10.7,10.7
