date,5. volume,4. close,2. high,1. open,3. low
2017-10-12,160950.0,0.43,0.49,0.41,0.41
2017-10-13,374599.0,0.45,0.4501,0.43,0.43
2017-10-16,45500.0,0.45,0.45,0.45,0.45
2017-10-17,37500.0,0.46,0.46,0.45,0.45
2017-10-18,49101.0,0.47,0.47,0.46,0.45
2017-10-19,82300.0,0.5999,0.6,0.5,0.5
2017-10-20,45.0,0.5999,0.5999,0.5999,0.5999
2017-10-23,12516.0,0.6,0.6,0.55,0.5
2017-10-24,0.0,0.6,0.6,0.6,0.6
2017-10-25,0.0,0.6,0.6,0.6,0.6
2017-10-26,5000.0,0.6,0.6,0.6,0.6
2017-10-27,45.0,0.6,0.6,0.6,0.6
2017-10-30,0.0,0.6,0.6,0.6,0.6
2017-10-31,0.0,0.6,0.6,0.6,0.6
2017-11-01,0.0,0.6,0.6,0.6,0.6
2017-11-02,0.0,0.6,0.6,0.6,0.6
2017-11-03,0.0,0.6,0.6,0.6,0.6
2017-11-06,0.0,0.6,0.6,0.6,0.6
2017-11-07,80100.0,0.55,0.6972,0.6972,0.55
2017-11-08,15200.0,0.55,0.55,0.55,0.55
2017-11-09,300.0,0.55,0.55,0.55,0.55
2017-11-10,0.0,0.55,0.55,0.55,0.55
2017-11-13,5000.0,0.55,0.55,0.55,0.55
2017-11-14,0.0,0.55,0.55,0.55,0.55
2017-11-15,60400.0,0.52,0.53,0.53,0.52
2017-11-16,0.0,0.52,0.52,0.52,0.52
2017-11-21,100.0,0.55,0.55,0.55,0.55
2017-11-28,38500.0,0.61,0.6699,0.6699,0.61
2017-11-30,10000.0,0.55,0.55,0.55,0.55
2017-12-01,2200.0,0.53,0.55,0.55,0.53
2017-12-04,13700.0,0.55,0.55,0.53,0.53
2017-12-05,99900.0,0.55,0.55,0.55,0.55
2017-12-07,50000.0,0.55,0.55,0.55,0.55
2017-12-13,200.0,0.55,0.55,0.55,0.55
2017-12-14,186.0,0.67,0.67,0.67,0.67
2017-12-27,100.0,0.67,0.67,0.67,0.67
2018-01-04,25000.0,0.54,0.54,0.54,0.54
2018-01-09,1.0,0.54,0.54,0.54,0.54
2018-01-10,13513.0,0.6999,0.6999,0.67,0.67
2018-01-11,8901.0,0.8,0.8,0.6899,0.6899
2018-01-12,15.0,0.8,0.8,0.8,0.8
2018-01-22,25025.0,0.9,0.9,0.9,0.9
2018-01-23,1000.0,0.8,0.92,0.92,0.8
2018-01-26,300.0,0.7,0.7,0.7,0.7
2018-01-31,4000.0,0.75,0.75,0.75,0.75
2018-02-01,8650.0,0.7999,0.7999,0.7,0.7
2018-02-02,20200.0,0.8999,0.8999,0.87,0.87
2018-02-09,5000.0,0.85,0.85,0.83,0.83
2018-02-13,30.0,0.85,0.85,0.85,0.85
2018-02-28,11550.0,0.845,0.85,0.85,0.845
2018-03-05,5000.0,0.8,0.8,0.8,0.8
2018-03-08,4500.0,0.845,0.8499,0.8499,0.845
2018-03-13,5000.0,0.8,0.8,0.8,0.8
2018-03-14,300.0,0.849,0.849,0.849,0.849
2018-03-29,3538.0,0.845,0.849,0.83,0.825
2018-04-10,12.0,0.845,0.845,0.845,0.845
2018-04-17,488.0,0.79,0.79,0.79,0.79
2018-04-25,602.0,0.8,0.8,0.8,0.8
2018-04-30,1400.0,0.8499,0.8499,0.7549,0.7549
2018-05-01,200.0,0.8149,0.8499,0.8499,0.8149
2018-05-07,100.0,0.75,0.75,0.75,0.75
2018-05-11,3101.0,0.68,0.68,0.68,0.68
2018-05-14,200.0,0.65,0.65,0.65,0.65
2018-05-16,100.0,0.65,0.65,0.65,0.65
2018-05-17,7300.0,0.65,0.69,0.68,0.65
2018-05-18,100.0,0.6,0.6,0.6,0.6
2018-05-21,11000.0,0.6,0.6065,0.6065,0.6
2018-05-23,42200.0,0.57,0.57,0.57,0.57
2018-05-25,600.0,0.55,0.6,0.6,0.55
2018-05-29,2301.0,0.55,0.55,0.55,0.55
