date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,589900.0,43.88,44.94,44.75,43.63
2000-01-04,326500.0,43.06,44.0,43.88,42.94
2000-01-05,751900.0,43.31,43.69,42.94,42.94
2000-01-06,802500.0,43.44,44.25,43.0,43.0
2000-01-07,1407300.0,44.63,44.75,43.5,43.31
2000-01-10,709500.0,45.56,45.81,44.75,44.75
2000-01-11,535900.0,45.75,46.56,45.44,45.13
2000-01-12,337700.0,46.19,46.5,45.75,45.5
2000-01-13,380900.0,45.69,46.44,46.19,45.69
2000-01-14,784300.0,45.31,45.94,45.44,45.13
2000-01-18,1255900.0,45.75,46.13,45.44,45.25
2000-01-19,1241800.0,45.81,46.31,45.88,45.69
2000-01-20,1280500.0,44.75,47.0,46.5,44.69
2000-01-21,670500.0,44.38,45.31,45.25,43.88
2000-01-24,665600.0,43.31,44.88,44.5,42.88
2000-01-25,854900.0,43.31,43.69,43.19,42.0
2000-01-26,662900.0,42.88,43.63,43.44,42.25
2000-01-27,497400.0,42.06,43.19,43.13,41.81
2000-01-28,718100.0,41.0,42.19,42.13,40.88
2000-01-31,963800.0,40.31,41.0,41.0,39.88
2000-02-01,605600.0,40.63,40.88,40.31,39.88
2000-02-02,809800.0,40.69,41.19,40.75,40.56
2000-02-03,544700.0,40.69,40.88,40.63,40.19
2000-02-04,1669500.0,40.69,41.25,40.56,40.13
2000-02-07,873300.0,40.81,41.19,40.75,40.38
2000-02-08,897900.0,40.06,40.81,40.81,40.0
2000-02-09,1074600.0,39.38,40.38,40.19,38.63
2000-02-10,528000.0,39.19,39.38,39.38,39.0
2000-02-11,745600.0,38.44,39.19,39.19,38.0
2000-02-14,486500.0,38.63,39.38,39.0,38.5
2000-02-15,714800.0,38.94,39.19,38.81,38.25
2000-02-16,442500.0,38.94,39.44,39.0,38.38
2000-02-17,524500.0,38.75,39.13,39.0,38.31
2000-02-18,648700.0,37.94,38.25,38.0,37.56
2000-02-22,410500.0,38.5,39.19,38.0,38.0
2000-02-23,554600.0,38.44,39.19,38.31,37.75
2000-02-24,759600.0,38.0,38.19,38.19,36.56
2000-02-25,844700.0,37.13,38.25,37.81,36.63
2000-02-28,865500.0,37.31,38.25,37.69,37.13
2000-02-29,949100.0,38.56,38.56,37.06,36.06
2000-03-01,802100.0,38.25,38.56,38.56,37.44
2000-03-02,1122900.0,39.0,39.56,38.38,38.38
2000-03-03,879700.0,41.75,42.13,39.5,39.5
2000-03-06,814800.0,41.75,42.25,41.63,41.0
2000-03-07,1009700.0,40.75,42.44,41.75,40.25
2000-03-08,769000.0,40.38,40.69,40.69,40.13
2000-03-09,775400.0,41.38,41.44,40.31,39.63
2000-03-10,683900.0,41.75,42.81,41.75,41.13
2000-03-13,650900.0,41.0,41.31,40.0,40.0
2000-03-14,585100.0,40.31,41.94,40.88,40.25
2000-03-15,625200.0,42.31,43.13,40.13,39.75
2000-03-16,1111000.0,44.31,44.31,42.5,41.44
2000-03-17,976200.0,44.88,46.88,45.25,44.56
2000-03-20,1031400.0,45.69,46.25,45.0,43.94
2000-03-21,489300.0,46.31,46.88,45.56,45.31
2000-03-22,1672100.0,46.94,48.75,48.75,46.44
2000-03-23,697600.0,46.69,47.31,46.81,45.31
2000-03-24,716800.0,46.0,47.31,46.69,45.94
2000-03-27,422700.0,46.06,46.38,46.0,45.5
2000-03-28,802500.0,46.19,47.56,46.0,45.5
2000-03-29,567900.0,47.13,47.31,46.06,45.75
2000-03-30,699900.0,47.94,48.06,47.0,46.75
2000-03-31,875400.0,47.88,48.25,47.94,47.69
2000-04-03,662100.0,47.94,48.13,47.94,46.88
2000-04-04,897200.0,49.94,50.13,47.94,47.13
2000-04-05,880700.0,49.56,50.06,50.06,48.0
2000-04-06,470100.0,50.25,50.69,49.81,49.75
2000-04-07,1382600.0,50.06,51.5,50.25,49.56
2000-04-10,679300.0,51.0,51.25,50.06,49.56
2000-04-11,1812400.0,52.5,53.19,51.5,51.5
2000-04-12,1457800.0,52.25,53.0,52.56,51.94
2000-04-13,1466100.0,53.0,54.38,52.25,52.06
2000-04-14,980000.0,51.06,52.5,52.5,50.5
2000-04-17,1093200.0,50.5,51.75,51.06,50.0
2000-04-18,874400.0,50.25,50.75,50.25,49.63
2000-04-19,563800.0,50.38,51.69,50.25,49.94
2000-04-20,408200.0,50.56,50.56,50.0,49.63
2000-04-24,1027900.0,53.0,53.0,50.31,50.31
2000-04-25,1105400.0,53.81,53.94,53.63,53.06
2000-04-26,620600.0,53.0,53.94,53.81,53.0
2000-04-27,1098300.0,51.44,52.81,52.0,50.5
2000-04-28,740700.0,50.81,51.13,50.56,50.19
2000-05-01,913000.0,53.0,53.13,50.94,50.94
2000-05-02,576100.0,52.19,53.0,53.0,51.5
2000-05-03,1109300.0,51.63,52.5,51.94,51.31
2000-05-04,434700.0,51.94,52.75,51.5,51.06
2000-05-05,444400.0,52.0,52.38,52.0,51.31
2000-05-08,581500.0,51.75,52.13,51.63,51.19
2000-05-09,400400.0,51.0,52.5,51.88,50.31
2000-05-10,327600.0,49.88,51.5,51.0,49.81
2000-05-11,408100.0,50.56,51.19,50.19,49.88
2000-05-12,325300.0,51.38,51.69,50.56,50.38
2000-05-15,614900.0,51.5,52.13,51.38,51.19
2000-05-16,788700.0,52.44,52.56,51.75,51.5
2000-05-17,448600.0,53.0,53.19,52.38,52.0
2000-05-18,374500.0,53.06,53.56,52.75,52.5
2000-05-19,600000.0,51.0,53.0,52.81,51.0
2000-05-22,328300.0,50.44,51.5,51.5,50.13
2000-05-23,399300.0,49.75,50.56,50.44,49.38
2000-05-24,626300.0,49.88,50.19,49.69,49.13
2000-05-25,459900.0,49.19,50.44,50.0,48.88
2000-05-26,371700.0,48.44,49.44,49.19,48.25
2000-05-30,324000.0,49.44,49.63,48.63,48.38
2000-05-31,1049400.0,48.31,49.5,49.44,48.0
2000-06-01,1281300.0,48.81,48.81,46.63,46.63
2000-06-02,737000.0,49.88,50.06,49.5,49.44
2000-06-05,537000.0,49.63,49.88,49.63,49.31
2000-06-06,499100.0,50.31,50.31,49.69,49.63
2000-06-07,849500.0,49.06,50.5,50.19,49.06
2000-06-08,333300.0,49.13,49.69,49.25,49.0
2000-06-09,488000.0,49.75,49.94,49.25,49.25
2000-06-12,759600.0,47.96,49.5,49.25,47.75
2000-06-13,465400.0,48.88,49.13,48.13,48.0
2000-06-14,686400.0,48.63,49.25,49.0,48.19
2000-06-15,586300.0,48.0,48.69,48.63,47.88
2000-06-16,1039600.0,47.06,47.25,46.19,46.19
2000-06-19,1322100.0,45.75,46.31,46.25,44.63
2000-06-20,1941700.0,43.94,45.88,45.88,43.81
2000-06-21,1164200.0,45.06,45.63,43.94,43.94
2000-06-22,540500.0,45.31,45.63,44.81,44.69
2000-06-23,471000.0,43.88,45.5,45.31,43.75
2000-06-26,806300.0,43.63,45.0,43.88,43.63
2000-06-27,536700.0,43.13,44.44,43.88,43.0
2000-06-28,538000.0,43.91,44.31,43.25,42.75
2000-06-29,1104100.0,41.06,43.69,43.5,40.88
2000-06-30,1423900.0,40.56,41.94,41.81,40.25
2000-07-03,295700.0,42.13,42.38,40.69,40.69
2000-07-05,715700.0,41.38,43.31,43.0,41.25
2000-07-06,677800.0,42.06,42.44,41.38,41.13
2000-07-07,809200.0,43.5,44.5,42.06,42.06
2000-07-10,567000.0,43.63,44.56,43.5,43.25
2000-07-11,383900.0,43.81,44.0,43.63,43.13
2000-07-12,687400.0,44.75,44.88,43.69,43.69
2000-07-13,628100.0,45.88,46.19,44.5,44.5
2000-07-14,667900.0,46.88,47.0,46.38,45.63
2000-07-17,650300.0,46.0,47.25,47.0,45.38
2000-07-18,1255000.0,46.81,46.94,46.75,46.0
2000-07-19,494500.0,45.88,46.94,46.63,45.75
2000-07-20,612200.0,46.94,47.0,45.88,45.25
2000-07-21,381800.0,46.56,47.19,47.13,45.75
2000-07-24,612500.0,47.25,47.75,46.44,46.44
2000-07-25,423600.0,47.5,47.56,47.5,46.06
2000-07-26,541200.0,46.5,47.38,47.31,46.38
2000-07-27,772600.0,47.13,47.94,46.56,46.0
2000-07-28,736400.0,46.13,47.19,47.06,45.88
2000-07-31,574400.0,45.81,46.19,46.13,45.75
2000-08-01,564000.0,45.94,46.25,45.94,45.63
2000-08-02,506500.0,46.0,46.25,45.75,45.75
2000-08-03,600600.0,45.13,46.19,46.19,44.63
2000-08-04,359200.0,45.0,45.13,45.0,44.56
2000-08-07,676200.0,45.81,46.13,44.56,44.5
2000-08-08,566700.0,47.19,47.63,45.81,45.75
2000-08-09,300400.0,46.38,47.38,47.0,46.06
2000-08-10,184300.0,46.69,47.31,46.5,46.13
2000-08-11,412500.0,48.06,48.44,46.63,46.63
2000-08-14,270600.0,48.38,48.44,47.94,47.69
2000-08-15,248800.0,48.06,48.56,48.5,47.81
2000-08-16,340700.0,48.25,48.56,48.06,48.0
2000-08-17,224300.0,48.75,48.94,48.25,48.25
2000-08-18,228100.0,48.69,48.88,48.75,48.28
2000-08-21,441300.0,48.31,48.75,48.56,48.31
2000-08-22,360000.0,48.0,48.5,48.44,47.94
2000-08-23,422500.0,47.5,48.38,48.06,47.31
2000-08-24,319800.0,48.31,48.69,47.38,47.25
2000-08-25,623100.0,48.94,49.06,48.44,48.25
2000-08-28,364800.0,49.25,49.38,49.0,48.81
2000-08-29,541800.0,50.19,50.5,49.0,48.88
2000-08-30,484700.0,49.38,50.25,50.0,48.88
2000-08-31,536500.0,48.89,49.5,49.5,48.81
2000-09-01,569000.0,48.31,49.56,49.0,48.31
2000-09-05,274600.0,48.69,48.94,48.31,48.31
2000-09-06,280100.0,49.56,49.75,48.81,48.69
2000-09-07,332300.0,49.06,49.5,49.38,48.88
2000-09-08,488100.0,49.0,49.19,49.13,48.38
2000-09-11,421200.0,49.63,49.63,49.0,48.63
2000-09-12,720200.0,50.06,50.69,49.63,49.16
2000-09-13,597100.0,51.25,51.56,50.5,50.31
2000-09-14,276700.0,51.31,51.31,51.06,50.69
2000-09-15,1163900.0,49.69,51.56,51.56,49.63
2000-09-18,793800.0,47.94,49.63,49.44,47.88
