date,5. volume,4. close,2. high,1. open,3. low
2014-10-06,38960.0,0.608,0.65,0.5,0.44
2014-10-07,233408.0,0.4857,0.63,0.512,0.485
2014-10-08,627506.0,0.375,0.489,0.489,0.271
2014-10-09,493368.0,0.378,0.38,0.328,0.276
2014-10-10,113012.0,0.3775,0.378,0.378,0.35
2014-10-13,220251.0,0.35,0.387,0.3601,0.34
2014-10-14,141327.0,0.35,0.435,0.36,0.33
2014-10-15,243088.0,0.33,0.385,0.385,0.302
2014-10-16,233766.0,0.31,0.33,0.33,0.292
2014-10-17,173278.0,0.34,0.34,0.285,0.285
2014-10-20,187528.0,0.324,0.339,0.339,0.301
2014-10-21,207099.0,0.38,0.38,0.312,0.312
2014-10-22,65480.0,0.37,0.38,0.38,0.36
2014-10-23,99418.0,0.35,0.37,0.37,0.3253
2014-10-24,94435.0,0.3121,0.34,0.3301,0.3102
2014-10-27,271541.0,0.3,0.32,0.312,0.2887
2014-10-28,434840.0,0.28,0.31,0.3,0.2402
2014-10-29,66191.0,0.27,0.29,0.29,0.26
2014-10-30,61270.0,0.28,0.3,0.26,0.26
2014-10-31,104669.0,0.3,0.3,0.26,0.26
2014-11-03,87191.0,0.28,0.285,0.26,0.252
2014-11-04,155212.0,0.272,0.28,0.2522,0.245
2014-11-05,37021.0,0.26,0.275,0.25,0.25
2014-11-06,214175.0,0.3098,0.31,0.301,0.26
2014-11-07,22366.0,0.289,0.305,0.305,0.2501
2014-11-10,76509.0,0.27,0.29,0.28,0.2601
2014-11-11,166098.0,0.298,0.3,0.27,0.27
2014-11-12,143019.0,0.2799,0.298,0.29,0.26
2014-11-13,108790.0,0.27,0.28,0.2799,0.26
2014-11-14,1123424.0,0.198,0.28,0.2675,0.1001
2014-11-17,353869.0,0.16,0.198,0.1775,0.1499
2014-11-18,479363.0,0.145,0.165,0.165,0.124
2014-11-19,115270.0,0.179,0.179,0.138,0.137
2014-11-20,13745.0,0.176,0.179,0.179,0.1425
2014-11-21,157505.0,0.175,0.2,0.15,0.15
2014-11-24,153981.0,0.185,0.199,0.18,0.175
2014-11-25,141901.0,0.1845,0.1845,0.176,0.151
2014-11-26,98713.0,0.179,0.189,0.17,0.17
2014-11-28,7995.0,0.189,0.19,0.179,0.179
2014-12-01,105264.0,0.189,0.196,0.179,0.179
2014-12-02,113211.0,0.195,0.196,0.186,0.1658
2014-12-03,27239.0,0.19,0.1945,0.1945,0.1701
2014-12-04,205434.0,0.1945,0.1945,0.1945,0.175
2014-12-05,110145.0,0.195,0.195,0.1945,0.19
2014-12-08,46394.0,0.19,0.195,0.19,0.1855
2014-12-09,84472.0,0.1699,0.186,0.181,0.1575
2014-12-10,147811.0,0.186,0.186,0.169,0.1501
2014-12-11,74354.0,0.1601,0.1849,0.1503,0.1503
2014-12-12,104130.0,0.16,0.165,0.1503,0.145
2014-12-15,102943.0,0.16,0.185,0.1451,0.145
2014-12-16,47680.0,0.15,0.166,0.16,0.1456
2014-12-17,221523.0,0.1599,0.166,0.1455,0.136
2014-12-18,186564.0,0.1399,0.1599,0.1599,0.1375
2014-12-19,77163.0,0.14,0.15,0.139,0.1206
2014-12-22,586199.0,0.1345,0.14,0.12,0.12
2014-12-23,202836.0,0.125,0.129,0.129,0.1211
2014-12-24,82079.0,0.124,0.1245,0.124,0.1211
2014-12-26,46739.0,0.124,0.124,0.1226,0.1211
2014-12-29,220877.0,0.1289,0.14,0.1211,0.1211
2014-12-30,284833.0,0.1449,0.1599,0.1211,0.1211
2014-12-31,83996.0,0.174,0.18,0.15,0.1411
2015-01-02,38509.0,0.174,0.175,0.175,0.15
2015-01-05,201000.0,0.174,0.174,0.168,0.162
2015-01-06,188281.0,0.1729,0.174,0.165,0.165
2015-01-07,44104.0,0.1729,0.1729,0.1729,0.1601
2015-01-08,327759.0,0.225,0.225,0.17,0.17
2015-01-09,75988.0,0.22,0.225,0.22,0.22
2015-01-12,34620.0,0.229,0.23,0.215,0.2
2015-01-13,77373.0,0.22,0.229,0.22,0.2101
2015-01-14,232464.0,0.222,0.229,0.229,0.21
2015-01-15,16174.0,0.2197,0.225,0.225,0.2001
2015-01-16,28450.0,0.219,0.2198,0.2198,0.2001
2015-01-20,132275.0,0.22,0.229,0.219,0.21
2015-01-21,114080.0,0.2,0.22,0.22,0.1881
2015-01-22,28510.0,0.2,0.21,0.2099,0.1651
2015-01-23,56844.0,0.1949,0.2,0.2,0.187
2015-01-26,104840.0,0.201,0.22,0.195,0.19
2015-01-27,181805.0,0.215,0.215,0.2,0.2
2015-01-28,31753.0,0.19,0.215,0.215,0.19
2015-01-29,24960.0,0.18,0.19,0.19,0.1729
2015-01-30,17178.0,0.1999,0.2,0.2,0.1729
2015-02-02,10900.0,0.2,0.2,0.2,0.1729
2015-02-03,27294.0,0.2,0.2,0.2,0.1729
2015-02-04,35168.0,0.18,0.2,0.1751,0.1751
2015-02-05,64334.0,0.195,0.2,0.18,0.18
2015-02-06,20301.0,0.1949,0.195,0.195,0.185
2015-02-09,101361.0,0.1949,0.195,0.1949,0.1949
2015-02-10,66372.0,0.19,0.195,0.1876,0.181
2015-02-11,9600.0,0.19,0.19,0.19,0.181
2015-02-12,27896.0,0.1949,0.1949,0.181,0.1751
2015-02-13,18100.0,0.1945,0.1945,0.1759,0.1759
2015-02-17,62145.0,0.18,0.1825,0.165,0.1642
2015-02-18,13349.0,0.1845,0.185,0.18,0.1748
2015-02-19,62878.0,0.1845,0.1845,0.1845,0.1652
2015-02-20,65291.0,0.19,0.19,0.1664,0.1664
2015-02-23,53283.0,0.195,0.195,0.19,0.18
2015-02-24,97013.0,0.1715,0.1835,0.1835,0.1663
2015-02-25,78134.0,0.18,0.18,0.172,0.1663
2015-02-26,53928.0,0.195,0.196,0.18,0.18
2015-02-27,211653.0,0.19,0.195,0.195,0.181
2015-03-02,52112.0,0.18,0.19,0.19,0.1775
2015-03-03,33276.0,0.17,0.18,0.1787,0.17
2015-03-04,161402.0,0.18,0.21,0.18,0.1713
2015-03-05,13549.0,0.1799,0.18,0.18,0.1749
2015-03-06,24805.0,0.19,0.19,0.1774,0.175
2015-03-09,36051.0,0.18,0.19,0.19,0.17
2015-03-10,22900.0,0.18,0.18,0.175,0.175
2015-03-11,96356.0,0.215,0.215,0.1775,0.1775
2015-03-12,51333.0,0.21,0.21,0.21,0.1751
2015-03-13,8940.0,0.2,0.2,0.2,0.1851
2015-03-16,14544.0,0.1851,0.2,0.2,0.1851
2015-03-17,34100.0,0.2,0.2,0.1851,0.185
2015-03-18,21364.0,0.19,0.2,0.19,0.19
2015-03-19,26018.0,0.19,0.19,0.17,0.17
2015-03-20,4680.0,0.19,0.19,0.1701,0.1701
2015-03-23,17200.0,0.18,0.2,0.1885,0.1706
2015-03-24,89328.0,0.2,0.2,0.18,0.18
2015-03-25,62811.0,0.2,0.2,0.2,0.1861
2015-03-26,14450.0,0.2,0.2,0.1869,0.1869
2015-03-27,45141.0,0.21,0.21,0.2,0.1975
2015-03-30,28000.0,0.2195,0.2195,0.213,0.21
2015-03-31,216731.0,0.265,0.275,0.2195,0.2195
2015-04-01,161104.0,0.28,0.28,0.265,0.25
2015-04-02,204648.0,0.295,0.3,0.28,0.275
2015-04-06,85090.0,0.31,0.315,0.2949,0.29
2015-04-07,114317.0,0.375,0.38,0.33,0.33
2015-04-08,818958.0,0.43,0.53,0.391,0.34
2015-04-09,351342.0,0.45,0.45,0.4105,0.4
2015-04-10,414478.0,0.45,0.498,0.4765,0.43
2015-04-13,181684.0,0.43,0.49,0.49,0.421
2015-04-14,374352.0,0.395,0.4651,0.4651,0.36
2015-04-15,706623.0,0.32,0.4,0.39,0.174
2015-04-16,198467.0,0.349,0.39,0.348,0.322
2015-04-17,313188.0,0.42,0.439,0.35,0.35
2015-04-20,67991.0,0.3995,0.43,0.4255,0.388
2015-04-21,168987.0,0.3877,0.42,0.3995,0.3855
2015-04-22,85804.0,0.38,0.3855,0.3855,0.36
2015-04-23,56450.0,0.39,0.39,0.379,0.36
2015-04-24,100488.0,0.4,0.4,0.37,0.37
2015-04-27,70133.0,0.39,0.4075,0.4,0.37
2015-04-28,93420.0,0.38,0.3895,0.37,0.355
2015-04-29,87941.0,0.375,0.39,0.38,0.355
2015-04-30,96874.0,0.37,0.375,0.375,0.35
2015-05-01,65670.0,0.35,0.36,0.35,0.33
2015-05-04,71202.0,0.357,0.3575,0.34,0.3311
2015-05-05,20500.0,0.3201,0.35,0.34,0.3201
2015-05-06,141860.0,0.3699,0.39,0.3,0.25
2015-05-07,40457.0,0.38,0.3999,0.3689,0.3689
2015-05-08,179853.0,0.39,0.39,0.37,0.34
2015-05-11,276352.0,0.392,0.43,0.395,0.3501
2015-05-12,84204.0,0.39,0.395,0.39,0.37
2015-05-13,427389.0,0.35,0.395,0.395,0.3305
2015-05-14,370754.0,0.3925,0.43,0.37,0.36
2015-05-15,335113.0,0.38,0.4,0.4,0.36
2015-05-18,291692.0,0.35,0.37,0.36,0.335
2015-05-19,88479.0,0.3348,0.36,0.35,0.332
2015-05-20,43720.0,0.348,0.35,0.3302,0.3302
2015-05-21,163186.0,0.332,0.345,0.345,0.33
2015-05-22,190320.0,0.35,0.36,0.33,0.3
2015-05-26,53245.0,0.322,0.36,0.34,0.3
2015-05-27,277604.0,0.34,0.34,0.328,0.316
2015-05-28,212489.0,0.335,0.35,0.35,0.319
2015-05-29,166900.0,0.35,0.35,0.33,0.31
2015-06-01,107584.0,0.34,0.351,0.35,0.327
2015-06-02,107574.0,0.3399,0.35,0.35,0.327
2015-06-03,62576.0,0.327,0.3499,0.34,0.327
2015-06-04,27024.0,0.33,0.33,0.33,0.33
2015-06-05,192128.0,0.3145,0.33,0.33,0.3145
2015-06-08,285787.0,0.37,0.37,0.329,0.312
2015-06-09,96948.0,0.35,0.37,0.37,0.3401
2015-06-10,20871.0,0.36,0.36,0.36,0.355
2015-06-11,55727.0,0.35,0.36,0.36,0.325
2015-06-12,9191.0,0.35,0.35,0.35,0.34
2015-06-15,82705.0,0.359,0.36,0.3251,0.3251
2015-06-16,180169.0,0.325,0.359,0.34,0.325
2015-06-17,64472.0,0.3497,0.359,0.34,0.325
2015-06-18,86547.0,0.3495,0.3495,0.331,0.3221
2015-06-19,60715.0,0.3397,0.3496,0.3496,0.32
2015-06-22,9385.0,0.3368,0.3398,0.3398,0.32
2015-06-23,94405.0,0.35,0.361,0.3369,0.32
2015-06-24,92721.0,0.3598,0.3598,0.345,0.3201
2015-06-25,344849.0,0.37,0.37,0.3463,0.322
2015-06-26,114898.0,0.37,0.37,0.36,0.33
2015-06-29,83835.0,0.3566,0.37,0.37,0.33
2015-06-30,250.0,0.37,0.37,0.37,0.37
2015-07-01,41202.0,0.37,0.37,0.3306,0.3306
2015-07-02,15047.0,0.37,0.37,0.336,0.336
2015-07-06,91568.0,0.36,0.387,0.37,0.342
2015-07-07,37763.0,0.36,0.377,0.36,0.355
2015-07-08,77194.0,0.36,0.3869,0.35,0.35
2015-07-09,57035.0,0.345,0.36,0.36,0.33
2015-07-10,35009.0,0.34,0.345,0.34,0.3275
2015-07-13,90102.0,0.3398,0.345,0.345,0.325
2015-07-14,107642.0,0.3398,0.34,0.325,0.311
2015-07-15,3448.0,0.3275,0.33,0.33,0.31
2015-07-16,1051.0,0.33,0.33,0.3275,0.3275
2015-07-17,106877.0,0.34,0.35,0.325,0.31
2015-07-20,54780.0,0.33,0.36,0.3101,0.3101
2015-07-21,33504.0,0.33,0.33,0.31,0.31
2015-07-22,81331.0,0.33,0.33,0.33,0.3106
2015-07-23,59595.0,0.34,0.34,0.321,0.32
2015-07-24,179570.0,0.33,0.34,0.31,0.3
2015-07-27,14659.0,0.31,0.33,0.33,0.3
2015-07-28,62343.0,0.292,0.298,0.29,0.27
2015-07-29,111850.0,0.3,0.3,0.29,0.2702
2015-07-30,41680.0,0.31,0.31,0.285,0.285
2015-07-31,26102.0,0.32,0.32,0.31,0.301
2015-08-03,26400.0,0.31,0.31,0.31,0.2902
2015-08-04,84350.0,0.31,0.31,0.31,0.271
2015-08-05,44000.0,0.3101,0.33,0.32,0.3
2015-08-06,92874.0,0.345,0.348,0.348,0.33
2015-08-07,47194.0,0.3395,0.35,0.348,0.33
2015-08-10,135940.0,0.33,0.35,0.345,0.31
2015-08-11,51191.0,0.345,0.35,0.35,0.335
2015-08-12,93655.0,0.345,0.36,0.335,0.335
2015-08-13,64900.0,0.345,0.355,0.355,0.335
2015-08-14,101322.0,0.315,0.35,0.35,0.2802
2015-08-17,75470.0,0.3169,0.34,0.33,0.29
2015-08-18,37086.0,0.339,0.34,0.34,0.3024
2015-08-19,22350.0,0.339,0.339,0.339,0.314
