date,5. volume,4. close,2. high,1. open,3. low
2000-09-28,9400400.0,14.41,18.5,16.75,13.5
2000-09-29,3769500.0,15.0,15.13,13.06,12.0
2000-10-02,589500.0,14.63,15.25,14.38,13.88
2000-10-03,713400.0,14.19,14.88,14.69,14.0
2000-10-04,751500.0,13.69,14.19,14.19,13.44
2000-10-05,386000.0,14.94,15.13,13.69,13.0
2000-10-06,443300.0,15.75,15.75,14.0,13.63
2000-10-09,221000.0,14.13,14.94,14.5,13.56
2000-10-10,190200.0,13.0,15.0,13.5,13.0
2000-10-11,341000.0,12.0,13.25,13.0,12.0
2000-10-12,223900.0,12.0,12.75,12.75,11.88
2000-10-13,152000.0,12.06,12.38,12.0,11.88
2000-10-16,224900.0,12.0,12.38,12.0,12.0
2000-10-17,654800.0,12.0,12.36,12.0,10.0
2000-10-18,104500.0,12.63,13.0,12.0,12.0
2000-10-19,48300.0,13.0,13.13,13.0,12.38
2000-10-20,60400.0,12.88,13.0,12.77,12.5
2000-10-23,162300.0,12.5,13.06,12.77,12.5
2000-10-24,87400.0,12.81,13.13,13.0,12.56
2000-10-25,317100.0,12.75,13.13,12.63,12.25
2000-10-26,133000.0,13.0,13.0,12.5,12.13
2000-10-27,118300.0,12.0,12.63,12.5,12.0
2000-10-30,305100.0,14.13,16.31,12.25,12.0
2000-10-31,318400.0,14.94,15.63,13.5,13.5
2000-11-01,78300.0,13.94,15.5,15.38,13.13
2000-11-02,41400.0,13.63,14.38,13.81,13.5
2000-11-03,85200.0,15.06,15.69,13.63,13.63
2000-11-06,126100.0,15.81,16.0,15.06,14.38
2000-11-07,107200.0,14.88,16.38,15.75,14.44
2000-11-08,15200.0,13.0,14.75,14.38,13.0
2000-11-09,39500.0,12.69,13.63,13.5,12.38
2000-11-10,174200.0,12.19,12.69,12.69,11.94
2000-11-13,51700.0,12.06,12.88,12.88,11.94
2000-11-14,65000.0,12.25,12.5,12.0,11.75
2000-11-15,21600.0,12.0,12.63,12.0,11.75
2000-11-16,76400.0,12.31,13.0,11.88,10.0
2000-11-17,61000.0,14.0,14.38,12.56,12.38
2000-11-20,22200.0,13.5,14.25,14.0,13.0
2000-11-21,49800.0,14.5,14.5,13.0,12.88
2000-11-22,91900.0,15.38,16.06,15.0,14.13
2000-11-24,11300.0,15.44,15.5,15.39,15.25
2000-11-27,26500.0,13.94,15.48,15.13,13.63
2000-11-28,54500.0,13.13,13.63,13.63,13.13
2000-11-29,58900.0,13.25,13.25,13.13,12.88
2000-11-30,37600.0,13.5,13.5,12.63,12.63
2000-12-01,19500.0,13.25,13.69,12.63,12.63
2000-12-04,50700.0,13.63,13.63,13.0,12.63
2000-12-05,87400.0,12.75,14.69,12.75,10.75
2000-12-06,20800.0,12.63,13.0,11.88,11.13
2000-12-07,21200.0,12.0,13.0,13.0,11.88
2000-12-08,34200.0,14.25,14.44,11.94,11.94
2000-12-11,37700.0,13.56,14.5,14.0,13.44
2000-12-12,26700.0,12.81,13.38,12.94,12.63
2000-12-13,6800.0,12.5,13.25,12.75,12.5
2000-12-14,12800.0,11.63,12.5,12.5,11.63
2000-12-15,49500.0,11.88,12.38,11.81,11.75
2000-12-18,398400.0,13.13,13.13,12.0,12.0
2000-12-19,6700.0,12.88,13.13,12.94,12.63
2000-12-20,21700.0,12.75,13.13,12.38,12.13
2000-12-21,23600.0,12.63,13.48,12.5,12.13
2000-12-22,31300.0,12.75,13.5,12.63,12.38
