date,5. volume,4. close,2. high,1. open,3. low
2013-04-26,4801165.0,25.0,25.0,24.75,24.75
2013-04-29,980931.0,25.1,25.19,25.01,25.01
2013-04-30,954959.0,25.01,25.18,25.15,24.95
2013-05-01,498941.0,25.0,25.1,25.05,24.97
2013-05-02,340721.0,25.03,25.1,25.1,25.01
2013-05-03,302840.0,25.08,25.12,25.08,25.03
2013-05-06,268111.0,25.12,25.15,25.1,25.08
2013-05-07,310579.0,25.2,25.2,25.11,25.11
2013-05-08,318455.0,25.23,25.29,25.18,25.17
2013-05-09,370165.0,25.42,25.44,25.39,25.25
2013-05-10,245780.0,25.3852,25.46,25.46,25.2999
2013-05-13,150673.0,25.34,25.39,25.38,25.32
2013-05-14,195966.0,25.21,25.38,25.38,25.18
2013-05-15,178277.0,25.24,25.28,25.23,25.2
2013-05-16,135908.0,25.3,25.3,25.26,25.23
2013-05-17,144600.0,25.25,25.3,25.3,25.22
2013-05-20,153349.0,25.25,25.27,25.27,25.2
2013-05-21,337610.0,25.29,25.29,25.25,25.15
2013-05-22,221615.0,25.2,25.35,25.35,25.19
2013-05-23,330433.0,25.05,25.19,25.18,25.0
2013-05-24,155873.0,25.05,25.05,25.0,25.0
2013-05-28,365034.0,25.02,25.05,25.05,24.95
2013-05-29,652094.0,24.99,25.03,25.0,24.9
2013-05-30,189952.0,24.98,24.99,24.98,24.91
2013-05-31,599182.0,25.0,25.01,24.93,24.7
2013-06-03,385606.0,25.0,25.01,24.98,24.8799
2013-06-04,183442.0,24.9,24.95,24.95,24.8
2013-06-05,1140000.0,24.55,24.77,24.65,23.87
2013-06-06,448708.0,24.5,24.5,24.48,23.95
2013-06-07,390685.0,24.5,24.5,24.47,24.2
2013-06-10,498066.0,23.65,24.4595,24.4,23.57
2013-06-11,760569.0,23.09,23.4,23.0,22.8
2013-06-12,569220.0,23.05,23.572,23.1,23.01
2013-06-13,347459.0,23.44,23.5,23.0,23.0
2013-06-14,234976.0,23.44,23.55,23.49,23.1
2013-06-17,234787.0,23.32,23.8,23.5,23.26
2013-06-18,341920.0,23.4,23.55,23.17,23.15
2013-06-19,367215.0,23.05,23.48,23.25,23.0
2013-06-20,552542.0,22.4,23.05,23.0,22.0
2013-06-21,528476.0,22.38,22.49,22.27,22.0
2013-06-24,761463.0,22.03,22.3,22.15,21.06
2013-06-25,518218.0,22.46,22.63,22.05,21.68
2013-06-26,250138.0,22.84,22.91,22.3,22.3
2013-06-27,332734.0,22.89,22.99,22.81,22.46
2013-06-28,404388.0,23.21,23.43,22.82,22.82
2013-07-01,266279.0,22.76,23.39,23.22,22.67
2013-07-02,265210.0,22.96,23.24,22.67,22.67
2013-07-03,79870.0,22.673,23.02,22.89,22.67
2013-07-05,225081.0,21.96,22.6464,22.58,21.79
2013-07-08,255311.0,22.32,22.4,21.87,21.87
2013-07-09,243273.0,22.28,22.46,22.39,22.07
