date,5. volume,4. close,2. high,1. open,3. low
2016-06-17,793584.0,106.1625,106.1625,102.14,101.25
2016-06-20,645225.0,104.738,107.565,106.0,103.0
2016-06-21,179035.0,104.4,105.75,103.36,102.3
2016-06-22,126789.0,101.52,105.2,102.25,100.0
2016-06-23,59421.0,103.0,103.0,102.63,102.25
2016-06-24,76260.0,99.841,101.567,101.567,99.841
2016-06-27,0.0,99.841,99.841,99.841,99.841
2016-06-28,111569.0,101.0,101.0,96.36,96.36
2016-06-29,264425.0,106.52,108.41,103.61,100.15
2016-06-30,110141.0,107.72,107.81,105.99,103.68
2016-07-01,21702.0,106.7196,108.13,107.7,105.9
2016-07-05,21733.0,104.096,104.096,103.74,102.36
2016-07-06,1836.0,104.3888,104.5451,104.15,103.88
2016-07-07,22884.0,104.61,105.77,104.82,103.95
2016-07-08,43227.0,106.513,107.12,104.69,104.69
2016-07-11,33558.0,109.1525,109.7989,107.67,107.59
2016-07-12,70992.0,111.67,111.67,111.36,111.16
2016-07-13,26526.0,110.1903,113.1,113.1,108.27
2016-07-14,177100.0,111.55,112.14,109.91,109.91
2016-07-15,900.0,110.7913,111.26,110.35,109.71
2016-07-18,1300.0,109.7301,111.12,110.44,109.57
2016-07-19,6821.0,105.7655,106.72,106.39,105.03
2016-07-20,102423.0,108.0,108.0,103.07,103.07
2016-07-21,22166.0,103.56,106.29,106.15,103.56
2016-07-22,22445.0,105.4021,106.43,104.5,103.52
2016-07-25,1600.0,104.0108,104.97,104.97,103.6669
2016-07-26,194327.0,104.61,105.01,103.66,103.0
2016-07-27,84958.0,101.68,105.96,105.59,101.68
2016-07-28,48606.0,101.96,102.52,101.4,97.51
2016-07-29,29183.0,98.06,102.2,101.97,96.59
2016-08-01,40600.0,96.01,96.2,96.2,96.01
2016-08-02,1700.0,95.93,95.93,95.4937,95.29
2016-08-03,1360.0,98.51,98.51,95.84,95.84
2016-08-04,253143.0,95.0,99.36,99.36,91.67
2016-08-05,28620.0,92.41,93.2746,92.13,92.13
2016-08-08,28490.0,91.0,93.55,92.66,91.0
2016-08-09,59725.0,85.7299,91.11,91.11,85.7299
2016-08-10,583693.0,85.13,86.46,85.69,82.7
2016-08-11,1807.0,84.8436,86.0,86.0,84.0975
2016-08-12,25970.0,85.6899,86.21,86.21,85.6899
2016-08-15,1494.0,86.88,87.77,85.99,85.99
2016-08-16,11035.0,85.07,86.21,86.21,84.72
2016-08-17,81680.0,84.52,85.0,85.0,84.175
2016-08-18,30293.0,85.34,85.34,85.34,85.0632
2016-08-19,67453.0,86.0,86.0,82.77,82.77
2016-08-22,14643.0,83.0,84.91,83.19,82.46
2016-08-23,3915.0,88.46,88.46,87.59,86.83
2016-08-24,1081.0,87.41,88.23,87.35,87.35
2016-08-25,10.0,87.41,87.41,87.41,87.41
2016-08-26,805.0,87.5499,89.53,88.17,87.5499
2016-08-29,5460.0,88.2999,89.02,89.02,88.0383
2016-08-30,41820.0,86.0,88.65,88.65,85.9799
2016-08-31,745.0,84.91,86.1,85.18,84.91
2016-09-01,1100.0,84.22,86.03,85.37,84.22
2016-09-02,921.0,85.105,86.26,85.52,85.105
2016-09-06,1819.0,86.44,86.44,85.46,85.46
2016-09-07,880.0,88.91,88.91,88.78,88.23
2016-09-08,60870.0,92.5599,92.56,89.75,88.88
2016-09-09,20603.0,90.33,90.78,90.694,90.33
2016-09-12,23671.0,90.76,90.76,88.83,87.59
2016-09-13,94408.0,81.9,86.65,86.65,81.36
2016-09-14,99653.0,81.43,82.28,81.85,80.98
2016-09-15,87068.0,83.69,83.74,80.81,80.44
2016-09-16,4620.0,82.28,82.56,82.0,82.0
2016-09-19,1801.0,83.5699,83.57,83.44,83.04
2016-09-20,33891.0,85.47,85.6,85.53,85.094
2016-09-21,140.0,85.47,85.47,85.47,85.47
2016-09-22,26840.0,87.28,87.34,86.385,85.96
2016-09-23,1588.0,85.44,86.83,86.32,85.23
2016-09-26,3633.0,85.22,86.17,85.52,84.8
2016-09-27,1239.0,83.88,85.22,85.22,83.655
2016-09-28,21115.0,82.48,85.16,85.16,82.48
2016-09-29,5285.0,81.42,82.9,82.4,80.855
2016-09-30,5484.0,82.89,82.89,80.08,79.5
2016-10-03,41655.0,86.46,86.71,84.83,83.78
2016-10-04,64542.0,85.91,89.38,86.38,84.93
2016-10-05,50947.0,86.52,86.9,85.83,85.83
2016-10-06,81872.0,84.89,86.305,85.74,84.59
2016-10-07,12185.0,85.47,85.55,85.3,84.8
2016-10-10,25201.0,87.7,87.7,85.89,85.42
2016-10-11,1800.0,84.12,85.67,85.32,84.12
2016-10-12,1525.0,82.35,84.0,84.0,82.35
2016-10-13,0.0,82.35,82.35,82.35,82.35
2016-10-14,2010.0,83.62,85.63,83.8,82.7799
2016-10-17,1260.0,83.4,84.79,84.335,83.4
2016-10-18,26000.0,85.59,85.59,85.0,84.2
2016-10-19,87232.0,88.06,88.91,84.8,84.8
2016-10-20,3969.0,85.62,86.89,86.89,85.23
2016-10-21,2752.0,83.49,85.7,84.56,83.3
2016-10-24,11900.0,80.4,84.025,83.72,80.0601
2016-10-25,20683.0,78.5,82.1,82.09,78.24
2016-10-26,50083.0,75.6,77.0,76.4,75.11
2016-10-27,40279.0,75.44,76.79,75.99,74.86
2016-10-28,70454.0,75.52,76.61,75.23,74.71
2016-10-31,1170.0,76.5,76.5,76.34,76.34
2016-11-01,123463.0,75.5,75.6,74.83,74.82
2016-11-02,117548.0,58.7228,68.35,68.34,57.44
2016-11-03,277677.0,61.16,61.91,60.69,60.49
2016-11-04,3622.0,64.62,64.62,61.73,61.73
2016-11-07,1131.0,64.57,65.14,65.14,64.01
2016-11-08,740.0,65.35,66.0199,64.9426,64.9426
2016-11-09,5428.0,67.0,67.85,67.73,65.29
2016-11-10,53644.0,63.45,68.31,68.31,62.7
2016-11-11,16047.0,63.45,64.07,63.14,61.49
2016-11-14,705.0,64.01,65.53,64.23,64.01
2016-11-15,11523.0,65.88,65.88,64.51,64.51
2016-11-16,251.0,66.98,67.13,67.13,66.98
2016-11-17,2952.0,68.78,69.19,67.9,67.68
2016-11-18,17.0,68.78,68.78,68.78,68.78
2016-11-21,15561.0,68.38,68.38,68.38,68.38
2016-11-22,1035.0,66.11,68.34,68.34,64.78
2016-11-23,300.0,67.1,67.1,65.43,65.43
2016-11-25,1017.0,67.54,67.54,67.09,67.0548
2016-11-28,45350.0,68.1936,68.1936,67.9815,67.81
2016-11-29,901.0,66.08,66.1192,66.1192,66.02
2016-11-30,1370.0,65.29,66.25,66.24,65.0
2016-12-01,3555.0,63.04,64.05,63.74,62.9
2016-12-02,475.0,60.4609,61.82,61.8,60.4609
2016-12-05,94675.0,63.3013,63.3013,60.5,59.85
2016-12-06,620.0,62.9,62.97,61.93,61.93
2016-12-07,10725.0,62.72,63.6079,63.6079,62.5
2016-12-08,9778.0,62.77,63.0,61.35,60.62
2016-12-09,37099.0,66.9,66.9,64.0,63.93
2016-12-12,44252.0,63.24,67.225,65.81,63.22
2016-12-13,1550.0,62.65,62.71,62.48,61.0746
2016-12-14,40000.0,62.65,62.65,62.65,62.65
2016-12-15,4372.0,62.06,62.06,61.06,61.06
2016-12-16,315.0,63.19,63.31,63.31,62.97
2016-12-19,40300.0,63.38,63.38,63.097,63.097
2016-12-20,41602.0,60.75,62.66,62.66,60.75
2016-12-21,20346.0,60.815,61.52,61.5199,60.815
2016-12-22,2125.0,59.9732,60.73,58.27,58.27
2016-12-23,17364.0,60.87,61.08,59.68,59.3501
2016-12-27,250.0,62.6,62.6,62.6,62.6
2016-12-28,23920.0,61.41,61.77,61.37,61.37
2016-12-29,618.0,62.44,63.09,63.09,62.44
2016-12-30,18565.0,62.14,62.36,61.71,61.7
2017-01-03,9500.0,60.68,62.87,61.72,60.63
2017-01-04,45018.0,63.92,64.18,61.96,61.96
2017-01-05,424.0,64.18,64.18,63.07,63.07
2017-01-06,585.0,65.8752,65.8752,64.57,64.57
2017-01-09,21036.0,64.849,65.49,65.49,64.84
2017-01-10,3155.0,66.2,66.54,64.11,64.11
2017-01-11,70125.0,67.5,67.68,66.56,64.02
2017-01-12,21730.0,67.5,67.5,67.5,67.5
2017-01-13,1300.0,68.8,68.8,68.29,67.2
2017-01-17,67777.0,71.21,71.21,68.93,68.93
2017-01-18,3078.0,68.9,70.01,70.01,68.5
2017-01-19,1254.0,68.0,68.77,68.77,68.0
2017-01-20,110.0,68.0,68.0,68.0,68.0
2017-01-23,219.0,65.79,66.0914,66.0914,65.79
2017-01-24,480.0,65.95,66.34,66.34,65.95
2017-01-25,92501.0,69.53,69.53,68.17,68.17
2017-01-26,29413.0,69.34,70.2,70.1,69.34
2017-01-27,2272.0,67.0,68.82,68.82,66.75
2017-01-30,1855.0,66.05,66.05,65.53,65.42
2017-01-31,5670.0,67.67,67.9,66.759,66.729
2017-02-01,2750.0,66.17,66.85,66.38,65.98
