date,5. volume,4. close,2. high,1. open,3. low
2015-10-02,1000.0,10.0,10.0,10.0,10.0
2015-10-05,0.0,10.0,10.0,10.0,10.0
2015-10-06,0.0,10.0,10.0,10.0,10.0
2015-10-07,0.0,10.0,10.0,10.0,10.0
2015-10-08,0.0,10.0,10.0,10.0,10.0
2015-10-09,0.0,10.0,10.0,10.0,10.0
2015-10-12,0.0,10.0,10.0,10.0,10.0
2015-10-13,0.0,10.0,10.0,10.0,10.0
2015-10-14,0.0,10.0,10.0,10.0,10.0
2015-10-15,0.0,10.0,10.0,10.0,10.0
2015-10-16,0.0,10.0,10.0,10.0,10.0
2015-10-19,0.0,10.0,10.0,10.0,10.0
2015-10-20,0.0,10.0,10.0,10.0,10.0
2015-10-21,0.0,10.0,10.0,10.0,10.0
2015-10-22,0.0,10.0,10.0,10.0,10.0
2015-10-23,0.0,10.0,10.0,10.0,10.0
2015-10-26,0.0,10.0,10.0,10.0,10.0
2015-10-27,0.0,10.0,10.0,10.0,10.0
2015-10-28,0.0,10.0,10.0,10.0,10.0
2015-10-29,0.0,10.0,10.0,10.0,10.0
2015-10-30,0.0,10.0,10.0,10.0,10.0
2015-11-02,0.0,10.0,10.0,10.0,10.0
2015-11-03,10000.0,9.9,9.9,9.9,9.9
2015-11-04,0.0,9.9,9.9,9.9,9.9
2015-11-05,0.0,9.9,9.9,9.9,9.9
2015-11-06,0.0,9.9,9.9,9.9,9.9
2015-11-09,0.0,9.9,9.9,9.9,9.9
2015-11-10,0.0,9.9,9.9,9.9,9.9
2015-11-11,0.0,9.9,9.9,9.9,9.9
2015-11-12,0.0,9.9,9.9,9.9,9.9
2015-11-13,0.0,9.9,9.9,9.9,9.9
2015-11-16,0.0,9.9,9.9,9.9,9.9
2015-11-17,0.0,9.9,9.9,9.9,9.9
2015-11-18,0.0,9.9,9.9,9.9,9.9
2015-11-19,0.0,9.9,9.9,9.9,9.9
2015-11-20,0.0,9.9,9.9,9.9,9.9
2015-11-23,0.0,9.9,9.9,9.9,9.9
2015-11-24,0.0,9.9,9.9,9.9,9.9
2015-11-25,10000.0,9.75,9.75,9.75,9.75
2015-11-27,0.0,9.75,9.75,9.75,9.75
2015-11-30,100.0,9.9,9.9,9.9,9.9
2015-12-01,0.0,9.9,9.9,9.9,9.9
