date,5. volume,4. close,2. high,1. open,3. low
2015-10-21,5000.0,0.5,0.5,0.5,0.5
2015-10-22,0.0,0.5,0.5,0.5,0.5
2015-10-23,0.0,0.5,0.5,0.5,0.5
2015-10-26,0.0,0.5,0.5,0.5,0.5
2015-10-27,0.0,0.5,0.5,0.5,0.5
2015-10-28,0.0,0.5,0.5,0.5,0.5
2015-10-29,0.0,0.5,0.5,0.5,0.5
2015-10-30,0.0,0.5,0.5,0.5,0.5
2015-11-02,0.0,0.5,0.5,0.5,0.5
2015-11-03,0.0,0.5,0.5,0.5,0.5
2015-11-04,0.0,0.5,0.5,0.5,0.5
2015-11-05,0.0,0.5,0.5,0.5,0.5
2015-11-06,0.0,0.5,0.5,0.5,0.5
2015-11-09,0.0,0.5,0.5,0.5,0.5
2015-11-10,0.0,0.5,0.5,0.5,0.5
2015-11-11,0.0,0.5,0.5,0.5,0.5
2015-11-12,0.0,0.5,0.5,0.5,0.5
2015-11-13,0.0,0.5,0.5,0.5,0.5
2015-11-16,0.0,0.5,0.5,0.5,0.5
2015-11-17,0.0,0.5,0.5,0.5,0.5
2015-11-18,0.0,0.5,0.5,0.5,0.5
2015-11-19,0.0,0.5,0.5,0.5,0.5
2015-11-20,0.0,0.5,0.5,0.5,0.5
2015-11-23,0.0,0.5,0.5,0.5,0.5
2015-11-24,0.0,0.5,0.5,0.5,0.5
2015-11-25,0.0,0.5,0.5,0.5,0.5
2015-11-27,0.0,0.5,0.5,0.5,0.5
2015-11-30,0.0,0.5,0.5,0.5,0.5
2015-12-01,0.0,0.5,0.5,0.5,0.5
2015-12-02,0.0,0.5,0.5,0.5,0.5
2015-12-03,0.0,0.5,0.5,0.5,0.5
2015-12-04,0.0,0.5,0.5,0.5,0.5
2015-12-07,0.0,0.5,0.5,0.5,0.5
2015-12-08,0.0,0.5,0.5,0.5,0.5
2015-12-09,0.0,0.5,0.5,0.5,0.5
2015-12-10,0.0,0.5,0.5,0.5,0.5
2015-12-11,0.0,0.5,0.5,0.5,0.5
2015-12-14,0.0,0.5,0.5,0.5,0.5
2015-12-15,0.0,0.5,0.5,0.5,0.5
2015-12-16,0.0,0.5,0.5,0.5,0.5
2015-12-17,0.0,0.5,0.5,0.5,0.5
2015-12-18,0.0,0.5,0.5,0.5,0.5
2015-12-21,0.0,0.5,0.5,0.5,0.5
2015-12-22,0.0,0.5,0.5,0.5,0.5
2015-12-23,10000.0,0.37,0.37,0.37,0.37
2015-12-24,0.0,0.37,0.37,0.37,0.37
2015-12-28,0.0,0.37,0.37,0.37,0.37
2015-12-29,0.0,0.37,0.37,0.37,0.37
2015-12-30,0.0,0.37,0.37,0.37,0.37
2015-12-31,0.0,0.37,0.37,0.37,0.37
2016-01-04,0.0,0.37,0.37,0.37,0.37
2016-01-05,0.0,0.37,0.37,0.37,0.37
2016-01-06,0.0,0.37,0.37,0.37,0.37
2016-01-07,0.0,0.37,0.37,0.37,0.37
2016-01-08,0.0,0.37,0.37,0.37,0.37
2016-01-11,0.0,0.37,0.37,0.37,0.37
2016-01-12,0.0,0.37,0.37,0.37,0.37
2016-01-13,0.0,0.37,0.37,0.37,0.37
2016-01-14,0.0,0.37,0.37,0.37,0.37
2016-01-15,0.0,0.37,0.37,0.37,0.37
2016-01-19,5000.0,0.33,0.331,0.331,0.33
2016-01-20,2000.0,0.33,0.33,0.33,0.33
2016-01-21,0.0,0.33,0.33,0.33,0.33
2016-01-22,300.0,0.33,0.37,0.37,0.33
2016-01-25,0.0,0.33,0.33,0.33,0.33
2016-01-26,0.0,0.33,0.33,0.33,0.33
2016-01-27,0.0,0.33,0.33,0.33,0.33
2016-01-28,0.0,0.33,0.33,0.33,0.33
2016-01-29,0.0,0.33,0.33,0.33,0.33
2016-02-01,59100.0,0.37,0.37,0.33,0.32
2016-02-02,0.0,0.37,0.37,0.37,0.37
2016-02-03,0.0,0.37,0.37,0.37,0.37
2016-02-04,0.0,0.37,0.37,0.37,0.37
2016-02-05,0.0,0.37,0.37,0.37,0.37
2016-02-08,0.0,0.37,0.37,0.37,0.37
2016-02-09,0.0,0.37,0.37,0.37,0.37
2016-02-10,0.0,0.37,0.37,0.37,0.37
2016-02-11,0.0,0.37,0.37,0.37,0.37
2016-02-12,0.0,0.37,0.37,0.37,0.37
2016-02-16,0.0,0.37,0.37,0.37,0.37
2016-02-17,0.0,0.37,0.37,0.37,0.37
2016-02-18,0.0,0.37,0.37,0.37,0.37
2016-02-19,0.0,0.37,0.37,0.37,0.37
2016-02-22,0.0,0.37,0.37,0.37,0.37
2016-02-23,0.0,0.37,0.37,0.37,0.37
2016-02-24,0.0,0.37,0.37,0.37,0.37
2016-02-25,0.0,0.37,0.37,0.37,0.37
