date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,291000.0,37.69,39.0,39.0,37.5
2000-01-04,431600.0,36.69,37.94,37.63,36.0
2000-01-05,306800.0,37.56,37.81,37.25,36.75
2000-01-06,446800.0,39.81,39.88,37.5,37.38
2000-01-07,450000.0,39.81,40.75,39.81,39.19
2000-01-10,424300.0,40.63,40.69,40.0,39.63
2000-01-11,259000.0,40.19,40.44,40.38,39.88
2000-01-12,388900.0,39.44,39.81,39.0,38.75
2000-01-13,246100.0,39.13,39.88,39.44,39.06
2000-01-14,213600.0,39.44,39.5,39.13,38.88
2000-01-18,284800.0,38.44,39.25,39.19,38.31
2000-01-19,403600.0,37.94,38.81,38.63,37.75
2000-01-20,342100.0,37.81,38.19,38.06,37.5
2000-01-21,311900.0,37.06,38.0,38.0,37.0
2000-01-24,208700.0,36.38,37.25,37.13,36.0
2000-01-25,364600.0,35.63,37.5,36.63,35.19
2000-01-26,400900.0,36.19,36.75,35.81,35.31
2000-01-27,177300.0,36.06,36.69,35.94,35.5
2000-01-28,362100.0,34.5,35.81,35.81,33.75
2000-01-31,250100.0,35.19,35.56,35.0,34.81
2000-02-01,137000.0,35.06,35.25,35.0,34.63
2000-02-02,345200.0,34.06,35.19,35.19,34.0
2000-02-03,313400.0,34.75,35.19,34.31,34.0
2000-02-04,377300.0,35.13,35.75,35.13,34.5
2000-02-07,327900.0,34.94,35.38,34.88,34.5
2000-02-08,347700.0,34.19,34.88,34.88,33.88
2000-02-09,305900.0,33.06,34.13,34.13,32.81
2000-02-10,220500.0,33.13,33.5,32.81,32.63
2000-02-11,183300.0,32.5,33.5,33.38,32.31
2000-02-14,151000.0,32.5,32.88,32.63,32.19
2000-02-15,341700.0,33.38,33.38,32.5,32.25
2000-02-16,204000.0,32.63,33.63,33.25,32.5
2000-02-17,196500.0,32.69,32.88,32.88,32.38
2000-02-18,424500.0,31.06,32.69,32.44,30.25
2000-02-22,313000.0,31.69,32.19,32.0,31.0
2000-02-23,250500.0,31.13,31.88,31.63,30.75
2000-02-24,562200.0,29.13,31.06,31.0,28.38
2000-02-25,278900.0,29.13,30.06,29.38,29.06
2000-02-28,360300.0,28.63,29.81,29.38,28.0
2000-02-29,325900.0,28.25,28.94,28.75,28.13
2000-03-01,355200.0,28.88,29.25,28.75,28.5
2000-03-02,359400.0,28.75,29.25,28.81,28.56
2000-03-03,563400.0,30.69,31.0,28.75,28.63
2000-03-06,285100.0,28.5,30.81,30.69,28.19
2000-03-07,389000.0,28.38,29.5,28.88,28.19
2000-03-08,333800.0,29.13,29.44,28.13,28.0
2000-03-09,436600.0,30.25,30.5,29.25,28.88
2000-03-10,354800.0,30.38,30.69,29.94,29.75
2000-03-13,307100.0,29.81,30.44,30.44,29.5
2000-03-14,453900.0,30.81,31.31,29.63,29.63
2000-03-15,505800.0,32.56,33.0,30.63,30.5
2000-03-16,438700.0,34.63,34.69,33.25,32.75
2000-03-17,568700.0,34.44,35.88,35.88,34.06
2000-03-20,448300.0,34.13,34.94,34.56,33.63
2000-03-21,215100.0,35.0,35.38,33.75,33.75
2000-03-22,225000.0,34.38,35.13,35.0,34.0
2000-03-23,571000.0,33.88,34.5,34.13,32.88
2000-03-24,334600.0,34.56,34.69,33.62,33.38
2000-03-27,230000.0,34.56,34.94,34.38,34.19
2000-03-28,252700.0,34.63,35.75,34.44,34.38
2000-03-29,110900.0,34.94,35.0,34.56,34.56
2000-03-30,380200.0,36.5,37.0,35.19,35.13
2000-03-31,353400.0,36.69,37.0,36.44,36.38
2000-04-03,434500.0,37.19,38.0,36.5,36.25
2000-04-04,247100.0,36.94,38.0,37.38,36.0
