date,5. volume,4. close,2. high,1. open,3. low
2016-11-16,200.0,14.85,14.85,14.85,14.85
2016-11-17,3235.0,14.91,14.9699,14.9699,14.9
2016-11-18,2400.0,14.7692,14.88,14.88,14.69
2016-11-21,100.0,14.8599,14.8599,14.8599,14.8599
2016-11-22,0.0,14.8599,14.8599,14.8599,14.8599
2016-11-23,20.0,14.8599,14.8599,14.8599,14.8599
2016-11-25,1261.0,15.06,15.06,15.04,15.0207
2016-11-28,528.0,14.9688,14.9688,14.9688,14.9688
2016-11-29,220.0,14.91,14.98,14.98,14.91
2016-11-30,1.0,14.91,14.91,14.91,14.91
2016-12-01,0.0,14.91,14.91,14.91,14.91
2016-12-02,4.0,14.905,14.905,14.905,14.905
2016-12-05,734.0,15.29,15.29,15.19,15.19
2016-12-06,150.0,15.4499,15.4499,15.4499,15.4499
2016-12-07,45.0,15.4499,15.4499,15.4499,15.4499
2016-12-08,144.0,15.62,15.62,15.62,15.62
2016-12-09,0.0,15.62,15.62,15.62,15.62
2016-12-12,351.0,15.6797,15.68,15.68,15.6797
2016-12-13,257.0,15.83,15.83,15.8299,15.8299
2016-12-14,354.0,15.71,15.8,15.79,15.71
2016-12-15,0.0,15.71,15.71,15.71,15.71
2016-12-16,50.0,15.71,15.71,15.71,15.71
2016-12-19,40.0,15.71,15.71,15.71,15.71
2016-12-20,119.0,15.71,15.71,15.71,15.71
2016-12-21,0.0,15.71,15.71,15.71,15.71
2016-12-22,2.0,15.71,15.71,15.71,15.71
2016-12-23,71.0,15.71,15.71,15.71,15.71
2016-12-27,0.0,15.71,15.71,15.71,15.71
2016-12-28,0.0,15.71,15.71,15.71,15.71
2016-12-29,47.0,15.71,15.71,15.71,15.71
2016-12-30,0.0,15.71,15.71,15.71,15.71
2017-01-03,6.0,15.71,15.71,15.71,15.71
2017-01-04,0.0,15.71,15.71,15.71,15.71
2017-01-05,0.0,15.71,15.71,15.71,15.71
2017-01-06,50.0,15.71,15.71,15.71,15.71
2017-01-09,1.0,15.71,15.71,15.71,15.71
2017-01-10,19.0,15.71,15.71,15.71,15.71
2017-01-11,340.0,15.9,15.9,15.87,15.87
2017-01-12,0.0,15.9,15.9,15.9,15.9
2017-01-13,10.0,15.9,15.9,15.9,15.9
2017-01-17,0.0,15.9,15.9,15.9,15.9
2017-01-18,75.0,15.9,15.9,15.9,15.9
2017-01-19,0.0,15.9,15.9,15.9,15.9
2017-01-20,0.0,15.9,15.9,15.9,15.9
2017-01-23,402.0,16.0105,16.03,16.03,16.0105
2017-01-24,100.0,16.0105,16.0105,16.0105,16.0105
2017-01-25,239.0,16.2892,16.2892,16.287,16.287
2017-01-26,46.0,16.2892,16.2892,16.2892,16.2892
2017-01-27,199.0,16.1899,16.1899,16.1899,16.1899
2017-01-30,537.0,16.02,16.02,16.02,16.02
2017-01-31,460.0,16.0999,16.0999,16.0999,16.0999
2017-02-01,0.0,16.0999,16.0999,16.0999,16.0999
2017-02-02,0.0,16.0999,16.0999,16.0999,16.0999
2017-02-03,1970.0,16.05,16.05,16.0201,16.0201
2017-02-06,752.0,15.8405,15.86,15.8342,15.8342
2017-02-07,1109.0,15.84,15.84,15.82,15.82
2017-02-08,0.0,15.84,15.84,15.84,15.84
2017-02-09,2.0,15.84,15.84,15.84,15.84
2017-02-10,1.0,15.84,15.84,15.84,15.84
2017-02-13,1009.0,16.1239,16.26,16.26,16.1239
2017-02-14,0.0,16.1239,16.1239,16.1239,16.1239
2017-02-15,850.0,16.18,16.18,16.18,16.18
2017-02-16,1141.0,16.2,16.2,16.2,16.2
2017-02-17,1305.0,16.07,16.15,16.15,16.03
2017-02-21,112.0,16.07,16.07,16.07,16.07
2017-02-22,517.0,16.02,16.02,15.96,15.96
2017-02-23,200.0,16.1399,16.1399,16.1399,16.1399
2017-02-24,125.0,15.84,15.84,15.84,15.84
2017-02-27,329.0,15.9,15.9,15.8999,15.8999
2017-02-28,3000.0,15.97,15.97,15.88,15.88
2017-03-01,32.0,15.9135,15.9135,15.9135,15.9135
2017-03-02,200.0,16.03,16.09,16.09,16.03
2017-03-03,101.0,16.04,16.04,16.04,16.04
2017-03-06,602.0,16.065,16.1,16.1,16.065
2017-03-07,2.0,16.065,16.065,16.065,16.065
2017-03-08,257.0,15.8999,15.9,15.9,15.8999
2017-03-09,0.0,15.8999,15.8999,15.8999,15.8999
2017-03-10,1150.0,16.2,16.2,16.1493,16.1493
2017-03-13,3327.0,16.26,16.26,16.2399,16.215
2017-03-14,31.0,16.26,16.26,16.26,16.26
2017-03-15,600.0,16.2442,16.27,16.27,16.1925
2017-03-16,37.0,16.2442,16.2442,16.2442,16.2442
2017-03-17,1257.0,16.48,16.48,16.44,16.44
2017-03-20,170.0,16.3897,16.3897,16.3897,16.3897
2017-03-21,0.0,16.3897,16.3897,16.3897,16.3897
2017-03-22,655.0,16.23,16.23,16.23,16.23
2017-03-23,500.0,16.28,16.28,16.24,16.24
2017-03-24,0.0,16.28,16.28,16.28,16.28
2017-03-27,170.0,16.42,16.42,16.42,16.42
2017-03-28,261.0,16.5399,16.5399,16.5399,16.5399
2017-03-29,171.0,16.49,16.49,16.49,16.49
2017-03-30,1.0,16.49,16.49,16.49,16.49
2017-03-31,3573.0,16.5,16.53,16.49,16.49
2017-04-03,2.0,16.4435,16.4435,16.4435,16.4435
2017-04-04,408.0,16.38,16.38,16.359,16.359
2017-04-05,1.0,16.38,16.38,16.38,16.38
2017-04-06,0.0,16.38,16.38,16.38,16.38
2017-04-07,739.0,16.43,16.43,16.3999,16.3999
2017-04-10,0.0,16.43,16.43,16.43,16.43
2017-04-11,0.0,16.43,16.43,16.43,16.43
2017-04-12,0.0,16.43,16.43,16.43,16.43
2017-04-13,691.0,17.75,17.75,17.75,17.75
2017-04-17,8645.0,16.41,16.45,16.42,16.4025
2017-04-18,0.0,16.41,16.41,16.41,16.41
2017-04-19,355.0,16.37,16.37,16.37,16.37
2017-04-20,1002.0,16.47,16.47,16.47,16.47
2017-04-21,0.0,16.47,16.47,16.47,16.47
2017-04-24,0.0,16.47,16.47,16.47,16.47
2017-04-25,2899.0,16.97,16.97,16.94,16.8601
2017-04-26,30.0,16.97,16.97,16.97,16.97
2017-04-27,1.0,16.97,16.97,16.97,16.97
2017-04-28,505.0,16.9,16.9,16.9,16.9
2017-05-01,11.0,16.8435,16.8435,16.8435,16.8435
2017-05-02,1765.0,17.0362,17.04,16.99,16.99
2017-05-03,901.0,16.9239,16.95,16.94,16.9239
2017-05-04,961.0,17.0845,17.09,17.09,17.0845
2017-05-05,709.0,17.27,17.27,17.27,17.27
2017-05-08,11384.0,17.18,17.27,17.27,17.0747
2017-05-09,4500.0,17.13,17.13,17.1231,17.1129
2017-05-10,1464.0,17.2,17.21,17.18,17.18
2017-05-11,4031.0,17.0989,17.1,17.1,17.0377
2017-05-12,671.0,17.18,17.18,17.1135,17.1135
2017-05-15,1152.0,17.29,17.29,17.26,17.1572
2017-05-16,1673.0,17.45,17.45,17.3,17.3
2017-05-17,1012.0,17.266,17.31,17.2924,17.266
2017-05-18,4290.0,17.24,17.32,17.1001,17.1
