date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,0.0,10.5,10.5,10.5,10.5
2000-01-04,0.0,10.5,10.5,10.5,10.5
2000-01-05,0.0,10.5,10.5,10.5,10.5
2000-01-06,0.0,10.5,10.5,10.5,10.5
2000-01-07,0.0,10.5,10.5,10.5,10.5
2000-01-10,0.0,10.5,10.5,10.5,10.5
2000-01-11,0.0,10.5,10.5,10.5,10.5
2000-01-12,363.0,9.5,9.5,9.5,9.5
2000-01-13,0.0,9.5,9.5,9.5,9.5
2000-01-14,0.0,9.5,9.5,9.5,9.5
2000-01-18,1369.0,9.5,9.5,9.5,9.5
2000-01-19,1369.0,9.75,9.75,9.75,9.75
2000-01-20,0.0,9.75,9.75,9.75,9.75
2000-01-21,56.0,9.75,9.75,9.75,9.75
2000-01-24,0.0,9.75,9.75,9.75,9.75
2000-01-25,0.0,9.75,9.75,9.75,9.75
2000-01-26,1928.0,9.75,9.75,9.5,9.5
2000-01-27,0.0,9.75,9.75,9.75,9.75
2000-01-28,0.0,9.75,9.75,9.75,9.75
2000-01-31,0.0,9.75,9.75,9.75,9.75
2000-02-01,56.0,10.0,10.0,10.0,10.0
2000-02-02,0.0,10.0,10.0,10.0,10.0
2000-02-03,0.0,10.0,10.0,10.0,10.0
2000-02-04,0.0,10.0,10.0,10.0,10.0
2000-02-07,0.0,10.0,10.0,10.0,10.0
2000-02-08,1146.0,9.75,9.75,9.75,9.75
2000-02-09,0.0,9.75,9.75,9.75,9.75
2000-02-10,0.0,9.75,9.75,9.75,9.75
2000-02-11,0.0,9.75,9.75,9.75,9.75
2000-02-14,0.0,9.75,9.75,9.75,9.75
2000-02-15,0.0,9.75,9.75,9.75,9.75
2000-02-16,0.0,9.75,9.75,9.75,9.75
2000-02-17,0.0,9.75,9.75,9.75,9.75
2000-02-18,2375.0,10.25,10.25,10.0,10.0
2000-02-22,9361.0,10.25,10.25,10.0,10.0
2000-02-23,0.0,10.25,10.25,10.25,10.25
2000-02-24,754.0,10.5,10.5,10.25,10.25
2000-02-25,1369.0,10.5,10.5,10.0,10.0
2000-02-28,0.0,10.5,10.5,10.5,10.5
2000-02-29,0.0,10.5,10.5,10.5,10.5
2000-03-01,3996.0,10.5,11.0,10.0,10.0
2000-03-02,838.0,10.5,10.5,10.5,10.5
2000-03-03,0.0,10.5,10.5,10.5,10.5
2000-03-06,4974.0,10.0,10.0,10.0,10.0
2000-03-07,0.0,10.0,10.0,10.0,10.0
2000-03-08,0.0,10.0,10.0,10.0,10.0
2000-03-09,28.0,10.5,10.5,10.5,10.5
2000-03-10,838.0,10.5,10.5,10.5,10.5
2000-03-13,0.0,10.5,10.5,10.5,10.5
2000-03-14,0.0,10.5,10.5,10.5,10.5
2000-03-15,0.0,10.5,10.5,10.5,10.5
2000-03-16,0.0,10.5,10.5,10.5,10.5
2000-03-17,0.0,10.5,10.5,10.5,10.5
2000-03-20,1230.0,10.25,10.25,10.0,10.0
2000-03-21,838.0,10.0,10.0,10.0,10.0
2000-03-22,0.0,10.0,10.0,10.0,10.0
2000-03-23,0.0,10.0,10.0,10.0,10.0
2000-03-24,0.0,10.0,10.0,10.0,10.0
2000-03-27,28.0,10.0,10.0,10.0,10.0
2000-03-28,1928.0,10.0,10.0,9.5,9.0
2000-03-29,0.0,10.0,10.0,10.0,10.0
2000-03-30,0.0,10.0,10.0,10.0,10.0
2000-03-31,0.0,10.0,10.0,10.0,10.0
2000-04-03,0.0,10.0,10.0,10.0,10.0
2000-04-04,0.0,10.0,10.0,10.0,10.0
2000-04-05,0.0,10.0,10.0,10.0,10.0
2000-04-06,0.0,10.0,10.0,10.0,10.0
2000-04-07,0.0,10.0,10.0,10.0,10.0
2000-04-10,768.0,8.0,8.0,8.0,8.0
2000-04-11,70.0,8.5,8.5,8.5,8.5
2000-04-12,0.0,8.5,8.5,8.5,8.5
2000-04-13,559.0,8.375,8.375,8.375,8.375
2000-04-14,0.0,8.38,8.38,8.38,8.38
2000-04-17,2794.0,8.0,8.0,7.5,7.375
2000-04-18,0.0,8.0,8.0,8.0,8.0
2000-04-19,524.0,7.5,7.5,7.5,7.5
2000-04-20,0.0,7.5,7.5,7.5,7.5
2000-04-24,524.0,8.0,8.0,8.0,8.0
2000-04-25,0.0,8.0,8.0,8.0,8.0
