date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,136800.0,32.88,34.13,33.81,31.75
2000-01-04,286500.0,32.75,38.0,33.13,32.38
2000-01-05,347900.0,33.0,33.63,32.63,30.25
2000-01-06,196800.0,31.13,33.0,32.63,30.88
2000-01-07,204800.0,30.38,32.25,31.0,30.13
2000-01-10,233400.0,30.5,31.31,30.5,29.63
2000-01-11,178200.0,30.0,31.25,30.25,28.75
2000-01-12,227900.0,29.0,30.5,30.5,28.0
2000-01-13,288300.0,28.63,29.13,28.94,28.25
2000-01-14,497900.0,31.0,32.0,29.13,28.06
2000-01-18,715600.0,35.0,35.5,34.25,31.5
2000-01-19,1086100.0,43.0,43.44,35.25,35.0
2000-01-20,581800.0,45.88,46.25,43.78,40.5
2000-01-21,350400.0,45.75,48.88,48.0,44.75
2000-01-24,471000.0,41.75,46.25,45.88,41.0
2000-01-25,177600.0,42.5,44.25,41.94,41.88
2000-01-26,80100.0,42.75,45.63,42.56,42.38
2000-01-27,262200.0,46.0,47.38,43.5,41.5
2000-01-28,229200.0,41.88,45.94,45.0,40.25
2000-01-31,216100.0,43.88,44.44,41.25,38.5
2000-02-01,85600.0,43.38,45.88,44.0,41.25
2000-02-02,48900.0,42.06,43.5,43.5,41.31
2000-02-03,67200.0,44.94,45.0,42.5,41.56
2000-02-04,579300.0,48.75,50.25,45.0,44.88
2000-02-07,498400.0,53.0,57.75,51.48,51.44
2000-02-08,319300.0,54.25,55.25,52.44,52.38
2000-02-09,190800.0,49.38,54.5,54.5,49.25
2000-02-10,295600.0,48.38,50.75,50.13,47.75
2000-02-11,223400.0,51.75,51.75,49.25,47.38
2000-02-14,213400.0,54.25,54.25,51.75,51.75
2000-02-15,258900.0,54.63,55.13,54.38,52.75
2000-02-16,468400.0,61.25,65.5,54.88,54.0
2000-02-17,313600.0,57.75,62.38,61.75,55.0
2000-02-18,124600.0,55.88,58.5,57.25,55.0
2000-02-22,134000.0,52.13,55.88,55.13,49.38
2000-02-23,149000.0,51.5,52.13,51.88,48.75
2000-02-24,228300.0,49.88,51.88,51.13,49.0
2000-02-25,207600.0,50.0,52.88,50.06,49.0
2000-02-28,69000.0,51.0,51.94,50.0,49.0
2000-02-29,36700.0,52.38,52.38,51.13,50.56
2000-03-01,89400.0,50.63,52.88,52.88,50.31
2000-03-02,107000.0,49.0,51.5,51.0,49.0
2000-03-03,137400.0,50.19,53.0,50.38,49.0
2000-03-06,123300.0,54.0,55.63,50.06,50.06
2000-03-07,178700.0,56.63,58.0,54.88,54.88
2000-03-08,209500.0,63.0,64.0,56.63,56.38
2000-03-09,340000.0,66.31,69.63,63.0,59.38
2000-03-10,362400.0,65.88,67.5,67.0,65.25
2000-03-13,214600.0,67.88,72.75,59.5,58.75
2000-03-14,508300.0,65.5,78.0,68.63,64.25
2000-03-15,272300.0,61.5,68.5,68.0,59.88
2000-03-16,145500.0,60.75,63.75,63.13,59.0
2000-03-17,55500.0,61.0,61.13,60.5,58.75
2000-03-20,155300.0,54.69,61.13,61.13,54.38
2000-03-21,581100.0,46.5,55.25,54.75,45.75
2000-03-22,354000.0,44.25,47.25,46.88,44.25
2000-03-23,607500.0,50.0,51.0,45.25,44.5
2000-03-24,153200.0,48.88,50.75,50.63,47.63
2000-03-27,169100.0,44.38,49.38,48.5,44.25
2000-03-28,324400.0,40.0,44.5,44.13,39.5
2000-03-29,541600.0,34.0,41.13,40.5,33.38
2000-03-30,842100.0,31.56,35.38,30.0,30.0
2000-03-31,807400.0,34.75,35.25,33.25,31.88
2000-04-03,363600.0,32.38,34.0,33.38,31.75
2000-04-04,556400.0,27.25,32.5,32.13,24.0
2000-04-05,647500.0,24.75,26.63,26.25,24.5
2000-04-06,850400.0,29.19,29.38,26.13,24.38
2000-04-07,572500.0,29.38,31.44,30.5,28.75
2000-04-10,370300.0,24.5,29.38,29.25,24.19
2000-04-11,841300.0,20.25,24.5,24.5,18.63
2000-04-12,830400.0,17.88,20.25,20.25,16.38
2000-04-13,563800.0,17.5,20.0,17.88,17.38
2000-04-14,735400.0,12.98,17.75,16.75,12.25
2000-04-17,950500.0,16.25,16.38,12.13,12.0
2000-04-18,701100.0,15.75,17.13,16.88,14.38
2000-04-19,1718100.0,16.0,18.38,16.11,15.25
2000-04-20,342900.0,18.38,18.75,16.0,15.94
2000-04-24,289800.0,16.81,17.94,17.88,15.88
2000-04-25,210600.0,18.0,18.13,18.0,16.88
2000-04-26,471100.0,17.88,19.13,18.56,17.5
2000-04-27,330000.0,17.63,17.88,17.81,17.0
2000-04-28,1780000.0,12.38,17.88,17.72,12.0
2000-05-01,2305700.0,13.75,14.06,13.25,12.03
2000-05-02,934200.0,14.31,15.88,14.69,14.0
2000-05-03,476400.0,13.0,13.75,13.5,12.44
2000-05-04,229100.0,12.75,13.31,13.25,12.38
2000-05-05,435400.0,13.44,14.63,12.88,12.81
2000-05-08,135100.0,12.88,13.5,13.44,12.81
2000-05-09,258100.0,12.13,13.31,13.31,11.88
2000-05-10,357300.0,11.13,12.25,12.13,10.25
2000-05-11,605200.0,10.0,11.38,11.25,9.5
2000-05-12,1653100.0,10.44,11.09,9.969,9.813
2000-05-15,659900.0,10.25,10.94,10.38,10.0
2000-05-16,727600.0,11.13,11.38,10.63,10.5
2000-05-17,412500.0,10.56,11.09,11.06,10.38
2000-05-18,482900.0,10.13,11.0,10.88,9.5
2000-05-19,400600.0,9.75,9.969,9.969,8.625
2000-05-22,3189100.0,10.38,12.56,11.94,10.13
2000-05-23,2339000.0,11.38,12.5,10.56,10.31
2000-05-24,1662600.0,13.5,13.75,11.59,11.5
2000-05-25,2557900.0,15.31,17.63,14.13,14.0
