date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,42000.0,30.94,31.81,31.75,30.0
2000-01-04,18900.0,29.75,29.88,29.75,27.75
2000-01-05,25600.0,28.75,29.75,29.0,28.25
2000-01-06,12700.0,28.63,28.63,27.0,27.0
2000-01-07,14400.0,29.0,29.5,28.0,28.0
2000-01-10,39600.0,30.25,30.25,28.25,28.0
2000-01-11,13400.0,30.0,30.5,29.69,29.31
2000-01-12,18200.0,29.75,30.38,29.63,29.63
2000-01-13,9200.0,30.38,30.5,29.5,29.5
2000-01-14,44800.0,30.13,31.0,30.5,30.0
2000-01-18,24500.0,30.13,31.44,30.0,30.0
2000-01-19,27600.0,30.0,31.5,30.0,29.25
2000-01-20,19300.0,29.88,30.0,29.13,29.13
2000-01-21,59500.0,30.0,30.5,29.88,29.38
2000-01-24,9400.0,29.5,30.75,30.0,29.5
2000-01-25,41800.0,31.38,31.83,29.75,29.75
2000-01-26,18800.0,30.31,31.5,31.0,29.25
2000-01-27,14800.0,29.25,31.0,29.25,29.25
2000-01-28,19100.0,29.88,30.0,29.25,29.25
2000-01-31,19200.0,30.5,30.5,29.25,29.25
2000-02-01,13400.0,30.0,30.13,29.75,29.75
2000-02-02,27600.0,29.0,30.25,30.12,28.5
2000-02-03,20600.0,30.13,30.13,28.5,28.5
2000-02-04,12500.0,29.25,30.25,29.25,29.25
2000-02-07,20800.0,30.0,30.38,29.25,29.25
2000-02-08,12900.0,29.63,30.88,29.5,29.5
2000-02-09,16100.0,29.63,30.38,29.63,29.63
2000-02-10,20900.0,30.25,30.5,30.0,29.25
2000-02-11,13800.0,29.0,29.25,29.25,29.0
2000-02-14,3100.0,29.0,29.0,28.88,28.88
2000-02-15,45300.0,30.88,31.0,29.5,29.5
2000-02-16,13300.0,29.25,30.44,30.0,29.25
2000-02-17,14900.0,30.0,30.0,29.13,29.13
2000-02-18,700.0,29.63,29.63,29.13,29.13
2000-02-22,13800.0,29.81,30.31,29.13,29.13
2000-02-23,11400.0,30.25,30.31,29.25,29.25
2000-02-24,15600.0,30.75,30.75,29.25,29.25
2000-02-25,5600.0,30.88,30.88,30.63,30.13
2000-02-28,4300.0,30.73,30.88,30.25,30.25
2000-02-29,107800.0,31.0,31.25,30.75,26.25
2000-03-01,68400.0,31.31,31.94,31.0,30.0
2000-03-02,23000.0,31.0,31.5,31.19,31.0
2000-03-03,29900.0,31.0,31.0,30.88,30.5
2000-03-06,35500.0,30.5,31.25,30.5,30.13
2000-03-07,26900.0,30.0,30.63,30.63,30.0
2000-03-08,37600.0,30.5,31.0,30.0,30.0
2000-03-09,37000.0,30.88,31.25,30.0,30.0
2000-03-10,18400.0,30.38,30.56,29.88,29.88
2000-03-13,37000.0,30.0,30.63,30.25,30.0
2000-03-14,13400.0,30.06,30.19,30.0,29.88
2000-03-15,56200.0,31.63,31.88,30.06,29.88
2000-03-16,25200.0,31.13,31.94,30.38,30.38
2000-03-17,17900.0,31.5,32.0,31.75,31.5
2000-03-20,900.0,31.06,31.88,31.88,31.0
2000-03-21,27400.0,31.63,31.63,31.25,31.25
2000-03-22,24300.0,31.44,31.75,31.5,31.25
