date,5. volume,4. close,2. high,1. open,3. low
2005-02-24,443200.0,20.0,20.01,20.0,20.0
2005-02-25,72400.0,20.0,20.01,20.01,20.0
2005-02-28,38000.0,20.0,20.02,20.0,20.0
2005-03-01,47100.0,20.01,20.04,20.0,20.0
2005-03-02,64800.0,20.01,20.05,20.03,20.0
2005-03-03,37800.0,20.01,20.09,20.01,20.01
2005-03-04,24900.0,20.01,20.15,20.08,20.0
2005-03-07,28100.0,20.02,20.04,20.0,20.0
2005-03-08,30400.0,20.0,20.02,20.01,20.0
2005-03-09,31300.0,20.01,20.01,20.0,20.0
2005-03-10,7700.0,20.02,20.02,20.0,20.0
2005-03-11,14200.0,20.0,20.01,20.0,20.0
2005-03-14,28400.0,20.02,20.1,20.1,20.0
2005-03-15,22500.0,20.01,20.04,20.04,20.0
2005-03-16,12000.0,20.01,20.01,20.0,20.0
2005-03-17,48600.0,20.0,20.01,20.0,20.0
2005-03-18,14800.0,20.01,20.01,20.01,20.0
2005-03-21,74300.0,20.0,20.02,20.01,20.0
2005-03-22,115300.0,20.0,20.01,20.0,20.0
2005-03-23,106300.0,20.0,20.01,20.0,20.0
2005-03-24,128700.0,20.0,20.01,20.0,20.0
2005-03-28,166300.0,20.0,20.01,20.0,20.0
2005-03-29,668900.0,19.4,20.0,19.95,19.0
2005-03-30,56200.0,19.54,19.6,19.4,19.31
2005-03-31,121700.0,19.54,19.6,19.54,19.5
2005-04-01,49500.0,19.43,19.55,19.5,19.43
2005-04-04,47400.0,19.35,19.42,19.42,19.17
2005-04-05,70400.0,19.15,19.4,19.4,19.15
2005-04-06,60200.0,19.16,19.27,19.25,19.1
2005-04-07,25900.0,19.01,19.15,19.15,19.01
2005-04-08,21900.0,19.09,19.12,19.06,19.0
2005-04-11,4900.0,19.12,19.13,19.07,19.05
2005-04-12,140900.0,18.95,19.07,19.07,18.89
2005-04-13,78900.0,18.85,18.95,18.85,18.85
2005-04-14,62500.0,18.73,18.85,18.82,18.7
2005-04-15,53000.0,18.24,18.73,18.7,18.2
2005-04-18,93100.0,18.05,18.11,18.0,17.85
2005-04-19,39000.0,18.13,18.2,18.1,17.91
2005-04-20,24100.0,17.94,18.09,17.96,17.91
2005-04-21,27000.0,18.1,18.1,17.91,17.91
2005-04-22,12500.0,18.05,18.25,18.05,18.05
2005-04-25,43200.0,18.09,18.11,18.0,17.85
2005-04-26,42500.0,18.31,18.5,18.1,18.1
2005-04-27,31300.0,18.4,18.4,18.21,18.08
2005-04-28,32300.0,18.4,18.41,18.35,18.07
2005-04-29,78200.0,18.01,18.33,18.33,17.95
2005-05-02,74700.0,18.29,18.37,17.95,17.9
2005-05-03,27900.0,18.32,18.45,18.23,18.23
2005-05-04,32000.0,18.36,18.36,18.3,18.13
2005-05-05,25000.0,18.3,18.4,18.32,18.22
2005-05-06,22500.0,18.18,18.36,18.3,18.18
2005-05-09,25300.0,18.03,18.15,18.15,18.03
2005-05-10,42200.0,17.9,18.01,17.98,17.9
2005-05-11,28800.0,17.97,18.03,17.97,17.9
2005-05-12,32000.0,18.04,18.04,17.92,17.9
2005-05-13,22200.0,17.98,18.05,18.0,17.9
2005-05-16,23600.0,17.99,18.08,18.0,17.88
2005-05-17,36500.0,17.93,18.08,17.9,17.88
2005-05-18,33200.0,18.0,18.08,18.0,17.93
2005-05-19,27500.0,17.8,18.0,17.9,17.78
2005-05-20,38200.0,17.88,17.88,17.7,17.7
2005-05-23,45700.0,17.81,17.85,17.8,17.7
2005-05-24,66800.0,17.7,17.81,17.79,17.67
2005-05-25,120400.0,17.6,17.79,17.72,17.52
2005-05-26,35200.0,17.55,17.62,17.56,17.48
2005-05-27,30900.0,17.55,17.64,17.63,17.43
