date,5. volume,4. close,2. high,1. open,3. low
2010-05-28,780200.0,19.42,19.57,19.3,18.99
2010-06-01,654900.0,18.74,19.48,19.38,18.74
2010-06-02,3494500.0,14.48,15.74,15.045,13.84
2010-06-03,1937700.0,13.83,14.64,14.52,13.78
2010-06-04,1646000.0,13.73,13.88,13.82,13.21
2010-06-07,1138600.0,13.57,13.94,13.8,13.48
2010-06-08,1763500.0,13.51,13.75,13.6,13.25
2010-06-09,1753500.0,12.99,13.65,13.6,12.94
2010-06-10,3345500.0,12.31,13.1,12.9,12.03
2010-06-11,1745200.0,13.11,13.25,12.27,12.15
2010-06-14,1590400.0,13.33,13.68,13.33,13.16
2010-06-15,1301900.0,13.21,13.6,13.32,13.13
2010-06-16,1247500.0,13.42,13.51,13.04,12.77
2010-06-17,677500.0,13.49,13.59,13.59,13.27
2010-06-18,1572400.0,13.48,13.7,13.51,13.34
2010-06-21,1053600.0,13.29,13.62,13.6,13.28
2010-06-22,875000.0,13.43,13.62,13.2,12.97
2010-06-23,1170700.0,13.39,13.6,13.13,12.86
2010-06-24,1104500.0,13.26,13.44,13.2,13.08
2010-06-25,5082800.0,13.67,13.71,13.27,13.01
2010-06-28,261200.0,13.38,13.54,13.54,13.16
2010-06-29,999300.0,12.68,13.32,13.32,12.63
2010-06-30,1168700.0,12.68,13.14,12.61,12.61
2010-07-01,1007100.0,12.65,12.7,12.63,11.9
2010-07-02,977200.0,12.98,13.14,12.76,12.4
2010-07-06,1363900.0,13.06,13.49,13.21,12.98
2010-07-07,937000.0,13.57,13.6,13.12,13.12
2010-07-08,743800.0,13.58,13.83,13.83,13.34
2010-07-09,431900.0,13.88,13.9,13.54,13.45
2010-07-12,361900.0,13.84,13.86,13.78,13.6
2010-07-13,1035000.0,14.24,14.35,13.99,13.91
2010-07-14,242400.0,13.61,14.16,14.16,13.38
2010-07-15,882800.0,13.5,13.77,13.77,12.75
2010-07-16,978900.0,12.82,13.46,13.4,12.76
2010-07-19,764000.0,13.03,13.06,12.8,12.36
2010-07-20,1203700.0,13.59,13.59,12.9,12.41
2010-07-21,917200.0,13.58,14.03,13.71,13.16
2010-07-22,1118200.0,14.53,14.57,13.79,13.78
2010-07-23,640000.0,14.79,14.86,14.52,14.29
2010-07-26,613800.0,14.89,15.0,14.79,14.7
2010-07-27,462300.0,14.94,15.12,14.96,14.87
2010-07-28,465200.0,14.82,15.0,14.94,14.75
2010-07-29,628100.0,14.82,15.0,14.9,14.75
2010-07-30,411800.0,14.75,15.15,14.64,14.34
2010-08-02,639300.0,14.88,15.13,15.13,14.7
2010-08-03,688400.0,14.89,15.07,15.0,14.85
2010-08-04,605500.0,14.94,15.04,15.0,14.89
2010-08-05,543200.0,14.83,14.98,14.79,14.69
2010-08-06,485100.0,14.85,14.99,14.66,14.51
2010-08-09,746400.0,15.08,15.15,14.9,14.88
2010-08-10,447800.0,14.43,14.93,14.93,14.31
2010-08-11,781300.0,13.64,14.06,14.06,13.33
2010-08-12,698700.0,13.6,13.7,13.36,13.27
2010-08-13,400100.0,13.57,13.84,13.52,13.37
2010-08-16,534000.0,14.03,14.07,13.46,13.36
2010-08-17,562000.0,14.19,14.38,14.16,14.0999
2010-08-18,911700.0,14.16,14.2299,14.2,13.975
2010-08-19,696400.0,13.96,14.15,14.1,13.81
2010-08-20,653300.0,14.04,14.11,13.93,13.68
2010-08-23,329800.0,13.89,14.35,14.05,13.87
2010-08-24,364200.0,13.7,14.0099,13.69,13.56
2010-08-25,390600.0,14.2,14.25,13.49,13.185
2010-08-26,382000.0,13.66,14.32,14.32,13.65
2010-08-27,564200.0,14.43,14.45,13.78,13.66
2010-08-30,387300.0,14.58,14.79,14.33,14.31
2010-08-31,513600.0,14.83,14.96,14.6,14.42
2010-09-01,735100.0,15.55,15.59,15.01,14.85
2010-09-02,666400.0,15.66,15.9,15.6,15.41
2010-09-03,740300.0,15.54,15.95,15.91,15.43
2010-09-07,785100.0,14.7,15.5,15.5,14.66
2010-09-08,611200.0,14.71,14.81,14.66,14.56
2010-09-09,466800.0,14.62,15.07,14.87,14.55
2010-09-10,523200.0,14.47,14.9,14.62,14.31
2010-09-13,808100.0,15.0,15.05,14.65,14.63
2010-09-14,950700.0,14.8,15.13,15.03,14.71
2010-09-15,591900.0,15.06,15.07,14.79,14.57
2010-09-16,719000.0,14.78,15.12,15.0,14.59
2010-09-17,676600.0,14.43,15.0,14.97,14.35
2010-09-20,608500.0,14.75,14.78,14.43,14.12
2010-09-21,432300.0,14.57,14.84,14.77,14.47
2010-09-22,261000.0,14.63,14.78,14.49,14.315
2010-09-23,329200.0,14.45,14.77,14.48,14.39
2010-09-24,438600.0,14.85,14.91,14.68,14.57
2010-09-27,316500.0,14.76,15.025,14.81,14.68
2010-09-28,420200.0,15.08,15.17,14.78,14.46
2010-09-29,417500.0,14.78,15.15,15.06,14.58
2010-09-30,526300.0,14.94,15.45,14.89,14.8596
2010-10-01,798100.0,14.48,15.13,15.11,13.96
2010-10-04,834000.0,13.95,14.61,14.39,13.93
2010-10-05,1054500.0,13.9,14.15,14.15,13.89
2010-10-06,789900.0,14.15,14.2,13.91,13.88
2010-10-07,507200.0,14.17,14.53,14.26,14.11
2010-10-08,630900.0,14.12,14.18,14.13,13.95
2010-10-11,311700.0,14.21,14.34,14.09,13.96
2010-10-12,400600.0,14.55,14.61,14.27,14.21
2010-10-13,503700.0,14.91,15.11,14.59,14.56
2010-10-14,419100.0,14.61,15.08,14.85,14.47
2010-10-15,708200.0,14.46,15.07,14.75,14.39
2010-10-18,470700.0,14.73,14.75,14.42,14.26
2010-10-19,361300.0,14.49,14.91,14.49,14.34
2010-10-20,501500.0,14.97,15.11,14.53,14.53
2010-10-21,849300.0,14.34,14.93,14.93,14.06
2010-10-22,349000.0,14.27,14.44,14.4,14.04
2010-10-25,312200.0,14.58,14.77,14.33,14.33
2010-10-26,384900.0,14.41,14.57,14.48,14.27
2010-10-27,558200.0,14.17,14.29,14.27,13.86
2010-10-28,990000.0,13.92,14.34,14.32,13.75
2010-10-29,773500.0,14.04,14.22,13.93,13.93
2010-11-01,584500.0,14.24,14.31,14.14,14.04
2010-11-02,463600.0,14.44,14.45,14.42,14.19
2010-11-03,368800.0,14.32,14.5,14.42,14.06
2010-11-04,805200.0,14.54,14.59,14.48,14.35
2010-11-05,552900.0,14.6,14.71,14.57,14.28
2010-11-08,1844600.0,14.35,14.5295,14.52,14.19
2010-11-09,426400.0,13.99,14.33,14.33,13.95
