date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,800.0,16.5,17.25,15.5,15.5
2000-01-04,0.0,16.5,16.5,16.5,16.5
2000-01-05,80.0,16.5,16.5,16.5,16.5
2000-01-06,160.0,17.0,17.0,15.5,15.5
2000-01-07,2240.0,17.0,17.25,15.5,15.5
2000-01-10,0.0,17.0,17.0,17.0,17.0
2000-01-11,0.0,17.0,17.0,17.0,17.0
2000-01-12,0.0,17.0,17.0,17.0,17.0
2000-01-13,400.0,15.25,15.25,15.25,15.25
2000-01-14,2080.0,15.25,15.25,15.25,15.25
2000-01-18,80.0,16.0,16.0,16.0,16.0
2000-01-19,4160.0,15.25,15.25,15.25,15.25
2000-01-20,5200.0,15.25,15.25,15.25,15.25
2000-01-21,0.0,15.25,15.25,15.25,15.25
2000-01-24,1680.0,16.5,16.5,16.5,16.5
2000-01-25,7760.0,16.38,16.38,16.25,16.25
2000-01-26,0.0,16.37,16.37,16.37,16.37
2000-01-27,160.0,16.5,16.5,16.5,16.5
2000-01-28,80.0,17.25,17.25,17.25,17.25
2000-01-31,160.0,16.5,16.5,16.5,16.5
2000-02-01,0.0,16.5,16.5,16.5,16.5
2000-02-02,800.0,17.38,17.5,17.5,17.38
2000-02-03,0.0,16.5,16.5,16.5,16.5
2000-02-04,1600.0,16.5,16.5,16.5,16.5
2000-02-07,560.0,17.25,17.25,17.25,17.25
2000-02-08,3200.0,16.75,16.75,16.75,16.75
2000-02-09,0.0,16.75,16.75,16.75,16.75
2000-02-10,0.0,16.75,16.75,16.75,16.75
2000-02-11,0.0,16.75,16.75,16.75,16.75
2000-02-14,80.0,16.75,16.75,16.75,16.75
2000-02-15,160.0,17.0,17.0,17.0,17.0
2000-02-16,0.0,17.0,17.0,17.0,17.0
2000-02-17,80.0,17.0,17.0,17.0,17.0
2000-02-18,0.0,17.0,17.0,17.0,17.0
2000-02-22,1440.0,17.0,17.0,17.0,17.0
2000-02-23,480.0,17.0,17.0,17.0,17.0
2000-02-24,5360.0,17.0,17.0,17.0,17.0
2000-02-25,80.0,17.25,17.25,17.25,17.25
2000-02-28,4400.0,17.0,17.25,16.94,16.94
2000-02-29,0.0,17.0,17.0,17.0,17.0
2000-03-01,160.0,17.0,17.0,17.0,17.0
2000-03-02,0.0,17.0,17.0,17.0,17.0
2000-03-03,160.0,17.25,17.25,17.25,17.25
2000-03-06,160.0,17.0,17.0,17.0,17.0
2000-03-07,0.0,17.0,17.0,17.0,17.0
2000-03-08,0.0,17.0,17.0,17.0,17.0
2000-03-09,480.0,17.0,17.0,17.0,17.0
2000-03-10,0.0,17.0,17.0,17.0,17.0
2000-03-13,0.0,17.0,17.0,17.0,17.0
2000-03-14,160.0,17.0,17.0,17.0,17.0
2000-03-15,0.0,17.0,17.0,17.0,17.0
2000-03-16,0.0,17.0,17.0,17.0,17.0
2000-03-17,0.0,17.0,17.0,17.0,17.0
2000-03-20,80.0,17.0,17.0,17.0,17.0
2000-03-21,800.0,15.0,17.0,17.0,15.0
2000-03-22,80.0,15.0,15.0,15.0,15.0
2000-03-23,640.0,17.0,17.0,17.0,17.0
2000-03-24,80.0,17.0,17.0,17.0,17.0
2000-03-27,240.0,17.0,17.0,17.0,17.0
2000-03-28,400.0,17.0,17.0,16.5,16.5
2000-03-29,0.0,17.0,17.0,17.0,17.0
2000-03-30,0.0,17.0,17.0,17.0,17.0
2000-03-31,400.0,16.5,16.5,16.5,16.5
2000-04-03,400.0,16.5,16.5,16.5,16.5
2000-04-04,3280.0,16.5,16.5,16.5,16.5
2000-04-05,1680.0,16.0,16.5,16.5,16.0
2000-04-06,0.0,16.0,16.0,16.0,16.0
2000-04-07,0.0,16.0,16.0,16.0,16.0
2000-04-10,0.0,16.0,16.0,16.0,16.0
2000-04-11,0.0,16.0,16.0,16.0,16.0
2000-04-12,800.0,16.0,16.0,16.0,16.0
2000-04-13,0.0,16.0,16.0,16.0,16.0
2000-04-14,1360.0,17.38,17.38,16.0,16.0
2000-04-17,0.0,17.38,17.38,16.0,16.0
2000-04-18,160.0,16.0,16.0,15.0,15.0
2000-04-19,0.0,16.0,16.0,16.0,16.0
2000-04-20,0.0,16.0,16.0,16.0,16.0
2000-04-24,400.0,15.25,15.25,15.25,15.25
2000-04-25,21760.0,16.5,17.0,16.52,16.5
2000-04-26,0.0,16.5,16.5,16.5,16.5
2000-04-27,80.0,16.75,16.75,16.75,16.75
2000-04-28,21280.0,16.75,16.75,16.75,16.25
2000-05-01,240.0,16.75,16.75,16.75,16.75
2000-05-02,0.0,16.75,16.75,16.75,16.75
2000-05-03,0.0,16.75,16.75,16.75,16.75
2000-05-04,480.0,16.75,17.0,17.0,16.75
2000-05-05,0.0,16.75,16.75,16.75,16.75
2000-05-08,240.0,16.0,16.0,16.0,16.0
2000-05-09,1280.0,16.25,16.69,16.69,16.25
2000-05-10,0.0,16.25,16.25,16.25,16.25
2000-05-11,0.0,16.25,16.25,16.25,16.25
2000-05-12,0.0,16.25,16.25,16.25,16.25
2000-05-15,640.0,16.0,16.75,16.75,16.0
2000-05-16,960.0,16.25,16.25,16.25,16.25
2000-05-17,800.0,16.25,16.25,15.25,15.25
2000-05-18,0.0,16.25,16.25,16.25,16.25
2000-05-19,880.0,16.25,16.25,16.25,16.25
2000-05-22,560.0,15.0,15.0,14.25,14.25
2000-05-23,80.0,15.75,15.75,15.75,15.75
2000-05-24,0.0,15.75,15.75,15.75,15.75
2000-05-25,240.0,14.0,14.0,14.0,14.0
2000-05-26,560.0,14.0,14.0,14.0,14.0
2000-05-30,160.0,14.0,14.0,14.0,14.0
2000-05-31,0.0,14.0,14.0,14.0,14.0
2000-06-01,0.0,14.0,14.0,14.0,14.0
2000-06-02,0.0,14.0,14.0,14.0,14.0
2000-06-05,80.0,14.63,14.63,14.63,14.63
2000-06-06,160.0,14.63,14.63,14.63,14.63
2000-06-07,2080.0,15.0,15.0,14.75,14.27
2000-06-08,0.0,15.0,15.0,15.0,15.0
2000-06-09,0.0,15.0,15.0,15.0,15.0
2000-06-12,0.0,15.0,15.0,15.0,15.0
2000-06-13,0.0,15.0,15.0,15.0,15.0
2000-06-14,80.0,14.25,14.25,14.25,14.25
2000-06-15,0.0,14.25,14.25,14.25,14.25
2000-06-16,400.0,15.75,16.0,16.0,15.75
2000-06-19,80.0,16.0,16.0,16.0,16.0
2000-06-20,3440.0,14.75,14.75,14.75,14.75
2000-06-21,0.0,14.75,14.75,14.75,14.75
2000-06-22,240.0,14.5,14.5,14.5,14.5
2000-06-23,0.0,14.5,14.5,14.5,14.5
2000-06-26,0.0,14.5,14.5,14.5,14.5
2000-06-27,2080.0,15.0,15.0,15.0,15.0
2000-06-28,960.0,15.0,15.0,15.0,15.0
2000-06-29,400.0,15.25,15.25,15.25,15.25
2000-06-30,0.0,15.25,15.25,15.25,15.25
2000-07-03,0.0,15.25,15.25,15.25,15.25
2000-07-05,960.0,15.0,15.0,15.0,15.0
2000-07-06,2400.0,15.5,15.5,15.0,15.0
2000-07-07,0.0,15.5,15.5,15.5,15.5
2000-07-10,480.0,15.0,15.0,15.0,15.0
2000-07-11,7600.0,15.63,15.63,15.63,15.0
2000-07-12,0.0,15.62,15.62,15.62,15.62
2000-07-13,0.0,15.62,15.62,15.62,15.62
2000-07-14,2640.0,14.5,15.0,14.25,14.25
2000-07-17,0.0,14.5,14.5,14.5,14.5
2000-07-18,0.0,14.5,14.5,14.5,14.5
2000-07-19,640.0,14.5,14.5,14.5,14.5
2000-07-20,0.0,14.5,14.5,14.5,14.5
2000-07-21,400.0,14.5,14.5,14.5,14.5
2000-07-24,3600.0,14.5,14.5,14.5,14.5
2000-07-25,0.0,14.5,14.5,14.5,14.5
2000-07-26,6160.0,15.19,15.19,14.5,14.5
2000-07-27,160.0,14.5,14.5,14.5,14.5
2000-07-28,0.0,14.5,14.5,14.5,14.5
2000-07-31,0.0,14.5,14.5,14.5,14.5
2000-08-01,3760.0,14.0,14.5,14.5,14.0
2000-08-02,0.0,14.0,14.0,14.0,14.0
2000-08-03,640.0,14.5,14.5,14.5,14.5
2000-08-04,2560.0,14.88,14.88,14.0,14.0
2000-08-07,2080.0,14.69,14.69,14.69,14.69
2000-08-08,80.0,14.0,14.0,14.0,14.0
2000-08-09,240.0,14.0,14.0,14.0,14.0
2000-08-10,0.0,14.0,14.0,14.0,14.0
2000-08-11,160.0,14.0,14.0,14.0,14.0
2000-08-14,640.0,14.0,14.0,14.0,14.0
2000-08-15,0.0,14.0,14.0,14.0,14.0
2000-08-16,1680.0,14.88,14.88,14.25,14.25
2000-08-17,400.0,14.75,14.75,14.75,14.75
2000-08-18,0.0,14.75,14.75,14.75,14.75
2000-08-21,0.0,14.75,14.75,14.75,14.75
2000-08-22,0.0,14.75,14.75,14.75,14.75
2000-08-23,400.0,14.5,14.5,14.0,14.0
2000-08-24,0.0,14.5,14.5,14.5,14.5
2000-08-25,0.0,14.5,14.5,14.5,14.5
2000-08-28,240.0,14.0,14.0,14.0,14.0
2000-08-29,0.0,14.0,14.0,14.0,14.0
2000-08-30,240.0,14.0,14.0,14.0,14.0
2000-08-31,2960.0,14.63,14.63,14.0,14.0
2000-09-01,240.0,14.0,14.0,14.0,14.0
2000-09-05,0.0,14.0,14.0,14.0,14.0
2000-09-06,480.0,14.0,14.0,14.0,14.0
2000-09-07,0.0,14.0,14.0,14.0,14.0
2000-09-08,0.0,14.0,14.0,14.0,14.0
2000-09-11,0.0,14.0,14.0,14.0,14.0
2000-09-12,80.0,14.0,14.0,14.0,14.0
2000-09-13,0.0,14.0,14.0,14.0,14.0
2000-09-14,160.0,14.0,14.0,14.0,14.0
2000-09-15,0.0,14.0,14.0,14.0,14.0
2000-09-18,0.0,14.0,14.0,14.0,14.0
2000-09-19,0.0,14.0,14.0,14.0,14.0
2000-09-20,0.0,14.0,14.0,14.0,14.0
2000-09-21,0.0,14.0,14.0,14.0,14.0
2000-09-22,0.0,14.0,14.0,14.0,14.0
2000-09-25,560.0,14.0,14.0,14.0,14.0
2000-09-26,0.0,14.0,14.0,14.0,14.0
2000-09-27,0.0,14.0,14.0,14.0,14.0
2000-09-28,960.0,14.63,14.63,14.63,14.63
2000-09-29,400.0,14.0,14.0,14.0,14.0
2000-10-02,960.0,15.25,15.25,14.75,14.75
2000-10-03,0.0,15.25,15.25,15.25,15.25
2000-10-04,0.0,15.25,15.25,15.25,15.25
2000-10-05,160.0,14.0,14.0,14.0,14.0
2000-10-06,160.0,14.0,14.0,14.0,14.0
2000-10-09,960.0,14.0,14.0,14.0,14.0
2000-10-10,0.0,14.0,14.0,14.0,14.0
2000-10-11,5840.0,14.63,14.63,14.0,14.0
2000-10-12,2080.0,14.0,14.0,14.0,14.0
2000-10-13,2960.0,14.38,14.75,14.0,14.0
2000-10-16,0.0,14.37,14.37,14.37,14.37
2000-10-17,0.0,14.37,14.37,14.37,14.37
2000-10-18,240.0,14.99,14.99,14.99,14.99
2000-10-19,960.0,14.0,14.75,14.75,14.0
2000-10-20,4400.0,13.5,14.0,14.0,13.5
2000-10-23,0.0,13.5,13.5,13.5,13.5
2000-10-24,0.0,13.5,13.5,13.5,13.5
2000-10-25,0.0,13.5,13.5,13.5,13.5
2000-10-26,0.0,13.5,13.5,13.5,13.5
2000-10-27,1680.0,14.13,14.13,14.0,14.0
2000-10-30,800.0,14.0,14.0,14.0,14.0
2000-10-31,480.0,14.5,14.5,14.0,14.0
2000-11-01,0.0,14.5,14.5,14.5,14.5
2000-11-02,0.0,14.5,14.5,14.5,14.5
2000-11-03,960.0,14.0,14.0,14.0,14.0
2000-11-06,0.0,14.0,14.0,14.0,14.0
2000-11-07,0.0,14.0,14.0,14.0,14.0
2000-11-08,480.0,14.5,14.5,14.5,14.5
2000-11-09,0.0,14.5,14.5,14.5,14.5
2000-11-10,480.0,14.0,14.0,14.0,14.0
2000-11-13,0.0,14.0,14.0,14.0,14.0
2000-11-14,1360.0,13.5,13.5,13.5,13.5
2000-11-15,0.0,13.5,13.5,13.5,13.5
2000-11-16,0.0,13.5,13.5,13.5,13.5
2000-11-17,4400.0,13.13,14.0,13.5,13.13
2000-11-20,0.0,13.12,13.12,13.12,13.12
2000-11-21,0.0,13.12,13.12,13.12,13.12
2000-11-22,0.0,13.12,13.12,13.12,13.12
2000-11-24,0.0,13.12,13.12,13.12,13.12
2000-11-27,800.0,13.5,13.5,13.13,13.13
2000-11-28,960.0,13.5,13.5,13.5,13.5
2000-11-29,160.0,13.5,13.5,13.5,13.5
2000-11-30,0.0,13.5,13.5,13.5,13.5
2000-12-01,240.0,13.5,13.5,13.5,13.5
2000-12-04,0.0,13.5,13.5,13.5,13.5
2000-12-05,4160.0,13.5,13.5,13.5,13.5
2000-12-06,240.0,13.5,13.5,13.5,13.5
2000-12-07,0.0,13.5,13.5,13.5,13.5
2000-12-08,0.0,13.5,13.5,13.5,13.5
2000-12-11,160.0,13.5,13.5,13.5,13.5
2000-12-12,80.0,14.13,14.13,14.13,14.13
2000-12-13,480.0,13.5,13.5,13.5,13.5
2000-12-14,0.0,13.5,13.5,13.5,13.5
2000-12-15,0.0,13.5,13.5,13.5,13.5
2000-12-18,0.0,13.5,13.5,13.5,13.5
2000-12-19,0.0,13.5,13.5,13.5,13.5
2000-12-20,480.0,13.5,13.5,13.5,13.5
2000-12-21,0.0,13.5,13.5,13.5,13.5
2000-12-22,880.0,13.5,13.5,13.5,13.5
2000-12-26,0.0,13.5,13.5,13.5,13.5
2000-12-27,0.0,13.5,13.5,13.5,13.5
2000-12-28,1600.0,13.5,13.5,13.5,13.5
2000-12-29,2080.0,13.5,13.5,13.5,13.5
2001-01-02,0.0,13.5,13.5,13.5,13.5
2001-01-03,0.0,13.5,13.5,13.5,13.5
2001-01-04,0.0,13.5,13.5,13.5,13.5
2001-01-05,1500.0,14.06,14.06,14.06,14.06
2001-01-08,1900.0,14.0,14.0,14.0,14.0
2001-01-09,0.0,14.0,14.0,14.0,14.0
2001-01-10,1200.0,14.0,14.0,14.0,14.0
2001-01-11,0.0,14.0,14.0,14.0,14.0
2001-01-12,0.0,14.0,14.0,14.0,14.0
2001-01-16,500.0,14.0,14.0,14.0,14.0
2001-01-17,100.0,14.0,14.0,14.0,14.0
2001-01-18,1500.0,14.0,14.75,14.75,14.0
2001-01-19,400.0,14.0,14.0,14.0,14.0
2001-01-22,0.0,14.0,14.0,14.0,14.0
2001-01-23,0.0,14.0,14.0,14.0,14.0
2001-01-24,560.0,14.25,14.5,14.5,14.25
2001-01-25,3300.0,15.0,15.0,14.25,14.25
2001-01-26,0.0,15.0,15.0,15.0,15.0
2001-01-29,100.0,14.25,14.25,14.25,14.25
2001-01-30,0.0,14.25,14.25,14.25,14.25
2001-01-31,400.0,14.25,14.25,14.25,14.25
2001-02-01,8000.0,14.25,14.25,14.25,14.25
2001-02-02,500.0,14.25,14.25,14.25,14.25
2001-02-05,0.0,14.25,14.25,14.25,14.25
2001-02-06,900.0,14.25,15.0,15.0,14.25
2001-02-07,500.0,14.25,14.25,14.25,14.25
2001-02-08,4000.0,14.75,14.75,14.75,14.75
2001-02-09,0.0,14.75,14.75,14.75,14.75
2001-02-12,0.0,14.75,14.75,14.75,14.75
2001-02-13,80.0,14.88,14.88,14.88,14.88
2001-02-14,0.0,14.87,14.87,14.87,14.87
2001-02-15,100.0,14.75,14.75,14.75,14.75
2001-02-16,240.0,14.63,14.63,14.63,14.63
2001-02-20,2800.0,15.0,15.0,15.0,15.0
2001-02-21,0.0,15.0,15.0,15.0,15.0
2001-02-22,7900.0,15.0,15.25,15.25,14.63
2001-02-23,0.0,15.0,15.0,15.0,15.0
