date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,5400.0,8.0,8.0,7.63,7.56
2000-01-04,3867.0,7.625,7.875,7.625,7.625
2000-01-05,8867.0,7.25,8.0,8.0,7.25
2000-01-06,6867.0,7.75,7.875,7.5,7.5
2000-01-07,34067.0,7.75,8.0,7.5,7.5
2000-01-10,28267.0,7.813,8.0,7.5,7.5
2000-01-11,11200.0,8.0,8.0,7.813,7.813
2000-01-12,10000.0,7.5,7.875,7.75,7.5
2000-01-13,8667.0,7.719,8.0,8.0,7.688
2000-01-14,12067.0,7.781,8.0,7.781,7.781
2000-01-18,9467.0,8.0,8.25,7.563,7.5
2000-01-19,8200.0,7.906,8.25,8.25,7.75
2000-01-20,16267.0,7.625,8.0,7.75,7.5
2000-01-21,34267.0,8.375,9.0,7.563,7.5
2000-01-24,4067.0,8.375,8.875,8.563,8.0
2000-01-25,31667.0,8.125,9.0,9.0,8.0
2000-01-26,7400.0,7.5,8.25,8.125,7.5
2000-01-27,22400.0,7.625,7.875,7.5,7.375
2000-01-28,6000.0,7.313,7.5,7.5,7.25
2000-01-31,6800.0,7.313,7.5,7.25,7.188
2000-02-01,21200.0,7.0,7.125,7.125,6.875
2000-02-02,8200.0,7.22,7.37,7.31,7.06
2000-02-03,47600.0,7.125,7.5,7.125,6.938
2000-02-04,19600.0,7.125,7.375,7.0,7.0
2000-02-07,5867.0,7.5,7.875,7.875,7.0
2000-02-08,17200.0,8.0,8.625,7.797,7.75
2000-02-09,29267.0,7.875,8.375,7.938,7.875
2000-02-10,15667.0,7.938,8.5,8.5,7.938
2000-02-11,15400.0,7.625,8.25,8.25,7.5
2000-02-14,15400.0,7.5,8.063,7.5,7.5
2000-02-15,138400.0,7.0,7.625,7.438,5.75
2000-02-16,46800.0,7.531,8.0,6.688,6.688
2000-02-17,8600.0,7.875,7.875,7.5,7.5
2000-02-18,8600.0,7.625,8.188,8.0,7.5
2000-02-22,38067.0,7.625,8.125,7.813,7.5
2000-02-23,35867.0,7.75,7.75,7.75,7.25
2000-02-24,19867.0,7.063,7.625,7.625,7.063
2000-02-25,30400.0,7.0,7.5,7.5,6.875
2000-02-28,13400.0,7.0,7.375,6.813,6.813
2000-02-29,19067.0,7.0,7.5,6.906,6.906
2000-03-01,43467.0,6.969,7.0,6.75,6.75
2000-03-02,19400.0,7.0,7.5,6.875,6.844
2000-03-03,32400.0,6.875,7.125,6.875,6.75
2000-03-06,37467.0,6.75,6.875,6.813,6.75
2000-03-07,32000.0,6.813,6.875,6.75,6.625
2000-03-08,15400.0,6.75,6.75,6.75,6.75
2000-03-09,61400.0,6.813,7.0,6.875,6.625
2000-03-10,6000.0,7.0,7.0,6.875,6.5
2000-03-13,19267.0,6.813,6.875,6.625,6.375
2000-03-14,17867.0,6.75,7.0,7.0,6.75
2000-03-15,15400.0,6.75,6.75,6.75,6.75
2000-03-16,24800.0,7.0,7.125,6.938,6.813
2000-03-17,63800.0,7.0,7.125,6.875,6.875
2000-03-20,18200.0,7.063,8.0,7.344,7.063
2000-03-21,21400.0,8.0,8.0,7.0,7.0
2000-03-22,20867.0,7.0,7.375,7.375,7.0
2000-03-23,1867.0,7.063,7.063,7.031,6.875
2000-03-24,7000.0,7.25,7.375,7.188,7.188
2000-03-27,3267.0,7.063,7.281,7.281,7.063
2000-03-28,37600.0,6.5,7.063,7.063,6.5
2000-03-29,61000.0,6.875,7.125,7.0,6.375
2000-03-30,29600.0,6.5,6.5,6.5,6.25
2000-03-31,139067.0,6.125,7.125,6.688,5.875
2000-04-03,46267.0,6.375,6.813,6.125,6.125
2000-04-04,109200.0,6.063,6.313,6.25,6.063
2000-04-05,13200.0,6.063,6.375,6.25,5.938
2000-04-06,15600.0,5.938,6.313,6.313,5.938
2000-04-07,18800.0,6.375,6.5,6.5,5.875
2000-04-10,24067.0,5.875,6.375,6.375,5.875
2000-04-11,75800.0,4.875,5.875,5.875,4.875
2000-04-12,39600.0,5.281,5.563,4.938,4.75
2000-04-13,26800.0,5.375,5.75,5.594,5.281
2000-04-14,50667.0,5.0,5.625,5.625,2.875
2000-04-17,21200.0,4.75,4.969,4.969,4.0
2000-04-18,72600.0,4.281,4.813,4.375,4.125
2000-04-19,191800.0,4.25,4.375,4.281,4.188
2000-04-20,117800.0,4.313,4.344,4.344,4.188
2000-04-24,27867.0,4.813,4.813,4.188,4.188
2000-04-25,7667.0,4.563,4.875,4.813,4.25
2000-04-26,11600.0,4.375,4.875,4.875,4.25
2000-04-27,99867.0,4.313,4.375,4.375,4.188
2000-04-28,98000.0,4.469,4.469,4.313,4.313
2000-05-01,5200.0,4.5,4.5,4.313,4.313
2000-05-02,36867.0,4.563,4.625,4.625,4.313
2000-05-03,2067.0,4.625,4.625,4.625,4.625
2000-05-04,48800.0,4.953,5.25,4.75,4.688
2000-05-05,52867.0,5.078,5.438,5.0,5.0
2000-05-08,11000.0,4.875,5.375,5.156,4.875
2000-05-09,29000.0,5.125,5.25,5.0,4.875
2000-05-10,1000.0,5.063,5.313,5.188,5.063
2000-05-11,400.0,5.375,5.375,5.375,5.375
2000-05-12,6200.0,5.0,5.0,5.0,5.0
2000-05-15,18667.0,5.25,5.375,5.0,4.813
2000-05-16,600.0,5.0,5.375,5.375,5.0
2000-05-17,667.0,5.125,5.438,5.375,5.125
2000-05-18,3267.0,5.125,5.5,5.25,5.125
2000-05-19,14267.0,5.0,5.188,5.188,5.0
2000-05-22,9067.0,4.75,5.125,5.0,4.75
2000-05-23,267.0,4.813,4.813,4.75,4.75
2000-05-24,2667.0,4.938,4.938,4.844,4.844
2000-05-25,23000.0,4.688,5.0,4.813,4.625
2000-05-26,4267.0,4.5,4.75,4.625,4.5
2000-05-30,2267.0,4.313,4.5,4.5,4.313
2000-05-31,0.0,4.31,4.31,4.31,4.31
2000-06-01,6467.0,4.063,4.5,4.5,4.063
2000-06-02,2267.0,4.063,4.125,4.063,4.063
2000-06-05,15667.0,4.063,4.25,4.063,4.063
2000-06-06,21267.0,4.0,4.0,4.0,3.875
2000-06-07,20400.0,3.938,4.0,3.5,3.375
2000-06-08,4667.0,3.938,3.938,3.875,3.813
2000-06-09,6267.0,3.875,3.938,3.938,3.813
2000-06-12,9000.0,3.938,3.938,3.938,3.938
2000-06-13,26867.0,3.938,3.938,3.938,3.5
2000-06-14,30267.0,3.813,4.0,4.0,3.688
2000-06-15,7067.0,3.625,3.75,3.75,3.625
2000-06-16,2067.0,3.594,4.125,3.625,3.594
2000-06-19,8867.0,3.5,3.625,3.625,3.5
2000-06-20,2400.0,3.75,3.813,3.813,3.75
2000-06-21,7000.0,3.688,3.781,3.75,3.625
2000-06-22,667.0,3.688,3.75,3.75,3.688
2000-06-23,1467.0,3.625,3.688,3.688,3.5
2000-06-26,267.0,3.625,3.688,3.688,3.625
2000-06-27,70067.0,3.0,3.625,3.625,2.875
2000-06-28,121200.0,3.0,3.063,3.0,2.844
2000-06-29,26067.0,3.313,3.5,3.063,3.063
2000-06-30,6267.0,3.375,3.625,3.625,3.125
2000-07-03,200.0,3.063,3.344,3.344,3.063
2000-07-05,13467.0,3.0,3.5,3.5,3.0
2000-07-06,76600.0,3.0,3.063,3.0,3.0
2000-07-07,117267.0,3.0,3.094,3.0,3.0
2000-07-10,11067.0,3.0,3.031,3.031,2.938
2000-07-11,15800.0,3.063,3.063,2.938,2.938
2000-07-12,2667.0,3.125,3.125,3.094,3.031
2000-07-13,18467.0,3.125,3.188,3.0,3.0
2000-07-14,13000.0,3.203,3.203,3.0,3.0
2000-07-17,39600.0,3.125,3.125,3.125,3.0
2000-07-18,18467.0,3.125,3.188,3.0,3.0
2000-07-19,15067.0,3.063,3.188,3.125,3.0
2000-07-20,14200.0,3.063,3.188,3.188,3.063
2000-07-21,18867.0,3.0,3.063,3.063,3.0
2000-07-24,9400.0,3.156,3.188,3.063,3.063
2000-07-25,6000.0,3.0,3.25,3.25,3.0
2000-07-26,14667.0,3.125,3.25,3.125,3.0
2000-07-27,2000.0,3.125,3.125,3.125,3.125
2000-07-28,17800.0,3.063,3.125,3.125,3.0
2000-07-31,14600.0,3.031,3.078,3.078,3.031
2000-08-01,4000.0,3.0,3.094,3.0,3.0
2000-08-02,19867.0,3.0,3.047,3.047,3.0
2000-08-03,2000.0,3.063,3.063,3.063,3.063
2000-08-04,5267.0,3.0,3.0,3.0,3.0
2000-08-07,9400.0,3.0,3.016,3.016,2.938
2000-08-08,67600.0,3.031,3.031,3.031,3.0
2000-08-09,30400.0,3.0,3.0,3.0,3.0
2000-08-10,2667.0,3.0,3.031,2.938,2.938
2000-08-11,7467.0,2.938,3.0,3.0,2.938
2000-08-14,6067.0,3.0,3.016,2.953,2.953
2000-08-15,24800.0,2.938,3.0,3.0,2.938
2000-08-16,1400.0,3.0,3.0,3.0,3.0
2000-08-17,1867.0,3.063,3.063,2.938,2.938
2000-08-18,400.0,2.938,3.063,2.938,2.938
2000-08-21,800.0,3.063,3.063,2.938,2.938
2000-08-22,17200.0,3.063,3.063,2.938,2.938
2000-08-23,4667.0,2.938,3.063,2.938,2.875
2000-08-24,200.0,2.938,2.938,2.938,2.938
2000-08-25,10200.0,2.969,3.0,2.938,2.938
2000-08-28,7600.0,2.938,3.031,3.031,2.938
2000-08-29,13067.0,2.813,3.0,2.938,2.813
2000-08-30,12667.0,2.688,3.0,2.906,2.688
2000-08-31,10867.0,2.688,3.0,2.938,2.688
2000-09-01,16267.0,2.938,3.063,2.875,2.75
2000-09-05,10800.0,2.688,2.75,2.75,2.688
2000-09-06,2400.0,2.688,2.688,2.688,2.688
2000-09-07,18800.0,3.0,3.0,2.75,2.75
2000-09-08,1067.0,2.875,2.875,2.75,2.75
2000-09-11,5400.0,2.75,2.984,2.984,2.75
2000-09-12,14667.0,2.625,3.0,3.0,2.625
2000-09-13,12067.0,2.75,2.75,2.75,2.75
2000-09-14,24267.0,2.625,2.813,2.813,2.625
2000-09-15,67.0,2.875,2.875,2.875,2.875
2000-09-18,800.0,2.75,2.813,2.813,2.75
2000-09-19,3667.0,2.75,2.75,2.75,2.75
2000-09-20,14000.0,2.5,2.75,2.75,2.5
2000-09-21,17267.0,2.938,2.938,2.75,2.625
2000-09-22,10067.0,2.75,2.938,2.938,2.625
2000-09-25,6400.0,2.625,2.75,2.688,2.625
2000-09-26,3200.0,2.563,2.938,2.938,2.563
2000-09-27,1467.0,2.531,2.688,2.688,2.531
2000-09-28,54667.0,2.0,2.531,2.531,2.0
2000-09-29,52667.0,2.438,2.813,2.25,2.031
2000-10-02,10067.0,2.188,2.75,2.75,2.188
2000-10-03,59400.0,2.25,2.313,2.25,2.188
2000-10-04,9000.0,2.5,2.5,2.25,2.25
2000-10-05,5067.0,2.438,2.438,2.438,2.375
2000-10-06,2600.0,2.313,2.5,2.5,2.313
2000-10-09,1800.0,2.375,2.5,2.375,2.375
2000-10-10,26000.0,2.25,2.438,2.438,2.25
2000-10-11,28600.0,2.625,2.938,2.5,2.25
2000-10-12,37200.0,2.25,2.5,2.5,2.25
2000-10-13,8000.0,2.375,2.5,2.313,2.313
2000-10-16,467.0,2.375,2.5,2.375,2.313
2000-10-17,5867.0,2.313,2.5,2.5,2.313
2000-10-18,18000.0,2.438,2.438,2.438,2.375
2000-10-19,12667.0,2.438,2.438,2.438,2.406
2000-10-20,30800.0,2.375,2.438,2.438,2.375
2000-10-23,33267.0,2.375,2.438,2.406,2.313
2000-10-24,8467.0,2.375,2.375,2.328,2.313
2000-10-25,33400.0,2.5,2.563,2.5,2.375
2000-10-26,59267.0,2.375,2.625,2.438,2.375
2000-10-27,36000.0,2.5,2.563,2.563,2.375
2000-10-30,49667.0,2.5,2.563,2.563,2.5
2000-10-31,6200.0,2.438,2.625,2.625,2.375
2000-11-01,14400.0,2.563,2.563,2.5,2.469
2000-11-02,32667.0,2.5,2.594,2.563,2.5
2000-11-03,53800.0,2.188,2.563,2.5,2.188
2000-11-06,39600.0,2.313,2.5,2.438,2.281
2000-11-07,32267.0,2.219,2.313,2.281,2.219
2000-11-08,7400.0,2.188,2.188,2.188,2.188
