date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,600.0,10.62,10.62,10.0,10.0
2000-01-04,1200.0,9.875,10.13,10.13,9.875
2000-01-05,5200.0,9.5,9.75,9.75,9.5
2000-01-06,1200.0,9.875,9.875,9.75,9.75
2000-01-07,12000.0,10.25,10.5,10.13,10.0
2000-01-10,7200.0,9.625,10.0,10.0,9.625
2000-01-11,3500.0,9.938,10.13,10.0,9.938
2000-01-12,600.0,9.75,9.75,9.75,9.75
2000-01-13,1000.0,9.75,9.75,9.75,9.75
2000-01-14,8700.0,9.75,9.875,9.75,9.625
2000-01-18,8500.0,9.938,9.938,9.75,9.75
2000-01-19,10600.0,10.38,10.38,9.875,9.875
2000-01-20,4100.0,10.0,10.13,10.13,9.938
2000-01-21,1500.0,10.19,10.19,9.938,9.938
2000-01-24,1500.0,9.5,9.938,9.938,9.5
2000-01-25,2600.0,10.0,10.0,9.875,9.688
2000-01-26,9800.0,9.938,10.25,9.813,9.813
2000-01-27,10900.0,11.25,11.25,10.25,10.25
2000-01-28,15800.0,11.25,11.25,10.63,10.25
2000-01-31,8900.0,10.88,11.25,11.25,10.88
2000-02-01,21700.0,11.13,11.13,11.0,10.88
2000-02-02,25700.0,11.06,11.25,11.0,11.0
2000-02-03,3100.0,11.0,11.13,11.13,11.0
2000-02-04,3200.0,10.63,11.0,10.88,10.63
2000-02-07,7100.0,11.0,11.0,10.75,10.75
2000-02-08,8900.0,11.0,11.0,10.75,10.75
2000-02-09,2600.0,11.0,11.0,10.88,10.88
2000-02-10,1700.0,10.88,11.0,11.0,10.88
2000-02-11,7200.0,11.25,11.25,11.13,11.13
2000-02-14,46700.0,11.0,11.25,11.13,11.0
2000-02-15,25300.0,10.0,10.75,10.75,10.0
2000-02-16,19900.0,10.0,10.13,10.06,10.0
2000-02-17,1600.0,9.875,9.875,9.875,9.875
2000-02-18,100.0,9.875,9.875,9.875,9.875
2000-02-22,6600.0,9.688,9.875,9.875,9.688
2000-02-23,6400.0,9.75,9.75,9.75,9.688
2000-02-24,2600.0,10.13,10.13,9.875,9.75
2000-02-25,700.0,10.0,10.13,9.875,9.875
2000-02-28,35200.0,9.0,9.875,9.875,8.0
2000-02-29,23500.0,9.0,9.25,9.25,8.938
2000-03-01,4000.0,9.0,9.0,8.813,8.813
2000-03-02,7300.0,9.25,9.375,9.25,9.25
2000-03-03,0.0,9.25,9.25,9.25,9.25
2000-03-06,0.0,9.25,9.25,9.25,9.25
2000-03-07,1700.0,9.234,9.25,9.25,9.234
2000-03-08,2400.0,9.438,9.438,9.125,9.063
2000-03-09,10600.0,9.5,9.875,9.063,9.063
2000-03-10,1600.0,9.563,9.563,9.5,9.5
2000-03-13,8800.0,10.13,10.25,9.5,9.25
2000-03-14,11000.0,10.25,10.25,10.19,10.19
2000-03-15,9300.0,10.19,10.25,10.19,10.19
2000-03-16,6100.0,10.38,10.63,10.25,10.25
