date,5. volume,4. close,2. high,1. open,3. low
2013-09-20,16876000.0,36.0,44.89,40.3,35.28
2013-09-23,2404100.0,37.45,38.48,35.25,35.25
2013-09-24,1219500.0,37.01,38.4,37.55,36.24
2013-09-25,994700.0,38.8,40.0,37.5,37.25
2013-09-26,1097200.0,41.63,41.78,39.45,39.0
2013-09-27,1273700.0,41.11,43.0,41.68,40.02
2013-09-30,925900.0,41.53,42.715,41.08,40.18
2013-10-01,616600.0,40.38,42.9,42.33,39.569
2013-10-02,321600.0,40.7,40.9,39.51,39.5
2013-10-03,209800.0,40.47,41.53,41.53,40.0
2013-10-04,952400.0,42.69,43.84,41.0,40.4501
2013-10-07,477000.0,42.655,43.93,43.93,41.591
2013-10-08,661200.0,39.89,42.65,42.5,39.68
2013-10-09,537900.0,38.81,40.7499,40.1,38.61
2013-10-10,425900.0,41.49,41.89,40.4,40.0
2013-10-11,374100.0,42.07,42.5,42.39,40.9001
2013-10-14,183300.0,41.55,42.49,42.07,41.25
2013-10-15,762200.0,40.77,42.0,41.99,39.865
2013-10-16,477800.0,39.872,41.25,40.69,39.2075
2013-10-17,348400.0,42.2,42.25,40.01,40.01
2013-10-18,682300.0,42.37,44.55,42.6,41.05
2013-10-21,295800.0,41.0,42.25,42.19,40.75
2013-10-22,499300.0,39.85,41.11,40.59,39.76
2013-10-23,276300.0,39.75,39.99,39.85,38.4
2013-10-24,429700.0,42.51,42.7,40.1,39.81
2013-10-25,239300.0,41.22,43.14,43.08,40.5
2013-10-28,216800.0,39.99,41.15,41.15,39.52
2013-10-29,220000.0,40.22,40.8234,40.0,39.96
2013-10-30,300200.0,38.69,40.0,40.0,38.17
2013-10-31,770000.0,37.9,38.7,38.69,36.145
2013-11-01,394400.0,38.43,39.0,38.37,37.21
2013-11-04,316000.0,37.83,38.38,38.15,37.471
2013-11-05,439300.0,37.36,38.29,38.29,36.32
2013-11-06,697700.0,39.89,39.97,38.18,37.28
2013-11-07,1175100.0,38.03,39.91,39.8,37.5201
2013-11-08,2358900.0,37.73,41.5,41.5,35.5
2013-11-11,739700.0,37.33,38.05,37.69,36.75
2013-11-12,401300.0,36.73,37.774,37.72,36.47
