date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,4500.0,12.0,12.0,12.0,12.0
2000-01-04,3100.0,12.0,12.06,11.94,11.94
2000-01-05,4200.0,12.0,12.06,12.06,12.0
2000-01-06,2800.0,12.13,12.13,12.0,11.94
2000-01-07,800.0,12.06,12.06,11.94,11.94
2000-01-10,800.0,12.0,12.06,12.06,12.0
2000-01-11,2600.0,12.0,12.06,12.06,12.0
2000-01-12,500.0,12.0,12.0,12.0,12.0
2000-01-13,600.0,12.0,12.0,12.0,12.0
2000-01-14,1600.0,11.69,11.88,11.88,11.69
2000-01-18,2000.0,11.25,12.0,11.5,11.25
2000-01-19,300.0,12.0,12.0,11.25,11.25
2000-01-20,2300.0,10.94,11.75,11.25,10.94
2000-01-21,800.0,10.94,11.5,10.94,10.94
2000-01-24,2800.0,10.63,10.94,10.94,10.63
2000-01-25,0.0,10.62,10.62,10.62,10.62
2000-01-26,3900.0,10.88,11.0,10.38,10.38
2000-01-27,1300.0,11.13,11.13,11.13,11.0
2000-01-28,500.0,10.94,10.94,10.94,10.94
2000-01-31,200.0,10.88,10.88,10.88,10.88
2000-02-01,14200.0,11.75,11.75,10.94,10.75
2000-02-02,300.0,11.75,11.75,11.75,11.75
2000-02-03,500.0,12.0,12.0,12.0,12.0
2000-02-04,200.0,11.75,11.75,11.75,11.75
2000-02-07,0.0,11.75,11.75,11.75,11.75
2000-02-08,0.0,11.75,11.75,11.75,11.75
2000-02-09,0.0,11.75,11.75,11.75,11.75
2000-02-10,500.0,11.5,11.5,11.5,11.5
2000-02-11,3000.0,12.0,12.0,11.5,11.5
2000-02-14,3400.0,11.88,11.88,11.75,11.75
2000-02-15,0.0,11.88,11.88,11.88,11.88
2000-02-16,700.0,11.88,12.0,12.0,11.88
2000-02-17,1900.0,12.0,13.25,11.88,11.88
2000-02-18,15700.0,12.0,12.0,11.88,11.88
2000-02-22,400.0,11.88,11.88,11.88,11.88
2000-02-23,700.0,11.88,11.94,11.94,11.88
2000-02-24,2500.0,11.69,11.88,11.88,11.69
2000-02-25,6300.0,12.0,12.06,11.75,11.5
2000-02-28,500.0,11.75,11.75,11.75,11.75
2000-02-29,0.0,11.75,11.75,11.75,11.75
2000-03-01,1300.0,11.25,11.75,11.75,11.25
2000-03-02,800.0,11.31,11.31,11.31,11.31
2000-03-03,400.0,11.31,11.31,11.31,11.31
2000-03-06,1100.0,11.25,11.38,11.38,11.25
2000-03-07,21700.0,11.0,11.16,11.16,10.75
2000-03-08,300.0,10.63,11.0,11.0,10.63
2000-03-09,500.0,10.75,11.0,11.0,10.75
2000-03-10,2100.0,11.0,11.0,11.0,11.0
2000-03-13,23100.0,11.0,11.13,11.0,11.0
2000-03-14,9100.0,11.0,11.13,10.94,10.75
2000-03-15,22300.0,11.38,11.41,11.41,11.19
2000-03-16,248000.0,11.44,11.5,11.38,11.31
2000-03-17,1100.0,11.5,11.5,11.5,11.5
2000-03-20,600.0,11.63,11.63,11.63,11.63
2000-03-21,0.0,11.62,11.62,11.62,11.62
2000-03-22,1200.0,11.38,11.75,11.75,11.38
2000-03-23,1500.0,11.38,11.5,11.5,11.38
2000-03-24,400.0,11.38,11.59,11.59,11.38
2000-03-27,0.0,11.38,11.38,11.38,11.38
2000-03-28,13900.0,11.75,11.75,11.38,11.38
2000-03-29,10800.0,11.75,11.75,11.75,11.75
2000-03-30,10400.0,12.25,12.25,11.75,11.63
2000-03-31,10100.0,11.75,12.13,11.94,11.63
2000-04-03,0.0,11.75,11.75,11.75,11.75
2000-04-04,0.0,11.75,11.75,11.75,11.75
2000-04-05,0.0,11.75,11.75,11.75,11.75
2000-04-06,46000.0,12.94,12.94,11.94,11.94
2000-04-07,25800.0,13.13,13.19,12.56,12.56
2000-04-10,500.0,13.0,13.0,13.0,13.0
2000-04-11,3400.0,13.13,13.13,13.13,12.88
2000-04-12,2200.0,12.75,12.75,12.75,12.75
2000-04-13,0.0,12.75,12.75,12.75,12.75
2000-04-14,800.0,12.75,12.75,12.75,12.75
2000-04-17,3800.0,12.5,12.75,12.75,12.5
2000-04-18,500.0,12.25,12.31,12.31,12.25
2000-04-19,28200.0,12.13,12.25,12.25,12.0
2000-04-20,73500.0,12.38,12.5,12.25,12.19
2000-04-24,100.0,12.69,12.69,12.69,12.69
2000-04-25,20100.0,12.75,12.88,12.38,12.38
2000-04-26,0.0,12.75,12.75,12.75,12.75
2000-04-27,0.0,12.75,12.75,12.75,12.75
2000-04-28,0.0,12.75,12.75,12.75,12.75
2000-05-01,200.0,12.44,12.44,12.44,12.44
2000-05-02,36400.0,12.5,12.5,12.44,12.44
2000-05-03,25500.0,12.88,12.88,12.75,12.75
2000-05-04,20000.0,12.94,12.94,12.94,12.81
2000-05-05,20500.0,13.0,13.0,12.88,12.88
2000-05-08,25000.0,12.81,13.0,12.78,12.75
2000-05-09,20100.0,13.0,13.0,12.88,12.88
2000-05-10,36900.0,13.13,13.13,13.0,12.88
2000-05-11,1100.0,13.19,13.19,13.0,13.0
2000-05-12,7600.0,13.31,13.31,13.13,13.13
2000-05-15,9400.0,13.25,13.5,13.19,13.13
2000-05-16,500.0,13.13,13.13,13.13,13.13
2000-05-17,5700.0,13.13,13.25,13.13,13.13
2000-05-18,300.0,13.38,13.38,13.25,13.25
2000-05-19,1400.0,13.19,13.19,13.19,13.19
2000-05-22,400.0,13.25,13.25,13.25,13.25
2000-05-23,29600.0,13.25,13.25,13.19,13.19
2000-05-24,0.0,13.25,13.25,13.25,13.25
2000-05-25,0.0,13.25,13.25,13.25,13.25
2000-05-26,1700.0,13.38,13.38,13.38,13.38
2000-05-30,0.0,13.38,13.38,13.38,13.38
2000-05-31,1500.0,13.19,13.19,13.19,13.19
2000-06-01,9000.0,13.5,13.5,13.5,13.5
2000-06-02,3800.0,13.88,13.88,13.5,13.5
2000-06-05,9900.0,14.13,14.44,13.81,13.81
2000-06-06,0.0,14.12,14.12,14.12,14.12
2000-06-07,2100.0,13.88,14.25,14.25,13.88
2000-06-08,1600.0,14.5,15.0,14.38,14.38
2000-06-09,8900.0,13.75,14.38,14.38,13.75
2000-06-12,300.0,14.22,14.22,14.22,14.22
2000-06-13,5500.0,13.75,13.75,13.5,13.5
2000-06-14,5700.0,14.38,14.38,14.0,14.0
2000-06-15,5800.0,13.75,14.0,13.75,13.75
2000-06-16,0.0,13.75,13.75,13.75,13.75
2000-06-19,3300.0,14.0,14.0,14.0,14.0
2000-06-20,6600.0,13.81,14.13,13.81,13.81
2000-06-21,2300.0,13.88,13.94,13.94,13.88
2000-06-22,4600.0,14.0,14.0,13.88,13.88
2000-06-23,100.0,14.0,14.0,14.0,14.0
2000-06-26,0.0,14.0,14.0,14.0,14.0
2000-06-27,45200.0,13.88,14.13,14.0,13.88
2000-06-28,0.0,13.88,13.88,13.88,13.88
2000-06-29,300.0,13.94,14.0,14.0,13.94
2000-06-30,7600.0,14.0,14.0,13.94,13.94
2000-07-03,0.0,14.0,14.0,14.0,14.0
2000-07-05,0.0,14.0,14.0,14.0,14.0
2000-07-06,100.0,14.19,14.19,14.19,14.19
2000-07-07,1200.0,13.94,13.94,13.94,13.94
2000-07-10,100.0,14.0,14.0,14.0,14.0
2000-07-11,200.0,13.94,13.94,13.94,13.94
2000-07-12,300.0,14.0,14.0,14.0,14.0
2000-07-13,2600.0,13.69,13.94,13.94,13.69
2000-07-14,0.0,13.69,13.69,13.69,13.69
2000-07-17,5300.0,12.5,13.63,13.63,12.38
2000-07-18,0.0,12.5,12.5,12.5,12.5
2000-07-19,0.0,12.5,12.5,12.5,12.5
2000-07-20,0.0,12.5,12.5,12.5,12.5
2000-07-21,0.0,12.5,12.5,12.5,12.5
2000-07-24,0.0,12.5,12.5,12.5,12.5
2000-07-25,4500.0,13.13,13.13,13.0,13.0
2000-07-26,800.0,13.56,13.56,13.31,13.31
2000-07-27,300.0,13.81,13.81,13.63,13.63
2000-07-28,9600.0,13.88,14.0,13.44,13.44
2000-07-31,3400.0,13.5,13.94,13.94,12.88
2000-08-01,0.0,13.5,13.5,13.5,13.5
2000-08-02,0.0,13.5,13.5,13.5,13.5
2000-08-03,0.0,13.5,13.5,13.5,13.5
2000-08-04,1400.0,12.88,12.88,12.88,12.88
2000-08-07,1500.0,12.88,12.88,12.88,12.88
2000-08-08,1800.0,13.44,13.44,12.88,12.88
2000-08-09,0.0,13.44,13.44,13.44,13.44
2000-08-10,400.0,13.75,13.75,13.75,13.75
2000-08-11,0.0,13.75,13.75,13.75,13.75
2000-08-14,20000.0,13.13,13.13,13.0,13.0
2000-08-15,7500.0,13.0,13.38,13.38,13.0
2000-08-16,0.0,13.0,13.0,13.0,13.0
2000-08-17,0.0,13.0,13.0,13.0,13.0
2000-08-18,100.0,13.38,13.38,13.38,13.38
2000-08-21,1100.0,13.75,13.75,13.69,13.69
2000-08-22,0.0,13.75,13.75,13.75,13.75
2000-08-23,300.0,13.63,13.63,13.63,13.63
2000-08-24,400.0,13.75,13.75,13.75,13.75
2000-08-25,0.0,13.75,13.75,13.75,13.75
2000-08-28,6800.0,14.25,14.25,13.75,13.75
2000-08-29,13400.0,14.25,14.25,14.25,13.75
2000-08-30,12700.0,14.0,14.0,13.75,13.0
2000-08-31,0.0,14.0,14.0,14.0,14.0
2000-09-01,500.0,14.13,14.13,13.5,13.5
2000-09-05,400.0,13.75,13.75,13.75,13.75
2000-09-06,0.0,13.75,13.75,13.75,13.75
2000-09-07,2100.0,13.75,13.75,13.75,13.75
2000-09-08,200.0,13.63,13.63,13.63,13.63
2000-09-11,100.0,13.63,13.63,13.63,13.63
2000-09-12,1000.0,14.25,14.25,14.0,14.0
2000-09-13,0.0,14.12,14.12,14.12,14.12
2000-09-14,38400.0,15.44,15.44,13.88,13.88
2000-09-15,1100.0,15.25,15.25,15.25,15.25
2000-09-18,8200.0,15.0,15.22,15.22,14.63
2000-09-19,5900.0,14.88,14.88,14.63,14.63
2000-09-20,800.0,14.63,14.63,14.63,14.63
2000-09-21,200.0,15.25,15.25,15.25,15.25
2000-09-22,9400.0,14.63,14.81,14.63,14.63
2000-09-25,1300.0,14.94,15.19,14.69,14.63
2000-09-26,6900.0,15.06,15.06,14.63,14.63
2000-09-27,7800.0,15.38,15.38,15.38,15.38
2000-09-28,300.0,14.69,14.69,14.69,14.69
2000-09-29,2900.0,14.88,14.88,14.88,14.88
2000-10-02,4900.0,14.75,15.38,14.75,14.56
2000-10-03,81100.0,14.94,15.0,14.75,14.75
2000-10-04,2700.0,14.31,14.88,14.88,14.31
2000-10-05,1700.0,14.25,14.75,14.31,14.25
2000-10-06,0.0,14.25,14.25,14.25,14.25
2000-10-09,500.0,14.25,14.5,14.25,14.25
2000-10-10,200.0,14.25,14.27,14.27,14.25
2000-10-11,0.0,14.25,14.25,14.25,14.25
2000-10-12,1400.0,14.25,14.25,14.25,14.25
2000-10-13,700.0,14.25,14.25,14.25,14.25
2000-10-16,2300.0,14.0,14.19,14.19,14.0
2000-10-17,500.0,14.0,14.0,14.0,14.0
2000-10-18,2600.0,13.63,14.0,13.88,13.63
2000-10-19,100.0,13.75,13.75,13.75,13.75
2000-10-20,10800.0,14.5,14.5,14.19,14.19
2000-10-23,0.0,14.5,14.5,14.5,14.5
2000-10-24,400.0,14.5,14.5,14.5,14.5
2000-10-25,400.0,14.5,14.5,14.5,14.5
2000-10-26,0.0,14.5,14.5,14.5,14.5
2000-10-27,0.0,14.5,14.5,14.5,14.5
2000-10-30,500.0,14.0,14.0,14.0,14.0
2000-10-31,500.0,14.25,14.25,14.25,14.25
2000-11-01,0.0,14.25,14.25,14.25,14.25
2000-11-02,0.0,14.25,14.25,14.25,14.25
2000-11-03,28000.0,14.19,14.75,14.13,14.13
2000-11-06,3800.0,14.13,14.19,14.19,14.13
2000-11-07,400.0,14.13,14.13,14.11,14.06
2000-11-08,0.0,14.12,14.12,14.12,14.12
2000-11-09,0.0,14.12,14.12,14.12,14.12
2000-11-10,2700.0,14.13,14.13,14.11,14.06
2000-11-13,500.0,14.13,14.13,14.13,14.13
2000-11-14,1700.0,14.13,14.13,14.13,14.13
2000-11-15,400.0,14.0,14.0,14.0,14.0
2000-11-16,300.0,14.0,14.0,14.0,14.0
2000-11-17,0.0,14.0,14.0,14.0,14.0
2000-11-20,2000.0,14.06,14.13,14.13,13.88
