date,5. volume,4. close,2. high,1. open,3. low
2016-09-29,2412251.0,9.18,10.9,9.21,9.02
2016-09-30,409990.0,9.22,9.72,9.35,9.15
2016-10-03,211294.0,10.39,10.44,9.3,9.3
2016-10-04,133476.0,9.95,10.68,10.26,9.71
2016-10-05,72737.0,9.57,10.08,9.95,9.5001
2016-10-06,65935.0,9.64,9.88,9.62,9.62
2016-10-07,27381.0,9.755,9.98,9.98,9.62
2016-10-10,14834.0,9.8,9.82,9.71,9.71
2016-10-11,100071.0,9.69,9.73,9.715,9.62
2016-10-12,16315.0,9.62,9.72,9.72,9.62
2016-10-13,37135.0,9.4,9.68,9.62,9.4
2016-10-14,70575.0,8.61,9.4396,9.4,8.55
2016-10-17,65032.0,8.14,8.84,8.84,7.5906
2016-10-18,39392.0,8.17,8.4475,8.078,8.0
2016-10-19,72210.0,8.55,8.56,8.45,8.012
2016-10-20,21686.0,8.55,8.55,8.49,8.35
2016-10-21,19623.0,8.88,8.91,8.55,8.5
2016-10-24,70197.0,9.11,9.2066,8.85,8.63
2016-10-25,24112.0,9.3,9.4,9.2364,9.05
2016-10-26,45662.0,9.02,9.4,9.4,8.7372
2016-10-27,71885.0,8.99,9.29,9.29,8.6541
2016-10-28,66317.0,9.09,9.25,8.98,8.8
2016-10-31,17314.0,9.0,9.3855,9.3855,9.0
2016-11-01,72637.0,9.03,9.3,9.3,8.85
2016-11-02,57914.0,9.02,9.16,8.79,8.6656
2016-11-03,9951.0,8.93,8.999,8.999,8.673
2016-11-04,10059.0,8.74,8.82,8.6917,8.6
2016-11-07,37273.0,8.7,8.8,8.72,8.6
2016-11-08,61835.0,8.65,8.937,8.7,8.01
2016-11-09,31496.0,8.6,8.65,8.65,8.061
2016-11-10,20623.0,8.85,9.16,8.65,8.625
2016-11-11,61566.0,8.65,9.1,8.8231,8.5079
2016-11-14,19390.0,8.66,9.0699,8.65,8.65
2016-11-15,10608.0,8.51,9.0,8.77,8.5
2016-11-16,29621.0,8.68,8.829,8.5,8.15
2016-11-17,26339.0,8.5,8.9,8.9,8.5
2016-11-18,15362.0,8.5,8.696,8.696,8.4
2016-11-21,64508.0,8.89,8.89,8.607,8.108
2016-11-22,70477.0,9.48,9.5,8.9,8.68
2016-11-23,14090.0,9.25,9.33,9.1694,9.1694
2016-11-25,8049.0,9.26,9.436,8.9,8.9
2016-11-28,12204.0,9.32,9.33,9.15,9.1
2016-11-29,132777.0,9.94,10.76,9.25,9.215
2016-11-30,30046.0,9.97,10.1,9.78,9.65
2016-12-01,67844.0,10.0,10.0,9.45,8.9033
2016-12-02,22996.0,9.88,10.05,10.0,9.5
2016-12-05,58937.0,10.17,10.49,9.8624,9.5894
2016-12-06,43027.0,9.4,10.26,10.22,9.0682
2016-12-07,31752.0,9.91,9.99,9.32,9.32
2016-12-08,20038.0,9.95,9.97,9.79,9.485
2016-12-09,36235.0,10.0,10.06,9.75,9.554
2016-12-12,18797.0,9.5,10.0,10.0,9.5
2016-12-13,39759.0,8.87,9.77,9.54,8.87
2016-12-14,32881.0,9.36,9.45,9.2,8.7
2016-12-15,61577.0,9.9,10.08,9.3938,9.21
2016-12-16,507301.0,9.94,10.5,9.67,9.67
2016-12-19,65383.0,10.48,10.65,9.772,9.64
2016-12-20,68658.0,10.82,10.844,10.4,10.0
2016-12-21,72768.0,11.23,11.39,10.55,10.5
2016-12-22,73809.0,11.79,12.15,11.37,11.0842
2016-12-23,100912.0,10.35,11.87,11.6,9.82
2016-12-27,56594.0,10.08,10.3092,10.01,9.43
2016-12-28,17344.0,9.86,10.19,10.01,9.6
2016-12-29,24140.0,10.19,10.6,10.6,9.8304
2016-12-30,41504.0,11.57,11.76,10.24,9.9999
2017-01-03,59503.0,11.15,11.806,11.55,10.601
2017-01-04,55901.0,11.53,11.6,11.09,10.8883
2017-01-05,44934.0,11.5,11.57,11.45,11.03
2017-01-06,112800.0,13.04,13.16,11.52,11.2
2017-01-09,74266.0,13.5,13.9,13.0,11.504
2017-01-10,61805.0,12.93,13.56,13.56,12.59
2017-01-11,44693.0,13.37,13.5,12.39,12.39
2017-01-12,46130.0,13.14,13.5,13.38,12.69
