date,5. volume,4. close,2. high,1. open,3. low
2017-11-02,9761011.0,7.07,8.6,8.0,6.935
2017-11-03,2067271.0,7.0,7.58,7.37,6.99
2017-11-06,1465735.0,7.75,7.85,7.2,7.11
2017-11-07,2023896.0,8.2,8.365,7.95,7.88
2017-11-08,570964.0,8.1,8.35,8.25,7.95
2017-11-09,460560.0,8.0,8.1,8.04,7.92
2017-11-10,372246.0,7.89,8.03,7.87,7.85
2017-11-13,346076.0,7.95,8.24,8.05,7.89
2017-11-14,263188.0,7.8,8.0,7.91,7.65
2017-11-15,438920.0,7.55,7.76,7.76,7.35
2017-11-16,369492.0,7.64,7.67,7.57,7.31
2017-11-17,313742.0,7.41,7.62,7.62,7.35
2017-11-20,376622.0,7.57,7.74,7.4,7.39
2017-11-21,288716.0,7.84,7.87,7.57,7.5
2017-11-22,348193.0,8.12,8.17,7.83,7.76
2017-11-24,275345.0,8.2,8.3,8.07,8.0
2017-11-27,1568427.0,8.45,8.7,8.5,8.36
2017-11-28,745835.0,8.4,8.77,8.73,8.28
2017-11-29,560044.0,8.67,8.75,8.6,8.26
2017-11-30,867414.0,8.88,9.0797,8.75,8.7
2017-12-01,801764.0,9.41,9.56,8.88,8.88
2017-12-04,752471.0,9.71,9.88,9.75,9.2
2017-12-05,800937.0,9.3,9.9,9.8,9.25
2017-12-06,995005.0,8.67,9.85,9.85,8.64
2017-12-07,1051508.0,8.25,9.0,8.31,8.04
2017-12-08,645326.0,8.04,8.46,8.26,8.0
2017-12-11,596340.0,8.06,8.19,8.04,7.9
2017-12-12,476468.0,8.04,8.1999,8.13,7.98
2017-12-13,725131.0,7.89,8.03,7.99,7.77
2017-12-14,574780.0,7.74,8.0,7.83,7.611
2017-12-15,2209578.0,7.25,7.9,7.7,7.23
2017-12-18,835239.0,7.14,7.5147,7.24,7.08
2017-12-19,1291267.0,6.35,6.675,6.62,6.27
2017-12-20,552720.0,6.36,6.54,6.35,6.31
2017-12-21,631776.0,6.0,6.4,6.39,5.97
2017-12-22,1061149.0,6.0,6.11,6.05,5.81
2017-12-26,469693.0,6.21,6.25,6.05,6.0
2017-12-27,479834.0,6.51,6.59,6.25,6.16
2017-12-28,351355.0,6.54,6.65,6.54,6.45
2017-12-29,418533.0,6.65,6.73,6.58,6.58
2018-01-02,547947.0,6.59,6.729,6.65,6.4
2018-01-03,363328.0,6.42,6.5865,6.55,6.33
2018-01-04,313896.0,6.34,6.43,6.41,6.21
2018-01-05,307202.0,6.12,6.3872,6.34,6.11
2018-01-08,650535.0,6.15,6.3379,6.13,6.13
2018-01-09,206967.0,6.16,6.3,6.16,6.15
2018-01-10,461193.0,6.69,6.78,6.13,6.1149
2018-01-11,748419.0,7.12,7.17,6.66,6.66
2018-01-12,570100.0,7.3,7.3199,7.1,6.9
2018-01-16,496158.0,6.95,7.49,7.3,6.86
2018-01-17,262932.0,7.24,7.25,7.02,7.02
2018-01-18,390499.0,7.08,7.24,7.24,7.01
2018-01-19,244431.0,7.07,7.16,7.08,7.0
2018-01-22,220124.0,7.09,7.25,7.05,7.03
2018-01-23,253015.0,7.2,7.25,7.1,7.1
2018-01-24,537844.0,7.1,7.36,7.24,7.06
2018-01-25,137842.0,7.25,7.39,7.08,7.08
2018-01-26,175910.0,7.31,7.35,7.22,7.181
2018-01-29,179936.0,7.37,7.4186,7.31,7.31
2018-01-30,159405.0,7.46,7.479,7.41,7.35
2018-01-31,224898.0,7.37,7.49,7.48,7.35
2018-02-01,197938.0,7.47,7.48,7.36,7.2001
2018-02-02,273905.0,7.41,7.55,7.4,7.26
2018-02-05,183687.0,7.36,7.47,7.3,7.2
2018-02-06,227642.0,7.26,7.36,7.24,7.13
2018-02-07,124836.0,7.32,7.4,7.24,7.24
2018-02-08,178409.0,7.24,7.35,7.35,7.12
2018-02-09,171114.0,7.32,7.39,7.28,7.1
2018-02-12,113349.0,7.23,7.35,7.35,7.145
2018-02-13,230195.0,7.08,7.21,7.1,7.07
2018-02-14,235690.0,7.07,7.18,7.0,6.91
2018-02-15,104118.0,7.2,7.32,7.08,7.0
2018-02-16,84526.0,7.15,7.25,7.17,7.1
2018-02-20,163671.0,7.2,7.34,7.1,7.1
2018-02-21,114637.0,7.36,7.41,7.26,7.2355
2018-02-22,111038.0,7.25,7.4465,7.41,7.14
2018-02-23,66451.0,7.31,7.36,7.26,7.2
2018-02-26,81461.0,7.44,7.45,7.34,7.25
2018-02-27,211886.0,7.64,7.71,7.4,7.3389
2018-02-28,165472.0,7.38,7.68,7.62,7.38
2018-03-01,129090.0,7.45,7.58,7.36,7.35
2018-03-02,130088.0,7.69,7.75,7.4,7.35
2018-03-05,198888.0,7.94,7.95,7.68,7.55
2018-03-06,152782.0,7.88,7.98,7.98,7.7
2018-03-07,110287.0,7.87,7.93,7.8,7.79
2018-03-08,218365.0,7.94,7.965,7.87,7.64
2018-03-09,1245203.0,8.43,9.1399,9.09,8.21
2018-03-12,406385.0,8.87,8.98,8.48,8.35
2018-03-13,489150.0,8.89,9.14,8.91,8.7665
2018-03-14,446658.0,8.75,9.0,8.9,8.53
2018-03-15,166167.0,8.55,8.8,8.8,8.55
2018-03-16,252792.0,8.48,8.64,8.55,8.45
2018-03-19,178530.0,8.39,8.59,8.44,8.35
2018-03-20,231173.0,8.26,8.38,8.38,8.13
2018-03-21,120239.0,8.19,8.39,8.22,8.15
