date,5. volume,4. close,2. high,1. open,3. low
2005-02-25,65000.0,6.9,7.2,7.0,6.9
2005-02-28,105000.0,6.8,7.15,6.9,6.51
2005-03-01,35000.0,6.6,7.0,6.99,6.6
2005-03-02,145000.0,6.35,6.5,6.5,5.86
2005-03-03,35000.0,6.1,6.5,6.5,6.1
2005-03-04,35000.0,6.15,6.2,6.0,5.75
2005-03-07,25000.0,6.29,6.49,6.24,6.05
2005-03-08,40000.0,6.12,6.3,6.2,6.08
2005-03-09,15000.0,6.15,6.2,6.08,6.0
2005-03-10,50000.0,6.32,6.4,6.25,6.2
2005-03-11,20000.0,6.3,6.41,6.25,6.25
2005-03-14,20000.0,6.28,6.35,6.35,6.15
2005-03-15,30000.0,6.0,6.4,6.25,6.0
2005-03-16,60000.0,5.5,6.05,5.9,5.42
2005-03-17,80000.0,6.06,6.06,5.6,5.0
2005-03-18,125000.0,5.88,6.5,6.0,5.8
2005-03-21,30000.0,6.0,6.2,5.98,5.8
2005-03-22,15000.0,5.85,6.0,6.0,5.8
2005-03-23,15000.0,5.69,5.9,5.85,5.69
2005-03-24,35000.0,5.7,5.8,5.6,5.5
2005-03-28,20000.0,5.95,5.95,5.65,5.4
2005-03-29,10000.0,5.8,5.9,5.9,5.7
2005-03-30,25000.0,5.45,5.7,5.7,5.3
2005-03-31,75000.0,4.9,5.55,5.55,4.85
2005-04-01,25000.0,5.1,5.2,5.0,5.0
2005-04-04,10000.0,4.9,5.25,5.1,4.9
2005-04-05,35000.0,4.6,5.0,5.0,4.6
2005-04-06,50000.0,4.9,5.1,4.75,4.7
2005-04-07,20000.0,5.05,5.1,4.85,4.8
2005-04-08,15000.0,5.0,5.1,5.0,4.9
2005-04-11,10000.0,4.95,5.05,5.0,4.95
2005-04-12,30000.0,4.9,4.95,4.95,4.7
2005-04-13,40000.0,4.9,5.05,5.0,4.8
2005-04-14,25000.0,4.8,5.1,4.9,4.8
2005-04-15,15000.0,4.45,4.76,4.76,4.45
2005-04-18,25000.0,4.4,4.5,4.41,4.35
2005-04-19,50000.0,4.55,4.9,4.5,4.25
2005-04-20,5000.0,4.45,4.65,4.65,4.45
2005-04-21,10000.0,4.4,4.45,4.45,4.35
2005-04-22,35000.0,5.1,5.1,4.4,4.3
2005-04-25,35000.0,5.04,5.2,5.19,4.9
2005-04-26,40000.0,5.07,5.25,5.04,5.0
2005-04-27,25000.0,5.0,5.2,4.95,4.95
2005-04-28,35000.0,5.0,5.1,5.0,4.9
2005-04-29,25000.0,5.0,5.2,5.05,4.95
2005-05-02,10000.0,5.0,5.01,4.95,4.95
2005-05-03,10000.0,5.0,5.0,5.0,4.85
2005-05-04,5000.0,5.0,5.2,5.0,5.0
2005-05-05,20000.0,4.66,5.0,5.0,4.66
2005-05-06,10000.0,4.95,5.0,4.8,4.8
2005-05-09,15000.0,5.05,5.1,5.05,4.92
2005-05-10,40000.0,4.94,5.0,5.0,4.8
2005-05-11,5000.0,4.81,4.95,4.9,4.8
2005-05-12,15000.0,4.6,4.9,4.7,4.55
2005-05-13,0.0,4.66,4.7,4.7,4.65
2005-05-16,30000.0,4.7,4.95,4.76,4.5
2005-05-17,25000.0,4.8,4.8,4.55,4.45
2005-05-18,15000.0,4.75,4.75,4.7,4.5
2005-05-19,25000.0,4.28,4.6,4.6,4.28
2005-05-20,40000.0,4.5,4.6,4.31,4.25
2005-05-23,45000.0,4.85,4.95,4.7,4.5
2005-05-24,10000.0,4.55,4.95,4.95,4.55
2005-05-25,5000.0,4.4,4.6,4.55,4.3
2005-05-26,15000.0,4.25,4.6,4.6,4.25
2005-05-27,35000.0,4.6,4.65,4.65,4.6
2005-05-31,20000.0,4.4,4.65,4.6,4.36
2005-06-01,5000.0,4.3,4.4,4.4,4.25
2005-06-02,25000.0,4.15,4.3,4.3,4.15
2005-06-03,10000.0,4.3,4.35,4.25,4.15
2005-06-06,15000.0,4.2,4.4,4.35,4.2
2005-06-07,20000.0,4.12,4.35,4.2,4.1
2005-06-08,25000.0,4.05,4.05,4.02,3.9
2005-06-09,45000.0,4.8,4.8,4.05,4.05
2005-06-10,45000.0,5.1,5.15,4.65,4.65
2005-06-13,25000.0,4.83,5.2,5.2,4.75
