date,5. volume,4. close,2. high,1. open,3. low
2013-10-10,4400.0,31.11,36.0,35.0,31.0
2013-10-11,30600.0,31.24,31.5,30.45,29.42
2013-10-14,71800.0,31.36,31.5,30.75,30.55
2013-10-15,49600.0,31.56,31.75,31.5,31.31
2013-10-16,15100.0,31.72,31.87,31.35,31.35
2013-10-17,18900.0,31.85,32.15,31.8,31.8
2013-10-18,1300.0,33.9,33.9,32.25,32.25
2013-10-21,10100.0,33.15,33.22,33.0,32.0
2013-10-22,5000.0,33.5,33.94,33.15,32.7
2013-10-23,8600.0,33.45,33.7,33.7,33.0
2013-10-24,8800.0,33.22,33.5,33.0,33.0
2013-10-25,66900.0,33.53,36.99,34.5,32.57
2013-10-28,34400.0,33.05,33.93,33.93,32.11
2013-10-29,122900.0,33.6,34.73,33.13,32.94
2013-10-30,74300.0,34.52,34.66,33.52,33.52
2013-10-31,2051500.0,35.1,36.39,34.41,33.58
2013-11-01,785400.0,32.2,35.5,34.6,31.65
2013-11-04,1065100.0,32.56,32.75,31.55,30.39
2013-11-05,452600.0,32.21,32.56,32.22,31.5
2013-11-06,1052300.0,31.59,32.55,32.32,31.44
2013-11-07,968700.0,31.15,31.69,31.61,30.34
2013-11-08,994700.0,31.04,31.8,30.68,30.02
2013-11-11,403800.0,31.19,31.96,30.58,30.58
2013-11-12,352900.0,31.3,31.32,30.98,30.65
2013-11-13,260200.0,32.03,32.79,30.96,30.76
2013-11-14,244800.0,32.69,32.9,31.79,31.75
2013-11-15,183300.0,32.99,33.03,32.59,32.47
2013-11-18,162900.0,33.09,33.45,33.02,32.89
2013-11-19,173800.0,32.97,33.53,33.0,32.8
2013-11-20,143400.0,33.0,33.49,33.0,32.8
2013-11-21,271600.0,32.96,33.29,33.25,32.8
2013-11-22,157600.0,32.96,33.08,32.82,32.52
2013-11-25,81600.0,32.91,32.99,32.91,32.78
2013-11-26,148400.0,32.96,33.0,32.61,32.61
2013-11-27,74500.0,32.97,33.04,32.91,32.81
2013-11-29,66500.0,32.98,33.02,33.0,32.85
2013-12-02,192900.0,32.72,32.9,32.86,32.54
2013-12-03,172700.0,32.02,32.84,32.57,32.01
2013-12-04,126500.0,32.48,32.75,32.02,32.02
2013-12-05,173000.0,32.37,32.66,32.4,32.3
2013-12-06,77400.0,32.83,32.88,32.46,32.43
2013-12-09,237300.0,32.56,32.79,32.69,32.41
