date,5. volume,4. close,2. high,1. open,3. low
2003-09-04,31600.0,15.05,15.05,15.0,15.0
2003-09-05,24600.0,15.03,15.05,15.01,15.0
2003-09-08,56500.0,15.0,15.04,15.0,15.0
2003-09-09,34100.0,15.0,15.03,15.0,15.0
2003-09-10,31300.0,15.01,15.01,15.01,15.0
2003-09-11,46900.0,15.02,15.04,15.04,15.0
2003-09-12,25900.0,15.01,15.02,15.02,15.0
2003-09-15,24600.0,15.0,15.01,15.0,15.0
2003-09-16,55500.0,15.0,15.04,15.0,15.0
2003-09-17,54700.0,15.0,15.02,15.0,15.0
2003-09-18,36800.0,15.02,15.02,15.0,15.0
2003-09-19,26300.0,15.0,15.02,15.02,15.0
2003-09-22,187600.0,15.01,15.01,15.0,15.0
2003-09-23,265300.0,15.01,15.01,15.0,15.0
2003-09-24,131100.0,15.0,15.01,15.0,15.0
2003-09-25,201700.0,14.94,15.0,15.0,14.6
2003-09-26,53300.0,14.95,14.96,14.94,14.94
2003-09-29,138100.0,14.96,14.99,14.95,14.95
2003-09-30,59500.0,14.96,14.97,14.96,14.96
2003-10-01,59100.0,14.96,14.97,14.96,14.96
2003-10-02,37200.0,14.97,14.97,14.97,14.96
2003-10-03,87200.0,14.96,14.97,14.96,14.96
2003-10-06,25400.0,14.96,14.97,14.97,14.96
2003-10-07,53400.0,14.97,14.97,14.96,14.96
2003-10-08,42400.0,14.97,14.97,14.97,14.96
2003-10-09,42800.0,14.96,14.97,14.96,14.96
2003-10-10,77700.0,14.96,14.97,14.96,14.96
2003-10-13,55600.0,14.92,14.97,14.96,14.91
2003-10-14,59500.0,14.85,14.92,14.92,14.83
2003-10-15,59800.0,14.73,14.85,14.85,14.71
2003-10-16,77500.0,14.9,14.95,14.69,14.57
2003-10-17,40600.0,14.8,14.92,14.82,14.76
2003-10-20,22800.0,14.82,14.9,14.8,14.73
2003-10-21,30600.0,14.78,14.9,14.8,14.77
2003-10-22,32600.0,14.76,14.9,14.85,14.76
2003-10-23,47900.0,14.8,14.95,14.8,14.7
2003-10-24,24500.0,14.81,14.95,14.81,14.75
2003-10-27,51500.0,14.57,14.8,14.8,14.57
2003-10-28,92800.0,14.51,14.75,14.6,14.5
2003-10-29,43400.0,14.58,14.6,14.55,14.46
2003-10-30,52500.0,14.59,14.6,14.6,14.45
2003-10-31,38700.0,14.7,14.7,14.65,14.5
2003-11-03,51600.0,14.5,14.78,14.78,14.5
2003-11-04,131700.0,14.83,15.0,14.55,14.55
2003-11-05,27600.0,14.79,14.9,14.83,14.7
2003-11-06,38000.0,14.65,14.88,14.85,14.65
2003-11-07,36300.0,14.74,14.84,14.65,14.61
2003-11-10,27800.0,14.8,14.8,14.7,14.7
2003-11-11,38700.0,14.7,14.8,14.8,14.7
2003-11-12,22900.0,14.8,14.84,14.7,14.7
2003-11-13,28500.0,14.82,14.85,14.85,14.69
2003-11-14,26100.0,14.89,14.89,14.85,14.7
2003-11-17,42500.0,14.73,14.82,14.71,14.6
2003-11-18,53100.0,14.61,14.8,14.75,14.51
2003-11-19,48800.0,14.6,14.73,14.62,14.6
2003-11-20,52700.0,14.6,14.7,14.65,14.52
2003-11-21,84200.0,14.45,14.74,14.7,14.45
2003-11-24,87800.0,14.5,14.66,14.46,14.35
2003-11-25,53700.0,14.45,14.55,14.3,14.27
2003-11-26,41500.0,14.29,14.5,14.35,14.29
2003-11-28,23200.0,14.45,14.5,14.26,14.21
2003-12-01,119600.0,14.2,14.49,14.49,14.07
2003-12-02,86600.0,14.27,14.29,14.25,14.01
2003-12-03,144600.0,14.1,14.37,14.37,13.96
2003-12-04,124100.0,14.0,14.17,14.1,13.83
2003-12-05,104300.0,14.1,14.14,13.9,13.8
2003-12-08,99500.0,14.14,14.15,14.12,14.0
2003-12-09,82600.0,14.15,14.16,14.04,14.01
2003-12-10,80300.0,14.1,14.25,14.17,14.04
2003-12-11,94100.0,14.14,14.25,14.06,14.05
2003-12-12,83000.0,14.28,14.33,14.24,14.14
2003-12-15,102600.0,14.17,14.42,14.38,14.16
2003-12-16,229700.0,14.35,14.63,14.27,14.2
2003-12-17,99600.0,14.5,14.6,14.4,14.4
2003-12-18,90500.0,14.53,14.6,14.6,14.4
2003-12-19,90600.0,14.44,14.6,14.59,14.3
2003-12-22,124100.0,14.42,14.59,14.55,14.39
2003-12-23,103800.0,14.62,14.7,14.52,14.42
2003-12-24,46700.0,14.69,14.7,14.7,14.46
2003-12-26,28200.0,14.72,14.72,14.7,14.55
2003-12-29,65900.0,14.7,14.72,14.72,14.51
2003-12-30,59300.0,14.51,14.79,14.7,14.51
2003-12-31,65000.0,14.6,14.6,14.45,14.41
2004-01-02,24100.0,14.7,14.7,14.7,14.6
2004-01-05,78000.0,14.7,14.8,14.76,14.57
2004-01-06,97000.0,14.8,15.0,14.8,14.65
2004-01-07,76500.0,14.9,14.99,14.8,14.7
2004-01-08,59500.0,14.85,14.99,14.99,14.8
2004-01-09,67800.0,14.98,15.0,14.95,14.86
2004-01-12,60800.0,14.86,15.0,14.88,14.76
2004-01-13,118200.0,15.0,15.0,14.86,14.86
2004-01-14,85000.0,14.8,15.0,15.0,14.8
2004-01-15,79000.0,14.95,15.0,14.9,14.82
2004-01-16,106600.0,14.9,15.0,14.99,14.89
2004-01-20,73000.0,15.0,15.04,15.0,14.9
2004-01-21,75500.0,14.93,15.05,15.02,14.9
2004-01-22,87000.0,15.0,15.0,14.92,14.85
2004-01-23,83800.0,14.85,15.05,15.0,14.83
2004-01-26,111700.0,14.96,15.0,14.85,14.82
2004-01-27,128600.0,14.85,15.0,14.96,14.8
2004-01-28,129600.0,14.77,14.92,14.85,14.7
2004-01-29,47100.0,14.9,14.9,14.8,14.75
2004-01-30,48000.0,14.9,15.0,14.85,14.8
2004-02-02,41600.0,14.8,15.0,14.92,14.78
2004-02-03,68900.0,14.9,14.99,14.9,14.8
2004-02-04,96800.0,15.0,15.0,14.87,14.8
2004-02-05,47700.0,14.95,15.03,15.01,14.85
2004-02-06,98800.0,14.7,15.0,15.0,14.7
2004-02-09,57600.0,14.9,14.9,14.72,14.7
2004-02-10,69100.0,15.0,15.0,14.9,14.7
2004-02-11,67800.0,14.95,15.0,15.0,14.85
2004-02-12,55000.0,14.99,15.0,14.95,14.86
2004-02-13,66200.0,14.85,15.0,14.99,14.8
2004-02-17,54000.0,14.79,14.95,14.95,14.72
2004-02-18,151600.0,15.05,15.05,14.85,14.75
2004-02-19,94500.0,14.85,15.14,15.14,14.85
2004-02-20,39000.0,15.0,15.0,14.95,14.8
2004-02-23,90800.0,14.85,15.02,15.02,14.76
2004-02-24,89400.0,14.7,14.92,14.9,14.7
2004-02-25,60900.0,14.8,14.8,14.68,14.58
2004-02-26,51800.0,14.99,14.99,14.9,14.67
2004-02-27,82400.0,14.75,15.0,14.95,14.7
2004-03-01,38100.0,14.83,14.85,14.8,14.7
2004-03-02,62000.0,14.85,14.89,14.85,14.74
2004-03-03,75200.0,14.85,14.92,14.8,14.8
2004-03-04,72500.0,14.9,14.95,14.89,14.75
2004-03-05,76800.0,14.85,14.95,14.87,14.75
2004-03-08,54900.0,14.9,14.95,14.82,14.75
2004-03-09,61500.0,14.92,14.99,14.84,14.84
2004-03-10,46700.0,14.95,14.95,14.92,14.82
2004-03-11,51300.0,14.93,15.0,15.0,14.85
2004-03-12,74400.0,14.77,14.95,14.93,14.77
2004-03-15,67900.0,14.81,14.91,14.83,14.75
2004-03-16,105800.0,14.91,14.98,14.76,14.75
2004-03-17,59200.0,15.0,15.0,14.93,14.9
2004-03-18,73300.0,14.9,15.0,15.0,14.82
2004-03-19,68300.0,14.83,14.95,14.85,14.82
2004-03-22,67400.0,14.73,14.91,14.82,14.73
2004-03-23,85500.0,14.89,14.9,14.74,14.74
2004-03-24,48300.0,14.84,14.9,14.83,14.73
2004-03-25,97000.0,14.74,14.85,14.85,14.7
2004-03-26,52500.0,14.83,14.84,14.83,14.69
2004-03-29,26000.0,14.75,14.8,14.7,14.65
2004-03-30,37600.0,14.82,14.86,14.84,14.74
2004-03-31,57400.0,14.87,14.87,14.85,14.75
2004-04-01,49200.0,14.83,14.9,14.86,14.79
2004-04-02,52800.0,14.75,14.88,14.74,14.71
2004-04-05,92700.0,14.5,14.74,14.74,14.3
2004-04-06,52600.0,14.37,14.6,14.51,14.21
2004-04-07,49600.0,14.4,14.7,14.47,14.22
2004-04-08,37700.0,14.78,14.8,14.55,14.5
2004-04-12,83300.0,14.49,14.76,14.76,14.3
2004-04-13,123100.0,14.09,14.33,14.3,13.9
2004-04-14,51800.0,13.75,14.09,14.09,13.55
2004-04-15,107000.0,13.64,13.8,13.75,13.3
