date,5. volume,4. close,2. high,1. open,3. low
2015-06-10,538294.0,100.25,100.4,100.29,99.86
2015-06-11,221603.0,100.6,100.81,100.25,100.15
2015-06-12,326944.0,99.67,102.41,102.41,99.67
2015-06-15,535600.0,98.84,99.56,99.56,98.545
2015-06-16,478455.0,99.95,100.47,99.25,99.25
2015-06-17,95188.0,100.27,100.55,100.16,99.75
2015-06-18,241033.0,100.2,101.08,101.08,100.0
2015-06-19,307736.0,100.4,100.45,100.33,99.92
2015-06-22,65761.0,100.5,100.9398,100.9,100.0
2015-06-23,191007.0,101.5,102.0,100.57,100.5
2015-06-24,85341.0,101.45,102.19,101.5,100.25
2015-06-25,145381.0,101.5,101.75,101.54,101.23
2015-06-26,26956.0,100.5,101.03,100.99,100.5
2015-06-29,315150.0,99.5,100.25,100.0,98.9
2015-06-30,401390.0,99.9,99.95,99.69,98.88
2015-07-01,458962.0,99.25,100.0,100.0,98.98
2015-07-02,344125.0,98.05,99.5,99.3,98.05
2015-07-06,314615.0,99.25,99.78,99.04,97.44
2015-07-07,580462.0,99.17,99.69,99.48,97.74
2015-07-08,128594.0,98.04,98.92,98.65,97.81
2015-07-09,471840.0,98.36,98.92,98.92,97.69
2015-07-10,56798.0,99.5,99.5,99.07,98.6
2015-07-13,396929.0,101.02,101.02,100.5,99.52
2015-07-14,413800.0,100.05,101.14,101.0,99.73
2015-07-15,270324.0,99.28,100.05,100.05,98.67
2015-07-16,635823.0,101.65,101.65,100.52,100.0
2015-07-17,1671204.0,103.0,105.29,101.5,101.5
2015-07-20,179617.0,101.15,102.99,102.99,100.47
2015-07-21,458496.0,99.05,100.77,100.77,98.98
2015-07-22,236317.0,97.8,99.19,98.8,97.782
2015-07-23,117391.0,97.6,99.0,97.54,97.26
2015-07-24,214709.0,94.08,97.75,97.4,93.95
2015-07-27,147560.0,94.64,95.03,93.08,88.79
2015-07-28,230990.0,95.1,95.48,94.41,92.18
2015-07-29,110851.0,95.98,95.98,95.63,94.05
2015-07-30,73373.0,95.19,97.33,96.17,94.8
2015-07-31,118629.0,97.75,97.75,95.96,95.55
2015-08-03,703191.0,102.88,103.5,97.75,97.75
2015-08-04,58887.0,103.86,104.25,103.23,102.73
2015-08-05,200508.0,106.0,106.0,104.54,102.21
2015-08-06,117423.0,101.51,104.21,104.21,100.8
2015-08-07,80852.0,102.77,103.85,102.21,101.5
2015-08-10,238848.0,105.32,105.94,103.68,103.43
2015-08-11,63115.0,105.39,106.0,106.0,105.1
2015-08-12,41666.0,106.52,106.83,105.0,104.06
2015-08-13,3962.0,105.61,106.83,106.83,105.6
2015-08-14,51492.0,107.75,108.01,106.73,106.12
2015-08-17,172046.0,109.28,109.614,108.33,107.57
2015-08-18,42787.0,105.74,108.54,108.54,105.74
2015-08-19,242307.0,105.39,105.45,105.45,104.15
2015-08-20,156814.0,103.82,104.41,104.41,103.24
2015-08-21,108020.0,102.05,103.67,103.05,100.93
2015-08-24,26205.0,98.9,101.0,101.0,95.0
2015-08-25,245325.0,98.74,101.2,101.0,98.74
2015-08-26,67121.0,97.27,100.1,100.1,95.95
2015-08-27,11350.0,98.45,99.35,98.35,97.25
2015-08-28,57683.0,100.86,100.98,98.6,98.6
