date,5. volume,4. close,2. high,1. open,3. low
2005-03-29,486700.0,20.01,20.01,20.0,20.0
2005-03-30,121600.0,20.0,20.01,20.01,20.0
2005-03-31,65200.0,20.0,20.02,20.01,20.0
2005-04-01,100400.0,20.02,20.02,20.0,20.0
2005-04-04,21500.0,20.03,20.04,20.02,20.0
2005-04-05,64100.0,20.0,20.05,20.0,20.0
2005-04-06,16700.0,20.02,20.05,20.05,20.0
2005-04-07,46700.0,20.0,20.05,20.0,20.0
2005-04-08,21500.0,20.02,20.05,20.0,20.0
2005-04-11,18300.0,20.05,20.05,20.04,20.0
2005-04-12,84700.0,20.02,20.05,20.04,20.0
2005-04-13,31200.0,20.02,20.02,20.0,20.0
2005-04-14,47000.0,20.0,20.02,20.0,20.0
2005-04-15,50500.0,20.01,20.02,20.0,20.0
2005-04-18,50300.0,20.0,20.01,20.0,20.0
2005-04-19,26800.0,20.01,20.01,20.0,20.0
2005-04-20,25200.0,20.01,20.01,20.0,20.0
2005-04-21,61300.0,20.0,20.03,20.0,20.0
2005-04-22,48300.0,20.01,20.03,20.02,20.0
2005-04-25,30800.0,20.0,20.02,20.0,20.0
2005-04-26,222800.0,20.01,20.02,20.01,20.0
2005-04-27,325900.0,20.0,20.01,20.01,20.0
2005-04-28,158900.0,20.0,20.01,20.0,20.0
2005-04-29,315800.0,20.0,20.01,20.0,20.0
2005-05-02,168100.0,20.0,20.01,20.0,20.0
2005-05-03,37100.0,20.0,20.01,20.0,20.0
2005-05-04,58200.0,20.0,20.01,20.0,20.0
2005-05-05,35300.0,20.0,20.01,20.01,20.0
2005-05-06,38200.0,20.0,20.01,20.0,20.0
2005-05-09,56800.0,20.03,20.03,20.0,20.0
2005-05-10,53400.0,20.0,20.03,20.0,20.0
2005-05-11,225700.0,19.9,20.01,20.01,19.9
2005-05-12,107200.0,19.9,19.92,19.9,19.9
2005-05-13,66500.0,19.79,19.92,19.9,19.79
2005-05-16,92700.0,19.57,19.79,19.79,19.57
2005-05-17,77200.0,19.25,19.55,19.55,19.22
2005-05-18,102300.0,18.6,19.22,19.22,18.4
2005-05-19,71900.0,18.3,18.4,18.4,18.0
2005-05-20,59000.0,18.25,18.35,18.35,18.0
2005-05-23,46400.0,18.1,18.25,18.09,17.8
2005-05-24,67700.0,18.03,18.2,18.1,18.0
2005-05-25,68700.0,18.5,18.5,18.15,18.05
2005-05-26,50800.0,18.31,18.5,18.5,18.3
2005-05-27,51000.0,18.45,18.65,18.32,18.3
2005-05-31,42800.0,18.6,18.6,18.5,18.35
2005-06-01,48400.0,18.6,18.6,18.6,18.6
2005-06-02,43300.0,19.3,19.39,19.0,19.0
2005-06-03,42600.0,19.4,19.58,19.34,19.3
2005-06-06,22000.0,19.5,19.58,19.4,19.4
2005-06-07,46100.0,19.65,19.78,19.6,19.58
2005-06-08,40300.0,19.7,19.9,19.7,19.65
2005-06-09,35900.0,19.7,19.93,19.7,19.62
2005-06-10,34400.0,19.96,19.96,19.9,19.6
2005-06-13,40400.0,20.0,20.28,19.99,19.95
2005-06-14,61500.0,19.65,20.0,20.0,19.51
2005-06-15,32500.0,19.8,19.9,19.75,19.65
2005-06-16,70300.0,19.65,19.9,19.82,19.65
2005-06-17,50400.0,19.61,19.8,19.65,19.61
2005-06-20,34600.0,19.8,19.8,19.65,19.58
2005-06-21,57700.0,19.84,19.84,19.77,19.66
2005-06-22,41700.0,19.79,19.9,19.85,19.7
2005-06-23,61500.0,19.7,19.8,19.7,19.66
2005-06-24,51700.0,19.65,19.82,19.8,19.55
2005-06-27,57300.0,19.35,19.8,19.65,19.3
2005-06-28,49900.0,19.5,19.65,19.5,19.4
2005-06-29,48400.0,19.85,19.99,19.5,19.35
2005-06-30,32300.0,19.75,20.0,19.75,19.75
2005-07-01,16500.0,19.89,19.9,19.7,19.65
2005-07-05,17600.0,19.8,19.99,19.9,19.76
2005-07-06,26000.0,19.95,19.95,19.85,19.8
2005-07-07,47700.0,20.0,20.0,19.81,19.8
2005-07-08,31500.0,20.05,20.05,20.0,19.9
2005-07-11,61300.0,20.04,20.05,19.96,19.86
2005-07-12,54300.0,20.0,20.0,19.92,19.92
2005-07-13,54800.0,20.05,20.05,19.9,19.8
2005-07-14,44200.0,19.99,20.01,19.98,19.86
2005-07-15,38000.0,19.87,19.99,19.9,19.85
2005-07-18,44000.0,19.94,19.97,19.94,19.76
2005-07-19,32000.0,19.95,20.0,19.9,19.89
2005-07-20,32500.0,19.99,20.0,19.85,19.85
2005-07-21,48800.0,19.95,20.0,19.87,19.85
2005-07-22,34700.0,19.96,20.0,19.88,19.88
2005-07-25,37800.0,19.95,20.0,19.99,19.85
2005-07-26,46300.0,19.9,19.99,19.91,19.85
2005-07-27,47200.0,19.88,20.0,19.9,19.88
2005-07-28,34700.0,19.99,20.0,19.93,19.91
2005-07-29,31400.0,19.99,20.0,19.99,19.94
2005-08-01,39200.0,19.99,20.0,19.91,19.91
2005-08-02,54700.0,19.92,20.04,20.0,19.92
2005-08-03,81200.0,20.05,20.12,19.98,19.91
2005-08-04,67300.0,20.25,20.25,20.1,20.0
2005-08-05,59200.0,20.27,20.7,20.4,20.25
2005-08-08,33800.0,20.29,20.4,20.4,20.15
2005-08-09,48000.0,20.34,20.35,20.3,20.15
2005-08-10,41900.0,20.35,20.45,20.34,20.26
2005-08-11,118100.0,20.45,20.6,20.27,20.26
2005-08-12,50500.0,20.5,20.68,20.65,20.36
2005-08-15,81800.0,20.34,20.69,20.45,20.31
2005-08-16,64400.0,20.42,20.48,20.28,20.21
2005-08-17,56200.0,20.45,20.46,20.42,20.3
2005-08-18,39600.0,20.43,20.46,20.35,20.3
2005-08-19,70400.0,20.4,20.46,20.43,20.3
2005-08-22,45300.0,20.39,20.45,20.31,20.27
2005-08-23,73900.0,20.18,20.39,20.27,20.12
2005-08-24,57200.0,20.19,20.4,20.25,20.02
2005-08-25,52000.0,20.31,20.31,20.2,20.12
2005-08-26,41500.0,20.24,20.39,20.21,20.21
2005-08-29,42700.0,20.15,20.25,20.22,20.0
2005-08-30,58500.0,20.1,20.4,20.07,19.92
2005-08-31,63100.0,20.44,20.45,20.1,20.1
2005-09-01,87400.0,20.93,21.0,20.44,20.35
2005-09-02,76900.0,20.87,21.1,20.95,20.56
2005-09-06,53400.0,20.93,20.95,20.7,20.7
2005-09-07,66100.0,20.8,21.15,20.95,20.75
2005-09-08,59100.0,20.94,20.99,20.99,20.65
2005-09-09,70300.0,21.3,21.5,20.94,20.75
2005-09-12,88600.0,21.25,21.48,21.48,20.95
2005-09-13,78500.0,21.2,21.28,21.28,21.02
2005-09-14,83900.0,21.18,21.2,21.1,20.91
2005-09-15,122700.0,21.22,21.25,21.0,21.0
2005-09-16,105100.0,21.31,21.6,21.2,21.11
2005-09-19,162000.0,21.43,21.8,21.75,21.25
2005-09-20,138600.0,21.49,21.68,21.5,21.24
2005-09-21,102600.0,21.65,21.75,21.54,21.42
