date,5. volume,4. close,2. high,1. open,3. low
2005-04-27,24200.0,20.01,20.01,20.0,20.0
2005-04-28,34200.0,20.02,20.02,20.0,20.0
2005-04-29,12100.0,20.0,20.02,20.02,20.0
2005-05-02,15100.0,20.1,20.1,20.05,20.0
2005-05-03,23900.0,20.3,20.6,20.1,20.0
2005-05-04,19700.0,20.3,20.42,20.42,20.11
2005-05-05,24400.0,20.2,20.45,20.3,20.05
2005-05-06,17900.0,20.25,20.49,20.3,20.2
2005-05-09,22600.0,20.21,20.5,20.45,20.21
2005-05-10,22900.0,20.3,20.35,20.15,20.15
2005-05-11,24500.0,20.15,20.3,20.3,20.05
2005-05-12,23600.0,20.49,20.49,20.25,20.05
2005-05-13,9400.0,20.45,20.5,20.45,20.2
2005-05-16,11800.0,20.4,20.49,20.35,20.26
2005-05-17,7200.0,20.25,20.4,20.4,20.25
2005-05-18,30600.0,20.45,20.6,20.3,20.28
2005-05-19,25900.0,20.31,20.5,20.45,20.05
2005-05-20,20500.0,20.25,20.35,20.25,20.17
2005-05-23,15700.0,20.24,20.25,20.25,20.05
2005-05-24,18100.0,20.3,20.35,20.2,20.1
2005-05-25,22000.0,20.4,20.49,20.25,20.2
2005-05-26,22000.0,20.15,20.56,20.5,20.12
2005-05-27,18200.0,20.06,20.3,20.15,20.06
2005-05-31,120600.0,20.0,20.09,20.0,20.0
2005-06-01,13600.0,20.1,20.14,20.14,20.0
2005-06-02,77300.0,20.1,20.1,20.05,20.0
2005-06-03,21300.0,20.03,20.09,20.0,20.0
2005-06-06,10400.0,20.02,20.05,20.05,20.0
2005-06-07,21000.0,20.1,20.1,20.0,20.0
2005-06-08,12200.0,19.97,20.1,20.1,19.96
2005-06-09,51500.0,20.0,20.03,20.0,19.82
2005-06-10,25300.0,20.1,20.1,20.01,20.0
2005-06-13,16500.0,20.05,20.19,20.09,20.02
2005-06-14,25600.0,20.11,20.25,20.12,20.0
2005-06-15,24100.0,20.05,20.15,20.06,20.0
2005-06-16,15900.0,20.01,20.06,20.06,20.0
2005-06-17,17500.0,20.01,20.01,20.0,19.98
2005-06-20,18800.0,20.11,20.15,20.0,19.88
2005-06-21,18800.0,20.05,20.15,20.05,19.99
2005-06-22,24700.0,20.24,20.24,20.0,20.0
2005-06-23,17700.0,20.05,20.25,20.24,20.01
2005-06-24,21300.0,20.05,20.1,20.05,19.99
2005-06-27,24700.0,20.09,20.1,20.1,19.99
2005-06-28,21800.0,20.09,20.1,20.09,20.0
2005-06-29,19700.0,20.1,20.15,20.09,20.0
2005-06-30,30300.0,20.05,20.2,20.15,19.9
2005-07-01,33000.0,20.2,20.4,20.15,19.88
2005-07-05,14600.0,20.25,20.5,20.12,19.88
2005-07-06,27300.0,20.24,20.4,20.4,20.0
2005-07-07,17900.0,20.35,20.44,20.25,20.0
2005-07-08,19500.0,20.4,20.43,20.4,20.2
2005-07-11,9600.0,20.4,20.44,20.4,20.3
2005-07-12,19900.0,20.5,20.8,20.4,20.35
2005-07-13,15200.0,20.35,20.45,20.15,20.15
2005-07-14,22100.0,20.63,20.63,20.4,20.27
2005-07-15,13500.0,20.6,20.6,20.5,20.38
2005-07-18,17400.0,20.32,20.6,20.6,20.2
2005-07-19,16400.0,20.45,20.55,20.4,20.31
2005-07-20,22800.0,20.4,20.59,20.5,20.15
2005-07-21,25100.0,20.49,20.55,20.4,20.15
2005-07-22,23300.0,20.34,20.55,20.5,20.17
2005-07-25,23100.0,20.15,20.38,20.3,20.01
2005-07-26,41200.0,19.9,20.3,20.19,19.9
2005-07-27,52400.0,20.0,20.25,20.0,19.9
2005-07-28,63800.0,19.75,19.98,19.8,19.72
2005-07-29,27900.0,19.95,20.09,19.65,19.65
2005-08-01,45500.0,20.09,20.1,20.0,19.9
2005-08-02,47100.0,20.14,20.25,20.0,19.9
2005-08-03,96700.0,20.21,20.3,20.03,19.95
2005-08-04,88800.0,20.45,20.7,20.3,20.25
2005-08-05,58300.0,20.35,20.59,20.5,20.35
2005-08-08,66900.0,20.1,20.5,20.45,20.1
2005-08-09,33300.0,20.48,20.48,20.11,20.1
2005-08-10,38800.0,20.45,20.69,20.48,20.4
2005-08-11,43800.0,20.6,20.69,20.45,20.4
2005-08-12,96900.0,20.65,21.25,20.68,20.5
2005-08-15,43900.0,20.8,20.95,20.6,20.41
2005-08-16,49700.0,20.71,20.98,20.97,20.4
2005-08-17,41000.0,20.65,20.8,20.8,20.41
2005-08-18,58200.0,20.64,20.9,20.7,20.4
2005-08-19,31200.0,20.66,20.66,20.65,20.3
2005-08-22,40600.0,20.55,20.7,20.55,20.15
2005-08-23,44200.0,20.55,20.65,20.55,20.15
2005-08-24,35800.0,20.59,20.85,20.55,20.41
2005-08-25,34800.0,20.4,20.55,20.45,20.27
2005-08-26,37700.0,20.33,20.5,20.45,20.25
2005-08-29,37600.0,20.34,20.6,20.15,20.15
2005-08-30,42000.0,20.3,20.55,20.3,20.17
2005-08-31,43200.0,20.2,20.3,20.05,20.05
2005-09-01,49900.0,20.95,20.95,20.3,20.3
2005-09-02,86800.0,21.08,21.24,21.0,20.85
2005-09-06,45700.0,20.8,21.3,21.08,20.75
2005-09-07,78300.0,21.18,21.2,21.05,20.5
2005-09-08,105800.0,21.09,21.5,21.5,20.91
2005-09-09,75500.0,21.9,22.2,21.3,21.09
2005-09-12,53000.0,22.0,22.05,21.95,21.6
2005-09-13,70200.0,21.8,22.0,22.0,21.61
2005-09-14,81600.0,21.5,21.97,21.85,21.35
2005-09-15,59600.0,22.0,22.0,21.49,21.41
2005-09-16,53200.0,22.0,22.0,21.9,21.8
2005-09-19,76900.0,21.9,22.2,22.0,21.75
2005-09-20,58700.0,22.04,22.17,21.93,21.89
