date,5. volume,4. close,2. high,1. open,3. low
2007-03-22,5237800.0,12.29,13.3,11.5,11.5
2007-03-23,1870300.0,11.51,12.5,12.32,10.75
2007-03-26,753300.0,11.69,11.9,11.5,11.26
2007-03-27,252800.0,11.5,11.84,11.84,11.32
2007-03-28,155700.0,11.05,11.75,11.75,10.75
2007-03-29,410900.0,10.31,11.112,11.01,10.02
2007-03-30,97200.0,10.0,10.44,10.44,9.76
2007-04-02,256400.0,10.03,10.3,10.0,10.0
2007-04-03,311200.0,9.99,10.35,10.24,9.76
2007-04-04,185500.0,9.78,9.91,9.91,9.75
2007-04-05,334200.0,10.0,10.45,9.93,9.75
2007-04-09,70600.0,9.92,10.04,10.0,9.75
2007-04-10,48900.0,9.85,10.03,10.0,9.75
2007-04-11,48300.0,10.14,10.77,9.87,9.8
2007-04-12,32400.0,10.31,10.5,10.04,10.04
2007-04-13,160500.0,10.89,10.95,10.3,10.24
2007-04-16,129100.0,11.34,11.55,10.99,10.9
2007-04-17,117800.0,11.79,11.8,11.55,11.45
2007-04-18,71700.0,11.98,12.11,11.68,11.55
2007-04-19,77400.0,11.95,11.99,11.77,11.57
2007-04-20,53600.0,11.88,11.95,11.95,11.63
2007-04-23,135600.0,11.56,11.8,11.72,11.28
2007-04-24,53300.0,11.45,11.74,11.38,11.31
2007-04-25,48200.0,11.68,11.68,11.38,11.31
2007-04-26,119000.0,11.55,11.77,11.74,11.34
2007-04-27,78100.0,11.4,11.55,11.43,11.32
2007-04-30,51500.0,11.235,11.5,11.32,11.05
2007-05-01,293200.0,11.29,11.9,11.57,11.25
2007-05-02,303300.0,11.49,11.67,11.4001,11.32
2007-05-03,293100.0,12.19,12.29,11.76,11.51
2007-05-04,289600.0,12.97,13.34,12.37,12.37
2007-05-07,162300.0,12.92,13.2,12.91,12.7
2007-05-08,90200.0,13.25,13.8,12.91,12.7
2007-05-09,152300.0,13.6,14.2,13.25,13.25
2007-05-10,79100.0,13.02,14.01,13.32,12.82
2007-05-11,36200.0,12.94,13.06,12.96,12.78
2007-05-14,50400.0,13.5,13.51,13.2,13.0
2007-05-15,120300.0,13.79,13.79,13.51,13.51
2007-05-16,120300.0,13.81,13.94,13.79,13.38
2007-05-17,20300.0,13.26,13.55,13.53,13.2
2007-05-18,15200.0,13.57,13.57,13.18,13.11
2007-05-21,18700.0,13.41,13.62,13.1,13.1
2007-05-22,11900.0,13.39,13.48,13.34,13.2
2007-05-23,21000.0,13.05,13.47,13.47,13.0
2007-05-24,114900.0,12.51,12.97,12.795,12.19
2007-05-25,45500.0,12.27,12.78,12.76,12.27
2007-05-29,11300.0,12.65,12.8,12.55,12.47
2007-05-30,49400.0,12.88,13.06,12.82,12.58
2007-05-31,70500.0,12.43,13.09,12.82,12.39
2007-06-01,99200.0,12.53,13.14,12.5,12.25
2007-06-04,129100.0,12.59,13.4,12.75,12.5
2007-06-05,51400.0,12.85,13.12,12.61,12.57
2007-06-06,13800.0,12.71,13.0,12.85,12.67
2007-06-07,23900.0,12.92,13.1,12.94,12.75
2007-06-08,33600.0,12.77,13.26,13.26,12.75
2007-06-11,37900.0,13.13,13.48,12.8,12.79
2007-06-12,44300.0,13.38,13.75,13.49,13.27
2007-06-13,69100.0,13.4,13.88,13.5,13.09
2007-06-14,52600.0,13.36,13.55,13.55,13.36
2007-06-15,28500.0,13.35,13.58,13.58,13.27
2007-06-18,102400.0,13.77,13.79,13.49,13.2
2007-06-19,87100.0,14.67,14.8,13.89,13.75
