date,5. volume,4. close,2. high,1. open,3. low
2016-05-26,5699987.0,21.91,22.99,22.5,21.68
2016-05-27,149519.0,22.5,22.5,21.48,21.48
2016-05-31,323256.0,22.81,22.89,22.69,22.48
2016-06-01,216352.0,23.11,23.75,23.0,22.61
2016-06-02,133064.0,22.85,23.2,23.2,22.68
2016-06-03,163976.0,22.75,22.85,22.85,22.31
2016-06-06,164396.0,22.98,23.0,22.8,22.542
2016-06-07,117087.0,22.91,23.1,22.88,22.67
2016-06-08,161035.0,22.62,22.85,22.75,22.27
2016-06-09,106772.0,22.62,22.75,22.56,22.4708
2016-06-10,171676.0,22.32,22.68,22.21,22.17
2016-06-13,323415.0,22.07,22.45,22.44,21.551
2016-06-14,75574.0,22.06,22.09,21.83,21.65
2016-06-15,34651.0,21.79,22.08,22.08,21.76
2016-06-16,92944.0,21.05,21.63,21.63,21.03
2016-06-17,141400.0,21.0,21.0,21.0,20.3
2016-06-20,403607.0,21.98,22.29,21.28,21.0
2016-06-21,213536.0,22.11,22.66,22.1,21.9
2016-06-22,179693.0,22.17,22.91,22.01,21.92
2016-06-23,94073.0,22.43,22.75,22.05,22.045
2016-06-24,721885.0,21.53,22.2,21.76,21.44
2016-06-27,246144.0,20.0,21.735,21.14,19.28
2016-06-28,240996.0,20.34,20.63,20.02,20.02
2016-06-29,270404.0,21.54,21.85,20.36,20.36
2016-06-30,214033.0,22.25,22.27,21.85,20.91
2016-07-01,108817.0,21.92,22.49,22.15,21.6
2016-07-05,53148.0,22.03,22.22,21.75,21.09
2016-07-06,50824.0,22.1,22.284,21.86,21.5
2016-07-07,44265.0,22.23,22.26,22.2,21.98
2016-07-08,73106.0,23.4,23.72,22.38,22.2123
2016-07-11,180825.0,24.14,24.455,23.5,23.5
2016-07-12,240636.0,24.64,25.74,24.75,24.32
2016-07-13,204306.0,25.04,25.3,25.01,24.4
2016-07-14,80170.0,24.21,25.28,25.28,24.1
2016-07-15,58229.0,24.5,24.77,24.26,24.04
2016-07-18,148477.0,25.15,25.64,24.54,24.54
2016-07-19,125027.0,25.46,25.57,25.12,24.99
2016-07-20,122791.0,25.51,26.2301,25.62,25.23
2016-07-21,62883.0,25.97,26.12,25.59,25.1
2016-07-22,96008.0,26.28,26.42,25.95,25.75
2016-07-25,80201.0,25.42,26.26,26.15,25.26
2016-07-26,135471.0,24.81,25.759,25.36,24.55
2016-07-27,116085.0,24.74,25.2,24.86,24.41
