date,5. volume,4. close,2. high,1. open,3. low
2018-03-12,726000.0,9.7,9.71,9.71,9.7
2018-03-13,700000.0,9.7,9.7,9.7,9.7
2018-03-14,86000.0,9.71,9.71,9.71,9.7
2018-03-15,43150.0,9.71,9.71,9.71,9.7099
2018-03-16,0.0,9.71,9.71,9.71,9.71
2018-03-19,0.0,9.71,9.71,9.71,9.71
2018-03-20,2000.0,9.76,9.76,9.76,9.76
2018-03-21,5000.0,9.77,9.77,9.77,9.77
2018-03-22,0.0,9.77,9.77,9.77,9.77
2018-03-23,0.0,9.77,9.77,9.77,9.77
2018-03-26,125000.0,9.71,9.73,9.73,9.71
2018-03-27,125000.0,9.71,9.71,9.71,9.71
2018-03-28,0.0,9.71,9.71,9.71,9.71
2018-03-29,0.0,9.71,9.71,9.71,9.71
2018-04-02,0.0,9.71,9.71,9.71,9.71
2018-04-03,0.0,9.71,9.71,9.71,9.71
2018-04-04,0.0,9.71,9.71,9.71,9.71
2018-04-05,0.0,9.71,9.71,9.71,9.71
2018-04-06,12.0,9.71,9.71,9.71,9.71
2018-04-09,0.0,9.71,9.71,9.71,9.71
2018-04-10,0.0,9.71,9.71,9.71,9.71
2018-04-11,100.0,9.72,9.72,9.72,9.72
2018-04-12,1112.0,9.72,9.72,9.72,9.72
2018-04-13,0.0,9.72,9.72,9.72,9.72
2018-04-16,0.0,9.72,9.72,9.72,9.72
2018-04-17,0.0,9.72,9.72,9.72,9.72
2018-04-18,600.0,9.71,9.72,9.72,9.71
2018-04-19,0.0,9.71,9.71,9.71,9.71
2018-04-20,0.0,9.71,9.71,9.71,9.71
2018-04-23,0.0,9.71,9.71,9.71,9.71
2018-04-24,0.0,9.71,9.71,9.71,9.71
2018-04-25,0.0,9.71,9.71,9.71,9.71
2018-04-26,0.0,9.71,9.71,9.71,9.71
2018-04-27,0.0,9.71,9.71,9.71,9.71
2018-04-30,0.0,9.71,9.71,9.71,9.71
2018-05-01,0.0,9.71,9.71,9.71,9.71
2018-05-02,0.0,9.71,9.71,9.71,9.71
2018-05-03,0.0,9.71,9.71,9.71,9.71
2018-05-04,41412.0,9.7,9.71,9.71,9.7
2018-05-07,0.0,9.7,9.7,9.7,9.7
2018-05-08,0.0,9.7,9.7,9.7,9.7
2018-05-09,0.0,9.7,9.7,9.7,9.7
2018-05-10,1000.0,9.71,9.71,9.71,9.71
2018-05-11,2700.0,9.71,9.72,9.72,9.71
2018-05-14,0.0,9.71,9.71,9.71,9.71
2018-05-15,712.0,9.72,9.72,9.72,9.71
2018-05-16,68267.0,9.73,9.73,9.73,9.73
2018-05-17,6288.0,9.71,9.72,9.72,9.71
2018-05-18,0.0,9.71,9.71,9.71,9.71
2018-05-21,2000.0,9.71,9.72,9.72,9.71
2018-05-22,100.0,9.72,9.72,9.72,9.72
2018-05-23,100.0,9.72,9.72,9.72,9.72
2018-05-24,1000.0,9.72,9.72,9.72,9.72
2018-05-25,0.0,9.72,9.72,9.72,9.72
2018-05-29,0.0,9.72,9.72,9.72,9.72
2018-05-30,0.0,9.72,9.72,9.72,9.72
2018-05-31,2200.0,9.72,9.75,9.75,9.72
2018-06-01,6025.0,9.7307,9.7525,9.75,9.72
2018-06-04,0.0,9.7307,9.7307,9.7307,9.7307
2018-06-05,13500.0,9.72,9.74,9.74,9.72
2018-06-06,0.0,9.72,9.72,9.72,9.72
2018-06-07,0.0,9.72,9.72,9.72,9.72
2018-06-08,0.0,9.72,9.72,9.72,9.72
