date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,2400.0,2.25,2.25,2.22,2.22
2000-01-04,1500.0,2.25,2.44,2.44,2.25
2000-01-05,6900.0,2.25,2.25,2.25,2.25
2000-01-06,1800.0,2.25,2.25,2.19,2.19
2000-01-07,0.0,2.25,2.25,2.25,2.25
2000-01-10,2100.0,2.19,2.25,2.25,2.19
2000-01-11,3600.0,2.22,2.25,2.25,2.22
2000-01-12,12300.0,2.25,2.25,2.22,2.19
2000-01-13,0.0,2.25,2.25,2.25,2.25
2000-01-14,14700.0,2.25,2.25,2.25,2.25
2000-01-18,13500.0,2.62,2.75,2.25,2.25
2000-01-19,7800.0,2.75,2.75,2.62,2.5
2000-01-20,1500.0,2.75,2.75,2.75,2.75
2000-01-21,6900.0,2.69,2.78,2.75,2.69
2000-01-24,300.0,2.69,2.69,2.69,2.69
2000-01-25,1500.0,2.25,2.69,2.69,2.25
2000-01-26,300.0,2.31,2.31,2.25,2.25
2000-01-27,4500.0,2.31,2.31,2.31,2.31
2000-01-28,600.0,2.25,2.31,2.31,2.25
2000-01-31,8400.0,2.25,2.28,2.28,1.87
2000-02-01,0.0,2.41,2.41,2.41,2.41
2000-02-02,0.0,2.37,2.37,2.37,2.37
2000-02-03,600.0,2.5,2.5,2.25,2.25
2000-02-04,7200.0,2.25,2.25,2.25,2.12
2000-02-07,900.0,2.25,2.25,2.25,2.25
2000-02-08,900.0,2.19,2.19,2.19,2.19
2000-02-09,3300.0,2.25,2.25,2.25,2.25
2000-02-10,300.0,2.19,2.22,2.22,2.19
2000-02-11,0.0,2.19,2.19,2.19,2.19
2000-02-14,0.0,2.19,2.19,2.19,2.19
2000-02-15,0.0,2.19,2.19,2.19,2.19
2000-02-16,0.0,2.19,2.19,2.19,2.19
2000-02-17,0.0,2.25,2.25,2.25,2.25
2000-02-18,600.0,2.31,2.5,2.5,2.31
2000-02-22,900.0,2.31,2.5,2.5,2.31
2000-02-23,5100.0,2.31,2.37,2.37,2.12
2000-02-24,600.0,2.19,2.19,2.19,2.19
2000-02-25,6300.0,2.12,2.19,2.19,2.12
2000-02-28,2400.0,2.06,2.06,2.06,2.06
2000-02-29,2700.0,2.12,2.12,2.06,2.06
2000-03-01,0.0,2.06,2.06,2.06,2.06
2000-03-02,2400.0,2.06,2.06,2.06,2.06
2000-03-03,900.0,2.06,2.06,2.06,2.06
2000-03-06,0.0,2.06,2.06,2.06,2.06
2000-03-07,300.0,2.31,2.31,2.06,2.06
2000-03-08,6900.0,2.44,2.44,2.06,2.06
2000-03-09,1800.0,2.12,2.37,2.12,2.12
2000-03-10,900.0,2.19,2.19,2.19,2.19
2000-03-13,2400.0,2.37,2.37,2.25,2.25
2000-03-14,9000.0,2.5,2.5,2.25,2.12
2000-03-15,3900.0,2.5,2.5,2.5,2.5
2000-03-16,1500.0,2.25,2.62,2.62,2.25
2000-03-17,3900.0,2.5,2.5,2.5,2.5
2000-03-20,900.0,2.37,2.37,2.37,2.37
2000-03-21,0.0,2.37,2.37,2.37,2.37
2000-03-22,3300.0,2.37,2.62,2.44,2.37
2000-03-23,11700.0,2.87,2.87,2.25,2.25
2000-03-24,10800.0,2.69,2.75,2.75,2.5
2000-03-27,900.0,2.81,2.81,2.81,2.78
2000-03-28,5400.0,2.75,2.81,2.81,2.75
2000-03-29,0.0,2.81,2.81,2.81,2.81
2000-03-30,900.0,2.75,2.75,2.62,2.62
2000-03-31,0.0,2.75,2.75,2.75,2.75
2000-04-03,900.0,2.75,2.75,2.75,2.75
2000-04-04,0.0,2.62,2.62,2.62,2.62
2000-04-05,300.0,2.62,2.62,2.62,2.62
2000-04-06,0.0,2.62,2.62,2.62,2.62
2000-04-07,600.0,2.62,2.62,2.62,2.62
2000-04-10,9600.0,2.37,2.56,2.56,2.12
2000-04-11,900.0,2.12,2.12,2.12,2.12
2000-04-12,0.0,2.12,2.12,2.12,2.12
2000-04-13,0.0,2.12,2.12,2.12,2.12
2000-04-14,600.0,2.25,2.25,2.25,2.25
2000-04-17,1200.0,2.12,2.12,2.12,2.12
2000-04-18,0.0,2.12,2.12,2.12,2.12
2000-04-19,0.0,2.12,2.12,2.12,2.12
2000-04-20,300.0,2.37,2.37,2.12,2.12
2000-04-24,300.0,2.25,2.25,2.25,2.25
2000-04-25,300.0,2.12,2.37,2.37,2.12
2000-04-26,0.0,2.12,2.12,2.12,2.12
2000-04-27,0.0,2.12,2.12,2.12,2.12
2000-04-28,2100.0,2.06,2.12,2.12,2.06
2000-05-01,0.0,2.06,2.06,2.06,2.06
2000-05-02,900.0,2.12,2.37,2.37,2.12
2000-05-03,600.0,2.12,2.12,2.12,2.12
2000-05-04,0.0,2.12,2.12,2.12,2.12
2000-05-05,0.0,2.12,2.12,2.12,2.12
2000-05-08,0.0,2.12,2.12,2.12,2.12
2000-05-09,0.0,2.12,2.12,2.12,2.12
2000-05-10,0.0,2.12,2.12,2.12,2.12
2000-05-11,0.0,2.25,2.25,2.25,2.25
2000-05-12,27000.0,3.0,3.0,2.28,2.28
2000-05-15,8400.0,2.62,2.84,2.62,2.62
2000-05-16,6300.0,2.37,2.62,2.62,2.37
