date,5. volume,4. close,2. high,1. open,3. low
2013-06-27,34989500.0,18.66,19.25,18.0,17.8
2013-06-28,3850400.0,18.79,18.97,18.65,18.26
2013-07-01,2050900.0,18.92,19.2,18.78,18.53
2013-07-02,2127800.0,19.11,19.4,19.0,18.7725
2013-07-03,1320900.0,19.38,19.55,19.25,19.12
2013-07-05,1445500.0,19.61,19.7,19.46,19.4
2013-07-08,1147300.0,19.8,19.87,19.75,19.56
2013-07-09,1610200.0,19.77,20.0899,19.9,19.46
2013-07-10,991100.0,19.5,19.65,19.63,19.29
2013-07-11,1978900.0,19.3,19.78,19.42,19.28
2013-07-12,1402500.0,19.33,19.55,19.25,19.0
2013-07-15,1656600.0,19.32,19.48,19.35,19.05
2013-07-16,2158900.0,19.26,19.48,19.4,19.22
2013-07-17,3239800.0,19.05,19.42,19.21,19.04
2013-07-18,4891000.0,19.51,19.59,19.05,18.99
2013-07-19,5291900.0,20.36,20.59,19.37,19.34
2013-07-22,2767900.0,20.82,21.0,20.6,20.37
2013-07-23,2418900.0,21.49,21.55,20.84,20.12
2013-07-24,1160700.0,21.64,21.92,21.71,20.67
2013-07-25,939900.0,21.29,21.9543,21.65,21.15
2013-07-26,399900.0,21.39,21.62,21.47,21.25
2013-07-29,458400.0,21.2,21.49,21.39,20.99
2013-07-30,343600.0,21.4,21.75,21.52,21.0857
2013-07-31,375000.0,21.44,21.55,21.45,21.21
2013-08-01,3734400.0,22.08,22.428,21.59,21.41
2013-08-02,1777700.0,22.57,22.62,22.06,22.02
2013-08-05,1470200.0,23.0,23.33,22.52,22.52
2013-08-06,3294100.0,23.4,23.83,23.73,22.66
2013-08-07,1449900.0,23.28,23.65,23.42,23.15
2013-08-08,780900.0,23.27,23.43,23.36,23.11
2013-08-09,669900.0,23.08,23.75,23.68,23.0
2013-08-12,1534800.0,23.47,24.0,24.0,23.36
2013-08-13,1582900.0,23.9,23.955,23.7,23.23
2013-08-14,713000.0,23.67,24.2,24.06,23.6
2013-08-15,1590800.0,22.81,23.75,23.75,22.6
2013-08-16,1055200.0,23.18,23.42,22.84,22.83
2013-08-19,757100.0,22.69,23.48,23.28,22.68
2013-08-20,1211100.0,23.25,23.83,23.02,22.35
2013-08-21,982900.0,23.37,23.85,23.36,22.97
2013-08-22,550700.0,23.34,23.775,23.44,22.95
2013-08-23,718100.0,23.55,23.79,23.47,22.89
2013-08-26,662200.0,23.81,23.81,23.72,23.32
2013-08-27,907700.0,22.88,23.69,23.69,22.58
2013-08-28,384800.0,22.87,23.248,22.95,22.5
2013-08-29,463000.0,23.04,23.384,22.85,22.5503
2013-08-30,255300.0,22.74,23.09,23.09,22.7
2013-09-03,536600.0,23.01,23.22,22.92,22.81
2013-09-04,639700.0,23.22,23.31,23.01,22.79
2013-09-05,1143300.0,23.95,24.3,23.35,23.32
2013-09-06,772100.0,23.95,24.22,24.05,23.77
2013-09-09,2259500.0,24.748,25.06,24.2,24.01
2013-09-10,9570200.0,21.967,22.65,22.6,21.29
2013-09-11,2597700.0,22.18,22.37,21.71,21.42
2013-09-12,1800700.0,22.71,23.13,22.12,22.12
2013-09-13,748400.0,22.87,23.15,22.68,22.51
2013-09-16,634000.0,22.89,23.339,23.22,22.51
2013-09-17,1086200.0,23.05,23.2,22.83,22.83
2013-09-18,1811000.0,23.12,23.5,23.0,22.68
2013-09-19,2032100.0,23.34,23.5,23.21,23.098
2013-09-20,3576100.0,22.75,23.78,23.43,22.64
2013-09-23,1813300.0,21.98,22.9,22.72,21.94
2013-09-24,760900.0,22.38,22.74,22.11,21.92
2013-09-25,459500.0,22.15,23.49,23.49,22.1101
2013-09-26,934000.0,22.47,22.62,22.11,22.11
2013-09-27,1382400.0,22.03,22.46,22.31,21.87
2013-09-30,4945100.0,21.97,22.28,21.72,21.52
2013-10-01,1015500.0,22.22,22.44,21.84,21.79
2013-10-02,885000.0,22.4,22.84,22.0,21.88
2013-10-03,637900.0,22.15,22.58,22.56,22.03
2013-10-04,409100.0,22.2,22.43,22.21,22.092
2013-10-07,896200.0,21.87,22.11,21.91,21.54
2013-10-08,1306400.0,21.09,21.87,21.85,21.04
2013-10-09,958200.0,20.84,21.26,21.08,20.68
2013-10-10,1069200.0,21.02,21.14,21.06,20.775
2013-10-11,2069300.0,21.0,21.07,21.0,20.41
2013-10-14,646200.0,21.31,21.35,20.79,20.33
2013-10-15,2057200.0,20.47,21.286,21.15,20.47
2013-10-16,4497800.0,20.37,20.78,20.59,19.97
2013-10-17,2197100.0,20.53,20.65,20.33,19.97
2013-10-18,1349600.0,20.96,21.14,20.7,20.37
2013-10-21,1975700.0,20.6,21.421,21.05,20.47
2013-10-22,2043000.0,21.392,21.56,20.61,20.61
2013-10-23,687600.0,21.12,21.38,21.35,20.92
2013-10-24,862600.0,21.67,21.67,21.1,20.97
2013-10-25,998400.0,22.16,22.71,21.75,21.67
2013-10-28,1071800.0,21.68,22.36,22.1,21.68
2013-10-29,1066700.0,21.73,22.06,21.85,21.33
2013-10-30,2391900.0,20.97,21.77,21.74,20.95
2013-10-31,2367700.0,20.19,20.99,20.94,19.88
2013-11-01,1819600.0,19.84,20.39,20.17,19.83
2013-11-04,707900.0,20.28,20.37,19.88,19.88
2013-11-05,4787100.0,20.8,21.75,20.33,20.33
2013-11-06,1507900.0,20.282,20.87,20.87,20.17
2013-11-07,1213100.0,19.7,20.61,20.35,19.69
2013-11-08,1219700.0,19.83,20.2,19.7,19.65
2013-11-11,946600.0,20.03,20.22,19.89,19.67
2013-11-12,806100.0,19.97,20.03,19.92,19.55
2013-11-13,975900.0,20.29,20.33,19.93,19.8
2013-11-14,999600.0,20.53,20.77,20.21,19.92
2013-11-15,1381500.0,20.86,21.02,20.74,20.67
2013-11-18,1136500.0,20.76,21.06,20.95,20.6
2013-11-19,600500.0,20.75,20.98,20.97,20.55
2013-11-20,490500.0,20.67,21.0,20.86,20.5
2013-11-21,493100.0,21.01,21.02,20.67,20.42
2013-11-22,599600.0,21.04,21.17,21.02,20.8
2013-11-25,499000.0,20.9,21.18,21.05,20.82
2013-11-26,1197200.0,20.97,21.26,20.88,20.86
2013-11-27,547900.0,21.06,21.14,20.98,20.82
2013-11-29,382900.0,21.07,21.38,21.13,20.96
2013-12-02,883100.0,21.52,21.66,21.28,21.05
2013-12-03,385100.0,21.22,21.45,21.37,21.18
2013-12-04,1053300.0,20.94,21.37,21.03,20.69
2013-12-05,347800.0,20.72,20.97,20.95,20.64
2013-12-06,474600.0,21.06,21.3,20.98,20.66
2013-12-09,2387800.0,21.65,21.76,21.03,20.99
2013-12-10,3192500.0,23.01,23.5,22.55,22.22
2013-12-11,1300000.0,23.0,23.37,23.07,22.81
2013-12-12,1592500.0,23.09,23.16,21.87,21.7
2013-12-13,881700.0,22.98,23.22,23.22,22.71
2013-12-16,2134300.0,23.18,23.89,23.68,22.88
2013-12-17,648200.0,23.11,23.49,23.24,22.94
2013-12-18,1170100.0,24.26,24.3,23.24,23.19
2013-12-19,612300.0,23.95,24.36,24.18,23.8
2013-12-20,1387800.0,24.33,24.5,24.0,23.76
2013-12-23,721600.0,24.53,24.79,24.47,24.23
2013-12-24,589000.0,24.33,24.88,24.88,24.26
2013-12-26,639100.0,24.16,24.54,24.34,24.04
2013-12-27,657500.0,24.45,24.6,24.11,24.012
2013-12-30,767300.0,24.13,24.545,24.03,23.85
2013-12-31,789300.0,24.01,24.29,24.27,23.79
2014-01-02,1154000.0,23.73,24.0,23.35,23.27
2014-01-03,927700.0,23.44,24.03,24.03,23.42
2014-01-06,1277600.0,22.71,23.6,23.46,22.62
2014-01-07,1175700.0,23.12,23.34,22.97,22.93
2014-01-08,992800.0,23.19,23.26,22.89,22.86
2014-01-09,1765700.0,23.74,24.75,24.72,22.73
2014-01-10,1040700.0,24.3,24.35,23.75,23.48
2014-01-13,660300.0,23.36,24.3,24.03,23.34
2014-01-14,675600.0,23.18,23.72,23.34,23.03
2014-01-15,569000.0,23.58,24.01,23.19,23.04
2014-01-16,401100.0,23.97,24.0599,23.54,23.46
2014-01-17,691600.0,23.76,24.186,24.0,23.53
2014-01-21,668900.0,23.73,24.06,23.81,23.61
2014-01-22,469800.0,23.61,23.94,23.82,23.35
2014-01-23,679700.0,23.31,23.75,23.54,23.14
2014-01-24,702100.0,22.53,23.305,23.19,22.32
2014-01-27,749100.0,22.78,22.888,22.64,21.94
2014-01-28,3442100.0,21.76,22.642,22.07,21.38
2014-01-29,1384900.0,21.69,22.24,21.7,21.46
2014-01-30,1833200.0,21.65,22.37,21.89,21.52
2014-01-31,840400.0,21.47,22.35,21.41,21.41
2014-02-03,1264700.0,20.9,21.53,21.43,20.59
2014-02-04,1052000.0,21.6,21.74,21.06,20.92
2014-02-05,792600.0,21.41,21.67,21.67,21.05
2014-02-06,857600.0,22.09,22.265,21.53,21.0542
2014-02-07,959700.0,21.72,22.29,22.09,21.65
2014-02-10,338600.0,21.61,21.75,21.69,21.44
2014-02-11,1070400.0,21.96,22.5,21.63,21.55
2014-02-12,615200.0,22.2,22.44,21.93,21.892
2014-02-13,638800.0,22.18,22.25,22.1,21.83
2014-02-14,755100.0,22.07,22.44,22.19,21.99
2014-02-18,963000.0,21.68,22.53,22.06,21.52
2014-02-19,1990200.0,21.63,22.6,21.68,21.56
2014-02-20,1170100.0,21.36,21.75,21.58,21.195
2014-02-21,966600.0,22.03,22.11,21.35,21.31
2014-02-24,609200.0,22.16,22.5,22.09,21.96
2014-02-25,441100.0,22.17,22.47,22.28,21.87
2014-02-26,918200.0,22.75,22.99,22.24,22.13
2014-02-27,958300.0,23.17,23.2,22.63,22.27
2014-02-28,1084300.0,23.27,23.51,23.17,22.732
2014-03-03,687200.0,23.09,23.41,23.07,23.0
2014-03-04,821900.0,23.39,23.55,23.24,23.17
2014-03-05,1340200.0,23.73,24.2,23.31,23.05
2014-03-06,577000.0,24.2,24.59,24.59,23.38
2014-03-07,329400.0,24.23,24.3,24.3,23.92
2014-03-10,482500.0,24.03,24.2575,24.15,23.65
2014-03-11,484800.0,23.58,24.3,24.02,23.54
2014-03-12,1006900.0,23.2,23.4,23.34,22.91
2014-03-13,318200.0,22.99,23.333,23.18,22.92
2014-03-14,679600.0,22.54,23.22,23.01,22.49
2014-03-17,823000.0,22.47,22.91,22.66,22.38
2014-03-18,1176300.0,23.39,23.43,22.5,22.5
2014-03-19,535800.0,23.59,23.926,23.65,22.81
2014-03-20,872600.0,23.32,23.57,23.57,23.0
2014-03-21,2026800.0,23.19,23.5,23.49,22.96
2014-03-24,2155400.0,23.07,23.22,23.17,22.25
2014-03-25,3869200.0,24.96,25.24,24.5,24.5
2014-03-26,4751500.0,25.75,26.85,25.25,25.225
2014-03-27,2010100.0,25.69,25.85,25.8,24.76
2014-03-28,1669700.0,26.68,27.02,25.95,25.95
2014-03-31,1574700.0,26.15,26.47,25.84,25.38
2014-04-01,879700.0,26.6,26.75,26.23,25.772
2014-04-02,825900.0,26.44,26.8,26.61,26.23
2014-04-03,1100400.0,26.63,26.7,26.47,26.07
2014-04-04,1432300.0,26.86,27.39,26.82,26.52
2014-04-07,1988800.0,25.84,26.8,26.74,25.645
2014-04-08,918000.0,25.46,26.145,25.78,25.26
2014-04-09,496100.0,25.87,25.96,25.58,25.44
2014-04-10,840900.0,25.31,26.17,25.91,25.26
2014-04-11,992400.0,24.89,25.52,25.0,24.84
2014-04-14,617100.0,24.93,25.44,25.13,24.7
2014-04-15,885800.0,25.13,25.41,24.95,24.5201
2014-04-16,617500.0,25.26,25.61,25.27,25.05
2014-04-17,762500.0,25.55,26.26,25.27,25.018
2014-04-21,615400.0,25.89,26.1,25.56,25.24
2014-04-22,604300.0,26.27,26.43,25.86,25.67
2014-04-23,704800.0,26.3,26.775,26.25,26.01
2014-04-24,544800.0,26.49,26.7075,26.26,26.26
2014-04-25,717400.0,25.93,26.54,26.41,25.64
2014-04-28,1329600.0,26.22,26.35,26.07,25.715
2014-04-29,1502400.0,26.71,26.76,26.3,25.89
2014-04-30,2032700.0,25.78,26.2,25.98,25.61
2014-05-01,2115600.0,26.36,26.6,25.83,25.65
2014-05-02,17160800.0,25.71,26.2,26.0,25.5
2014-05-05,2532000.0,25.94,26.2108,25.55,25.5
2014-05-06,2142100.0,25.93,26.17,25.82,25.65
2014-05-07,1822100.0,25.95,26.24,26.07,25.54
2014-05-08,1225700.0,25.8,26.06,25.97,25.7
2014-05-09,2094300.0,25.83,25.89,25.6,25.6
2014-05-12,2112000.0,26.67,26.8,26.04,25.73
2014-05-13,1087800.0,26.62,26.8,26.4,26.01
2014-05-14,812700.0,26.35,26.68,26.55,26.11
2014-05-15,1114900.0,25.85,26.67,26.23,25.545
2014-05-16,1277700.0,25.97,26.2,25.8,25.32
2014-05-19,717900.0,26.05,26.27,25.91,25.9
2014-05-20,936600.0,25.43,26.274,26.11,25.27
2014-05-21,668500.0,25.78,25.88,25.55,25.34
2014-05-22,646400.0,25.68,25.9,25.73,25.586
2014-05-23,1095900.0,25.69,25.883,25.69,25.45
2014-05-27,1009600.0,26.01,26.08,25.89,25.57
2014-05-28,898900.0,26.14,26.44,26.06,25.9
2014-05-29,1062500.0,26.26,26.365,26.17,25.85
2014-05-30,1386600.0,26.27,26.35,26.3,25.91
2014-06-02,573900.0,26.51,26.63,26.42,26.0
2014-06-03,1819400.0,26.79,28.87,26.94,26.43
2014-06-04,830600.0,26.98,27.215,26.81,26.69
2014-06-05,746400.0,27.23,27.31,26.67,26.67
2014-06-06,879100.0,27.37,27.65,27.33,27.18
2014-06-09,1863900.0,27.6,27.99,27.92,27.29
2014-06-10,3012800.0,28.6,28.64,28.3,27.92
2014-06-11,2236300.0,28.77,29.2,28.89,28.41
2014-06-12,1606600.0,27.62,28.85,28.39,27.61
2014-06-13,979200.0,27.81,28.11,27.63,27.41
2014-06-16,874200.0,28.24,28.35,28.06,27.62
2014-06-17,912800.0,28.01,28.58,28.17,27.97
2014-06-18,941300.0,28.72,28.77,27.98,27.8
2014-06-19,1096600.0,28.169,28.98,28.68,28.11
2014-06-20,2022000.0,28.53,28.84,28.1,27.97
2014-06-23,1016200.0,28.19,28.8475,28.54,28.11
2014-06-24,1418400.0,27.84,28.27,28.14,27.7
2014-06-25,1098900.0,27.85,27.97,27.8,27.32
2014-06-26,1029400.0,28.05,28.19,27.92,27.564
2014-06-27,4242200.0,28.03,28.51,27.93,27.5701
2014-06-30,1048000.0,28.39,28.7,28.1,28.05
2014-07-01,874800.0,28.05,28.79,28.49,27.99
2014-07-02,999700.0,28.05,28.44,28.0,27.68
2014-07-03,1383400.0,28.71,28.76,28.07,28.07
2014-07-07,688400.0,27.95,28.68,28.6,27.85
2014-07-08,888000.0,27.55,27.99,27.95,27.23
2014-07-09,799500.0,27.23,27.85,27.73,27.09
2014-07-10,1135600.0,27.17,27.37,26.88,26.32
2014-07-11,572700.0,26.69,27.27,27.11,26.63
2014-07-14,535000.0,26.94,27.15,26.83,26.77
2014-07-15,748200.0,26.66,27.08,26.96,26.36
2014-07-16,876300.0,27.01,27.01,26.8,26.41
2014-07-17,660200.0,26.56,27.34,26.87,26.4801
2014-07-18,359900.0,26.9,26.97,26.6,26.338
2014-07-21,664900.0,26.87,27.155,26.67,26.62
2014-07-22,932200.0,27.36,27.58,26.95,26.91
2014-07-23,860900.0,27.32,27.6225,27.39,27.13
2014-07-24,733800.0,27.12,27.63,27.35,27.08
2014-07-25,651200.0,26.88,27.16,27.07,26.59
2014-07-28,1156800.0,26.41,26.84,26.84,25.82
2014-07-29,734100.0,26.19,26.65,26.41,26.03
2014-07-30,1138100.0,25.96,26.34,26.34,25.52
2014-07-31,1046800.0,25.42,25.85,25.78,25.16
2014-08-01,984900.0,25.23,25.92,25.47,25.19
2014-08-04,858000.0,25.55,25.67,25.21,25.21
2014-08-05,1083800.0,25.58,25.94,25.52,25.47
2014-08-06,850800.0,25.59,25.77,25.45,25.25
2014-08-07,922800.0,25.79,25.9,25.74,25.58
2014-08-08,886600.0,25.94,26.18,25.85,25.78
2014-08-11,544800.0,26.45,26.56,26.16,25.99
2014-08-12,1684500.0,26.39,26.67,25.9,25.9
2014-08-13,591500.0,26.49,26.68,26.52,26.16
2014-08-14,488100.0,26.89,26.9,26.44,26.44
2014-08-15,421900.0,26.6,27.0,27.0,26.49
2014-08-18,953800.0,27.17,27.35,26.83,26.345
2014-08-19,666900.0,27.6,27.67,27.36,27.3
2014-08-20,592300.0,27.6,27.74,27.57,27.09
2014-08-21,686400.0,27.83,28.16,27.63,27.21
2014-08-22,733600.0,28.03,28.23,27.75,27.75
2014-08-25,462500.0,27.97,28.29,28.17,27.91
2014-08-26,598900.0,27.64,28.24,27.99,27.63
2014-08-27,520600.0,27.68,27.89,27.77,27.54
2014-08-28,445000.0,27.76,27.84,27.55,27.42
2014-08-29,337900.0,27.77,27.94,27.91,27.65
2014-09-02,1416500.0,27.21,27.87,27.87,27.01
2014-09-03,859500.0,27.19,27.375,27.35,27.06
2014-09-04,1075900.0,27.1,27.48,27.27,27.08
2014-09-05,785000.0,27.62,27.66,27.15,27.06
2014-09-08,1055900.0,27.39,27.9535,27.65,27.28
2014-09-09,3068300.0,28.15,28.88,28.2,28.06
2014-09-10,1129600.0,27.83,28.93,28.5,27.69
2014-09-11,1474800.0,27.78,28.36,27.76,27.49
2014-09-12,6601900.0,28.2,28.8,27.88,27.79
2014-09-15,1552100.0,28.21,28.47,28.25,28.14
2014-09-16,1289000.0,28.55,28.57,28.06,27.83
2014-09-17,1400400.0,28.52,28.71,28.41,27.97
2014-09-18,1952600.0,29.18,29.25,28.5,28.35
2014-09-19,2432100.0,29.35,29.58,29.27,28.95
2014-09-22,1256700.0,28.76,29.25,29.1,28.6875
2014-09-23,965200.0,28.69,28.85,28.72,28.35
2014-09-24,692800.0,28.73,28.8,28.73,28.35
2014-09-25,1025900.0,28.08,28.76,28.74,28.08
2014-09-26,1070100.0,28.14,28.4,28.15,27.98
2014-09-29,842800.0,27.91,28.07,27.79,27.51
2014-09-30,1368900.0,27.26,27.97,27.97,26.97
2014-10-01,1546000.0,26.97,27.37,27.37,26.63
2014-10-02,1861700.0,27.07,27.4,26.88,26.73
2014-10-03,1135900.0,27.32,27.51,27.3,27.135
2014-10-06,526400.0,27.3,27.56,27.5,27.057
2014-10-07,1104900.0,26.98,27.49,27.1,26.75
2014-10-08,1497900.0,27.09,27.26,27.03,26.575
2014-10-09,1632800.0,26.43,27.23,27.11,26.31
2014-10-10,3159900.0,25.23,26.465,26.4,25.085
2014-10-13,4634700.0,23.91,25.37,25.34,23.81
2014-10-14,4778600.0,23.99,24.53,23.86,23.34
2014-10-15,5375500.0,23.91,24.27,23.41,22.18
2014-10-16,2338500.0,24.51,24.71,23.4,23.18
2014-10-17,2552300.0,25.4,25.66,24.83,24.75
2014-10-20,1083500.0,25.54,25.69,25.28,25.19
2014-10-21,2021200.0,26.72,26.759,25.78,25.43
2014-10-22,1402100.0,26.61,27.03,26.83,25.49
2014-10-23,1634500.0,27.22,27.545,26.92,26.519
2014-10-24,1037200.0,27.68,27.76,27.23,27.06
2014-10-27,934600.0,27.34,28.09,27.46,27.15
2014-10-28,698300.0,28.02,28.11,27.6,26.86
2014-10-29,828500.0,27.91,28.29,28.15,27.61
2014-10-30,1259700.0,27.94,28.07,27.71,27.47
2014-10-31,1221500.0,28.84,28.87,28.25,28.2
2014-11-03,1264000.0,28.74,29.01,28.93,28.7
2014-11-04,986900.0,28.78,28.85,28.67,28.36
2014-11-05,1520500.0,29.49,29.52,29.0,28.74
2014-11-06,872200.0,29.33,29.59,29.44,29.01
2014-11-07,1257500.0,29.01,29.44,29.35,28.82
2014-11-10,674200.0,29.06,29.17,28.98,28.6594
