date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,290500.0,7.25,7.25,7.25,7.25
2000-01-04,374600.0,7.188,7.5,7.375,7.125
2000-01-05,442700.0,7.25,7.5,7.313,7.188
2000-01-06,360900.0,7.125,7.25,7.125,7.063
2000-01-07,505000.0,7.063,7.438,7.438,7.016
2000-01-10,436700.0,7.063,7.313,7.25,7.063
2000-01-11,263800.0,7.188,7.406,7.188,7.125
2000-01-12,432200.0,7.188,7.656,7.625,7.156
2000-01-13,440300.0,7.125,7.5,7.469,7.125
2000-01-14,491800.0,7.125,7.375,7.25,7.063
2000-01-18,434900.0,7.375,7.563,7.375,7.281
2000-01-19,290900.0,8.0,8.0,7.688,7.531
2000-01-20,579300.0,8.813,9.125,8.75,8.5
2000-01-21,304700.0,9.031,9.438,9.375,9.0
2000-01-24,245400.0,9.125,9.5,9.313,9.125
2000-01-25,225900.0,9.25,9.563,9.5,9.188
2000-01-26,206000.0,9.125,9.5,9.5,9.125
2000-01-27,333500.0,8.188,9.125,9.094,8.031
2000-01-28,215200.0,7.938,8.5,8.469,7.75
2000-01-31,157400.0,8.0,8.188,8.031,7.75
2000-02-01,258000.0,7.797,8.25,8.031,7.797
2000-02-02,239500.0,7.75,8.188,7.938,7.688
2000-02-03,278100.0,7.625,8.125,7.938,7.5
2000-02-04,190000.0,7.625,7.625,7.625,7.625
2000-02-07,352400.0,7.313,7.75,7.75,7.25
2000-02-08,378700.0,7.188,7.438,7.438,7.188
2000-02-09,218300.0,7.563,8.0,7.625,7.375
2000-02-10,158600.0,7.875,7.938,7.875,7.688
2000-02-11,164300.0,7.688,7.938,7.938,7.5
2000-02-14,281400.0,7.656,7.75,7.75,7.344
2000-02-15,171200.0,7.313,7.75,7.719,7.281
2000-02-16,276000.0,7.375,7.75,7.703,7.25
2000-02-17,126200.0,7.406,7.813,7.5,7.313
2000-02-18,184900.0,7.313,7.5,7.344,7.25
2000-02-22,354500.0,7.375,7.625,7.438,7.219
2000-02-23,249200.0,7.281,7.5,7.438,7.25
2000-02-24,197600.0,7.125,7.5,7.313,7.125
2000-02-25,216800.0,7.063,7.438,7.313,7.063
2000-02-28,159900.0,7.094,7.25,7.125,7.031
2000-02-29,521200.0,7.0,7.188,7.156,7.0
2000-03-01,333000.0,6.75,7.156,7.0,6.625
2000-03-02,241700.0,6.75,7.0,6.875,6.563
2000-03-03,427000.0,7.031,7.063,6.938,6.813
2000-03-06,484800.0,7.219,7.5,7.188,7.125
2000-03-07,224400.0,7.188,7.5,7.5,7.156
2000-03-08,129000.0,7.125,7.5,7.219,7.125
2000-03-09,171400.0,7.094,7.313,7.313,7.063
2000-03-10,105700.0,7.031,7.219,7.188,7.0
2000-03-13,228100.0,6.875,7.063,7.031,6.625
2000-03-14,301600.0,6.813,7.063,6.891,6.75
2000-03-15,147100.0,6.875,7.0,6.875,6.625
2000-03-16,279400.0,7.063,7.125,7.031,6.875
2000-03-17,441700.0,7.0,7.25,7.125,7.0
2000-03-20,283200.0,7.0,7.375,7.25,7.0
2000-03-21,497500.0,7.031,7.25,7.125,7.0
2000-03-22,138100.0,7.063,7.25,7.125,7.0
2000-03-23,197000.0,7.0,7.063,7.0,6.938
2000-03-24,125300.0,6.938,7.063,7.031,6.938
2000-03-27,242700.0,6.906,7.0,7.0,6.875
2000-03-28,198800.0,6.875,7.063,7.0,6.813
2000-03-29,97900.0,6.844,6.938,6.938,6.813
2000-03-30,142300.0,6.875,6.875,6.844,6.813
2000-03-31,100900.0,6.875,7.0,6.938,6.813
2000-04-03,332300.0,6.938,7.063,6.969,6.875
2000-04-04,131800.0,6.969,7.125,7.0,6.875
2000-04-05,321800.0,6.813,6.938,6.906,6.563
2000-04-06,98900.0,6.875,7.0,6.75,6.75
2000-04-07,80000.0,6.813,7.0,6.844,6.781
2000-04-10,103000.0,6.781,6.875,6.844,6.75
2000-04-11,155200.0,6.594,6.875,6.875,6.594
2000-04-12,142600.0,6.531,6.688,6.563,6.5
2000-04-13,93800.0,6.531,6.625,6.625,6.5
2000-04-14,246700.0,6.375,6.547,6.5,6.375
2000-04-17,224400.0,6.375,6.5,6.375,6.313
2000-04-18,258400.0,6.375,6.438,6.438,6.188
2000-04-19,279100.0,6.313,6.375,6.313,6.188
2000-04-20,65100.0,6.313,6.375,6.375,6.25
2000-04-24,115200.0,6.281,6.375,6.281,6.281
2000-04-25,133200.0,6.313,6.469,6.344,6.313
2000-04-26,142500.0,6.563,6.625,6.469,6.375
2000-04-27,177000.0,6.344,6.563,6.375,6.344
2000-04-28,204100.0,6.625,6.625,6.563,6.375
2000-05-01,59100.0,6.813,6.875,6.563,6.563
2000-05-02,179200.0,7.125,7.25,6.875,6.813
2000-05-03,128600.0,7.063,7.375,7.125,7.063
2000-05-04,160800.0,7.25,7.25,7.063,7.063
2000-05-05,200700.0,7.219,7.313,7.25,7.188
2000-05-08,137600.0,7.25,7.313,7.219,7.125
2000-05-09,249100.0,7.688,7.875,7.25,7.25
2000-05-10,83900.0,7.469,7.75,7.438,7.406
2000-05-11,173900.0,7.844,7.875,7.75,7.438
2000-05-12,91300.0,7.25,7.813,7.75,7.125
2000-05-15,88800.0,7.375,7.5,7.125,7.125
2000-05-16,86400.0,7.375,7.5,7.313,7.188
2000-05-17,104700.0,6.938,7.438,7.125,6.938
2000-05-18,47900.0,7.0,7.125,7.125,6.875
2000-05-19,46800.0,6.875,7.0,6.938,6.813
2000-05-22,77600.0,6.688,6.75,6.688,6.625
2000-05-23,60100.0,6.625,6.688,6.625,6.625
2000-05-24,77300.0,6.5,6.688,6.625,6.5
2000-05-25,45600.0,6.375,6.5,6.5,6.375
2000-05-26,100800.0,6.438,6.5,6.25,6.25
2000-05-30,62700.0,6.5,6.625,6.5,6.375
2000-05-31,50000.0,6.563,6.625,6.5,6.438
2000-06-01,49800.0,6.438,6.563,6.438,6.375
2000-06-02,79800.0,6.438,6.563,6.5,6.438
2000-06-05,46000.0,6.438,6.563,6.5,6.438
2000-06-06,86100.0,6.438,6.5,6.438,6.438
2000-06-07,193600.0,6.5,6.531,6.469,6.438
2000-06-08,45600.0,6.531,6.563,6.5,6.438
2000-06-09,98400.0,6.5,6.563,6.5,6.313
2000-06-12,33800.0,6.438,6.563,6.516,6.438
2000-06-13,49800.0,6.563,6.563,6.438,6.438
2000-06-14,61800.0,6.5,6.563,6.563,6.438
2000-06-15,119600.0,6.438,6.531,6.438,6.375
2000-06-16,87600.0,6.25,6.438,6.438,6.188
2000-06-19,47500.0,6.25,6.438,6.25,6.188
2000-06-20,202900.0,6.125,6.313,6.266,6.125
2000-06-21,105900.0,6.156,6.313,6.125,6.031
2000-06-22,47800.0,6.063,6.219,6.031,6.0
2000-06-23,1097700.0,4.813,6.125,6.063,4.75
2000-06-26,202600.0,5.094,5.188,5.188,5.063
2000-06-27,167900.0,5.313,5.5,5.219,5.188
2000-06-28,242700.0,6.063,6.125,5.516,5.5
2000-06-29,177800.0,6.0,6.156,6.156,5.875
2000-06-30,68600.0,5.594,6.031,6.0,5.594
2000-07-03,50800.0,5.688,5.875,5.703,5.5
2000-07-05,302600.0,5.25,5.813,5.813,5.156
2000-07-06,54800.0,5.375,5.438,5.359,5.313
2000-07-07,64700.0,5.625,5.625,5.375,5.313
2000-07-10,120800.0,5.5,5.875,5.563,5.438
2000-07-11,101700.0,5.438,5.563,5.563,5.438
2000-07-12,104300.0,5.531,5.625,5.563,5.375
2000-07-13,202300.0,5.563,5.75,5.625,5.438
2000-07-14,232200.0,6.188,6.188,5.75,5.688
2000-07-17,164600.0,6.625,6.813,6.188,6.063
2000-07-18,120500.0,6.688,6.875,6.719,6.5
2000-07-19,22400.0,6.719,6.75,6.625,6.5
2000-07-20,83600.0,6.75,6.813,6.594,6.594
2000-07-21,78000.0,6.719,6.75,6.688,6.688
2000-07-24,132000.0,6.531,6.875,6.625,6.531
2000-07-25,85700.0,6.844,6.938,6.531,6.5
2000-07-26,41200.0,6.5,6.813,6.625,6.5
2000-07-27,16000.0,6.438,6.5,6.469,6.438
2000-07-28,124000.0,5.875,6.5,6.438,5.875
2000-07-31,23800.0,5.875,5.938,5.906,5.875
2000-08-01,39500.0,6.25,6.438,5.969,5.938
2000-08-02,15500.0,6.281,6.438,6.438,6.188
2000-08-03,45000.0,6.25,6.313,6.313,5.781
2000-08-04,39100.0,6.0,6.25,6.156,5.875
2000-08-07,29300.0,6.156,6.219,6.0,5.875
2000-08-08,78400.0,6.188,6.25,6.141,6.141
2000-08-09,23500.0,6.25,6.375,6.219,6.188
2000-08-10,45000.0,6.25,6.375,6.375,6.188
2000-08-11,180400.0,6.219,6.25,6.188,6.0
