date,5. volume,4. close,2. high,1. open,3. low
2004-12-16,6060000.0,14.72,14.89,14.0,14.0
2004-12-17,477200.0,14.7,14.73,14.6,14.36
2004-12-20,169200.0,14.6,15.2,14.6,14.6
2004-12-21,448900.0,15.6,15.61,14.6,14.4
2004-12-22,304800.0,15.95,16.1,15.35,14.9
2004-12-23,504900.0,16.5,16.85,16.2,16.1
2004-12-27,351800.0,15.98,16.75,16.72,15.75
2004-12-28,156400.0,15.98,16.24,15.93,15.85
2004-12-29,53300.0,15.71,16.08,16.0,15.55
2004-12-30,217100.0,15.75,15.79,15.75,15.07
2004-12-31,431700.0,16.25,16.4,15.85,15.75
2005-01-03,103900.0,16.03,16.45,16.25,15.6
2005-01-04,101900.0,15.99,16.35,16.35,15.8
2005-01-05,115300.0,15.6,16.15,16.15,15.55
2005-01-06,301400.0,15.65,15.8,15.5,15.4
2005-01-07,71300.0,15.65,15.95,15.95,15.65
2005-01-10,72000.0,16.0,16.01,15.65,15.65
2005-01-11,63300.0,15.9,16.05,16.05,15.85
2005-01-12,114000.0,15.75,16.0,15.9,15.6
2005-01-13,181300.0,15.96,16.08,15.9,15.8
2005-01-14,53600.0,16.0,16.1,16.0,15.9
2005-01-18,78100.0,16.08,16.2,16.15,15.95
2005-01-19,117000.0,16.15,16.4,16.2,16.15
2005-01-20,101500.0,16.1,16.32,16.3,16.1
2005-01-21,70400.0,16.1,16.27,16.25,16.0
2005-01-24,84900.0,16.1,16.24,16.22,16.05
2005-01-25,184000.0,16.1,16.25,16.2,16.05
2005-01-26,466000.0,15.8,16.16,16.1,15.75
2005-01-27,374500.0,15.8,16.05,15.9,15.7
2005-01-28,705000.0,15.8,15.99,15.9,15.4
2005-01-31,32100.0,16.05,16.05,15.9,15.82
2005-02-01,67500.0,16.35,16.35,16.05,15.8
2005-02-02,124700.0,16.13,16.35,16.35,16.1
2005-02-03,66100.0,16.0,16.15,16.1,15.85
2005-02-04,300000.0,16.1,16.2,16.0,15.95
2005-02-07,30300.0,16.3,16.3,16.15,16.15
2005-02-08,46200.0,16.63,16.65,16.3,16.3
2005-02-09,15900.0,16.44,16.65,16.63,16.25
2005-02-10,42600.0,16.51,16.6,16.44,16.37
2005-02-11,38800.0,16.48,16.67,16.45,16.4
2005-02-14,91600.0,15.9,16.48,16.48,15.9
2005-02-15,77600.0,15.86,16.1,15.95,15.3
2005-02-16,139600.0,16.0,16.0,15.8,15.72
2005-02-17,39100.0,16.5,16.5,16.05,16.0
2005-02-18,53400.0,16.5,16.7,16.45,16.4
2005-02-22,71600.0,16.4,16.7,16.6,16.36
2005-02-23,49200.0,16.25,16.4,16.4,16.2
2005-02-24,53300.0,15.95,16.24,16.24,15.91
2005-02-25,54600.0,15.76,15.97,15.95,15.75
2005-02-28,34000.0,15.78,15.82,15.75,15.66
2005-03-01,62000.0,15.85,15.85,15.73,15.6
2005-03-02,29000.0,15.85,15.85,15.85,15.7
2005-03-03,55500.0,15.8,15.87,15.85,15.7
2005-03-04,59300.0,15.9,16.01,15.85,15.8
2005-03-07,201500.0,16.0,16.15,15.9,15.75
2005-03-08,227700.0,16.0,16.05,16.0,15.95
2005-03-09,139700.0,16.15,16.29,16.0,15.9
2005-03-10,158700.0,15.99,16.15,16.15,15.98
2005-03-11,97200.0,16.15,16.15,16.0,16.0
2005-03-14,204400.0,16.15,16.29,16.15,16.15
2005-03-15,99600.0,16.0,16.2,16.15,16.0
2005-03-16,145700.0,15.99,16.05,16.0,15.89
2005-03-17,179200.0,16.0,16.1,16.0,15.99
2005-03-18,235200.0,16.06,16.1,16.1,16.0
2005-03-21,21000.0,16.05,16.15,16.15,16.0
2005-03-22,23200.0,16.03,16.08,16.05,16.03
2005-03-23,31600.0,15.9,16.08,16.08,15.82
2005-03-24,40200.0,16.0,16.0,15.85,15.7
2005-03-28,33100.0,15.75,16.0,16.0,15.74
2005-03-29,62000.0,15.65,15.75,15.75,15.5
2005-03-30,62000.0,15.4,15.6,15.6,15.3
2005-03-31,67300.0,15.24,15.43,15.4,15.1
2005-04-01,16600.0,15.2,15.41,15.1,15.1
2005-04-04,13700.0,15.18,15.39,15.3,15.14
2005-04-05,76700.0,14.8,15.18,15.18,14.65
2005-04-06,102900.0,14.8,14.86,14.8,14.75
2005-04-07,6500.0,14.8,14.85,14.85,14.8
2005-04-08,6100.0,14.96,14.99,14.8,14.8
2005-04-11,94700.0,14.93,15.05,14.92,14.8
2005-04-12,48000.0,14.76,14.9,14.9,14.76
2005-04-13,15000.0,14.64,14.83,14.76,14.64
2005-04-14,8400.0,14.65,14.7,14.64,14.52
2005-04-15,16000.0,14.65,14.7,14.56,14.55
2005-04-18,177900.0,14.65,14.8,14.65,14.6
2005-04-19,518000.0,15.0,15.0,14.6,14.6
2005-04-20,488000.0,15.18,15.19,15.04,15.0
2005-04-21,35000.0,15.25,15.27,15.15,15.15
2005-04-22,42900.0,15.2,15.35,15.35,15.01
2005-04-25,5300.0,15.14,15.2,15.2,15.1
2005-04-26,10200.0,14.84,15.12,15.1,14.75
2005-04-27,12900.0,15.0,15.0,14.85,14.85
2005-04-28,7500.0,14.9,15.05,15.0,14.9
2005-04-29,58100.0,15.1,15.25,14.95,14.95
2005-05-02,18100.0,14.85,15.15,15.15,14.85
2005-05-03,248300.0,15.82,16.05,15.5,15.5
2005-05-04,100700.0,15.98,15.99,15.92,15.75
