date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,572500.0,20.62,21.19,21.19,20.12
2000-01-04,963600.0,20.0,20.75,20.13,19.81
2000-01-05,642800.0,19.88,20.44,20.13,19.75
2000-01-06,288500.0,21.19,21.63,20.13,20.0
2000-01-07,281900.0,21.69,22.44,21.81,21.38
2000-01-10,249700.0,21.63,21.81,21.69,20.88
2000-01-11,390300.0,22.25,22.38,21.88,21.25
2000-01-12,325200.0,22.0,22.75,22.25,22.0
2000-01-13,369700.0,22.5,23.19,22.0,22.0
2000-01-14,377200.0,23.38,23.88,22.5,22.38
2000-01-18,453300.0,23.38,24.06,23.13,23.13
2000-01-19,406400.0,24.25,24.75,22.5,22.44
2000-01-20,310700.0,22.69,23.88,23.88,22.5
2000-01-21,295800.0,23.63,24.25,22.94,22.94
2000-01-24,335900.0,23.25,24.06,23.56,22.88
2000-01-25,353700.0,23.38,23.94,23.25,22.94
2000-01-26,673500.0,23.5,24.5,23.13,23.13
2000-01-27,418000.0,22.94,24.25,23.69,22.75
2000-01-28,251600.0,22.63,23.56,23.06,22.5
2000-01-31,285900.0,23.5,23.56,22.69,22.5
2000-02-01,145800.0,24.0,24.0,23.38,23.13
2000-02-02,320100.0,23.25,24.5,23.38,23.19
2000-02-03,285400.0,23.5,24.06,23.44,23.06
2000-02-04,156000.0,23.56,23.88,23.56,23.31
2000-02-07,218400.0,24.63,24.75,23.31,23.31
2000-02-08,291500.0,23.88,24.88,24.88,23.5
2000-02-09,371400.0,23.0,23.88,23.88,23.0
2000-02-10,242600.0,24.06,24.25,23.13,23.13
2000-02-11,260900.0,23.81,24.38,23.88,23.69
2000-02-14,493900.0,24.75,25.0,24.0,23.31
2000-02-15,281800.0,25.75,26.0,24.88,24.88
2000-02-16,260500.0,26.19,26.38,25.63,25.31
2000-02-17,284600.0,26.38,26.44,26.19,25.25
2000-02-18,169000.0,24.88,26.13,26.13,24.81
2000-02-22,232100.0,24.31,25.0,24.81,23.75
2000-02-23,115200.0,23.69,24.25,24.25,23.63
2000-02-24,302400.0,25.13,25.38,23.19,23.19
2000-02-25,197200.0,24.31,24.88,24.88,23.94
2000-02-28,198200.0,25.31,25.44,23.88,23.69
2000-02-29,342100.0,26.63,26.69,25.06,25.06
2000-03-01,389300.0,26.88,26.88,26.38,25.81
2000-03-02,384800.0,28.25,28.56,26.88,26.88
2000-03-03,658800.0,28.0,28.38,28.38,27.25
2000-03-06,322400.0,28.38,28.75,27.63,27.63
2000-03-07,367000.0,29.13,29.56,28.38,28.38
2000-03-08,290300.0,28.0,28.75,28.75,26.88
2000-03-09,328200.0,26.94,28.06,28.0,26.88
2000-03-10,472700.0,27.0,28.63,27.0,26.88
2000-03-13,446900.0,27.25,27.94,26.94,26.56
2000-03-14,229200.0,26.38,27.31,27.31,25.19
2000-03-15,181800.0,25.75,26.44,26.38,25.06
2000-03-16,401800.0,27.25,27.25,25.88,25.31
2000-03-17,243700.0,26.38,26.63,26.25,25.81
2000-03-20,176600.0,25.5,26.44,26.44,25.25
2000-03-21,233000.0,26.88,26.88,25.31,25.31
2000-03-22,357100.0,27.31,28.19,26.25,26.25
2000-03-23,194300.0,27.44,27.81,27.13,26.88
2000-03-24,509800.0,27.94,28.5,27.44,27.12
2000-03-27,234600.0,28.5,28.88,27.69,27.22
2000-03-28,251900.0,27.88,28.88,28.25,27.38
2000-03-29,317000.0,28.88,29.0,27.25,27.13
2000-03-30,698100.0,29.73,29.94,28.75,28.69
2000-03-31,965500.0,31.0,31.25,29.75,29.63
2000-04-03,433400.0,31.81,32.0,31.13,30.56
2000-04-04,372400.0,30.31,31.81,31.81,29.0
2000-04-05,364300.0,29.44,30.63,30.31,29.31
2000-04-06,271100.0,30.5,30.75,30.0,29.88
2000-04-07,351300.0,31.06,31.5,30.38,30.38
2000-04-10,259300.0,29.06,30.81,30.81,28.75
2000-04-11,347500.0,30.75,30.88,30.0,29.81
2000-04-12,416700.0,32.25,32.31,30.63,30.63
2000-04-13,241600.0,30.38,32.25,31.63,30.25
2000-04-14,490000.0,30.69,31.75,30.63,30.0
2000-04-17,394900.0,29.94,30.81,30.69,29.0
2000-04-18,432700.0,30.75,31.31,29.38,29.38
2000-04-19,330800.0,30.13,31.31,30.0,29.88
2000-04-20,318800.0,31.38,31.75,30.13,30.13
2000-04-24,365700.0,30.75,32.25,31.38,30.75
2000-04-25,281800.0,30.38,31.63,30.69,30.19
2000-04-26,377900.0,31.06,31.44,30.31,29.25
2000-04-27,276000.0,31.44,32.38,30.5,30.5
2000-04-28,210700.0,31.31,31.81,31.38,31.0
2000-05-01,228800.0,31.19,31.94,31.19,30.38
2000-05-02,274400.0,31.94,32.5,31.0,30.88
2000-05-03,327200.0,31.5,32.38,31.88,31.0
2000-05-04,329700.0,32.31,32.81,31.25,31.25
2000-05-05,580100.0,34.13,34.31,32.38,32.38
2000-05-08,442400.0,33.94,35.5,34.0,33.88
2000-05-09,276100.0,33.81,34.19,33.75,33.13
2000-05-10,241100.0,32.69,33.94,33.94,32.25
2000-05-11,287800.0,33.5,33.56,32.38,32.06
2000-05-12,146800.0,33.94,34.0,33.38,32.75
2000-05-15,491400.0,36.0,36.38,34.06,33.75
2000-05-16,344400.0,35.44,35.94,35.38,34.13
2000-05-17,355400.0,36.31,36.31,34.94,34.75
2000-05-18,272100.0,35.0,36.19,36.19,34.56
2000-05-19,138200.0,34.69,35.13,35.0,34.56
2000-05-22,316900.0,33.81,34.75,34.56,33.63
2000-05-23,334800.0,34.81,34.88,33.19,33.19
2000-05-24,424000.0,34.19,35.25,34.81,33.38
2000-05-25,237800.0,34.06,34.31,34.19,33.25
2000-05-26,212400.0,34.5,35.13,34.63,34.44
2000-05-30,237100.0,34.69,35.63,34.44,34.44
2000-05-31,411800.0,37.25,37.38,34.63,34.63
2000-06-01,368900.0,36.75,37.31,37.13,35.88
2000-06-02,299900.0,34.81,37.5,37.0,34.81
2000-06-05,360700.0,33.38,35.94,34.63,33.31
2000-06-06,182800.0,35.38,35.81,33.63,33.63
2000-06-07,331100.0,35.06,35.69,35.38,34.25
2000-06-08,257900.0,36.94,36.94,35.19,35.19
2000-06-09,241300.0,35.31,36.81,36.81,35.06
2000-06-12,340100.0,37.25,37.75,35.44,35.44
2000-06-13,254700.0,36.56,37.94,37.13,36.38
2000-06-14,205700.0,36.06,38.0,36.56,35.56
2000-06-15,366000.0,36.5,37.69,36.63,36.0
2000-06-16,434200.0,36.94,36.94,35.63,35.63
2000-06-19,274000.0,36.25,37.06,37.06,35.0
2000-06-20,470700.0,36.0,36.63,36.06,34.56
2000-06-21,453600.0,37.75,37.75,35.88,35.44
2000-06-22,434500.0,36.19,38.0,37.75,35.44
2000-06-23,277900.0,37.13,37.69,36.19,36.19
2000-06-26,252800.0,35.5,37.5,37.19,34.94
2000-06-27,435800.0,35.44,35.63,35.5,34.81
2000-06-28,309200.0,34.06,35.44,35.44,34.0
2000-06-29,379900.0,34.81,35.19,34.13,34.13
2000-06-30,1148900.0,37.39,37.39,34.19,33.75
2000-07-03,250100.0,35.69,37.06,37.06,35.31
2000-07-05,350400.0,33.19,35.75,35.75,32.88
2000-07-06,288500.0,33.19,34.31,33.13,32.94
2000-07-07,163100.0,32.94,33.63,33.31,32.63
2000-07-10,330400.0,32.69,33.38,32.69,31.81
2000-07-11,565500.0,35.0,35.13,32.56,32.56
2000-07-12,282600.0,33.5,35.19,35.19,33.44
2000-07-13,302200.0,33.06,33.5,33.5,32.59
2000-07-14,158600.0,33.69,34.0,33.31,32.88
2000-07-17,352700.0,32.25,33.63,33.63,31.94
2000-07-18,300400.0,33.25,34.25,32.25,32.25
2000-07-19,210500.0,33.06,33.56,33.0,32.56
2000-07-20,490000.0,32.88,33.13,33.0,31.69
2000-07-21,315600.0,32.0,33.0,33.0,31.69
2000-07-24,350900.0,31.0,32.19,31.88,30.81
2000-07-25,431700.0,29.88,31.69,31.0,29.75
2000-07-26,344200.0,30.06,30.5,29.88,29.69
2000-07-27,405400.0,30.81,31.38,30.13,30.13
2000-07-28,212300.0,31.56,31.69,31.19,30.75
2000-07-31,182500.0,32.0,32.0,31.63,31.0
2000-08-01,181200.0,32.75,32.94,31.81,31.81
