date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,23100.0,38.25,42.0,42.0,38.25
2000-01-04,6100.0,36.0,39.06,38.06,36.0
2000-01-05,52300.0,37.56,38.0,38.0,36.06
2000-01-06,41700.0,36.0,36.63,36.5,35.25
2000-01-07,10000.0,36.31,36.5,36.25,36.0
2000-01-10,14000.0,39.25,40.5,36.5,36.5
2000-01-11,26800.0,36.88,39.0,38.5,36.88
2000-01-12,17800.0,37.0,39.0,39.0,36.81
2000-01-13,38600.0,37.0,38.0,38.0,36.5
2000-01-14,16700.0,36.94,38.0,37.88,36.38
2000-01-18,10900.0,39.0,39.63,39.0,38.5
2000-01-19,2600.0,38.13,39.5,39.5,38.0
2000-01-20,6400.0,39.0,39.25,39.0,39.0
2000-01-21,125500.0,39.25,39.25,38.56,38.56
2000-01-24,45100.0,39.25,39.25,39.25,38.88
2000-01-25,50600.0,39.63,40.63,39.75,39.63
2000-01-26,30500.0,40.75,41.88,41.13,40.75
2000-01-27,5700.0,41.63,42.25,41.13,40.5
2000-01-28,20800.0,41.56,42.5,42.0,41.5
2000-01-31,27200.0,41.0,41.69,41.63,41.0
2000-02-01,173900.0,40.13,41.5,41.0,39.75
2000-02-02,83200.0,36.75,40.13,40.0,35.75
2000-02-03,347500.0,33.0,36.44,36.44,31.44
2000-02-04,2011200.0,34.44,34.75,33.0,33.0
2000-02-07,392100.0,37.0,37.0,33.75,33.0
2000-02-08,309000.0,38.63,39.0,36.5,35.5
2000-02-09,247300.0,39.31,39.31,38.0,38.0
2000-02-10,132200.0,41.56,41.56,39.0,39.0
2000-02-11,30200.0,41.25,41.88,41.75,40.0
2000-02-14,56400.0,38.75,42.0,41.25,38.75
2000-02-15,34300.0,38.25,41.0,40.0,38.25
2000-02-16,20400.0,40.25,40.25,39.5,39.25
2000-02-17,39800.0,41.0,41.13,40.5,40.0
2000-02-18,8400.0,40.13,41.0,40.75,39.88
2000-02-22,53600.0,40.5,41.0,39.5,39.0
2000-02-23,27700.0,39.81,40.0,39.13,39.13
2000-02-24,31700.0,39.5,40.5,40.5,39.38
2000-02-25,61400.0,41.0,41.06,41.0,40.0
2000-02-28,31900.0,40.5,41.13,40.94,39.88
2000-02-29,37100.0,41.0,41.0,39.88,39.88
2000-03-01,136200.0,40.75,41.13,41.0,40.5
2000-03-02,13100.0,40.38,40.75,40.5,40.38
2000-03-03,95600.0,41.0,41.13,40.75,40.5
2000-03-06,72800.0,40.63,41.25,41.25,40.63
2000-03-07,74900.0,37.5,41.09,41.09,37.25
2000-03-08,48100.0,38.25,38.25,37.75,37.5
2000-03-09,75100.0,38.25,38.5,38.38,37.25
2000-03-10,48700.0,37.25,38.38,37.88,37.25
2000-03-13,55700.0,34.5,37.13,37.13,34.5
2000-03-14,230700.0,38.25,41.88,35.13,34.81
2000-03-15,30000.0,39.0,39.0,38.25,36.5
2000-03-16,98000.0,41.0,41.13,39.5,37.25
2000-03-17,62500.0,41.13,41.13,39.88,39.88
2000-03-20,106300.0,41.0,41.13,41.13,40.5
2000-03-21,13800.0,37.5,41.0,41.0,37.0
2000-03-22,31900.0,38.0,38.13,37.63,37.0
2000-03-23,42300.0,37.13,38.0,38.0,37.0
2000-03-24,103300.0,37.13,38.34,38.34,37.13
2000-03-27,165500.0,37.75,37.75,37.25,37.0
2000-03-28,181400.0,40.0,40.5,38.0,37.75
2000-03-29,170600.0,41.0,41.25,40.0,40.0
2000-03-30,84900.0,40.56,41.13,41.0,40.5
2000-03-31,301400.0,40.13,40.88,40.69,38.88
2000-04-03,69500.0,39.25,40.0,40.0,38.88
2000-04-04,108800.0,36.13,39.5,39.5,33.44
2000-04-05,84700.0,33.25,36.13,36.13,32.5
2000-04-06,122600.0,34.0,34.0,32.81,32.63
2000-04-07,212200.0,36.0,36.06,35.5,35.0
2000-04-10,137000.0,36.13,37.75,36.13,35.75
2000-04-11,164000.0,39.88,40.5,35.5,35.0
2000-04-12,362400.0,39.94,40.13,39.78,39.5
2000-04-13,55200.0,39.5,40.0,39.94,39.5
2000-04-14,55400.0,36.69,39.44,39.44,36.56
2000-04-17,230700.0,36.25,37.5,37.44,36.0
2000-04-18,128800.0,37.5,37.5,35.5,35.5
2000-04-19,50400.0,44.0,44.0,37.13,37.13
2000-04-20,169600.0,40.56,44.0,44.0,40.56
2000-04-24,55300.0,39.88,40.88,39.81,39.31
2000-04-25,88400.0,38.0,40.0,39.25,37.25
2000-04-26,66300.0,37.63,38.44,37.0,37.0
2000-04-27,41700.0,36.25,37.38,37.38,36.19
2000-04-28,17400.0,36.0,39.0,39.0,34.69
