date,5. volume,4. close,2. high,1. open,3. low
2012-10-11,813300.0,19.4,20.4,19.4,18.74
2012-10-12,49900.0,19.05,19.75,19.01,18.56
2012-10-15,54300.0,19.26,19.55,19.0,18.59
2012-10-16,80500.0,19.67,19.91,19.29,19.2
2012-10-17,13600.0,19.783,20.0,20.0,19.26
2012-10-18,29200.0,20.0,20.01,19.58,19.58
2012-10-19,114900.0,19.97,20.3,19.92,19.65
2012-10-22,4100.0,19.5,19.99,19.22,19.05
2012-10-23,21100.0,19.44,19.5,19.15,19.05
2012-10-24,10100.0,19.2,19.245,19.1,19.0
2012-10-25,13900.0,19.2,19.2,18.9001,18.7
2012-10-26,12800.0,19.02,19.95,19.95,18.8
2012-10-31,8300.0,18.06,19.0,18.16,18.06
2012-11-01,9000.0,19.0,19.02,18.21,17.96
2012-11-02,24200.0,18.75,19.0,18.51,18.17
2012-11-05,7900.0,19.27,20.93,19.0,18.79
2012-11-06,30600.0,21.0,21.0,19.57,19.57
2012-11-07,48700.0,20.2,21.35,20.54,19.0
2012-11-08,131200.0,20.1,22.0,22.0,19.03
2012-11-09,40600.0,20.0,21.352,19.52,19.24
2012-11-12,36500.0,20.995,21.0,20.81,20.5
2012-11-13,59400.0,21.46,22.59,21.12,20.79
2012-11-14,23200.0,21.99,22.0,21.5,21.24
2012-11-15,17600.0,22.12,22.8,22.0,20.06
2012-11-16,14200.0,21.5,22.18,22.18,21.1
2012-11-19,4000.0,21.48,21.78,21.46,20.51
2012-11-20,3000.0,21.5,21.59,21.51,21.0165
2012-11-21,2300.0,21.01,21.5,21.01,21.01
2012-11-23,7100.0,21.21,21.98,21.0,20.3801
2012-11-26,28000.0,21.06,22.0,21.07,20.75
2012-11-27,3600.0,21.05,21.97,21.32,21.04
2012-11-28,26200.0,21.4999,21.4999,21.01,20.58
2012-11-29,14900.0,22.0,22.43,21.71,21.5
2012-11-30,1000.0,23.37,23.37,22.3,22.07
2012-12-03,4000.0,22.55,22.9581,22.46,22.25
2012-12-04,6100.0,23.49,23.49,22.89,22.42
2012-12-05,9700.0,25.0,25.0,23.28,23.05
2012-12-06,9800.0,28.2,28.92,24.93,24.51
2012-12-07,17100.0,28.45,28.54,28.5,27.1
2012-12-10,4400.0,28.2,28.44,27.0676,27.0676
2012-12-11,10100.0,30.23,30.23,27.56,26.8
2012-12-12,22400.0,33.0,33.13,30.35,30.35
2012-12-13,79900.0,34.9,35.32,32.97,32.97
2012-12-14,17300.0,34.58,35.13,34.89,34.57
2012-12-17,5800.0,34.75,34.9499,34.64,34.1
2012-12-18,53000.0,34.01,35.9899,35.02,32.98
2012-12-19,46200.0,33.71,34.69,33.78,32.87
2012-12-20,66000.0,34.09,34.15,34.0,33.81
2012-12-21,659800.0,34.34,34.34,33.88,33.34
2012-12-24,16600.0,33.93,34.26,34.24,33.51
2012-12-26,17500.0,33.94,34.079,33.935,33.76
2012-12-27,35700.0,33.83,34.09,33.99,33.561
2012-12-28,16400.0,34.0,34.05,33.79,33.76
2012-12-31,39600.0,34.24,34.28,34.09,33.86
2013-01-02,39800.0,34.26,34.39,34.39,33.85
2013-01-03,17800.0,34.04,34.49,34.26,33.99
2013-01-04,29400.0,34.13,34.49,34.49,33.91
2013-01-07,8100.0,33.865,34.306,34.05,33.5
2013-01-08,17900.0,33.72,34.0,33.73,33.45
2013-01-09,5000.0,33.74,34.09,33.78,33.5
2013-01-10,29000.0,34.02,34.44,34.2,33.51
2013-01-11,11900.0,33.89,34.1,34.1,33.78
2013-01-14,15600.0,33.58,34.19,34.19,33.5275
2013-01-15,62200.0,34.18,34.36,33.57,33.57
