date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,8592500.0,63.25,80.0,79.0,53.0
2000-01-04,4072600.0,55.0,63.0,56.5,51.0
2000-01-05,4346500.0,59.0,61.0,56.88,51.0
2000-01-06,2306400.0,54.0,61.75,58.94,51.0
2000-01-07,3445500.0,52.0,57.5,55.88,49.5
2000-01-10,4717500.0,55.0,60.5,56.0,52.62
2000-01-11,6051500.0,34.0,54.0,54.0,34.0
2000-01-12,6610500.0,30.12,35.0,34.0,28.0
2000-01-13,3288700.0,39.0,39.0,32.62,31.06
2000-01-14,3871000.0,39.0,44.5,40.0,37.12
2000-01-18,1681700.0,36.0,40.5,38.12,35.25
2000-01-19,1992400.0,33.62,35.75,35.0,32.31
2000-01-20,1605200.0,35.0,36.5,32.06,32.06
2000-01-21,1333100.0,36.62,38.62,35.62,35.5
2000-01-24,1334500.0,36.06,39.25,38.88,35.0
2000-01-25,912700.0,34.0,37.5,37.06,34.0
2000-01-26,1318400.0,32.5,34.69,33.94,32.19
2000-01-27,1410700.0,32.5,34.5,33.06,30.5
2000-01-28,1356600.0,30.69,33.0,31.88,30.0
2000-01-31,2250300.0,29.0,30.5,29.88,25.0
2000-02-01,1497300.0,31.25,31.25,28.5,27.5
2000-02-02,942300.0,30.75,31.62,30.75,29.5
2000-02-03,1250800.0,33.12,33.75,31.0,31.0
2000-02-04,902500.0,33.62,34.88,34.25,33.5
2000-02-07,715900.0,31.25,33.69,33.69,31.0
2000-02-08,783700.0,32.19,32.62,31.06,31.06
2000-02-09,696400.0,31.12,32.44,32.44,30.69
2000-02-10,4991700.0,46.5,46.5,31.62,31.38
2000-02-11,4305900.0,37.5,45.0,45.0,35.38
2000-02-14,1922100.0,33.5,36.94,36.94,32.38
2000-02-15,1205500.0,32.62,33.38,32.88,31.0
2000-02-16,885800.0,32.62,33.0,32.0,31.5
2000-02-17,1089800.0,34.5,34.5,32.12,31.5
2000-02-18,1950000.0,35.12,36.75,34.75,33.5
2000-02-22,911500.0,33.69,35.62,35.62,32.25
2000-02-23,773900.0,34.25,34.75,33.94,33.69
2000-02-24,742100.0,33.25,33.62,33.25,32.06
2000-02-25,836200.0,32.25,33.25,32.75,31.5
2000-02-28,887600.0,30.75,31.44,31.19,30.5
2000-02-29,852200.0,31.94,32.88,31.25,31.12
2000-03-01,644400.0,31.12,32.69,32.69,31.06
2000-03-02,507500.0,31.81,32.0,31.88,31.06
2000-03-03,576200.0,32.0,32.44,31.94,31.5
2000-03-06,1830200.0,33.75,36.75,31.19,31.19
2000-03-07,1019200.0,34.38,37.88,37.75,34.0
2000-03-08,829700.0,32.88,34.62,34.44,31.5
2000-03-09,465400.0,33.12,34.5,32.75,31.75
2000-03-10,511200.0,32.0,33.5,33.38,32.0
2000-03-13,702800.0,31.81,32.75,31.5,30.75
2000-03-14,699100.0,30.12,32.31,32.19,30.12
2000-03-15,1160700.0,28.56,30.75,30.19,28.06
2000-03-16,898800.0,28.88,29.75,28.31,26.75
2000-03-17,529500.0,28.0,29.75,28.0,27.5
2000-03-20,606600.0,27.12,28.75,28.25,26.5
2000-03-21,904800.0,26.5,27.19,26.62,24.0
2000-03-22,686600.0,27.81,28.62,26.88,26.0
2000-03-23,453200.0,27.88,28.62,28.38,27.5
2000-03-24,418700.0,28.0,28.75,28.12,27.25
2000-03-27,371200.0,30.12,30.12,28.25,27.38
2000-03-28,350300.0,27.56,29.25,28.0,27.5
2000-03-29,611000.0,26.19,27.94,27.0,25.56
2000-03-30,653200.0,25.25,26.75,25.5,24.62
2000-03-31,1469400.0,25.0,25.5,25.25,20.62
2000-04-03,588600.0,22.12,24.25,24.0,21.75
2000-04-04,1778300.0,20.5,21.62,21.25,16.12
2000-04-05,826500.0,21.5,22.69,19.0,19.0
2000-04-06,484000.0,22.62,23.88,22.38,22.0
2000-04-07,378100.0,23.12,24.0,24.0,22.75
2000-04-10,430100.0,21.31,23.38,23.0,21.12
2000-04-11,715700.0,19.0,20.5,20.0,18.94
2000-04-12,907900.0,17.25,19.0,18.94,17.0
2000-04-13,841200.0,17.0,18.25,17.88,16.12
2000-04-14,1393300.0,14.81,16.62,15.88,14.19
2000-04-17,1704800.0,13.0,16.88,14.75,12.94
2000-04-18,1403500.0,18.0,18.06,13.25,13.0
2000-04-19,1107000.0,18.5,20.38,19.0,18.12
2000-04-20,1190600.0,20.5,21.25,19.5,19.5
2000-04-24,1051000.0,18.75,20.38,20.25,17.81
2000-04-25,828700.0,21.5,21.56,20.0,19.25
2000-04-26,950300.0,20.81,23.0,23.0,20.38
2000-04-27,742300.0,20.19,20.75,19.13,18.0
2000-04-28,570100.0,20.69,21.44,20.75,20.38
2000-05-01,862900.0,22.94,22.94,21.44,21.0
2000-05-02,1937900.0,25.5,27.56,23.25,23.06
2000-05-03,1125000.0,24.88,26.44,26.13,23.56
2000-05-04,1954500.0,20.38,25.0,24.94,19.5
2000-05-05,738600.0,20.56,21.0,19.0,18.75
2000-05-08,604700.0,21.38,22.5,20.97,20.5
2000-05-09,619000.0,19.81,22.0,21.94,19.0
2000-05-10,845800.0,17.81,19.5,18.91,17.5
2000-05-11,605500.0,18.75,19.38,19.25,18.0
2000-05-12,496200.0,19.75,20.81,19.19,19.13
