date,5. volume,4. close,2. high,1. open,3. low
2001-05-16,0.0,13.25,13.25,13.25,13.25
2001-05-17,0.0,13.25,13.25,13.25,13.25
2001-05-18,0.0,13.25,13.25,13.25,13.25
2001-05-21,0.0,13.25,13.25,13.25,13.25
2001-05-22,0.0,13.25,13.25,13.25,13.25
2001-05-23,0.0,13.25,13.25,13.25,13.25
2001-05-24,0.0,13.25,13.25,13.25,13.25
2001-05-25,0.0,13.25,13.25,13.25,13.25
2001-05-29,1200.0,14.0,15.0,14.0,14.0
2001-05-30,300.0,13.6,13.6,13.6,13.6
2001-05-31,121800.0,26.13,26.13,25.24,25.18
2001-06-01,129600.0,14.65,15.46,14.45,14.0
2001-06-04,70800.0,14.49,14.98,14.9,14.36
2001-06-05,95700.0,14.38,14.55,14.5,14.25
2001-06-06,63000.0,14.6,14.99,14.1,14.1
2001-06-07,223500.0,13.9,14.71,14.6,13.81
2001-06-08,30000.0,13.75,14.14,13.9,13.65
2001-06-11,65100.0,13.35,13.5,13.4,12.91
2001-06-12,41400.0,13.44,13.55,13.25,13.05
2001-06-13,112500.0,13.1,13.35,13.34,13.05
2001-06-14,66900.0,13.0,13.33,13.2,12.76
2001-06-15,288000.0,12.74,13.0,13.0,12.15
2001-06-18,102000.0,12.48,13.1,12.74,12.35
2001-06-19,148500.0,11.85,12.6,12.48,11.6
2001-06-20,312600.0,11.9,11.9,11.75,11.41
2001-06-21,332700.0,12.2,12.35,12.0,11.7
2001-06-22,64800.0,11.95,12.17,12.17,11.75
2001-06-25,89700.0,11.6,11.75,11.6,11.27
2001-06-26,265800.0,11.5,11.8,11.55,11.4
2001-06-27,28200.0,12.11,12.38,11.6,11.6
2001-06-28,42900.0,12.73,13.15,12.21,12.21
2001-06-29,282000.0,13.5,13.7,13.0,12.6
2001-07-02,91500.0,12.66,13.5,13.5,12.45
2001-07-03,116400.0,13.3,13.3,12.76,12.2
2001-07-05,89700.0,12.55,13.0,13.0,12.55
2001-07-06,65400.0,12.21,12.57,12.51,12.21
2001-07-09,256200.0,12.01,12.21,12.21,11.7
2001-07-10,62400.0,11.76,12.0,12.0,11.72
2001-07-11,33300.0,11.6,11.8,11.76,11.3
2001-07-12,78900.0,11.75,11.9,11.7,11.65
2001-07-13,69300.0,12.25,12.5,11.75,11.62
2001-07-16,79200.0,11.3,11.97,11.8,11.3
2001-07-17,132900.0,11.4,11.48,11.0,11.0
2001-07-18,47400.0,11.31,11.46,11.45,11.12
2001-07-19,71100.0,11.5,11.65,11.65,11.3
2001-07-20,44700.0,11.63,11.7,11.45,11.4
2001-07-23,43800.0,11.55,11.69,11.64,11.17
2001-07-24,18300.0,11.3,11.6,11.57,11.22
