date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,305000.0,16.06,16.25,16.03,16.0
2000-01-04,1051000.0,14.63,15.94,15.81,14.5
2000-01-05,891300.0,15.13,15.25,15.0,14.75
2000-01-06,716300.0,15.0,15.13,15.06,14.88
2000-01-07,584000.0,15.81,15.88,15.03,14.75
2000-01-10,155100.0,16.38,16.44,15.81,15.69
2000-01-11,625200.0,17.75,17.81,16.44,16.38
2000-01-12,392400.0,17.5,17.75,17.38,17.19
2000-01-13,288100.0,17.75,17.75,17.69,17.25
2000-01-14,254900.0,17.69,18.19,17.56,17.25
2000-01-18,917900.0,17.13,17.63,17.56,17.13
2000-01-19,526700.0,16.88,17.19,17.16,16.75
2000-01-20,317600.0,16.5,16.88,16.75,15.88
2000-01-21,115400.0,16.38,16.69,16.5,16.28
2000-01-24,189600.0,16.06,16.44,16.38,16.0
2000-01-25,1368200.0,15.13,16.13,16.03,15.06
2000-01-26,533100.0,15.94,16.5,15.38,15.19
2000-01-27,185100.0,15.63,16.0,15.88,15.63
2000-01-28,180900.0,16.0,16.88,16.06,15.56
2000-01-31,477300.0,15.06,15.75,15.66,14.63
2000-02-01,453500.0,16.25,16.63,15.38,14.94
2000-02-02,459000.0,16.44,16.63,15.97,15.75
2000-02-03,490100.0,17.5,17.5,16.69,16.5
2000-02-04,492800.0,17.69,17.94,17.28,17.25
2000-02-07,360100.0,17.94,18.0,17.88,17.75
2000-02-08,343600.0,18.88,19.25,18.0,17.88
2000-02-09,177400.0,17.94,18.56,18.38,17.94
2000-02-10,330500.0,18.0,18.25,18.25,17.75
2000-02-11,190500.0,17.97,18.25,18.0,17.88
2000-02-14,228100.0,18.31,18.5,17.94,17.88
2000-02-15,483200.0,18.13,18.88,18.13,17.94
2000-02-16,292500.0,20.19,20.75,18.5,18.13
2000-02-17,378500.0,20.63,21.0,19.88,19.75
2000-02-18,358700.0,19.88,20.94,20.88,19.5
2000-02-22,211300.0,20.38,20.38,19.88,19.88
2000-02-23,439200.0,23.0,23.25,20.13,20.13
2000-02-24,478100.0,24.31,25.0,23.06,22.5
2000-02-25,1846900.0,28.19,30.44,24.06,23.75
2000-02-28,1082100.0,28.56,28.88,28.06,27.0
2000-02-29,1036200.0,29.56,30.0,28.38,27.81
2000-03-01,622700.0,29.13,29.94,29.5,28.33
2000-03-02,339600.0,28.69,29.0,28.72,28.13
2000-03-03,207700.0,29.0,29.0,28.5,28.5
2000-03-06,940300.0,28.38,29.25,28.69,28.13
2000-03-07,522800.0,27.69,28.06,28.0,27.0
2000-03-08,407200.0,28.0,28.13,27.19,25.63
2000-03-09,320400.0,28.5,28.63,27.75,27.5
2000-03-10,503500.0,27.94,29.88,28.25,27.63
2000-03-13,213800.0,26.5,27.75,27.72,26.5
2000-03-14,413500.0,25.56,27.25,26.5,24.75
2000-03-15,333200.0,26.69,27.63,25.56,25.13
2000-03-16,267500.0,28.19,28.19,27.28,26.75
2000-03-17,175700.0,25.81,28.38,27.78,24.94
2000-03-20,278900.0,26.38,27.63,25.63,25.13
2000-03-21,199200.0,27.06,27.06,26.38,25.94
2000-03-22,246100.0,27.06,27.25,27.13,26.13
2000-03-23,107300.0,27.06,27.25,27.0,26.81
2000-03-24,198500.0,26.88,27.19,26.97,26.75
2000-03-27,379500.0,26.78,27.13,26.5,26.38
2000-03-28,251300.0,26.19,26.88,26.75,26.13
2000-03-29,195300.0,25.5,26.19,26.0,25.5
2000-03-30,143600.0,22.0,25.56,25.56,21.75
2000-03-31,353700.0,23.31,23.75,23.0,20.5
2000-04-03,103600.0,22.94,23.38,23.38,21.88
2000-04-04,125800.0,22.0,23.13,23.13,21.69
2000-04-05,237600.0,22.19,23.0,21.88,21.63
2000-04-06,64700.0,23.69,23.69,22.13,22.13
2000-04-07,70700.0,22.94,23.81,23.5,22.06
2000-04-10,84000.0,21.94,23.88,23.13,21.94
2000-04-11,104600.0,21.31,22.38,21.94,21.13
2000-04-12,236000.0,21.75,22.0,21.75,21.25
2000-04-13,338700.0,22.25,24.63,21.88,21.25
2000-04-14,392800.0,23.69,24.5,22.25,22.13
2000-04-17,508500.0,25.38,25.38,23.5,23.5
2000-04-18,335600.0,24.81,25.25,25.0,24.69
2000-04-19,272700.0,24.63,25.19,24.88,24.63
2000-04-20,301200.0,25.75,25.81,24.63,24.63
2000-04-24,153500.0,24.88,25.0,24.88,24.69
2000-04-25,369100.0,24.94,26.5,24.88,24.88
2000-04-26,145700.0,25.25,25.38,24.75,24.75
2000-04-27,98300.0,25.38,25.38,24.75,24.5
2000-04-28,337800.0,26.25,26.25,25.13,25.13
2000-05-01,610400.0,28.13,29.75,29.38,27.38
2000-05-02,105000.0,26.56,28.06,28.03,26.44
2000-05-03,181700.0,25.31,26.81,26.78,24.63
2000-05-04,82600.0,25.5,25.63,25.06,25.06
2000-05-05,147500.0,25.88,27.31,25.38,25.25
2000-05-08,70400.0,27.0,27.13,25.88,25.88
2000-05-09,104500.0,26.88,27.03,27.0,25.63
2000-05-10,136500.0,25.81,26.94,26.94,25.38
2000-05-11,169400.0,26.94,27.06,26.0,25.75
2000-05-12,118100.0,26.75,27.13,26.69,26.5
2000-05-15,165100.0,27.38,27.5,26.28,26.13
2000-05-16,112500.0,27.63,27.69,27.0,27.0
2000-05-17,150400.0,26.75,27.44,27.13,26.63
2000-05-18,340100.0,25.94,26.75,26.75,25.63
2000-05-19,160400.0,26.0,26.13,25.25,25.0
2000-05-22,198000.0,25.25,26.0,26.0,24.75
2000-05-23,227400.0,25.25,25.63,25.19,25.0
2000-05-24,100200.0,25.5,25.81,25.25,25.0
2000-05-25,93700.0,25.0,25.75,25.72,25.0
2000-05-26,138500.0,24.25,26.0,25.0,24.13
2000-05-30,114300.0,24.75,24.88,23.63,23.5
2000-05-31,134900.0,25.25,25.38,24.81,24.75
2000-06-01,328500.0,24.5,25.19,23.25,23.25
2000-06-02,255900.0,25.38,25.69,24.5,24.5
2000-06-05,240300.0,24.0,25.25,25.25,23.63
2000-06-06,238100.0,25.63,25.75,23.75,23.63
2000-06-07,331700.0,26.06,26.06,25.81,25.19
2000-06-08,117800.0,24.81,26.13,26.06,24.75
2000-06-09,546900.0,24.5,25.0,25.0,23.88
2000-06-12,379100.0,22.5,24.88,24.88,22.5
2000-06-13,467600.0,23.38,23.56,23.44,22.94
2000-06-14,346000.0,23.81,23.94,23.63,23.38
2000-06-15,387100.0,23.69,24.0,23.75,23.19
2000-06-16,626600.0,23.56,23.88,23.19,22.81
2000-06-19,287700.0,23.5,23.69,23.63,23.38
2000-06-20,64100.0,23.06,23.58,23.44,22.94
2000-06-21,118200.0,23.38,23.5,22.81,22.5
2000-06-22,167300.0,22.44,23.25,23.0,22.38
2000-06-23,214700.0,22.44,22.75,22.5,22.13
2000-06-26,195500.0,23.13,23.44,22.31,22.13
2000-06-27,585500.0,22.56,23.11,23.06,22.56
2000-06-28,964100.0,21.94,22.69,22.56,21.88
2000-06-29,961900.0,22.0,22.13,21.88,21.75
2000-06-30,1425200.0,22.88,23.0,21.88,21.88
2000-07-03,109000.0,22.75,23.0,22.13,21.88
2000-07-05,226400.0,21.88,22.88,22.25,21.75
2000-07-06,374900.0,22.13,22.38,21.94,21.81
2000-07-07,310900.0,22.0,22.25,22.13,21.69
2000-07-10,332100.0,21.44,22.0,21.69,21.31
2000-07-11,99800.0,21.5,21.88,21.63,21.44
2000-07-12,123500.0,21.38,21.88,21.88,21.06
2000-07-13,205600.0,21.19,21.38,21.31,21.0
2000-07-14,338900.0,21.0,21.8,21.0,20.5
2000-07-17,386700.0,21.19,22.13,21.19,20.63
2000-07-18,871600.0,22.69,23.5,21.44,21.25
2000-07-19,141600.0,22.13,22.75,22.75,21.88
2000-07-20,107300.0,22.38,22.63,22.5,22.13
2000-07-21,120500.0,21.0,22.5,22.5,20.81
2000-07-24,493000.0,23.63,23.75,21.69,21.69
2000-07-25,530800.0,22.75,24.13,24.06,22.5
2000-07-26,210400.0,24.06,25.0,22.75,22.63
2000-07-27,200900.0,23.5,24.19,24.0,22.88
2000-07-28,165800.0,23.5,24.38,23.78,23.38
2000-07-31,124000.0,24.25,24.38,23.44,22.75
2000-08-01,179100.0,25.19,25.19,24.06,23.19
2000-08-02,122000.0,24.56,25.44,25.0,24.25
2000-08-03,170600.0,25.25,26.06,24.75,24.25
2000-08-04,131900.0,25.5,26.5,25.25,24.38
2000-08-07,122100.0,26.0,26.06,25.25,25.0
2000-08-08,721300.0,25.5,25.94,25.75,25.25
2000-08-09,343600.0,25.63,25.94,25.38,25.38
2000-08-10,129500.0,25.5,25.88,25.63,25.25
2000-08-11,174800.0,26.75,26.75,25.5,25.5
2000-08-14,114000.0,26.69,27.13,26.0,25.88
2000-08-15,145100.0,27.0,27.25,26.72,26.63
2000-08-16,446500.0,27.25,27.56,26.75,26.69
2000-08-17,155500.0,27.19,27.44,27.0,26.94
2000-08-18,514700.0,27.31,27.38,26.75,26.63
2000-08-21,198100.0,27.63,28.25,27.31,27.31
