date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,12302.0,7.94,8.0,7.56,7.56
2000-01-04,11326.0,8.063,8.125,8.063,8.0
2000-01-05,0.0,8.06,8.06,8.06,8.06
2000-01-06,1465.0,7.875,8.0,8.0,7.875
2000-01-07,976.0,7.75,7.75,7.75,7.75
2000-01-10,1855.0,7.625,7.688,7.625,7.625
2000-01-11,2831.0,7.625,7.625,7.625,7.625
2000-01-12,15329.0,7.563,7.688,7.625,7.5
2000-01-13,2343.0,7.625,7.625,7.625,7.563
2000-01-14,3905.0,7.625,7.625,7.625,7.625
2000-01-18,1269.0,7.625,7.625,7.563,7.563
2000-01-19,3613.0,7.625,7.625,7.625,7.563
2000-01-20,4003.0,7.688,7.75,7.688,7.688
2000-01-21,2343.0,7.625,7.688,7.688,7.625
2000-01-24,976.0,7.625,7.688,7.625,7.625
2000-01-25,98.0,7.625,7.625,7.625,7.625
2000-01-26,1367.0,7.625,7.625,7.625,7.625
2000-01-27,12595.0,7.75,7.875,7.75,7.688
2000-01-28,293.0,7.813,7.813,7.813,7.813
2000-01-31,1953.0,7.75,7.813,7.813,7.75
2000-02-01,380290.0,7.688,7.75,7.75,7.625
2000-02-02,3905.0,7.75,7.75,7.688,7.688
2000-02-03,6737.0,7.688,7.688,7.688,7.688
2000-02-04,4198.0,7.688,7.688,7.688,7.688
2000-02-07,1367.0,7.688,7.688,7.688,7.688
2000-02-08,2929.0,7.688,7.688,7.688,7.688
2000-02-09,10056.0,7.813,7.875,7.688,7.688
2000-02-10,2734.0,7.75,7.813,7.813,7.75
2000-02-11,586.0,7.75,7.875,7.875,7.75
2000-02-14,195.0,7.75,7.75,7.75,7.75
2000-02-15,8885.0,7.75,7.75,7.75,7.688
2000-02-16,2441.0,7.75,7.75,7.75,7.75
2000-02-17,98.0,7.75,7.75,7.75,7.75
2000-02-18,1465.0,7.75,7.75,7.75,7.75
2000-02-22,1367.0,7.75,7.75,7.75,7.75
2000-02-23,3222.0,7.75,7.875,7.75,7.75
2000-02-24,5858.0,7.625,7.688,7.688,7.625
2000-02-25,1074.0,7.625,7.625,7.625,7.625
2000-02-28,1269.0,7.625,7.688,7.625,7.625
2000-02-29,1660.0,7.688,7.75,7.75,7.688
2000-03-01,1660.0,7.688,7.688,7.688,7.688
2000-03-02,2831.0,7.688,7.688,7.688,7.625
2000-03-03,1074.0,7.688,7.688,7.688,7.688
2000-03-06,10545.0,7.688,7.688,7.688,7.688
2000-03-07,4784.0,7.75,7.75,7.688,7.625
2000-03-08,8006.0,7.625,7.688,7.688,7.625
2000-03-09,195.0,7.625,7.625,7.625,7.625
2000-03-10,2050.0,7.625,7.625,7.625,7.625
2000-03-13,1172.0,7.625,7.625,7.625,7.625
2000-03-14,4687.0,7.75,7.75,7.625,7.625
2000-03-15,4394.0,7.875,7.875,7.75,7.75
2000-03-16,391.0,7.813,7.813,7.813,7.813
2000-03-17,3222.0,7.75,7.75,7.75,7.75
2000-03-20,2831.0,7.813,7.813,7.75,7.75
2000-03-21,11619.0,7.688,7.75,7.75,7.688
2000-03-22,293.0,7.688,7.688,7.688,7.688
2000-03-23,8690.0,7.688,7.75,7.688,7.688
2000-03-24,1562.0,7.688,7.688,7.688,7.688
2000-03-27,4979.0,7.875,7.875,7.688,7.688
2000-03-28,1660.0,7.813,7.813,7.75,7.688
2000-03-29,1855.0,7.688,7.688,7.688,7.688
2000-03-30,11228.0,7.75,7.875,7.688,7.625
2000-03-31,22456.0,8.25,8.25,7.813,7.813
2000-04-03,4882.0,8.125,8.375,8.25,8.125
2000-04-04,11033.0,7.75,8.125,8.125,7.625
2000-04-05,1465.0,7.813,7.813,7.75,7.688
2000-04-06,5468.0,7.75,7.75,7.75,7.75
2000-04-07,27240.0,7.938,8.063,7.625,7.625
2000-04-10,3515.0,7.875,8.063,8.0,7.875
2000-04-11,4589.0,8.0,8.0,7.875,7.875
2000-04-12,3905.0,8.125,8.125,8.125,8.0
2000-04-13,3027.0,8.0,8.0,8.0,8.0
2000-04-14,9178.0,7.875,7.938,7.938,7.875
2000-04-17,1367.0,7.813,7.875,7.875,7.813
2000-04-18,6346.0,7.75,7.875,7.875,7.75
2000-04-19,7127.0,7.813,7.813,7.813,7.813
2000-04-20,5760.0,7.813,7.813,7.75,7.75
2000-04-24,5565.0,7.75,7.75,7.75,7.75
2000-04-25,6346.0,7.813,7.938,7.813,7.813
2000-04-26,976.0,8.0,8.0,7.875,7.875
2000-04-27,4687.0,7.938,8.0,7.938,7.875
2000-04-28,8299.0,8.063,8.063,7.938,7.938
2000-05-01,1562.0,8.0,8.063,8.063,8.0
2000-05-02,17086.0,8.125,8.125,8.0,8.0
2000-05-03,4101.0,8.125,8.125,8.125,8.125
2000-05-04,4589.0,8.25,8.25,8.125,8.125
2000-05-05,13181.0,8.625,8.625,8.188,8.188
2000-05-08,2734.0,8.375,8.625,8.5,8.375
2000-05-09,3027.0,8.25,8.438,8.313,8.25
2000-05-10,488.0,8.0,8.125,8.125,8.0
2000-05-11,3320.0,7.938,8.0,8.0,7.938
2000-05-12,1074.0,8.063,8.063,7.875,7.875
2000-05-15,14548.0,8.313,8.313,8.0,8.0
2000-05-16,488.0,8.25,8.25,8.25,8.25
2000-05-17,4979.0,8.375,8.375,8.188,8.188
2000-05-18,2148.0,8.188,8.25,8.25,8.188
2000-05-19,1953.0,8.25,8.25,8.25,8.25
2000-05-22,212650.0,9.125,9.125,8.875,8.313
2000-05-23,82795.0,9.125,9.25,9.188,8.938
2000-05-24,37590.0,9.0,9.125,9.0,8.938
2000-05-25,29095.0,9.0,9.125,9.063,9.0
2000-05-26,8885.0,9.063,9.125,9.125,9.063
2000-05-30,12986.0,8.875,9.0,9.0,8.875
2000-05-31,14938.0,9.0,9.125,8.813,8.75
2000-06-01,17281.0,9.188,9.25,9.063,8.875
2000-06-02,12302.0,9.313,9.313,9.313,9.188
2000-06-05,9764.0,9.438,9.438,9.25,9.25
2000-06-06,4784.0,9.313,9.438,9.438,9.313
2000-06-07,26655.0,9.25,9.25,9.25,9.125
2000-06-08,5663.0,9.5,9.5,9.25,9.25
2000-06-09,9764.0,9.438,9.5,9.5,9.375
2000-06-12,5370.0,9.438,9.563,9.438,9.438
2000-06-13,2246.0,9.375,9.438,9.375,9.375
2000-06-14,10056.0,9.438,9.5,9.438,9.375
2000-06-15,17770.0,9.688,9.75,9.5,9.438
2000-06-16,4979.0,9.5,9.75,9.75,9.5
2000-06-19,17281.0,9.375,9.375,9.375,9.25
2000-06-20,6444.0,9.0,9.25,9.25,9.0
2000-06-21,4491.0,9.25,9.25,9.125,9.125
2000-06-22,6932.0,9.313,9.375,9.25,9.25
