date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,66044.0,30.19,30.5,30.5,30.0
2000-01-04,28178.0,28.81,30.06,30.06,28.5
2000-01-05,37600.0,28.88,28.88,28.63,28.13
2000-01-06,27200.0,28.69,29.13,28.56,28.31
2000-01-07,17778.0,29.5,29.63,28.56,28.56
2000-01-10,27600.0,29.81,29.81,29.69,29.13
2000-01-11,15778.0,29.81,29.94,29.69,29.63
2000-01-12,16800.0,29.88,29.88,29.69,29.69
2000-01-13,34667.0,30.38,30.75,29.56,29.56
2000-01-14,19644.0,30.81,31.0,30.38,30.38
2000-01-18,34178.0,30.44,30.81,30.44,29.81
2000-01-19,30044.0,30.81,30.88,30.44,30.13
2000-01-20,20444.0,31.38,31.38,30.69,30.69
2000-01-21,24667.0,30.75,31.0,31.0,30.63
2000-01-24,24044.0,29.5,31.19,31.19,29.5
2000-01-25,42578.0,28.13,29.56,29.56,27.81
2000-01-26,29600.0,27.88,28.31,28.13,27.88
2000-01-27,53644.0,27.06,27.69,27.63,27.06
2000-01-28,114444.0,27.25,27.38,27.06,27.0
2000-01-31,50978.0,26.88,27.38,27.25,26.88
2000-02-01,25378.0,26.56,26.94,26.94,26.44
2000-02-02,54667.0,25.0,26.56,26.56,25.0
2000-02-03,65644.0,24.81,25.25,25.25,24.5
2000-02-04,143378.0,25.19,25.25,24.37,24.37
2000-02-07,57200.0,26.5,26.5,25.19,25.19
2000-02-08,68578.0,26.88,27.13,26.75,26.13
2000-02-09,44044.0,26.75,27.19,27.0,26.63
2000-02-10,25200.0,26.25,26.75,26.75,26.0
2000-02-11,23778.0,25.63,26.13,26.13,25.63
2000-02-14,86844.0,24.19,25.13,25.13,24.0
2000-02-15,179467.0,23.13,24.06,24.0,22.75
2000-02-16,36400.0,24.0,24.0,23.25,23.0
2000-02-17,74000.0,23.94,24.25,24.13,23.56
2000-02-18,32667.0,23.88,24.25,24.13,23.88
2000-02-22,35244.0,24.0,24.06,23.88,23.38
2000-02-23,29600.0,24.63,24.75,23.81,23.75
2000-02-24,35467.0,23.13,24.5,24.5,23.13
2000-02-25,33067.0,23.06,23.25,23.25,23.0
2000-02-28,47867.0,23.75,23.75,23.19,23.06
2000-02-29,83244.0,24.75,24.88,23.5,23.5
2000-03-01,78178.0,25.75,26.13,24.88,24.81
2000-03-02,58000.0,25.13,25.56,25.5,25.06
2000-03-03,15244.0,25.38,25.56,24.88,24.88
2000-03-06,41244.0,25.5,25.5,25.25,25.25
2000-03-07,58178.0,25.81,26.0,25.44,25.38
2000-03-08,39467.0,25.94,26.13,25.56,25.56
2000-03-09,17644.0,25.94,25.94,25.81,25.38
