date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,276000.0,17.81,18.0,17.5,17.0
2000-01-04,350200.0,17.5,17.88,17.88,17.44
2000-01-05,265900.0,17.19,17.38,17.25,17.12
2000-01-06,51100.0,17.44,17.5,17.38,17.31
2000-01-07,155400.0,17.62,17.62,17.31,17.12
2000-01-10,353100.0,18.0,18.0,17.56,17.56
2000-01-11,166400.0,17.0,17.62,17.62,16.94
2000-01-12,139600.0,17.06,17.31,17.19,17.0
2000-01-13,162300.0,16.38,16.88,16.81,16.38
2000-01-14,239600.0,16.31,16.62,16.38,16.19
2000-01-18,93900.0,16.69,16.75,16.25,16.25
2000-01-19,149400.0,16.88,16.88,16.69,16.69
2000-01-20,224900.0,16.38,16.81,16.81,16.31
2000-01-21,97900.0,16.62,16.69,16.56,16.5
2000-01-24,191400.0,16.69,17.12,16.75,16.69
2000-01-25,95600.0,16.56,16.62,16.62,16.44
2000-01-26,129500.0,16.75,16.88,16.56,16.56
2000-01-27,94900.0,17.12,17.12,16.81,16.81
2000-01-28,131000.0,16.88,17.25,17.12,16.88
2000-01-31,120800.0,17.0,17.0,16.75,16.75
2000-02-01,57000.0,17.25,17.25,16.94,16.88
2000-02-02,211200.0,17.69,17.69,17.5,17.44
2000-02-03,195000.0,18.12,18.12,17.69,17.69
2000-02-04,185100.0,18.75,18.75,18.25,18.25
2000-02-07,309100.0,19.38,19.38,18.88,18.88
2000-02-08,274900.0,19.94,20.0,19.44,19.38
2000-02-09,219600.0,19.5,20.25,20.19,19.38
2000-02-10,215200.0,20.06,20.12,19.75,19.75
2000-02-11,339300.0,20.19,20.62,20.12,20.06
2000-02-14,208000.0,20.12,20.38,20.31,19.81
2000-02-15,163700.0,19.62,20.06,20.06,19.38
2000-02-16,142100.0,20.12,20.12,19.5,19.38
2000-02-17,86600.0,20.38,20.5,20.31,20.19
2000-02-18,138600.0,19.94,20.44,20.44,19.94
2000-02-22,440300.0,20.44,20.44,20.12,20.12
2000-02-23,203600.0,20.12,20.19,19.88,19.88
2000-02-24,195500.0,20.19,20.44,20.31,20.06
2000-02-25,133900.0,20.0,20.0,19.81,19.69
2000-02-28,183000.0,20.25,20.5,20.12,20.12
2000-02-29,594100.0,20.56,20.56,20.12,20.12
2000-03-01,403000.0,20.38,21.0,20.69,20.25
2000-03-02,192100.0,19.88,20.19,20.12,19.69
2000-03-03,215200.0,19.38,19.56,19.5,19.25
2000-03-06,306200.0,21.0,21.12,21.12,20.81
2000-03-07,291500.0,20.81,21.44,21.38,20.81
2000-03-08,125200.0,20.88,21.0,20.88,20.62
2000-03-09,330200.0,20.25,20.62,20.62,20.25
2000-03-10,61900.0,19.88,20.0,20.0,19.69
2000-03-13,143900.0,18.56,19.38,19.38,18.56
2000-03-14,184500.0,18.56,19.0,18.62,18.56
2000-03-15,137000.0,18.94,19.0,18.62,18.62
2000-03-16,136800.0,18.94,19.0,18.81,18.75
2000-03-17,139500.0,19.0,19.19,18.81,18.81
2000-03-20,198900.0,19.0,19.12,18.94,18.81
2000-03-21,79400.0,18.38,18.94,18.75,18.31
2000-03-22,94600.0,18.62,18.81,18.56,18.56
2000-03-23,198200.0,18.31,18.75,18.75,18.25
2000-03-24,173600.0,18.5,18.75,18.38,18.38
2000-03-27,212900.0,18.31,18.56,18.5,18.25
2000-03-28,148300.0,18.31,18.5,18.38,18.25
2000-03-29,138200.0,17.94,18.31,18.31,17.94
2000-03-30,157300.0,17.44,17.88,17.88,17.25
2000-03-31,182700.0,17.0,17.56,17.44,16.75
2000-04-03,274200.0,15.56,16.88,16.81,15.38
2000-04-04,359300.0,14.56,15.0,14.69,14.0
2000-04-05,276300.0,15.0,15.19,14.25,14.25
2000-04-06,365600.0,16.5,16.5,15.25,15.25
2000-04-07,177100.0,17.69,17.81,17.75,17.56
2000-04-10,253400.0,17.56,18.25,18.19,17.5
2000-04-11,355100.0,16.56,17.5,17.5,16.0
2000-04-12,121800.0,16.06,16.62,16.62,16.06
2000-04-13,56500.0,15.88,16.0,15.88,15.62
2000-04-14,192800.0,14.75,15.0,15.0,14.5
2000-04-17,194300.0,14.38,14.38,14.06,14.0
2000-04-18,261100.0,14.38,14.38,14.31,14.0
2000-04-19,69800.0,13.94,14.31,14.31,13.88
2000-04-20,121700.0,14.12,14.12,13.94,13.62
2000-04-24,40900.0,13.38,13.81,13.75,13.31
2000-04-25,95200.0,13.62,13.69,13.5,13.38
2000-04-26,100100.0,14.12,14.12,13.81,13.75
2000-04-27,113000.0,14.12,14.25,13.75,13.62
2000-04-28,34800.0,14.31,14.5,14.25,14.25
2000-05-01,155100.0,14.56,14.56,14.38,14.31
2000-05-02,115700.0,13.81,14.0,14.0,13.75
2000-05-03,114900.0,12.88,13.62,13.56,12.56
2000-05-04,156000.0,13.25,13.38,13.06,13.06
2000-05-05,186800.0,13.88,13.88,13.38,13.38
2000-05-08,92500.0,13.06,13.38,13.38,13.06
2000-05-09,159200.0,13.38,13.38,13.25,13.25
2000-05-10,112400.0,13.25,13.25,13.0,12.94
2000-05-11,70800.0,12.94,13.12,13.12,12.75
2000-05-12,161600.0,12.56,12.69,12.69,12.5
2000-05-15,143000.0,12.12,12.5,12.5,12.0
2000-05-16,61200.0,12.25,12.38,12.12,12.06
2000-05-17,91700.0,11.88,12.25,12.25,11.75
2000-05-18,154700.0,11.31,12.0,12.0,11.31
2000-05-19,89800.0,10.94,11.38,11.19,10.88
2000-05-22,212700.0,10.75,10.94,10.94,10.5
2000-05-23,119400.0,11.0,11.25,10.75,10.75
2000-05-24,130900.0,11.0,11.19,10.88,10.81
2000-05-25,168800.0,11.06,11.12,11.06,10.94
2000-05-26,205500.0,11.12,11.12,11.06,11.0
2000-05-30,175600.0,11.81,11.81,11.38,11.38
2000-05-31,127700.0,12.25,12.5,12.38,12.25
2000-06-01,251500.0,11.88,12.19,12.12,11.88
2000-06-02,346200.0,12.81,13.0,12.62,12.62
2000-06-05,152000.0,12.81,13.0,12.88,12.81
2000-06-06,130900.0,13.0,13.12,13.0,12.88
2000-06-07,84500.0,13.12,13.19,13.12,13.06
2000-06-08,162500.0,13.5,13.69,13.5,13.5
2000-06-09,60800.0,13.44,13.69,13.56,13.44
2000-06-12,132900.0,13.44,13.88,13.88,13.44
2000-06-13,225500.0,13.38,13.44,13.44,13.06
2000-06-14,120800.0,13.56,13.56,13.31,13.31
2000-06-15,52000.0,13.38,13.56,13.56,13.31
2000-06-16,45700.0,13.56,13.62,13.56,13.5
2000-06-19,155300.0,14.0,14.0,13.69,13.69
2000-06-20,135400.0,14.0,14.5,14.0,14.0
2000-06-21,105100.0,14.0,14.0,13.94,13.81
2000-06-22,49700.0,13.94,14.06,14.0,13.88
2000-06-23,38100.0,13.75,13.94,13.81,13.75
2000-06-26,54000.0,13.62,13.69,13.62,13.5
2000-06-27,67500.0,13.56,13.62,13.25,13.25
2000-06-28,153100.0,14.06,14.19,13.94,13.88
2000-06-29,115400.0,14.0,14.25,14.25,13.94
2000-06-30,171400.0,14.19,14.19,13.94,13.88
2000-07-03,54900.0,14.56,14.56,14.25,14.25
2000-07-05,231500.0,15.0,15.12,14.56,14.56
2000-07-06,92200.0,14.94,15.0,14.94,14.81
2000-07-07,80900.0,14.94,15.0,14.94,14.81
2000-07-10,10800.0,14.81,14.88,14.88,14.75
2000-07-11,23000.0,14.56,14.75,14.69,14.44
2000-07-12,31000.0,14.81,14.88,14.69,14.62
2000-07-13,246000.0,14.88,14.88,14.75,14.56
2000-07-14,26600.0,14.38,14.88,14.88,14.31
2000-07-17,52500.0,14.19,14.31,14.0,14.0
2000-07-18,121800.0,13.88,14.12,14.06,13.81
2000-07-19,52600.0,13.5,13.75,13.75,13.44
2000-07-20,221100.0,13.0,13.38,13.38,12.88
2000-07-21,255600.0,12.5,12.75,12.75,12.5
2000-07-24,90400.0,11.81,12.25,12.25,11.75
2000-07-25,173200.0,12.19,12.38,12.12,12.12
2000-07-26,142100.0,12.0,12.0,12.0,11.81
2000-07-27,80300.0,12.25,12.31,12.06,12.06
2000-07-28,64600.0,12.0,12.25,12.25,12.0
2000-07-31,27400.0,12.0,12.12,12.0,12.0
2000-08-01,60500.0,12.06,12.19,12.06,12.0
2000-08-02,61600.0,11.88,11.94,11.94,11.75
2000-08-03,83100.0,11.5,11.88,11.88,11.5
2000-08-04,51600.0,11.81,11.88,11.5,11.5
2000-08-07,109800.0,11.62,11.69,11.69,11.5
