date,5. volume,4. close,2. high,1. open,3. low
2016-12-01,1191226.0,19.15,20.52,20.25,19.0
2016-12-02,299436.0,18.45,19.5,19.19,18.28
2016-12-05,916976.0,15.4,18.67,18.45,14.5
2016-12-06,346182.0,16.65,16.9537,15.94,15.45
2016-12-07,244464.0,16.89,17.61,17.61,16.65
2016-12-08,109659.0,17.2,17.2999,16.89,16.6827
2016-12-09,72734.0,16.95,17.5,17.5,16.8591
2016-12-12,71040.0,16.82,17.3142,17.2,16.75
2016-12-13,37768.0,16.75,17.0,17.0,16.7063
2016-12-14,77901.0,16.4,17.0,17.0,16.34
2016-12-15,126896.0,16.87,17.0,16.27,16.0301
2016-12-16,129340.0,16.47,17.0505,16.9,16.2
2016-12-19,110475.0,16.73,16.8999,16.65,16.5001
2016-12-20,73613.0,17.67,17.77,16.91,16.81
2016-12-21,103310.0,18.06,18.1,17.77,17.2624
2016-12-22,42507.0,18.13,18.5,18.2,18.01
2016-12-23,40375.0,18.55,18.852,18.36,18.28
2016-12-27,39671.0,18.55,19.11,18.83,18.5
2016-12-28,93412.0,18.6735,19.11,18.85,18.56
2016-12-29,77659.0,17.9,19.0007,19.0,17.315
2016-12-30,34814.0,18.19,18.5,17.76,17.58
2017-01-03,61123.0,18.7,19.1899,18.61,18.5604
2017-01-04,27144.0,18.83,18.98,18.98,18.75
2017-01-05,54069.0,19.71,19.82,18.99,18.94
2017-01-06,155475.0,19.25,19.94,19.92,19.0
2017-01-09,18342.0,19.12,19.33,19.33,18.8301
2017-01-10,60562.0,18.73,19.25,19.25,18.1
2017-01-11,76182.0,18.39,18.9077,18.77,18.0
2017-01-12,28004.0,18.15,18.69,18.69,18.0581
2017-01-13,90341.0,18.56,18.833,18.6,18.4
2017-01-17,27829.0,18.95,18.99,18.8,18.7116
2017-01-18,29179.0,18.6789,19.1,19.0,18.65
2017-01-19,30765.0,19.06,19.27,18.55,18.55
2017-01-20,28577.0,18.861,19.38,19.35,18.65
2017-01-23,15803.0,18.81,19.17,19.17,18.7
2017-01-24,19506.0,18.7,19.1085,18.96,18.581
2017-01-25,26377.0,18.99,18.99,18.81,18.7683
2017-01-26,21328.0,18.75,19.0,18.99,18.7272
2017-01-27,15162.0,18.7628,19.05,18.9,18.7501
2017-01-30,15099.0,18.8021,18.89,18.89,18.7535
2017-01-31,18109.0,18.5875,18.8566,18.8,18.5
2017-02-01,19489.0,18.2,18.768,18.69,18.2
2017-02-02,27871.0,17.9,18.38,18.17,17.75
2017-02-03,13447.0,18.14,18.23,18.11,17.95
2017-02-06,16903.0,17.97,18.18,18.15,17.95
2017-02-07,11457.0,17.93,18.073,17.91,17.9
2017-02-08,35613.0,18.0268,18.08,17.91,17.8679
2017-02-09,30505.0,18.02,18.1083,17.9,17.784
2017-02-10,28105.0,18.05,18.05,18.05,17.7925
2017-02-13,9605.0,17.95,18.15,18.15,17.8412
2017-02-14,21646.0,17.78,17.9,17.9,17.5001
2017-02-15,11116.0,17.9499,18.1376,18.0,17.78
2017-02-16,3999.0,17.5987,17.95,17.9,17.5601
2017-02-17,15009.0,17.75,17.869,17.76,17.55
2017-02-21,13858.0,17.81,17.9223,17.91,17.655
2017-02-22,17947.0,18.0,18.06,17.9,17.68
2017-02-23,9860.0,18.05,18.24,18.15,17.81
2017-02-24,71167.0,17.1,17.9359,17.83,16.0
2017-02-27,16937.0,16.89,17.16,16.96,16.5001
2017-02-28,40461.0,16.51,16.8822,16.81,16.4
2017-03-01,23353.0,16.33,16.58,16.29,16.235
2017-03-02,30556.0,16.45,16.6,16.4,16.197
2017-03-03,12490.0,16.25,16.6508,16.46,16.25
2017-03-06,26042.0,16.28,16.7399,16.52,16.15
2017-03-07,26783.0,15.9,16.38,16.38,15.65
2017-03-08,34114.0,15.6,15.9,15.9,15.54
2017-03-09,19172.0,15.549,15.75,15.55,15.51
2017-03-10,17292.0,15.499,15.6629,15.5,15.45
2017-03-13,26632.0,15.69,16.0,15.45,15.45
2017-03-14,28375.0,15.86,15.92,15.88,15.55
2017-03-15,45937.0,16.93,17.42,16.09,15.945
2017-03-16,20554.0,16.95,17.5,16.95,16.93
2017-03-17,156718.0,17.04,17.2,16.81,16.8
2017-03-20,19706.0,17.5,17.6,17.34,17.01
2017-03-21,18993.0,17.0,17.53,17.46,16.7745
2017-03-22,20721.0,17.34,17.47,16.87,16.54
2017-03-23,12907.0,16.5,17.56,17.56,16.5
2017-03-24,48905.0,16.35,16.61,16.48,16.2446
2017-03-27,44600.0,16.6,17.05,16.19,16.19
2017-03-28,11782.0,16.65,16.85,16.73,16.5859
2017-03-29,81692.0,17.14,17.27,16.69,16.69
2017-03-30,44106.0,17.15,17.4732,17.39,17.0
2017-03-31,20759.0,17.06,17.41,17.27,16.91
2017-04-03,26045.0,17.38,17.41,17.41,17.19
2017-04-04,121206.0,17.6,18.5,17.5,17.45
2017-04-05,63588.0,17.7,18.48,17.89,17.6
2017-04-06,18639.0,18.01,18.15,17.95,17.87
2017-04-07,19900.0,18.0,18.25,18.0,17.99
2017-04-10,58503.0,18.1,18.25,18.14,17.99
2017-04-11,63244.0,18.13,18.38,18.24,18.0
2017-04-12,9939.0,18.15,18.4,18.15,18.15
2017-04-13,10044.0,18.25,18.3702,18.27,18.15
2017-04-17,82635.0,18.4,18.4,18.1,17.99
2017-04-18,69391.0,18.09,18.75,18.54,17.99
2017-04-19,108588.0,18.25,18.36,18.25,17.53
2017-04-20,58246.0,18.01,18.89,18.42,18.01
2017-04-21,113756.0,18.44,18.52,18.15,18.0401
2017-04-24,114963.0,17.54,18.95,18.74,17.2
2017-04-25,76842.0,17.92,18.09,17.54,17.326
2017-04-26,39664.0,17.66,18.3,17.82,17.517
2017-04-27,22746.0,17.83,17.9712,17.8322,17.61
2017-04-28,25734.0,18.0,18.0,17.96,17.5
2017-05-01,5111.0,17.68,18.0,18.0,17.61
2017-05-02,15900.0,17.39,17.68,17.68,17.35
2017-05-03,21623.0,16.91,17.3,17.3,16.86
2017-05-04,62961.0,17.15,17.2122,16.99,16.8
2017-05-05,90802.0,16.86,17.9985,17.15,16.86
