date,5. volume,4. close,2. high,1. open,3. low
2000-07-28,9307600.0,39.17,42.25,29.88,29.5
2000-07-31,1240900.0,35.0,38.69,38.25,31.5
2000-08-01,608100.0,35.5,40.13,34.81,33.0
2000-08-02,428200.0,38.13,39.0,33.63,33.56
2000-08-03,684000.0,44.25,47.75,38.13,37.0
2000-08-04,642100.0,40.94,45.5,45.48,39.75
2000-08-07,282800.0,42.25,48.25,42.94,39.0
2000-08-08,164800.0,40.98,44.5,42.19,40.56
2000-08-09,163400.0,42.81,42.81,41.69,40.0
2000-08-10,328900.0,45.0,47.25,42.63,41.5
2000-08-11,197400.0,41.88,45.0,44.94,41.88
2000-08-14,236700.0,40.0,42.75,42.63,39.63
2000-08-15,153500.0,40.0,41.0,40.44,39.0
2000-08-16,277100.0,42.75,43.75,42.06,41.75
2000-08-17,243600.0,41.88,43.88,42.38,41.88
2000-08-18,82400.0,44.0,47.0,41.88,41.88
2000-08-21,157200.0,45.19,47.75,44.0,44.0
2000-08-22,181300.0,42.13,45.25,45.25,42.13
2000-08-23,166200.0,41.13,44.0,42.5,40.75
2000-08-24,107000.0,40.02,41.88,41.25,39.88
2000-08-25,279200.0,41.75,42.38,40.06,40.06
2000-08-28,159600.0,41.63,43.75,43.63,40.75
2000-08-29,86200.0,42.5,42.5,41.63,41.38
2000-08-30,421400.0,40.0,42.0,41.75,39.44
2000-08-31,445300.0,44.75,47.25,39.88,39.88
2000-09-01,188100.0,46.63,47.0,46.0,43.5
2000-09-05,96000.0,45.75,47.44,47.13,43.0
2000-09-06,221500.0,42.0,46.81,46.81,41.75
2000-09-07,162400.0,45.0,45.0,43.75,41.13
2000-09-08,176500.0,42.94,45.0,45.0,42.38
2000-09-11,300800.0,41.13,44.0,43.0,40.38
2000-09-12,123900.0,40.75,41.63,41.25,39.0
2000-09-13,308700.0,36.5,41.0,39.91,35.13
2000-09-14,137900.0,37.0,37.63,36.91,35.88
2000-09-15,116100.0,37.75,38.0,37.0,36.5
2000-09-18,171000.0,34.0,37.0,35.5,32.19
2000-09-19,283600.0,33.31,35.19,34.0,33.0
2000-09-20,241600.0,34.0,35.19,33.88,32.63
2000-09-21,36200.0,35.38,35.63,35.44,34.88
2000-09-22,87200.0,39.25,39.88,34.06,34.06
2000-09-25,267400.0,39.88,40.88,40.53,39.5
2000-09-26,299600.0,39.81,40.0,40.0,39.0
2000-09-27,74100.0,41.63,42.75,39.38,39.38
2000-09-28,54900.0,43.75,43.88,40.75,40.75
2000-09-29,235000.0,45.38,51.63,43.75,43.0
2000-10-02,45800.0,45.75,48.75,47.25,44.0
2000-10-03,80900.0,40.0,46.31,45.56,37.38
2000-10-04,194000.0,36.13,39.63,39.63,35.25
2000-10-05,143100.0,35.63,37.38,36.5,35.5
2000-10-06,271600.0,30.06,36.0,36.0,30.0
2000-10-09,573700.0,30.75,32.94,32.0,29.25
2000-10-10,344500.0,32.5,32.75,30.89,30.25
2000-10-11,74500.0,32.0,33.5,32.08,31.5
2000-10-12,155300.0,32.25,32.75,32.5,31.0
2000-10-13,28300.0,35.13,35.13,32.0,31.75
2000-10-16,127800.0,35.5,40.0,36.0,35.31
2000-10-17,114200.0,36.19,37.13,35.25,35.13
2000-10-18,46100.0,34.75,35.5,34.5,33.0
2000-10-19,32200.0,34.63,36.88,35.69,32.5
2000-10-20,54000.0,33.0,34.5,33.5,33.0
2000-10-23,66100.0,34.0,34.38,34.25,32.13
2000-10-24,207600.0,34.13,34.63,34.5,33.25
2000-10-25,62100.0,36.0,38.0,34.13,32.81
2000-10-26,251200.0,38.75,38.88,35.13,35.13
2000-10-27,231800.0,36.5,40.23,40.0,36.5
2000-10-30,80100.0,32.5,36.5,36.5,31.0
2000-10-31,58500.0,32.5,33.0,32.5,31.88
2000-11-01,256200.0,33.56,33.88,32.75,32.0
2000-11-02,168500.0,35.63,36.38,34.0,33.38
2000-11-03,59800.0,36.5,37.25,34.25,34.25
2000-11-06,256100.0,40.63,42.0,38.13,37.88
2000-11-07,90600.0,41.0,41.0,40.73,40.0
2000-11-08,23000.0,40.63,41.13,41.13,40.5
2000-11-09,173500.0,38.88,41.0,40.63,38.44
2000-11-10,79600.0,38.0,39.19,38.25,38.0
2000-11-13,85400.0,37.0,38.02,38.02,32.25
2000-11-14,40900.0,33.94,37.88,37.27,32.75
2000-11-15,113400.0,31.75,34.0,33.5,31.5
2000-11-16,262100.0,25.38,32.5,32.5,25.38
2000-11-17,198700.0,22.88,26.88,25.52,21.63
2000-11-20,207700.0,21.38,23.63,23.0,21.38
