date,5. volume,4. close,2. high,1. open,3. low
2014-06-19,32014000.0,26.7,27.4,26.15,26.06
2014-06-20,3840000.0,26.95,27.45,26.7,26.7
2014-06-23,1526300.0,26.74,27.25,27.25,26.52
2014-06-24,1102900.0,26.76,27.08,26.57,26.45
2014-06-25,921100.0,26.9,27.09,26.57,26.51
2014-06-26,1034900.0,26.98,27.24,26.79,26.77
2014-06-27,1097700.0,26.98,27.23,26.98,26.7
2014-06-30,694500.0,26.98,27.18,27.18,26.67
2014-07-01,999600.0,26.74,27.2,27.2,26.71
2014-07-02,1401700.0,26.77,27.09,26.62,26.62
2014-07-03,467900.0,26.95,27.1,26.66,26.66
2014-07-07,264600.0,26.94,27.0,26.96,26.66
2014-07-08,445300.0,26.86,26.95,26.94,26.626
2014-07-09,224400.0,26.88,26.9601,26.82,26.73
2014-07-10,470200.0,26.66,26.87,26.5,26.14
2014-07-11,484500.0,26.68,26.94,26.66,26.55
2014-07-14,2140600.0,26.08,26.7,26.5,25.5
2014-07-15,530900.0,26.0,26.12,25.97,25.75
2014-07-16,276400.0,26.05,26.9,26.07,26.0
2014-07-17,276900.0,26.04,26.21,26.0,25.95
2014-07-18,402900.0,26.05,26.08,25.8,25.8
2014-07-21,1044900.0,25.8,26.05,25.79,25.44
2014-07-22,1213800.0,25.6,26.02,26.02,25.29
2014-07-23,1004100.0,25.77,25.94,25.6,25.134
2014-07-24,579700.0,25.68,25.83,25.51,25.292
2014-07-25,706800.0,26.05,26.1,25.49,25.21
2014-07-28,306100.0,26.13,26.25,25.92,25.53
2014-07-29,237300.0,25.96,26.3,26.25,25.95
2014-07-30,220700.0,25.99,26.2,26.2,25.51
2014-07-31,367600.0,25.31,25.98,25.66,25.18
2014-08-01,400700.0,25.0,25.435,25.06,24.83
2014-08-04,192200.0,25.46,25.54,25.05,24.93
2014-08-05,208500.0,25.1,25.56,25.38,24.96
2014-08-06,128700.0,25.21,25.487,25.0,24.73
2014-08-07,109500.0,25.4,25.54,25.41,25.06
2014-08-08,187300.0,25.51,25.65,24.06,24.06
2014-08-11,152300.0,25.83,25.87,24.06,24.06
2014-08-12,550300.0,26.17,26.37,25.95,25.68
2014-08-13,975300.0,25.42,26.35,26.22,25.28
2014-08-14,312600.0,25.57,25.91,25.61,25.41
2014-08-15,540400.0,25.45,25.56,25.43,25.25
2014-08-18,639600.0,25.43,25.815,25.38,25.0601
2014-08-19,543900.0,25.76,25.9,25.43,25.11
2014-08-20,866100.0,25.95,26.58,25.5,25.5
2014-08-21,279000.0,25.53,26.09,25.73,25.33
2014-08-22,452500.0,25.39,25.893,25.44,25.29
2014-08-25,502100.0,25.21,25.56,25.34,25.1
2014-08-26,883600.0,25.33,25.77,25.06,24.85
2014-08-27,468900.0,25.22,25.7,25.27,25.06
2014-08-28,358200.0,25.01,25.35,24.07,24.07
2014-08-29,501700.0,25.01,25.25,25.01,24.51
2014-09-02,214700.0,25.01,25.51,25.04,24.99
2014-09-03,199900.0,25.39,25.45,25.08,24.83
2014-09-04,288600.0,24.89,25.4,25.4,24.8
2014-09-05,656800.0,24.88,25.11,24.83,24.76
2014-09-08,243000.0,24.68,24.903,24.77,24.5705
2014-09-09,603100.0,24.4,24.7,24.7,23.99
2014-09-10,929100.0,24.49,24.7,24.52,24.13
2014-09-11,202500.0,24.8,24.81,24.52,24.3401
2014-09-12,304600.0,24.47,24.86,24.86,24.35
2014-09-15,128600.0,24.48,24.61,24.42,24.25
2014-09-16,89800.0,24.4,24.67,24.35,24.3
2014-09-17,114600.0,24.22,24.585,24.38,24.13
2014-09-18,355200.0,24.25,24.49,24.25,24.04
2014-09-19,252700.0,24.18,24.41,24.41,24.0601
2014-09-22,254100.0,24.03,24.185,23.89,23.84
2014-09-23,339200.0,23.72,24.17,23.87,23.7
2014-09-24,213600.0,23.83,23.985,23.75,23.72
2014-09-25,199900.0,23.6,24.06,24.0,23.4
2014-09-26,153700.0,23.71,23.8,23.66,23.56
2014-09-29,306000.0,23.66,23.73,23.56,23.46
2014-09-30,408600.0,23.35,23.66,23.66,23.08
2014-10-01,335200.0,23.3,23.48,23.32,23.01
2014-10-02,347000.0,22.93,23.34,23.34,22.78
2014-10-03,379300.0,23.26,23.35,23.13,22.88
2014-10-06,582300.0,22.44,23.47,23.26,22.12
2014-10-07,1049300.0,21.04,22.37,22.3,20.99
2014-10-08,1348500.0,22.61,22.65,21.13,21.05
2014-10-09,408900.0,22.21,22.66,22.66,21.84
2014-10-10,495000.0,21.96,22.54,22.2,21.472
2014-10-13,667100.0,22.65,23.4,22.4,22.09
2014-10-14,978500.0,22.96,23.75,22.83,22.62
2014-10-15,632800.0,22.96,23.28,22.82,22.5
2014-10-16,303000.0,22.96,23.42,22.58,22.58
2014-10-17,323300.0,22.99,23.155,23.07,22.89
2014-10-20,154200.0,22.97,23.04,22.86,22.51
2014-10-21,455300.0,23.04,23.27,23.0,22.79
2014-10-22,255400.0,23.21,23.6,23.15,22.87
2014-10-23,401500.0,23.74,24.12,23.43,22.94
2014-10-24,249100.0,23.72,24.01,23.84,23.34
2014-10-27,416800.0,22.69,23.6,23.56,22.68
2014-10-28,381000.0,23.44,23.47,22.72,22.5
2014-10-29,294200.0,24.04,24.29,23.54,23.01
2014-10-30,219700.0,24.41,24.51,24.0,23.7
2014-10-31,374400.0,25.54,25.97,24.75,24.5
2014-11-03,508300.0,24.61,25.54,25.54,24.4
2014-11-04,124900.0,24.0,24.45,24.43,23.766
2014-11-05,345900.0,24.76,24.96,24.03,24.03
2014-11-06,357800.0,24.23,25.08,24.66,23.665
2014-11-07,337500.0,23.8,24.41,24.13,23.64
2014-11-10,209000.0,23.74,25.05,24.28,23.64
2014-11-11,391800.0,24.08,24.38,23.95,23.57
2014-11-12,467500.0,25.11,25.39,24.32,23.97
2014-11-13,383500.0,24.96,25.5,25.0,24.6701
2014-11-14,459200.0,24.92,25.43,25.04,24.4
2014-11-17,429600.0,24.82,25.23,25.0,24.5
2014-11-18,422500.0,25.34,25.8,24.85,24.846
2014-11-19,420200.0,25.5,25.75,25.2,24.96
2014-11-20,679900.0,25.87,25.95,25.51,25.3
2014-11-21,395000.0,25.74,26.0,26.0,25.65
2014-11-24,800500.0,25.51,25.64,25.61,25.09
2014-11-25,463000.0,25.4,25.6,25.6,25.196
2014-11-26,206000.0,25.6,25.73,25.37,25.33
2014-11-28,233300.0,25.43,25.62,25.62,25.38
2014-12-01,429600.0,25.08,25.6,25.45,25.0
2014-12-02,298900.0,25.2,25.4675,25.21,25.04
2014-12-03,389200.0,25.1,25.44,25.32,24.95
2014-12-04,495900.0,24.91,25.23,25.16,24.28
2014-12-05,664600.0,25.31,25.63,24.75,24.52
2014-12-08,451600.0,25.86,25.95,25.46,25.02
2014-12-09,937200.0,26.5,26.95,25.41,25.41
2014-12-10,745700.0,26.12,26.55,26.42,26.02
2014-12-11,257600.0,26.32,26.5799,26.38,26.0
2014-12-12,889500.0,25.58,26.66,26.3,25.51
2014-12-15,387400.0,25.45,26.38,25.8,25.3
2014-12-16,1905700.0,24.96,25.32,25.27,24.7
2014-12-17,219200.0,24.97,25.24,24.89,24.75
2014-12-18,537200.0,25.32,25.39,25.04,25.0
2014-12-19,435300.0,25.04,25.89,25.3,24.99
2014-12-22,493000.0,25.97,26.0,25.15,25.05
2014-12-23,394600.0,26.69,26.8,26.0,25.95
2014-12-24,43800.0,26.55,26.8,26.72,26.46
2014-12-26,101100.0,26.49,26.75,26.27,26.21
2014-12-29,84000.0,26.49,26.74,26.56,26.26
2014-12-30,85200.0,26.54,26.72,26.47,26.26
2014-12-31,126900.0,26.43,26.7,26.7,26.35
2015-01-02,823300.0,26.6,26.8,26.62,26.33
2015-01-05,340000.0,25.96,26.58,26.33,25.77
2015-01-06,533200.0,25.61,25.88,25.88,24.93
2015-01-07,457100.0,26.48,26.66,25.8,25.475
2015-01-08,434100.0,26.95,27.2,26.53,26.23
2015-01-09,230500.0,26.83,27.0,26.85,26.58
2015-01-12,233100.0,26.43,26.94,26.73,26.37
2015-01-13,320800.0,26.82,26.91,26.09,26.09
2015-01-14,522700.0,26.35,27.06,26.37,26.06
2015-01-15,371700.0,25.45,26.92,26.31,25.39
2015-01-16,257000.0,25.99,26.25,25.51,25.51
2015-01-20,436400.0,25.66,26.31,25.91,25.53
2015-01-21,149300.0,25.66,25.94,25.62,25.4
2015-01-22,389300.0,25.56,25.88,25.74,25.37
2015-01-23,184100.0,25.87,26.1,25.56,25.51
2015-01-26,145200.0,25.83,25.92,25.79,25.48
2015-01-27,471300.0,26.41,26.461,25.61,25.61
2015-01-28,530600.0,26.73,27.08,26.62,26.27
2015-01-29,310800.0,26.3,26.75,26.75,25.29
2015-01-30,170600.0,26.25,26.56,26.05,25.955
2015-02-02,313100.0,26.37,26.74,26.18,25.85
2015-02-03,159400.0,26.41,26.655,26.58,26.33
2015-02-04,321900.0,26.44,26.5,26.21,25.96
2015-02-05,117000.0,26.48,26.53,26.44,26.1
2015-02-06,151200.0,26.43,26.5,26.39,26.345
2015-02-09,228400.0,26.54,26.78,26.41,26.325
2015-02-10,330800.0,26.74,26.89,26.52,26.32
2015-02-11,245100.0,26.96,27.0,26.65,26.17
2015-02-12,1588400.0,26.81,27.39,26.42,26.42
2015-02-13,1231000.0,26.14,26.5,26.2,25.67
2015-02-17,671900.0,26.03,26.2,25.73,25.69
2015-02-18,616800.0,26.1,26.3,26.0,25.94
2015-02-19,1044600.0,26.2,26.43,26.16,25.97
2015-02-20,269600.0,26.35,26.5,26.28,26.0001
2015-02-23,197500.0,26.37,26.45,26.36,26.03
2015-02-24,484200.0,26.5,26.59,26.29,26.29
2015-02-25,740900.0,26.52,26.68,26.37,26.164
2015-02-26,521800.0,26.55,26.59,26.5,26.44
2015-02-27,291100.0,26.65,26.74,26.5,26.34
2015-03-02,1180700.0,27.14,27.2,26.7,26.59
2015-03-03,315000.0,26.8,27.065,27.0,26.51
2015-03-04,594200.0,26.35,26.79,26.79,26.28
2015-03-05,193400.0,26.31,26.56,26.24,26.12
2015-03-06,466300.0,25.88,26.26,26.24,25.705
2015-03-09,283500.0,26.02,26.19,25.96,25.71
2015-03-10,479000.0,25.79,25.95,25.95,25.68
2015-03-11,580700.0,25.62,25.98,25.92,25.26
2015-03-12,306700.0,26.05,26.13,25.71,25.63
2015-03-13,314700.0,25.9,26.17,26.12,25.49
2015-03-16,236700.0,26.39,26.4399,25.91,25.63
2015-03-17,252800.0,26.42,26.52,26.25,26.1
2015-03-18,196300.0,26.8,26.81,26.34,26.2332
2015-03-19,609600.0,27.03,27.19,26.78,26.645
2015-03-20,281300.0,27.25,27.25,27.18,26.9
