date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,28855100.0,87.0,87.38,83.27,83.25
2000-01-04,25509800.0,82.94,87.88,85.44,82.25
2000-01-05,26194500.0,84.63,85.25,83.0,80.5
2000-01-06,27585600.0,78.75,83.38,81.75,78.19
2000-01-07,20548200.0,82.0,82.0,77.5,77.38
2000-01-10,26809900.0,85.75,87.25,85.75,84.13
2000-01-11,52740900.0,89.69,92.38,88.56,88.28
2000-01-12,48663300.0,91.25,94.75,90.88,89.25
2000-01-13,38052100.0,91.06,93.0,92.69,89.31
2000-01-14,92202600.0,103.1,106.6,98.44,98.25
2000-01-18,51050300.0,102.1,105.8,100.3,100.3
2000-01-19,22784000.0,100.1,102.1,101.0,99.88
2000-01-20,35001000.0,95.63,100.8,99.75,95.44
2000-01-21,27779100.0,97.94,98.25,96.0,95.63
2000-01-24,37416300.0,98.81,104.9,102.3,98.25
2000-01-25,25691300.0,101.6,101.8,99.38,97.44
2000-01-26,24653100.0,96.5,101.2,100.8,96.38
2000-01-27,30741000.0,98.13,101.1,99.38,95.5
2000-01-28,26961400.0,94.0,98.75,97.25,93.06
2000-01-31,34226600.0,98.94,99.06,93.63,92.88
2000-02-01,24025700.0,101.4,101.5,98.38,96.63
2000-02-02,26040300.0,100.06,102.94,101.0,99.69
2000-02-03,28063000.0,104.2,104.6,101.7,100.8
2000-02-04,27976900.0,104.8,108.3,104.4,104.3
2000-02-07,21405000.0,107.9,108.1,104.9,104.9
2000-02-08,19013000.0,108.8,110.1,108.8,108.0
2000-02-09,19307600.0,104.6,108.9,108.1,104.5
2000-02-10,21769600.0,107.6,108.1,104.4,103.2
2000-02-11,18878000.0,105.9,108.8,107.3,105.3
2000-02-14,17187100.0,109.9,109.9,106.3,105.6
2000-02-15,31385700.0,112.0,112.9,109.9,105.3
2000-02-16,23025000.0,107.2,112.9,111.4,107.0
2000-02-17,24334800.0,110.0,112.4,108.9,107.9
2000-02-18,25185000.0,105.4,110.5,110.0,105.2
2000-02-22,22896800.0,106.8,106.8,104.9,101.6
2000-02-23,20421000.0,109.1,111.1,105.3,104.3
2000-02-24,42673900.0,114.3,116.5,112.4,110.3
2000-02-25,23149500.0,113.3,115.4,113.9,112.8
2000-02-28,23711100.0,112.4,114.6,111.6,108.3
2000-02-29,22207100.0,113.0,115.6,113.2,111.3
2000-03-01,20406500.0,115.9,116.9,112.9,112.5
2000-03-02,18234900.0,115.8,117.1,115.4,114.1
2000-03-03,17142500.0,119.3,119.8,117.0,115.6
2000-03-06,14016000.0,117.4,118.9,118.0,116.7
2000-03-07,19962100.0,115.8,119.6,117.8,115.2
2000-03-08,23195600.0,114.9,116.4,116.1,112.3
2000-03-09,19187900.0,118.4,118.5,113.7,112.0
2000-03-10,21748800.0,120.2,120.6,117.9,117.4
2000-03-13,33719600.0,122.1,125.5,118.8,118.8
2000-03-14,28392500.0,117.9,125.6,124.3,117.8
2000-03-15,24447800.0,120.2,123.1,119.1,118.7
2000-03-16,27486400.0,125.1,125.4,123.3,119.6
2000-03-17,30425500.0,129.9,130.0,124.3,124.0
2000-03-20,32581800.0,135.0,137.4,129.9,129.9
2000-03-21,25615500.0,138.4,138.9,135.0,134.1
2000-03-22,26846600.0,144.1,145.4,140.4,139.5
2000-03-23,22796900.0,142.6,143.7,142.4,139.4
2000-03-24,23449000.0,139.06,144.5,140.12,137.62
2000-03-27,17883100.0,142.7,143.8,139.6,139.1
2000-03-28,22428900.0,135.7,142.6,140.6,135.1
2000-03-29,30662700.0,131.9,137.7,136.5,131.5
2000-03-30,35823400.0,127.0,133.4,129.8,123.1
2000-03-31,29221100.0,131.9,134.9,129.6,128.3
2000-04-03,25035800.0,130.6,133.0,131.4,125.8
2000-04-04,43670900.0,132.8,134.0,131.5,119.7
2000-04-05,31050900.0,129.9,134.0,129.9,127.8
2000-04-06,27567000.0,129.8,131.6,129.3,127.0
2000-04-07,25678600.0,136.8,137.0,131.4,131.3
2000-04-10,22424500.0,131.1,139.1,137.5,130.9
2000-04-11,26535600.0,130.8,134.3,130.0,127.5
2000-04-12,30084800.0,121.9,131.9,129.9,121.8
2000-04-13,34707300.0,121.1,129.3,123.4,120.8
2000-04-14,46400200.0,110.5,120.8,119.2,108.4
2000-04-17,44436700.0,123.0,123.3,110.0,109.7
2000-04-18,49279000.0,129.0,131.0,126.6,125.3
2000-04-19,43688900.0,119.1,125.8,125.6,118.9
2000-04-20,22899500.0,115.4,119.4,117.9,115.0
2000-04-24,29160100.0,116.1,116.5,111.0,110.4
2000-04-25,25671200.0,125.0,125.3,119.7,119.5
2000-04-26,23786000.0,120.8,125.0,124.3,120.6
2000-04-27,30544200.0,125.3,126.6,117.6,117.0
2000-04-28,22168200.0,126.8,129.1,128.0,125.9
2000-05-01,21194900.0,127.1,131.0,127.9,126.3
2000-05-02,21935700.0,121.2,127.6,125.9,120.9
2000-05-03,29494300.0,119.1,120.6,120.1,115.9
2000-05-04,20492400.0,119.6,120.6,118.8,117.1
2000-05-05,17108700.0,123.4,123.9,119.0,119.0
2000-05-08,20468900.0,117.6,122.7,122.3,117.5
2000-05-09,21527000.0,116.9,119.3,118.4,115.0
2000-05-10,48612800.0,106.1,116.5,114.5,105.1
2000-05-11,35133800.0,115.6,116.0,107.1,106.4
2000-05-12,19214700.0,115.0,119.5,116.6,114.8
2000-05-15,20552700.0,118.1,118.3,114.6,112.8
2000-05-16,22234200.0,121.9,122.9,119.8,118.7
2000-05-17,32771600.0,123.2,125.4,122.4,120.4
2000-05-18,25070700.0,123.9,126.5,123.9,123.1
2000-05-19,35984000.0,117.9,123.6,121.9,116.3
2000-05-22,29624800.0,118.4,118.6,117.5,111.4
2000-05-23,25192900.0,109.9,119.9,117.8,109.8
2000-05-24,37741100.0,117.4,118.2,109.6,109.5
2000-05-25,25244400.0,115.2,122.3,118.7,113.6
2000-05-26,15425500.0,117.6,119.9,115.0,114.4
2000-05-30,20884000.0,125.8,125.9,119.3,119.1
2000-05-31,27044800.0,125.6,127.9,126.3,124.8
2000-06-01,22989200.0,129.7,130.0,126.2,126.1
2000-06-02,21328700.0,134.2,134.6,132.8,132.0
2000-06-05,19588000.0,132.6,135.0,132.6,131.2
2000-06-06,23712600.0,129.6,135.1,131.3,129.5
2000-06-07,19876700.0,128.9,129.4,129.3,125.7
2000-06-08,17197000.0,126.2,131.5,129.6,126.0
2000-06-09,13759600.0,127.1,128.0,127.9,125.5
2000-06-12,12973500.0,125.1,128.0,127.8,124.6
2000-06-13,19563300.0,131.5,131.9,124.5,124.1
2000-06-14,18504400.0,126.4,131.3,130.9,126.0
2000-06-15,16705500.0,128.3,130.1,126.7,126.5
2000-06-16,22043100.0,126.1,129.7,129.3,125.9
2000-06-19,30610600.0,136.5,136.7,128.4,128.4
2000-06-20,29289700.0,138.3,140.3,135.9,135.9
2000-06-21,16445700.0,139.0,139.3,136.4,136.1
2000-06-22,14848100.0,134.1,138.4,138.0,134.0
2000-06-23,15160800.0,134.4,137.5,135.3,134.1
2000-06-26,14952400.0,134.2,137.2,135.8,132.6
2000-06-27,16685200.0,131.4,136.5,133.9,131.3
2000-06-28,15315900.0,132.4,135.7,131.9,131.0
2000-06-29,23568100.0,131.8,134.4,131.1,130.9
2000-06-30,20715600.0,133.7,134.1,130.9,129.6
2000-07-03,7541900.0,136.9,136.9,134.1,133.7
2000-07-05,21002600.0,131.6,134.5,133.1,131.4
2000-07-06,22453100.0,136.6,136.8,131.5,131.4
2000-07-07,18643400.0,139.3,139.9,137.8,136.1
2000-07-10,15674700.0,137.8,140.0,137.8,137.0
2000-07-11,21391000.0,138.8,141.3,138.3,137.1
2000-07-12,14912100.0,141.2,142.3,140.3,138.8
2000-07-13,22588000.0,143.2,145.0,140.4,140.3
2000-07-14,18735900.0,146.7,147.1,144.0,143.1
2000-07-17,23290000.0,146.3,147.5,146.6,144.4
2000-07-18,25341800.0,143.0,144.8,144.8,141.4
2000-07-19,36094200.0,138.1,146.1,144.9,138.0
2000-07-20,30244200.0,142.7,143.3,138.9,137.9
2000-07-21,16043300.0,138.2,142.3,142.1,138.1
2000-07-24,19917700.0,138.0,142.0,138.2,137.6
2000-07-25,14811600.0,140.9,141.9,138.7,137.7
2000-07-26,23319900.0,139.0,140.1,139.0,136.6
2000-07-27,19611900.0,137.0,140.4,138.5,136.0
2000-07-28,27716900.0,129.1,139.4,138.0,128.8
2000-07-31,15235350.0,66.75,67.56,65.44,64.5
2000-08-01,25001100.0,64.63,67.38,67.06,64.25
2000-08-02,33226800.0,63.31,66.13,65.25,63.19
2000-08-03,34941100.0,65.06,65.38,61.81,60.56
2000-08-04,34939700.0,62.56,66.25,66.22,61.44
2000-08-07,30634400.0,62.94,64.38,62.63,61.13
2000-08-08,24900100.0,61.63,63.38,62.75,61.5
2000-08-09,30071900.0,63.56,64.88,62.88,62.84
2000-08-10,16678400.0,62.0,64.81,63.19,62.0
2000-08-11,22509600.0,63.81,64.13,61.88,60.81
2000-08-14,25665000.0,66.94,67.0,64.44,63.63
2000-08-15,34464300.0,67.88,68.75,66.81,66.0
2000-08-16,24609500.0,68.69,69.5,68.63,68.0
2000-08-17,40495900.0,70.06,71.5,68.5,68.44
2000-08-18,35795600.0,70.56,72.94,71.0,70.25
2000-08-21,46024300.0,72.06,74.06,72.67,70.56
2000-08-22,31693500.0,72.13,73.56,72.47,72.13
2000-08-23,36177000.0,74.63,74.88,71.44,70.69
2000-08-24,23352900.0,74.25,74.63,74.56,73.0
2000-08-25,20844200.0,72.94,74.44,73.88,72.63
2000-08-28,42760500.0,73.88,75.81,73.25,73.0
2000-08-29,23023100.0,74.06,74.94,73.31,73.13
2000-08-30,21770400.0,73.5,74.38,73.75,72.75
2000-08-31,28530700.0,74.88,75.63,73.88,73.63
2000-09-01,18322000.0,73.94,75.69,75.63,73.44
2000-09-05,58396000.0,69.25,71.38,71.06,68.25
2000-09-06,62344900.0,65.7,68.5,68.06,65.0
2000-09-07,34716000.0,67.44,68.69,66.61,66.25
2000-09-08,29681800.0,65.38,67.44,67.19,64.94
2000-09-11,30507800.0,64.69,66.88,65.56,63.94
2000-09-12,28997300.0,64.94,66.94,65.06,64.56
2000-09-13,70068400.0,61.25,63.31,61.69,60.5
2000-09-14,50489200.0,59.63,62.88,62.5,59.25
2000-09-15,75675900.0,57.52,59.88,59.69,56.63
2000-09-18,50767100.0,55.81,59.25,58.38,55.5
2000-09-19,58855100.0,60.38,60.5,57.19,56.81
2000-09-20,70335900.0,63.06,63.5,61.25,60.44
