date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,1467.0,14.0,14.94,14.94,14.0
2000-01-04,9200.0,14.25,14.25,14.0,13.38
2000-01-05,1200.0,15.0,15.0,14.25,14.25
2000-01-06,400.0,15.75,15.75,15.75,15.75
2000-01-07,4600.0,16.5,16.5,15.75,15.75
2000-01-10,3267.0,17.25,18.0,18.0,17.25
2000-01-11,1000.0,17.75,17.75,17.75,17.75
2000-01-12,3067.0,17.0,17.25,17.25,16.5
2000-01-13,23067.0,15.25,16.88,16.5,14.25
2000-01-14,37867.0,15.5,15.5,15.0,14.5
2000-01-18,3267.0,16.0,16.0,15.25,15.0
2000-01-19,4200.0,16.5,16.5,15.0,15.0
2000-01-20,267.0,16.5,16.5,16.5,16.5
2000-01-21,10467.0,17.0,17.38,17.0,16.75
2000-01-24,2600.0,17.0,17.5,17.5,17.0
2000-01-25,2867.0,17.0,17.0,17.0,17.0
2000-01-26,7267.0,16.75,16.75,16.75,16.75
2000-01-27,0.0,16.75,16.75,16.75,16.75
2000-01-28,5267.0,17.5,17.5,16.75,16.25
2000-01-31,0.0,17.5,17.5,17.5,17.5
2000-02-01,1067.0,17.0,17.5,17.5,17.0
2000-02-02,0.0,17.0,17.0,17.0,17.0
2000-02-03,0.0,17.0,17.0,17.0,17.0
2000-02-04,7200.0,17.5,17.5,16.75,16.75
2000-02-07,7667.0,17.75,17.75,17.0,17.0
2000-02-08,2000.0,17.0,17.25,17.25,16.75
2000-02-09,1667.0,16.5,16.5,16.25,16.25
2000-02-10,3000.0,17.25,17.25,17.25,17.25
2000-02-11,2867.0,18.5,18.5,18.0,17.25
2000-02-14,2267.0,18.13,18.5,18.5,17.5
2000-02-15,800.0,17.5,17.5,17.5,17.5
2000-02-16,2600.0,18.13,18.13,17.5,17.5
2000-02-17,1000.0,17.5,18.5,18.5,17.5
2000-02-18,1000.0,17.0,17.0,17.0,17.0
2000-02-22,0.0,17.0,17.0,17.0,17.0
2000-02-23,1467.0,18.5,18.5,18.0,18.0
2000-02-24,1000.0,18.5,18.5,18.5,18.5
2000-02-25,2867.0,18.5,18.5,17.5,17.5
2000-02-28,19267.0,17.0,18.75,18.75,17.0
2000-02-29,2600.0,17.5,17.5,16.5,16.5
2000-03-01,800.0,17.25,18.88,18.75,17.25
2000-03-02,1867.0,19.0,19.0,19.0,19.0
2000-03-03,800.0,19.5,19.5,19.5,19.5
2000-03-06,4200.0,20.0,20.0,19.0,19.0
2000-03-07,1200.0,19.13,19.13,19.13,19.13
2000-03-08,467.0,19.13,19.13,19.13,19.13
2000-03-09,2467.0,18.75,19.02,19.02,18.75
2000-03-10,867.0,18.75,19.5,18.75,18.75
2000-03-13,2200.0,19.5,19.5,19.5,19.5
2000-03-14,3800.0,20.0,20.0,19.5,19.5
2000-03-15,2467.0,20.0,20.0,20.0,20.0
2000-03-16,400.0,20.0,20.0,20.0,20.0
2000-03-17,400.0,20.5,20.5,20.5,20.5
2000-03-20,200.0,20.88,20.88,20.5,20.5
2000-03-21,5467.0,21.88,21.88,20.88,20.88
2000-03-22,8267.0,19.75,21.75,21.75,19.75
2000-03-23,800.0,20.5,21.0,21.0,19.13
2000-03-24,0.0,20.5,20.5,20.5,20.5
2000-03-27,4067.0,20.5,22.0,21.0,20.5
2000-03-28,0.0,20.5,20.5,20.5,20.5
2000-03-29,0.0,20.5,20.5,20.5,20.5
2000-03-30,1000.0,20.0,20.0,20.0,20.0
2000-03-31,0.0,20.0,20.0,20.0,20.0
2000-04-03,267.0,20.5,21.0,21.0,20.5
2000-04-04,6400.0,19.5,20.5,20.5,19.5
2000-04-05,667.0,19.75,19.75,19.75,19.75
2000-04-06,867.0,20.0,20.0,20.0,20.0
2000-04-07,867.0,20.0,20.0,20.0,20.0
2000-04-10,867.0,20.0,20.0,20.0,20.0
2000-04-11,0.0,20.0,20.0,20.0,20.0
2000-04-12,19200.0,20.25,20.75,20.75,20.25
2000-04-13,200.0,19.75,20.25,20.25,19.75
2000-04-14,1400.0,20.0,20.0,19.75,19.5
2000-04-17,1000.0,18.5,18.5,18.5,18.5
2000-04-18,267.0,18.0,18.0,18.0,18.0
2000-04-19,0.0,18.0,18.0,18.0,18.0
2000-04-20,0.0,18.0,18.0,18.0,18.0
2000-04-24,1000.0,17.5,18.0,18.0,17.5
2000-04-25,0.0,17.5,17.5,17.5,17.5
2000-04-26,0.0,17.5,17.5,17.5,17.5
2000-04-27,0.0,17.5,17.5,17.5,17.5
2000-04-28,200.0,17.25,17.25,17.25,17.25
2000-05-01,67.0,17.25,17.25,17.25,17.25
2000-05-02,3667.0,16.75,20.0,20.0,16.75
2000-05-03,600.0,18.75,18.75,18.75,18.75
2000-05-04,800.0,19.0,19.0,19.0,19.0
2000-05-05,0.0,19.0,19.0,19.0,19.0
2000-05-08,0.0,19.0,19.0,19.0,19.0
2000-05-09,6000.0,16.0,17.25,17.25,16.0
2000-05-10,0.0,16.0,16.0,16.0,16.0
2000-05-11,0.0,16.0,16.0,16.0,16.0
2000-05-12,15800.0,19.0,20.0,20.0,18.75
2000-05-15,2600.0,18.0,20.5,20.5,18.0
2000-05-16,600.0,18.5,18.5,18.0,18.0
2000-05-17,67.0,20.0,20.0,20.0,20.0
2000-05-18,0.0,20.0,20.0,20.0,20.0
2000-05-19,200.0,18.5,18.5,18.5,18.5
2000-05-22,0.0,18.5,18.5,18.5,18.5
2000-05-23,0.0,18.5,18.5,18.5,18.5
2000-05-24,2267.0,17.5,18.75,18.75,17.5
2000-05-25,400.0,20.0,20.0,20.0,20.0
2000-05-26,1000.0,18.75,18.75,18.0,18.0
2000-05-30,0.0,18.75,18.75,18.75,18.75
2000-05-31,0.0,18.75,18.75,18.75,18.75
2000-06-01,0.0,18.75,18.75,18.75,18.75
2000-06-02,0.0,18.75,18.75,18.75,18.75
2000-06-05,4200.0,21.0,21.0,20.0,20.0
2000-06-06,800.0,21.0,21.0,21.0,21.0
2000-06-07,600.0,19.0,19.0,19.0,19.0
2000-06-08,4600.0,22.38,22.38,19.0,19.0
2000-06-09,0.0,22.38,22.38,22.38,22.38
2000-06-12,400.0,22.0,22.0,22.0,22.0
2000-06-13,67.0,20.75,20.75,20.75,20.75
2000-06-14,2067.0,21.0,21.0,21.0,21.0
2000-06-15,0.0,21.0,21.0,21.0,21.0
2000-06-16,0.0,21.0,21.0,21.0,21.0
2000-06-19,67.0,19.0,19.0,19.0,19.0
2000-06-20,0.0,19.0,19.0,19.0,19.0
2000-06-21,0.0,19.0,19.0,19.0,19.0
2000-06-22,1867.0,18.0,19.0,19.0,18.0
2000-06-23,0.0,18.0,18.0,18.0,18.0
2000-06-26,0.0,18.0,18.0,18.0,18.0
2000-06-27,1000.0,18.0,18.0,18.0,18.0
2000-06-28,0.0,18.0,18.0,18.0,18.0
2000-06-29,0.0,18.0,18.0,18.0,18.0
2000-06-30,0.0,18.0,18.0,18.0,18.0
2000-07-03,0.0,18.0,18.0,18.0,18.0
2000-07-05,4800.0,19.0,21.5,20.88,19.0
2000-07-06,3200.0,22.0,22.0,21.0,21.0
2000-07-07,0.0,22.0,22.0,22.0,22.0
2000-07-10,20800.0,18.75,22.25,19.0,18.75
2000-07-11,8800.0,22.5,22.5,21.0,21.0
2000-07-12,600.0,23.0,23.0,23.0,23.0
2000-07-13,5867.0,23.0,23.0,22.75,22.75
2000-07-14,200.0,21.5,21.5,21.5,21.5
2000-07-17,4267.0,22.5,24.0,23.5,22.5
2000-07-18,67.0,22.0,22.0,22.0,22.0
2000-07-19,1067.0,21.25,24.0,24.0,21.25
2000-07-20,0.0,21.25,21.25,21.25,21.25
2000-07-21,0.0,21.25,21.25,21.25,21.25
2000-07-24,67.0,22.88,22.88,22.88,22.88
2000-07-25,867.0,21.0,21.0,21.0,21.0
2000-07-26,400.0,21.25,21.25,21.25,21.25
2000-07-27,0.0,21.25,21.25,21.25,21.25
2000-07-28,467.0,20.5,20.5,20.5,20.5
2000-07-31,0.0,20.5,20.5,20.5,20.5
2000-08-01,0.0,20.5,20.5,20.5,20.5
2000-08-02,267.0,20.0,20.0,20.0,20.0
2000-08-03,0.0,20.0,20.0,20.0,20.0
2000-08-04,0.0,20.0,20.0,20.0,20.0
2000-08-07,0.0,20.0,20.0,20.0,20.0
2000-08-08,2067.0,22.5,22.5,21.88,21.88
2000-08-09,267.0,23.0,23.0,22.75,22.75
2000-08-10,0.0,23.0,23.0,23.0,23.0
2000-08-11,0.0,23.0,23.0,23.0,23.0
2000-08-14,0.0,23.0,23.0,23.0,23.0
2000-08-15,1467.0,23.13,23.13,23.0,23.0
2000-08-16,0.0,23.13,23.13,23.13,23.13
2000-08-17,200.0,20.75,20.75,20.75,20.75
2000-08-18,0.0,20.75,20.75,20.75,20.75
2000-08-21,200.0,20.13,20.13,20.13,20.13
2000-08-22,0.0,20.13,20.13,20.13,20.13
2000-08-23,0.0,20.13,20.13,20.13,20.13
2000-08-24,0.0,20.13,20.13,20.13,20.13
2000-08-25,0.0,20.13,20.13,20.13,20.13
2000-08-28,0.0,20.13,20.13,20.13,20.13
2000-08-29,8667.0,19.75,20.38,20.38,19.75
