date,5. volume,4. close,2. high,1. open,3. low
2013-11-22,240400.0,5.35,5.5,5.25,5.15
2013-11-25,209200.0,6.9,7.1,5.17,5.17
2013-11-26,170500.0,6.96,7.77,6.7,6.58
2013-11-27,38200.0,6.95,7.39,7.0,6.8105
2013-11-29,63500.0,7.0,7.1645,7.1,6.25
2013-12-02,32800.0,7.0,7.15,7.0,6.5
2013-12-03,51700.0,7.05,7.17,6.496,6.496
2013-12-04,8100.0,6.98,7.07,7.01,6.6201
2013-12-05,81700.0,6.35,7.0,7.0,6.26
2013-12-06,28400.0,5.95,6.25,6.21,5.9
2013-12-09,34900.0,6.58,6.58,6.0,5.8
2013-12-10,16900.0,6.27,6.5,6.01,6.01
2013-12-11,16000.0,6.1,6.3,6.3,6.01
2013-12-12,46400.0,6.0,6.1,6.0,5.7
2013-12-13,15200.0,5.95,6.0,5.95,5.85
2013-12-16,23500.0,5.77,6.26,5.96,5.54
2013-12-17,43700.0,5.7,5.82,5.51,5.4
2013-12-18,8600.0,5.58,5.58,5.5499,5.4201
2013-12-19,24600.0,5.64,5.65,5.51,5.5
2013-12-20,27600.0,5.4,5.7,5.7,5.32
2013-12-23,8500.0,5.45,5.7,5.7,5.43
2013-12-24,5900.0,5.45,5.7,5.7,5.45
2013-12-26,13000.0,5.48,5.5,5.5,5.301
2013-12-27,19600.0,5.35,5.6,5.57,5.35
2013-12-30,16900.0,5.27,5.64,5.56,5.27
2013-12-31,13300.0,5.31,5.69,5.4999,5.25
2014-01-02,7000.0,5.4899,5.5899,5.25,5.25
2014-01-03,9000.0,5.31,5.5,5.4,5.25
2014-01-06,42700.0,5.61,5.66,5.38,5.3603
2014-01-07,67400.0,5.84,6.37,5.65,5.44
2014-01-08,191900.0,7.14,7.44,6.0,5.95
2014-01-09,359000.0,7.88,7.88,7.1,6.95
2014-01-10,116400.0,8.0,8.0,7.91,7.5003
2014-01-13,122300.0,7.03,8.34,8.0,6.95
2014-01-14,148600.0,7.77,8.22,7.02,7.02
2014-01-15,104000.0,7.433,8.35,8.16,7.42
2014-01-16,26900.0,7.45,7.8599,7.5,7.35
2014-01-17,28400.0,7.274,7.77,7.72,7.274
2014-01-21,47600.0,7.0,7.551,7.5,7.0
2014-01-22,14600.0,7.03,7.39,7.19,6.98
2014-01-23,10200.0,7.0,7.1,7.0,7.0
2014-01-24,14500.0,7.1,7.24,7.011,7.011
2014-01-27,34300.0,6.82,7.65,7.22,6.78
2014-01-28,6000.0,6.85,7.4,6.76,6.75
2014-01-29,19400.0,6.73,6.99,6.91,6.73
2014-01-30,9700.0,6.77,6.8,6.72,6.72
2014-01-31,31500.0,6.6,6.75,6.7001,6.58
2014-02-03,26200.0,6.91,7.0,6.9,6.85
2014-02-04,11400.0,7.01,7.49,7.04,7.01
2014-02-05,7500.0,7.09,7.16,7.061,7.03
2014-02-06,26900.0,6.88,7.06,7.01,6.86
2014-02-07,3000.0,6.96,6.961,6.9,6.9
2014-02-10,10400.0,6.9996,7.23,6.9794,6.9001
2014-02-11,10000.0,6.9,7.0,7.0,6.86
2014-02-12,7500.0,6.88,6.98,6.98,6.86
2014-02-13,8900.0,6.98,6.99,6.98,6.87
2014-02-14,18800.0,6.91,7.01,6.98,6.894
2014-02-18,9000.0,6.98,7.1,6.93,6.93
2014-02-19,24000.0,6.8,6.9693,6.85,6.8
2014-02-20,6100.0,6.82,6.91,6.77,6.7519
2014-02-21,50200.0,6.91,7.399,6.85,6.85
2014-02-24,15200.0,6.9,7.0,7.0,6.7601
2014-02-25,298800.0,7.04,8.64,6.9,6.9
2014-02-26,55900.0,7.15,7.67,7.22,7.05
2014-02-27,59700.0,7.57,7.72,7.41,7.3401
2014-02-28,98100.0,7.84,8.25,7.68,7.68
2014-03-03,18200.0,7.79,7.85,7.85,7.6
2014-03-04,25000.0,7.55,7.7,7.7,7.5101
2014-03-05,137100.0,8.65,8.75,7.84,7.691
2014-03-06,135800.0,9.6,9.74,8.79,8.34
2014-03-07,161400.0,9.5,10.6997,8.9,8.6597
2014-03-10,326200.0,11.25,12.59,9.7,9.18
2014-03-11,157500.0,9.75,11.8,11.78,9.67
2014-03-12,54900.0,9.85,10.29,10.29,9.67
2014-03-13,49900.0,9.77,10.188,10.17,9.4
2014-03-14,52200.0,10.28,10.98,9.92,9.6804
2014-03-17,65600.0,10.94,11.2899,10.4,10.4
2014-03-18,151000.0,11.08,11.95,11.23,10.7
2014-03-19,108200.0,10.02,11.2899,11.05,9.6307
2014-03-20,31900.0,10.77,10.77,10.09,9.8
2014-03-21,117700.0,11.02,11.38,10.75,10.55
2014-03-24,33300.0,11.02,11.03,10.98,10.61
2014-03-25,44700.0,10.22,11.0,10.98,10.0595
2014-03-26,73100.0,9.25,10.469,9.95,9.01
2014-03-27,54400.0,9.39,9.41,9.2,8.5
2014-03-28,35400.0,8.87,10.05,10.05,8.84
2014-03-31,89000.0,8.05,8.9,8.9,8.0
2014-04-01,57900.0,8.07,8.5,7.9,7.71
2014-04-02,12900.0,8.26,8.32,8.1,7.87
2014-04-03,345800.0,8.89,9.4996,8.37,8.22
2014-04-04,109300.0,8.48,9.112,8.97,8.4
2014-04-07,61700.0,8.11,8.709,8.53,8.02
2014-04-08,35200.0,8.81,8.9,8.18,8.04
2014-04-09,25200.0,8.925,9.06,8.98,8.641
2014-04-10,31800.0,8.5,9.1,9.08,8.41
2014-04-11,24600.0,8.16,8.587,8.5,8.05
2014-04-14,38900.0,8.26,8.919,8.27,8.2
2014-04-15,13200.0,8.23,8.573,8.573,8.1
2014-04-16,9800.0,8.22,8.42,8.42,8.22
2014-04-17,11800.0,8.3569,8.52,8.18,8.18
2014-04-21,21000.0,8.69,8.889,8.48,8.36
2014-04-22,6100.0,8.68,8.7299,8.7299,8.471
2014-04-23,9400.0,8.66,8.75,8.75,8.52
2014-04-24,21900.0,8.481,8.769,8.7,8.47
2014-04-25,10300.0,8.301,8.5,8.42,8.3
2014-04-28,317500.0,8.199,8.3,8.3,8.1401
2014-04-29,5000.0,8.379,8.38,8.17,8.121
2014-04-30,9600.0,8.2,8.26,8.25,8.02
2014-05-01,10000.0,8.18,8.21,8.21,8.0904
2014-05-02,9200.0,8.27,8.332,8.24,8.2
2014-05-05,14300.0,8.11,8.21,8.19,8.02
2014-05-06,25500.0,8.17,8.64,8.2,8.1301
2014-05-07,20200.0,8.4,8.47,8.23,8.1839
2014-05-08,22100.0,8.66,8.7,8.39,8.39
2014-05-09,25100.0,8.65,8.69,8.69,8.5
2014-05-12,12100.0,8.56,8.69,8.69,8.5
2014-05-13,11000.0,8.512,8.68,8.5,8.306
2014-05-14,57900.0,8.12,8.67,8.6,8.02
2014-05-15,62700.0,7.91,8.16,8.16,7.56
2014-05-16,47100.0,7.15,8.09,7.84,7.011
2014-05-19,15800.0,7.0101,7.29,7.08,7.0
2014-05-20,23900.0,7.22,7.25,7.02,7.02
2014-05-21,12800.0,7.545,7.62,7.22,7.17
2014-05-22,32600.0,7.9,7.98,7.4,7.325
2014-05-23,14400.0,8.13,8.19,7.96,7.66
2014-05-27,13000.0,7.8,8.2,8.11,7.8
2014-05-28,15400.0,7.515,7.82,7.76,7.49
2014-05-29,22200.0,7.53,7.8899,7.59,7.38
