date,5. volume,4. close,2. high,1. open,3. low
2014-05-16,40100.0,285.0,285.0,285.0,285.0
2014-05-19,225.0,290.0,296.0,296.0,290.0
2014-05-20,2000.0,306.59,309.0,300.0,300.0
2014-05-21,16950.0,310.0,310.0,301.61,301.35
2014-05-22,700.0,310.0,312.0,300.0001,300.0001
2014-05-23,236.0,316.0,316.0,316.0,316.0
2014-05-27,255.0,305.0,305.0,305.0,305.0
2014-05-28,1770.0,315.0,318.0,317.46,314.0
2014-05-29,1530.0,325.25,325.83,319.4,317.39
2014-05-30,9150.0,317.02,325.7369,320.0,315.5092
2014-06-02,4701.0,322.3875,322.3875,315.2,314.83
2014-06-03,10850.0,320.0,321.1031,321.1031,316.33
2014-06-04,3285.0,320.0301,320.0301,320.0,320.0
2014-06-05,867.0,320.75,320.75,320.0,320.0
2014-06-06,3455.0,323.71,328.1318,325.0,323.0101
2014-06-09,530.0,324.8001,325.0,323.468,323.468
2014-06-10,6800.0,326.0,326.2768,326.0,323.42
2014-06-11,100.0,321.16,321.16,321.16,321.16
2014-06-12,7528.0,319.0,319.26,319.26,318.0
2014-06-13,0.0,319.0,319.0,319.0,319.0
2014-06-16,275.0,320.01,320.01,318.22,318.22
2014-06-17,630.0,323.34,328.0,328.0,323.34
2014-06-18,375.0,320.66,320.66,319.5,319.5
2014-06-19,0.0,320.66,320.66,320.66,320.66
2014-06-20,1005.0,330.01,330.01,328.418,324.01
2014-06-23,100.0,322.0,322.0,322.0,322.0
2014-06-24,1303.0,322.75,323.85,323.05,322.75
2014-06-25,110.0,319.0,319.0,319.0,319.0
2014-06-26,40.0,319.0,319.0,319.0,319.0
2014-06-27,40.0,319.0,319.0,319.0,319.0
2014-06-30,450.0,330.14,330.14,325.4524,325.4524
2014-07-01,92.0,330.14,330.14,330.14,330.14
2014-07-02,6200.0,330.5,333.0,333.0,330.5
2014-07-03,876.0,343.7499,343.7499,334.14,334.14
2014-07-07,100.0,320.51,320.51,320.51,320.51
2014-07-08,325.0,326.69,326.69,324.11,324.11
2014-07-09,2800.0,330.0,330.0,329.37,328.36
2014-07-10,1555.0,324.25,328.2535,328.2535,323.3701
2014-07-11,125.0,330.0,330.0,330.0,330.0
2014-07-14,8170.0,330.525,330.525,330.0,330.0
2014-07-15,200.0,325.0,325.0,325.0,325.0
2014-07-16,250.0,323.95,323.95,323.0,323.0
2014-07-17,50.0,323.95,323.95,323.95,323.95
2014-07-18,579.0,328.32,328.32,322.4332,322.4332
