date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,9100.0,8.625,8.969,8.5,8.5
2000-01-04,9700.0,8.5,9.25,8.938,7.938
2000-01-05,5100.0,8.625,8.625,8.375,8.375
2000-01-06,6700.0,8.0,8.438,8.438,8.0
2000-01-07,0.0,8.0,8.0,8.0,8.0
2000-01-10,28100.0,9.25,9.375,8.25,8.125
2000-01-11,14700.0,9.5,9.5,8.25,8.25
2000-01-12,7800.0,9.125,9.5,9.0,8.875
2000-01-13,4100.0,8.75,8.75,8.75,8.75
2000-01-14,27000.0,9.25,9.75,9.5,9.125
2000-01-18,22500.0,9.313,9.625,9.438,9.125
2000-01-19,26600.0,10.0,10.0,9.5,9.438
2000-01-20,14700.0,10.5,11.0,9.625,9.125
2000-01-21,9400.0,10.06,10.5,10.5,9.875
2000-01-24,12500.0,10.06,10.44,10.03,10.0
2000-01-25,9200.0,10.25,10.5,10.0,9.5
2000-01-26,5900.0,10.5,10.63,10.5,10.38
2000-01-27,12200.0,10.75,10.94,10.72,10.63
2000-01-28,74200.0,9.813,10.75,10.63,8.5
2000-01-31,6100.0,9.813,10.31,10.22,9.813
2000-02-01,11400.0,10.0,10.06,10.0,9.875
2000-02-02,6400.0,10.19,10.5,10.13,10.13
2000-02-03,15600.0,10.13,10.56,10.56,10.0
2000-02-04,18300.0,9.75,9.875,9.875,9.75
2000-02-07,5800.0,9.5,9.75,9.75,9.0
2000-02-08,5000.0,9.688,9.875,9.25,9.25
2000-02-09,3000.0,9.375,9.875,9.875,9.375
2000-02-10,20700.0,8.75,9.375,9.375,8.25
2000-02-11,32200.0,8.688,8.75,8.75,8.5
2000-02-14,23700.0,9.0,9.0,8.688,8.625
2000-02-15,4400.0,8.5,8.625,8.625,8.5
2000-02-16,16100.0,9.125,9.5,8.844,8.844
2000-02-17,31700.0,9.625,9.625,9.0,9.0
2000-02-18,20200.0,9.563,10.0,9.625,9.5
2000-02-22,11300.0,9.953,10.0,9.75,9.75
2000-02-23,14100.0,9.813,10.06,10.0,9.75
2000-02-24,1700.0,10.25,10.25,9.875,9.875
2000-02-25,8200.0,10.13,10.25,10.13,9.875
2000-02-28,26200.0,10.25,10.38,10.13,9.938
2000-02-29,20600.0,10.25,10.5,10.25,10.25
2000-03-01,142000.0,10.5,10.56,10.0,9.875
2000-03-02,274500.0,11.38,11.56,10.56,10.5
2000-03-03,368200.0,15.0,17.13,11.81,11.78
2000-03-06,264300.0,17.0,18.0,14.0,13.97
2000-03-07,156000.0,16.63,18.5,18.25,16.25
2000-03-08,124600.0,14.48,17.38,16.5,13.5
2000-03-09,19400.0,14.5,14.94,14.31,13.88
2000-03-10,52000.0,16.25,16.25,14.94,14.88
2000-03-13,32100.0,17.0,17.13,16.13,15.31
2000-03-14,22300.0,15.31,17.0,16.81,15.31
