date,5. volume,4. close,2. high,1. open,3. low
2016-10-20,6006352.0,26.05,28.0,26.75,24.74
2016-10-21,473623.0,25.79,26.249,26.07,25.0674
2016-10-24,244829.0,26.7,26.91,25.79,25.48
2016-10-25,292900.0,26.68,27.1,26.61,26.4206
2016-10-26,134759.0,25.74,26.6,26.4,25.729
2016-10-27,316208.0,25.02,26.08,26.08,23.46
2016-10-28,256229.0,24.25,25.18,25.18,23.48
2016-10-31,161742.0,24.95,25.1,24.41,24.16
2016-11-01,127463.0,25.74,26.5,25.11,24.19
2016-11-02,137568.0,24.9,25.975,25.74,24.75
2016-11-03,249929.0,23.36,25.54,24.84,22.16
2016-11-04,187995.0,23.08,24.5,23.47,22.33
2016-11-07,185879.0,23.52,23.75,23.59,22.81
2016-11-08,80389.0,23.31,23.555,23.54,22.77
2016-11-09,159595.0,23.75,24.24,22.95,22.95
2016-11-10,103040.0,23.7,24.45,24.0,23.6205
2016-11-11,291420.0,24.23,24.3,23.49,23.03
2016-11-14,178612.0,24.82,25.42,24.5,23.76
2016-11-15,107746.0,25.68,26.0,25.19,25.0
2016-11-16,61489.0,25.9,26.5,25.88,25.63
2016-11-17,85088.0,27.45,27.47,26.01,25.65
2016-11-18,225560.0,30.49,31.0,27.51,26.95
2016-11-21,116244.0,29.97,31.3,30.8,28.5
2016-11-22,135790.0,29.16,30.46,30.12,29.01
2016-11-23,84443.0,29.21,29.4,29.1,28.725
2016-11-25,21427.0,29.33,29.5,29.31,28.72
2016-11-28,82901.0,29.77,29.89,29.29,28.3
2016-11-29,157293.0,30.94,31.2783,29.84,29.24
2016-11-30,79589.0,30.5,31.45,31.18,30.07
2016-12-01,75005.0,29.8,31.69,30.76,29.215
2016-12-02,198368.0,28.98,29.85,29.85,28.76
2016-12-05,126855.0,29.15,29.5,29.27,28.51
2016-12-06,411373.0,27.5,28.55,28.25,27.0
2016-12-07,89059.0,27.56,28.35,27.53,27.47
2016-12-08,131895.0,27.0,27.91,27.4,24.9705
2016-12-09,128012.0,26.74,29.449,27.0,26.55
2016-12-12,158067.0,26.0,26.999,26.63,25.5
2016-12-13,186814.0,25.76,26.4979,26.08,25.01
2016-12-14,263085.0,25.12,25.9,25.64,24.25
2016-12-15,261707.0,26.63,26.72,25.13,24.34
2016-12-16,968325.0,27.6,28.07,27.01,26.17
2016-12-19,75183.0,27.88,27.9,27.72,26.99
2016-12-20,99624.0,27.85,28.35,27.965,27.53
2016-12-21,32587.0,27.53,27.885,27.39,27.2608
2016-12-22,68173.0,27.5,27.86,27.46,26.95
2016-12-23,70765.0,28.32,28.41,27.43,27.15
2016-12-27,99466.0,28.43,29.55,28.98,28.02
2016-12-28,173681.0,28.75,28.87,28.57,27.88
2016-12-29,117597.0,28.96,29.13,28.71,28.52
2016-12-30,158615.0,30.0,30.4,29.28,28.85
2017-01-03,225225.0,29.99,30.58,30.32,29.5
2017-01-04,113514.0,29.7,30.0,30.0,29.13
2017-01-05,90282.0,29.61,29.895,29.69,29.06
2017-01-06,238073.0,30.0,30.8,29.76,29.36
2017-01-09,132443.0,31.5,31.6,30.14,29.52
2017-01-10,101704.0,31.6,32.64,31.6,31.05
2017-01-11,139851.0,31.17,31.78,31.7,29.08
2017-01-12,83264.0,30.77,31.185,31.0,30.44
2017-01-13,175378.0,30.56,30.76,30.76,30.29
2017-01-17,209260.0,29.66,30.735,30.45,29.08
2017-01-18,65723.0,29.41,29.705,29.63,29.15
2017-01-19,62938.0,29.58,29.76,29.33,28.7
2017-01-20,66012.0,29.99,30.11,29.72,28.94
2017-01-23,116051.0,29.8,30.3249,29.9,29.42
2017-01-24,94320.0,30.48,30.85,30.12,29.635
2017-01-25,93596.0,30.88,30.92,30.61,30.55
2017-01-26,75249.0,30.96,31.77,30.93,30.79
2017-01-27,59114.0,31.39,31.67,31.1,30.95
2017-01-30,63284.0,31.45,31.83,31.41,31.01
2017-01-31,182839.0,32.63,32.84,31.72,31.475
2017-02-01,246059.0,32.71,33.47,33.03,32.49
2017-02-02,66999.0,32.66,33.03,32.83,32.5
2017-02-03,70490.0,32.71,33.0,32.99,32.25
2017-02-06,53079.0,32.9,33.0,32.93,32.57
2017-02-07,327999.0,34.5,34.72,33.2,32.97
2017-02-08,219928.0,36.22,36.71,34.77,33.634
2017-02-09,157424.0,35.61,36.89,36.09,35.3
2017-02-10,107124.0,35.86,36.05,35.61,35.57
2017-02-13,191497.0,36.69,36.72,36.0,35.65
2017-02-14,110990.0,36.09,37.06,36.96,36.04
